language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,latitude,longitude
AGTA,0,5.555555556,9.090909091,1.730769231,2.578883678,,0,1.483117039,2.854002266,17.97,121.83
AKLANON,0,5.882352941,3.225806452,1.153846154,1.940625065,,0,2.436589568,1.067676769,11.58,122.33
ATTA PAMPLONA,0,5.555555556,6.060606061,0.961538462,1.626109089,,0,2.825159225,3.135747554,16.33,121.67
BALANGAW,0,5.555555556,9.090909091,1.923076923,1.81252763,,0,2.004095591,3.954605739,18.42,121.25
BALANGINGI SAMA,0,5,8.108108108,1.923076923,2.531848418,,0,1.215287241,2.442891581,5.25,117
BALANGINGI SAMA (1),0,5,8.108108108,1.923076923,2.531848418,,0,1.215287241,2.442891581,17.17,121.17
BATAK PALAWAN,0,5.555555556,6.060606061,1.346153846,2.192645048,,0,1.919782553,2.150121023,6.17,121.83
BILAAN KORONADAL,0,2.777777778,6.060606061,1.346153846,1.940625065,,0,0.73771279,2.429347276,12.5,122
BILAAN SARANGANI,0,2.777777778,6.060606061,1.153846154,1.650563229,,0,0.983865141,2.972779121,10.25,119.08
BINUKID,0,5.555555556,6.060606061,0.769230769,1.200961154,,0,3.985411828,4.405950414,6.17,125
BONGGI,0,6.896551724,0,1.346153846,1.650563229,,0,3.36272963,0,6,125.33
BONTOC GUINAANG,0,5.555555556,6.060606061,1.730769231,1.57606293,,0,2.426797974,2.747248697,10,123
BROOKES POINT PALAWAN,3.03030303,6.060606061,6.666666667,0.576923077,1.096322524,,2.237826825,5.001888462,5.554700789,17.08,120.92
BUHI,0,5,8.108108108,1.923076923,2.72982107,,0,1.127151926,2.265727689,13.17,123.5
BUHINON ALBAY BICOLANO,0,6.060606061,3.333333333,1.538461538,2.174296232,,0,2.079819878,0.825495518,8.25,124.83
BUKIDNON BINUKID,0,5.128205128,8.333333333,1.153846154,1.297186304,,0,3.063830509,5.534661564,9,125.33
BUTUANON,0,5.882352941,3.225806452,1.923076923,2.31702174,,0,1.708778105,0.562243118,10,124
CANIPAAN PALAWAN,0,6.451612903,7.142857143,0.576923077,1.096322524,,0,5.358541576,5.989053332,10.75,119.42
CASIGURAN NEGRITO,0,6.25,6.451612903,1.538461538,2.401922307,,0,1.961569884,2.045508029,10.33,119.5
CEBUANO,0,5.882352941,3.225806452,1.923076923,2.31702174,,0,1.708778105,0.562243118,13.17,123.5
CENTRAL BICOLANO,0,5.882352941,3.225806452,2.307692308,1.898886313,,0,1.882503765,0.483501375,16.33,122
CENTRAL BONTOC,0,5.882352941,6.451612903,2.307692308,2.385183969,,0,1.498693887,1.7373589,17.83,122.17
CENTRAL DUSUN,0,5.882352941,3.225806452,1.538461538,2.174296232,,0,1.997837893,0.77604187,9.43,124.24
CENTRAL TAGBANWA,0,5.263157895,5.714285714,1.730769231,2.578883678,,0,1.369735554,1.544666988,17.17,121.42
CUYONON,0,6.25,3.448275862,1.153846154,2.192645048,,0,2.324203751,1.046420947,12.33,121.25
DARAGA,0,5,8.108108108,1.923076923,2.72982107,,0,1.127151926,2.265727689,8.61,125.07
DUMAGAT CASIGURAN,0,2.777777778,9.090909091,1.538461538,2.609769614,,0,0.474875726,2.893913514,17.5,121.67
DUPANINGAN AGTA,0,7.5,2.702702703,1.346153846,2.192645048,,0,2.806585662,0.618681468,5.25,118.83
ESKAYAN,2.777777778,2.777777778,0,1.538461538,2.174296232,,0.569985001,0.569985001,0,16.83,121
GADDANG,0,2.777777778,6.060606061,1.538461538,2.401922307,,0,0.515968496,1.882718899,16.83,121.08
HANUNOO,0,5.882352941,3.225806452,2.307692308,1.898886313,,0,1.882503765,0.483501375,16.67,121
HIGAONON BINUKID,0,5.128205128,8.333333333,1.153846154,1.297186304,,0,3.063830509,5.534661564,16,121
IBALOI,0,3.125,3.333333333,1.730769231,2.578883678,,0,0.540633446,0.621417754,16.33,121.42
IBANAG,0,5.882352941,3.225806452,1.153846154,2.192645048,,0,2.156530895,0.944959285,16.42,120.67
IDAAN,0,5.882352941,6.451612903,1.153846154,1.940625065,,0,2.436589568,2.729928025,6.35,116.433
IFUGAO AMGANAD,0,5.555555556,6.060606061,1.153846154,1.650563229,,0,2.666792355,2.972779121,13.33,123.33
IFUGAO BATAD,0,5.714285714,3.125,1.538461538,2.174296232,,0,1.920540594,0.729679074,18.25,121
IFUGAO BAYNINAN,0,5.555555556,6.060606061,1.153846154,1.650563229,,0,2.666792355,2.972779121,17.75,121.5
ILOKANO,0,5.882352941,3.225806452,1.346153846,1.940625065,,0,2.33749382,0.968581021,17.67,120.97
ILONGOT KAKIDUGEN,0,2.857142857,6.25,0.576923077,1.096322524,,0,2.079880446,5.174642314,5.92,117.17
INIBALOI,0,5.555555556,3.03030303,1.538461538,2.401922307,,0,1.672449606,0.621103142,10.5,119.83
IRANUN,0,5.882352941,6.451612903,2.115384615,2.001601923,,0,1.881976772,2.166378958,6.24,125.42
IRIGA,0,5,8.108108108,1.923076923,2.72982107,,0,1.127151926,2.265727689,17.42,121.08
ISNAG,0,5,5.405405405,1.346153846,2.192645048,,0,1.666410237,1.851303549,17.5,121
ISNEG,0,5.555555556,6.060606061,1.346153846,2.192645048,,0,1.919782553,2.150121023,16.33,120.83
ITAWIT,0,5.882352941,3.225806452,0.769230769,1.200961154,,0,4.257525031,2.045508029,17.3,120.8
ITBAYATEN BATANES ISLANDS,0,5.555555556,6.060606061,1.153846154,2.418544805,,0,1.819982575,2.028806701,15.33,120.5
ITNEG BINONGAN,0,5.714285714,9.375,1.346153846,1.297186304,,0,3.367389753,6.189431794,10.83,122.33
IVATAN BATANES ISLANDS,0,5.555555556,6.060606061,1.153846154,1.940625065,,0,2.268191565,2.528443024,13.33,123.5
KADAZAN,0,5,5.405405405,1.923076923,2.080125736,,0,1.479200523,1.674095187,13.17,123.5
KAGAYANEN,0,5,8.108108108,1.538461538,2.609769614,,0,1.326377027,2.517328172,9.42,125.5
KALAGAN,0,8.333333333,6.060606061,2.307692308,2.96885543,,0,2.02961753,1.264094477,14.17,122.83
KALINGA GUINAANG,0,5.555555556,6.060606061,1.730769231,1.57606293,,0,2.426797974,2.747248697,7.67,125.5
KALINGA LIMOS,0,5,8.108108108,2.115384615,1.721843079,,0,1.67530678,3.480412103,7.83,126
KALLAHAN KAYAPA PROPER,0,5.555555556,3.03030303,1.538461538,2.401922307,,0,1.672449606,0.621103142,7.33,124.83
KALLAHAN KELEYQIQ IFUGAO,0,2.777777778,3.03030303,1.730769231,1.87766904,,0,0.557610806,0.692099498,6.08,124.83
KANKANAY NORTHERN,0,5.555555556,3.03030303,1.346153846,1.940625065,,0,2.169095817,0.86783852,5.83,125.42
KAPAMPANGAN,0,2.941176471,3.225806452,2.692307692,1.601281538,,0,0.155418502,0.333169868,7.67,125.08
KINARAY A,0,3.448275862,10.71428571,0.961538462,1.626109089,,0,1.529256197,5.997597159,7.67,124.83
