language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,longitude,latitude
AGTA,2.777777778,2.777777778,6.060606061,3.653846154,2.816503561,,0,0,0.854520456,121.83,17.97
AKLANON,2.941176471,2.941176471,3.225806452,2.5,2.282177323,,0.193313844,0.193313844,0.318032453,122.33,11.58
ATTA PAMPLONA,2.777777778,2.777777778,6.060606061,3.653846154,2.816503561,,0,0,0.854520456,121.25,18.42
BALANGAW,2.777777778,2.777777778,9.090909091,3.269230769,4.255464059,,0,0,1.368047818,121.17,17.17
BALANGINGI SAMA,2.5,2.5,10.81081081,4.807692308,2.594372608,,0,0,2.313899894,121.83,6.17
BATAK PALAWAN,2.777777778,2.777777778,9.090909091,3.269230769,2.955329822,,0,0,1.969891238,119.08,10.25
BILAAN KORONADAL,2.777777778,0,12.12121212,2.5,2.282177323,,0.121716124,0,4.215803927,125,6.17
BILAAN SARANGANI,2.777777778,0,9.090909091,2.692307692,2.155791246,,0.039646736,0,2.968098794,125.33,6
BINUKID,2.777777778,2.777777778,6.060606061,3.076923077,2.91437639,,0,0,1.023780934,124.83,8.25
BONGGI,3.448275862,6.896551724,3.703703704,2.115384615,2.001601923,,0.665912253,2.388670322,0.793523962,123,10
BONTOC GUINAANG,2.777777778,2.777777778,6.060606061,3.269230769,2.773500981,,0,0,1.006444674,120.92,17.8
BROOKES POINT PALAWAN,3.03030303,3.03030303,6.666666667,3.461538462,3.15212586,,0,0,1.016814793,117.92,8.83
BUHI,2.5,2.5,8.108108108,3.846153846,3.62505526,,0,0,1.175693598,123.5,13.7
BUHINON ALBAY BICOLANO,3.03030303,3.03030303,6.666666667,2.115384615,2.858859374,,0.320029178,0.320029178,1.591992279,123.5,13.7
BUKIDNON BINUKID,5.128205128,5.128205128,8.333333333,2.884615385,2.670470044,,0.840147879,0.840147879,2.040359135,124.83,8.25
BUTUANON,2.941176471,2.941176471,3.225806452,3.076923077,2.91437639,,0,0,0.051085843,125.33,9
CANIPAAN PALAWAN,3.225806452,3.225806452,7.142857143,3.269230769,3.288967572,,0,0,1.177763626,117.3,8.67
CASIGURAN NEGRITO,3.125,6.25,6.451612903,3.269230769,2.578883678,,0,1.155837022,1.234015385,122,16.33
CEBUANO,8.823529412,2.941176471,3.225806452,3.269230769,2.773500981,,2.002630855,0,0,124,10
CENTRAL BICOLANO,0,5.882352941,9.677419355,3.076923077,2.31702174,,0,1.210791343,2.848698467,123.5,13.33
CENTRAL BONTOC,2.941176471,2.941176471,6.451612903,3.269230769,3.126602153,,0,0,1.017840447,120.92,17.08
CENTRAL DUSUN,2.941176471,2.941176471,6.451612903,2.692307692,2.787908875,,0.089267185,0.089267185,1.348431882,116.6,6.1
CENTRAL TAGBANWA,2.631578947,2.631578947,8.571428571,4.615384615,4.062808174,,0,0,0.973721571,119.42,10.75
CUYONON,3.125,3.125,6.896551724,2.5,2.282177323,,0.273861279,0.273861279,1.926472444,119.5,10.33
DARAGA,2.5,2.5,8.108108108,3.653846154,3.478413284,,0,0,1.280544199,123.5,13.17
DUMAGAT CASIGURAN,5.555555556,5.555555556,9.090909091,3.269230769,2.578883678,,0.886555995,0.886555995,2.257441222,122,16.33
DUPANINGAN AGTA,0,5,10.81081081,2.692307692,2.787908875,,0,0.827750264,2.912040343,122.17,17.83
ESKAYAN,8.333333333,2.777777778,0,2.692307692,1.898886313,,2.970702143,0.045010639,0,124.24,9.43
