language,similiarity_to_spanish,n_span,similiarity_to_english,n_eng,similiarity_to_japanese,n_jap,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,latitude,longitude
AGTA,2.777777778,36,2.777777778,36,9.090909091,33,1.421404682,1.205869992,,1.124808731,1.124808731,6.360142023,17.97,121.83
AKLANON,2.941176471,34,2.941176471,34,6.451612903,31,0.836120401,1.007400757,,2.089591511,2.089591511,5.574238917,11.58,122.33
ARTA,3.571428571,28,0,28,4,25,1.505016722,1.044314047,,1.978726472,0,2.389112055,16.33,121.67
ATTA PAMPLONA,2.777777778,36,2.777777778,36,9.090909091,33,1.421404682,1.121253773,,1.209693227,1.209693227,6.840114693,18.42,121.25
BAJAU WEST COAST,0,28,3.571428571,28,11.53846154,26,1.337792642,1.34257437,,0,1.663696239,7.597842718,5.25,117
BALANGAW,2.777777778,36,2.777777778,36,9.090909091,33,1.254180602,1.65120549,,0.92271809,0.92271809,4.746064943,17.17,121.17
BALANGINGI SAMA,2.5,40,2.5,40,10.81081081,37,1.672240803,1.141337527,,0.725253641,0.725253641,8.006895238,6.17,121.83
BANTON BANTOANON,7.142857143,28,0,28,4,25,0.668896321,0.834725704,,7.755794257,0,3.990656646,12.5,122
BATAK PALAWAN,2.777777778,36,2.777777778,36,9.090909091,33,1.254180602,1.161073932,,1.312230973,1.312230973,6.749551662,10.25,119.08
BILAAN KORONADAL,2.777777778,36,0,36,12.12121212,33,1.003344482,0.937300542,,1.893131623,0,11.86158243,6.17,125
BILAAN SARANGANI,2.777777778,36,0,36,12.12121212,33,1.086956522,0.887496284,,1.905158689,0,12.43301612,6,125.33
BONGGI,3.448275862,29,3.448275862,29,7.407407407,27,0.919732441,0.602934996,,4.193724759,4.193724759,10.76015658,10,123
BONTOC GUINAANG,2.777777778,36,2.777777778,36,9.090909091,33,1.337792642,1.10080366,,1.308121682,1.308121682,7.043141962,17.08,120.92
BUHI,2.5,40,2.5,40,8.108108108,37,1.421404682,1.429985901,,0.754269897,0.754269897,4.676062485,13.17,123.5
BUKIDNON BINUKID,5.494505495,91,4.444444444,90,4.545454545,88,2.173913043,1.774992567,,1.870764144,1.279177977,1.336085314,8.25,124.83
BUTUANON,2.941176471,34,2.941176471,34,6.451612903,31,1.086956522,1.331244425,,1.392847109,1.392847109,4.029805706,9,125.33
CEBUANO,8.823529412,34,2.941176471,34,6.451612903,31,1.254180602,1.319817223,,5.735149289,1.278204163,3.937993996,10,124
CENTRAL TAGBANWA,5.263157895,38,2.631578947,38,8.571428571,35,1.755852843,1.50733749,,2.326821349,0.580975469,4.521599028,10.75,119.42
CUYONON,3.125,32,0,32,6.896551724,29,0.919732441,0.976866342,,2.257491598,0,6.118359317,10.33,119.5
DARAGA,2.5,40,2.5,40,8.108108108,37,1.337792642,1.34257437,,0.865655851,0.865655851,5.042786172,13.17,123.5
DUMAGAT CASIGURAN,5.555555556,36,5.555555556,36,9.090909091,33,1.505016722,1.044314047,,3.878659726,3.878659726,7.263995341,16.33,122
DUPANINGAN AGTA,2.5,40,5,40,5.405405405,37,1.337792642,1.186878726,,0.979213236,3.085578397,3.427151126,17.83,122.17
ESKAYAN,5.555555556,36,2.777777778,36,0,33,1.086956522,0.768594327,,5.81398909,2.199887764,0,9.43,124.24
GADDANG,2.777777778,36,2.777777778,36,9.090909091,33,1.421404682,1.121253773,,1.209693227,1.209693227,6.840114693,17.17,121.42
HANUNOO,5.813953488,86,3.529411765,85,2.409638554,83,2.090301003,1.628110569,,2.287100493,0.883914636,0.196139965,12.33,121.25
HIGAONON BINUKID,5.494505495,91,4.444444444,90,4.545454545,88,2.173913043,1.774992567,,1.870764144,1.279177977,1.336085314,8.61,125.07
IBANAG,2.941176471,34,5.882352941,34,6.451612903,31,1.086956522,1.174047228,,1.57934017,4.08450044,4.56937017,17.5,121.67
IDAAN,2.941176471,34,2.941176471,34,6.451612903,31,1.086956522,1.331244425,,1.392847109,1.392847109,4.029805706,5.25,118.83
IFUGAO AMGANAD,2.777777778,36,2.777777778,36,9.090909091,33,0.919732441,1.319817223,,1.407805038,1.407805038,6.191142611,16.83,121
IFUGAO BATAD,5.714285714,35,2.857142857,35,9.375,32,0.752508361,1.205869992,,4.114686813,1.745324546,7.150432217,16.83,121.08
IFUGAO BAYNINAN,2.777777778,36,2.777777778,36,9.090909091,33,0.836120401,1.186878726,,1.635935781,1.635935781,6.955039724,16.67,121
