ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
1	I	AGTA	ijok	i j o k	7 6 7 1	XBYN	IJUK	1	1.I.V 1.J.C 1.U.V 1.K.c	1.5 1.75 1.3 0.8	ijok	0	1
41	I	AKLANON	aku	a k u	7 1 7	XBZ	AKY	2	2.A.V 2.K.C 2.Y.V	1.5 1.75 0.8	aku	0	15
81	I	ATTA PAMPLONA	sikan	s i k a n	3 7 1 7 4	AXBYN	SIKAN	3	3.S.C 3.I.V 3.K.C 3.A.V 3.N.c	2.0 1.5 1.75 1.3 0.8	sikan	0	3
121	I	BALANGAW	haʔon	h a ʔ o n	3 7 1 7 4	AXBYN	HAHUN	5	5.H.C 5.A.V 5.H.C 5.U.V 5.N.c	2.0 1.5 1.75 1.3 0.8	haʔon	0	3
161	I	BALANGINGI SAMA	aku	a k u	7 1 7	XBZ	AKY	6	6.A.V 6.K.C 6.Y.V	1.5 1.75 0.8	aku	0	15
201	I	BALANGINGI SAMA (1)	aku	a k u	7 1 7	XBZ	AKY	7	7.A.V 7.K.C 7.Y.V	1.5 1.75 0.8	aku	0	15
241	I	BASQUE	nik	n i k	4 7 1	AXN	NIK	8	8.N.C 8.I.V 8.K.c	2.0 1.5 0.8	nik	0	7
281	I	BATAK PALAWAN	aku	a k u	7 1 7	XBZ	AKY	9	9.A.V 9.K.C 9.Y.V	1.5 1.75 0.8	aku	0	15
321	I	BILAAN KORONADAL	agu	a g u	7 1 7	XBZ	AKY	10	10.A.V 10.K.C 10.Y.V	1.5 1.75 0.8	agu	0	15
361	I	BILAAN SARANGANI	agu	a g u	7 1 7	XBZ	AKY	11	11.A.V 11.K.C 11.Y.V	1.5 1.75 0.8	agu	0	15
401	I	BINUKID	siʔak	s i ʔ a k	3 7 1 7 1	AXBYN	SIHAK	12	12.S.C 12.I.V 12.H.C 12.A.V 12.K.c	2.0 1.5 1.75 1.3 0.8	siʔak	0	46
441	I	BONGGI	ou	o u	7 7	XZ	UY	14	14.U.V 14.Y.V	1.5 0.8	ou	0	12
481	I	BONTOC GUINAANG	sakʔən	s a k ʔ ə n	3 7 1 1 7 4	AXMBYN	SAKHEN	15	15.S.C 15.A.V 15.K.c 15.H.C 15.E.V 15.N.c	2.0 1.5 1.1 1.75 1.3 0.8	sakʔən	0	3
521	I	BROOKES POINT PALAWAN	aku	a k u	7 1 7	XBZ	AKY	16	16.A.V 16.K.C 16.Y.V	1.5 1.75 0.8	aku	0	15
561	I	BUHI	ʔaku	ʔ a k u	1 7 1 7	AXBZ	HAKY	17	17.H.C 17.A.V 17.K.C 17.Y.V	2.0 1.5 1.75 0.8	ʔaku	0	15
601	I	BUHINON ALBAY BICOLANO	ako	a k o	7 1 7	XBZ	AKU	18	18.A.V 18.K.C 18.U.V	1.5 1.75 0.8	ako	0	15
