ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
1,I,AGTA,ijok,i j o k,7 6 7 1,XBYN,IJUK,1.0,1.I.V 1.J.C 1.U.V 1.K.c,1.5 1.75 1.3 0.8,ijok,0.0,1.0
93,I,AKLANON,aku,a k u,7 1 7,XBZ,AKY,2.0,2.A.V 2.K.C 2.Y.V,1.5 1.75 0.8,aku,0.0,66.0
185,I,ARTA,tan,t a n,1 7 4,AXN,TAN,3.0,3.T.C 3.A.V 3.N.c,2.0 1.5 0.8,tan,0.0,3.0
277,I,ATTA PAMPLONA,sikan,s i k a n,3 7 1 7 4,AXBYN,SIKAN,4.0,4.S.C 4.I.V 4.K.C 4.A.V 4.N.c,2.0 1.5 1.75 1.3 0.8,sikan,0.0,66.0
369,I,BAJAU WEST COAST,aku,a k u,7 1 7,XBZ,AKY,6.0,6.A.V 6.K.C 6.Y.V,1.5 1.75 0.8,aku,0.0,66.0
461,I,BALANGAW,haʔon,h a ʔ o n,3 7 1 7 4,AXBYN,HAHUN,7.0,7.H.C 7.A.V 7.H.C 7.U.V 7.N.c,2.0 1.5 1.75 1.3 0.8,haʔon,0.0,6.0
553,I,BALANGINGI SAMA,aku,a k u,7 1 7,XBZ,AKY,8.0,8.A.V 8.K.C 8.Y.V,1.5 1.75 0.8,aku,0.0,66.0
645,I,BANTON BANTOANON,ako,a k o,7 1 7,XBZ,AKU,9.0,9.A.V 9.K.C 9.U.V,1.5 1.75 0.8,ako,0.0,66.0
737,I,BASQUE,nik,n i k,4 7 1,AXN,NIK,10.0,10.N.C 10.I.V 10.K.c,2.0 1.5 0.8,nik,0.0,66.0
829,I,BATAK PALAWAN,aku,a k u,7 1 7,XBZ,AKY,11.0,11.A.V 11.K.C 11.Y.V,1.5 1.75 0.8,aku,0.0,66.0
921,I,BILAAN KORONADAL,agu,a g u,7 1 7,XBZ,AKY,12.0,12.A.V 12.K.C 12.Y.V,1.5 1.75 0.8,agu,0.0,66.0
1013,I,BILAAN SARANGANI,agu,a g u,7 1 7,XBZ,AKY,13.0,13.A.V 13.K.C 13.Y.V,1.5 1.75 0.8,agu,0.0,66.0
1105,I,BONGGI,ou,o u,7 7,XZ,UY,15.0,15.U.V 15.Y.V,1.5 0.8,ou,0.0,13.0
1197,I,BONTOC GUINAANG,sakʔən,s a k ʔ ə n,3 7 1 1 7 4,AXMBYN,SAKHEN,16.0,16.S.C 16.A.V 16.K.c 16.H.C 16.E.V 16.N.c,2.0 1.5 1.1 1.75 1.3 0.8,sakʔən,0.0,6.0
1289,I,BUHI,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,17.0,17.H.C 17.A.V 17.K.C 17.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
1381,I,BUKIDNON BINUKID,janʔa,j a n ʔ a,6 7 4 1 7,AXMBZ,JANHA,18.0,18.J.C 18.A.V 18.N.c 18.H.C 18.A.V,2.0 1.5 1.1 1.75 0.8,janʔa,0.0,16.0
1473,I,BUTUANON,ako,a k o,7 1 7,XBZ,AKU,19.0,19.A.V 19.K.C 19.U.V,1.5 1.75 0.8,ako,0.0,66.0
1565,I,CAIJIA,ŋuo,ŋ u o,4 7 7,AXZ,NYU,20.0,20.N.C 20.Y.V 20.U.V,2.0 1.5 0.8,ŋuo,0.0,18.0
1657,I,CEBUANO,ako,a k o,7 1 7,XBZ,AKU,22.0,22.A.V 22.K.C 22.U.V,1.5 1.75 0.8,ako,0.0,66.0
1749,I,CENTRAL TAGBANWA,ako,a k o,7 1 7,XBZ,AKU,23.0,23.A.V 23.K.C 23.U.V,1.5 1.75 0.8,ako,0.0,66.0
1841,I,CUYONON,ako,a k o,7 1 7,XBZ,AKU,24.0,24.A.V 24.K.C 24.U.V,1.5 1.75 0.8,ako,0.0,66.0
1933,I,DARAGA,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,25.0,25.H.C 25.A.V 25.K.C 25.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
2025,I,DUMAGAT CASIGURAN,sakən,s a k ə n,3 7 1 7 4,AXBYN,SAKEN,26.0,26.S.C 26.A.V 26.K.C 26.E.V 26.N.c,2.0 1.5 1.75 1.3 0.8,sakən,0.0,66.0
2117,I,DUPANINGAN AGTA,hikan,h i k a n,3 7 1 7 4,AXBYN,HIKAN,27.0,27.H.C 27.I.V 27.K.C 27.A.V 27.N.c,2.0 1.5 1.75 1.3 0.8,hikan,0.0,66.0
2209,I,ENGLISH,Ei,i,7,X,I,28.0,28.I.V,1.5,i,0.0,25.0
2301,I,ESKAYAN,narin,n a r i n,4 7 5 7 4,AXBYN,NARIN,29.0,29.N.C 29.A.V 29.R.C 29.I.V 29.N.c,2.0 1.5 1.75 1.3 0.8,narin,0.0,26.0
2393,I,ESTONIAN,mina,m i n a,4 7 4 7,AXBZ,MINA,30.0,30.M.C 30.I.V 30.N.C 30.A.V,2.0 1.5 1.75 0.8,mina,0.0,27.0
2485,I,FINNISH,minE,m i n,4 7 4,AXN,MIN,32.0,32.M.C 32.I.V 32.N.c,2.0 1.5 0.8,min,0.0,27.0
2577,I,FUZHOU CHINESE,ŋuai,ŋ u a i,4 7 7 7,AXYZ,NYAI,33.0,33.N.C 33.Y.V 33.A.V 33.I.V,2.0 1.5 1.3 0.8,ŋuai,0.0,18.0
