language,I,all,ash,big,bird,bite,black,blood,bone,breast,burn,cloud,cold,come,die,dog,drink,dry,ear,earth,eat,egg,eye,feather,fire,fish,flesh,fly,foot,full,good,grease,green,hair,hand,head,hear,horn,hot,kill,knee,know,leaf,lie,liver,long,louse,man,moon,mountain,mouth,name,neck,new,night,nose,not,one,path,person,rain,red,root,sand,say,see,sit,skin,sleep,small,smoke,stand,star,stone,sun,swim,tail,that,this,tongue,tooth,tree,two,walk,water,we,what,white,who,woman,yellow,you
AGTA,iyok,NA,NA,NA,NA,NA,NA,dogo,tulaN,susu,NA,NA,NA,NA,NA,otu,uminum,NA,boNboN,NA,NA,NA,moto,NA,opuy,ikan,NA,NA,NA,moponnu,NA,NA,NA,NA,komot,NA,modoNog,NA,NA,NA,tud,NA,don,NA,ogol,NA,kutu,NA,NA,bogetoy,NA,Nogan,NA,bagu,hiklom,iguN,NA,tatakdoy,dolan,toloy,NA,NA,NA,NA,NA,mo7ito,NA,tobbit,NA,NA,NA,NA,bitwon,botu,NA,NA,NA,NA,NA,hilo,Nipon,koyu,duwo,NA,donum,ikitam,NA,NA,NA,NA,NA,iko
AKLANON,aku,NA,NA,NA,NA,NA,NA,dugu7,tu7an,susu,NA,NA,NA,abut,matay,ayam,inum,NA,duxuNg~an,NA,NA,NA,mata,NA,kaxayu,isda7,NA,NA,NA,NA,NA,NA,NA,NA,alimah,NA,nakabati7,NA,NA,NA,NA,NA,dahun,NA,atay,NA,kutuh,NA,NA,NA,NA,Naxan,NA,bag7~uh,gabi7ih,iluN,NA,isaxah,daxan,tawuh,NA,NA,NA,NA,NA,kita7,NA,panit,NA,NA,NA,NA,bitu7un,batu,NA,NA,NA,NA,NA,dila7,Nipun,NA,dawah,NA,tubi7,kitah,NA,NA,NA,NA,NA,ikaw
ARTA,tan,NA,NA,NA,NA,NA,NA,NA,sagnit,NA,NA,NA,NA,NA,mapatid,lapul,matim,NA,NA,NA,NA,NA,NA,NA,dut,NA,NA,NA,NA,minapano,NA,NA,NA,NA,NA,NA,atiNen,NA,NA,NA,NA,NA,don,NA,dalem,NA,utu,NA,NA,bukid,NA,Nadin,NA,buru,biNuet,aduN,NA,sipaN,didiman,agani,NA,NA,NA,NA,NA,ita,NA,gadaN,NA,NA,NA,NA,NA,karagatan,laNit,NA,NA,NA,NA,NA,NA,ayu,talip,NA,wagat,me7aduami,NA,NA,NA,NA,NA,taw
ATTA PAMPLONA,sikan,NA,NA,NA,NA,NA,NA,daga,tulaN,gata7,NA,NA,NA,NA,NA,itu,amminum,NA,taliNa,NA,NA,NA,mata,NA,api,sira,NA,NA,NA,napannu,NA,NA,NA,NA,lima,NA,maginna,NA,NA,NA,duluN,NA,don,NA,agal,NA,kutu,NA,NA,puddul,NA,Nagan,NA,bagu,gabi,iguN,NA,tadday,dalan,tolay,NA,NA,NA,NA,NA,masiNan,NA,tabbi7,NA,NA,NA,NA,bituan,batu,NA,NA,NA,NA,NA,jila,Nipan,kayu,dua,NA,danum,sittam,NA,NA,NA,NA,NA,sikaw
BAJAU WEST COAST,aku,NA,NA,NA,NA,NA,NA,la7,bokog,susu,NA,NA,NA,NA,matay,uwa7,inum,NA,NA,NA,NA,NA,moto,NA,api,diN,NA,NA,NA,NA,NA,NA,NA,NA,taNan,NA,kale,tanduk,NA,NA,NA,NA,NA,NA,atay,NA,NA,NA,NA,gunuN,NA,oron,NA,NA,soNom,uruN,NA,isa7,lan,jomo,NA,NA,NA,NA,NA,Nenda7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,impon,pon,duo,NA,buwe7,kiti,NA,NA,NA,NA,NA,kau
BALANGAW,ha7on,NA,NA,NA,NA,NA,NA,dala,toNal,soso,NA,NA,NA,NA,NA,aho,inum,NA,iNo,NA,NA,NA,mata,NA,apoy,g3diw,NA,NA,NA,napno,NA,NA,NA,NA,limo,NA,doNal,NA,NA,NA,goNo,NA,tubu,NA,agtoy,NA,oto,NA,NA,bilig,NA,Nadon,NA,ka77amma,labi,aNal,NA,3ho,dalan,tatagu,NA,NA,NA,NA,NA,ilo,NA,uglet,NA,NA,NA,NA,talaw,boto,NA,NA,NA,NA,NA,dilo,bub7o,awoy,duwo,NA,d3num,ditaw,NA,NA,NA,NA,NA,he7a
BALANGINGI SAMA,aku,NA,NA,NA,NA,NA,NA,laha7,bokog,dudu7,NA,NA,NA,paitu,patay,edo,inum,NA,taiNa,NA,NA,NA,mata,NA,api,daiN,NA,NA,NA,ponno7,NA,NA,NA,NA,taNan,NA,kale,tand~uk,NA,NA,tu7ut,NA,dahun,NA,atay,NA,kutu,NA,NA,bullud,NA,on,NA,baha7u,saNom,uN,NA,isa,lan,a7a,NA,NA,NA,NA,NA,and~a7,NA,kuwit,NA,NA,NA,NA,bitu7un,batu,allaw,NA,NA,NA,NA,della7,emp~on,kayu,duwa,NA,bohe7,kitabi,NA,NA,NA,NA,NA,ka7a
BANTON BANTOANON,ako,NA,NA,NA,NA,NA,NA,rogoq,suka,susu,NA,NA,NA,NA,NA,iroq,NA,NA,taliNa,NA,NA,NA,mata,NA,kayado,israq,NA,NA,NA,NA,NA,NA,NA,NA,damut,NA,NA,NA,NA,NA,NA,NA,rahon,NA,atay,NA,kuto,NA,NA,NA,NA,Nayan,NA,bagqo,gabqe,iloN,NA,usa,NA,tawo,NA,NA,NA,NA,NA,NA,NA,anit,NA,NA,NA,NA,bituqon,bEtu,NA,NA,NA,NA,NA,rilaq,Nisih,NA,ruha,NA,tubiq,kita,NA,NA,NA,NA,NA,ikaw
BASQUE,nik,guztiz,hauc,haundi,Cori,hozka,belc,odol,hezur,diti,erre,hodei,odolgabe,etorri,hil,zakur,edan,lehor,belarri,lurbira,yanari,arraulca,begi,luma,su,arrain,haragi,hegan,oin,beterik,on,gancu,orlegi,ile,esku,buru,encun,adar,bero,hilarazi,belaun,yakin,hosto,ecan,gibel,luze,zorri,gizon,ilargi,mendi,aho,izen,lepo,berri,gau,sudur,ez,bat,basabide,gizaki,euri,gorri,erreboil,hondar,esan,ikusi,yarri,azal,lo,Ciki,pipaldi,zutik,izar,harri,eguzki,igerika,buztan,hori,hauSe,mihi,horc,zuhaic,bi,ibili,ur,gu,zer,zuri,nork,andre,hori,zuek
BATAK PALAWAN,aku,NA,NA,NA,NA,NA,NA,tag3k,tu7laN,dudu,NA,NA,NA,NA,NA,k37d3N,inum,NA,taliNa,NA,NA,NA,mata,NA,apuy,s3da7,NA,NA,NA,p3gp3g,NA,NA,NA,NA,alima,NA,bati7,NA,NA,NA,tuud,NA,daun,NA,atay,NA,kutu,NA,NA,bulud,NA,Naran,NA,ba7gu,d3l3m,uruN,NA,3sa,dalan,taw,NA,NA,NA,NA,NA,l37gan,NA,kulit,NA,NA,NA,NA,panakunun,batu,NA,NA,NA,NA,NA,dila7,nip3n,kayu,dua,NA,danum,kitami,NA,NA,NA,NA,NA,ikaw
