concept,AGTA,AKLANON,ARTA,ATTA PAMPLONA,BAJAU WEST COAST,BALANGAW,BALANGINGI SAMA,BANTON BANTOANON,BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BONGGI,BONTOC GUINAANG,BUHI,BUKIDNON BINUKID,BUTUANON,CAIJIA,CEBUANO,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ITAWIT,ITNEG BINONGAN,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAMANWA,MANIDE,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MONGOLIAN,MORO MAGINDANAU,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TAUSUG,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,UMIRAY DUMAGET AGTA,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,CAPIZNON,FINALLIG,HILIGAYNON,INABAKNON,KALAGAN KAAGAN,KANKANAEY,MANDAYAN BOSO,MANDAYAN ISLAM PISO,SINAUNA,SOUTHERN KALINGA
I,iyok,aku,tan,sikan,aku,ha7on,aku,ako,nik,aku,agu,agu,ou,sak73n,qaku,yan7a,ako,Nuo,ako,ako,ako,qaku,sak3n,hikan,Ei,narin,mina,%minE,Nuai,ikkanak,aku,yan7a,en,so7,aku,ha77on,ha77in,ha77en,siak,si7ak,si7kak,aku,qaku,iya7,yEkEn,diyak3n,wataSi,zou,a,aku,sa7on,sakon,hi7gak,sak7in,aku,ako,na,qaku,qaku,minama,ha7o,haku,sikanak,si7ak,si7ak3n,ak3n,si7ak,si7ak,si7ak,aku,aku,ako,ako,sakon,mon,aku,py~i,aku,qaku,qaku,qaku,aku,siak,aku,7aku,aku,7aku,aku,hiko,ia7,a,aku,ak,man3,qaku,qaku,ako,yo,akon,inan,ako,a,o7uh,ako,aku,yuu,akuh,aku,begen,ben,an,ako,ako,aku,ku,yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
all,NA,NA,NA,NA,NA,NA,NA,NA,guztiz,NA,NA,NA,NA,NA,NA,alan,NA,NA,NA,NA,NA,NA,NA,NA,ol,NA,koik,kaikki,NA,NA,tanan,alan,mind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subete,NA,NA,NA,NA,NA,NA,NA,laganus,NA,modun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sy~emby~e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tai taN,NA,NA,NA,NA,NA,NA,todos,NA,NA,NA,NA,NA,lahat,NA,NA,NA,NA,NA,bitin,NA,NA,NA,NA,NA,NA,akano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ash,NA,NA,NA,NA,NA,NA,NA,NA,hauc,NA,NA,NA,NA,NA,NA,abu,NA,NA,NA,NA,NA,NA,NA,NA,ES,NA,tuk,tuhka,NA,NA,ayum,abu,hamu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hai,NA,NA,NA,NA,NA,NA,NA,abu,NA,CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kulu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,koja,NA,NA,NA,NA,NA,NA,senisa,NA,NA,NA,NA,NA,abo,NA,NA,NA,NA,NA,kil,NA,NA,NA,NA,NA,NA,avo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
big,NA,NA,NA,NA,NA,NA,NA,NA,haundi,NA,NA,NA,NA,NA,NA,aragi,NA,NA,NA,NA,NA,NA,NA,NA,big,NA,sur,iso,NA,NA,dada,aragi,nagy~,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,okina,NA,NA,NA,NA,NA,NA,NA,maragul,NA,kun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ocy~u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kan,NA,NA,NA,NA,NA,NA,grande,NA,NA,NA,NA,NA,malaki,NA,NA,NA,NA,NA,biyik,NA,NA,NA,NA,NA,NA,rako,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bird,NA,NA,NA,NA,NA,NA,NA,NA,Cori,NA,NA,NA,NA,NA,NA,tagbis,NA,NA,NA,NA,NA,NA,NA,NA,b3rd,NA,lind,lintu,NA,NA,manuk,tagbis,madar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tori,NA,NA,NA,NA,NA,NA,NA,ayup,NA,sE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,narmo5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cem,NA,NA,NA,NA,NA,NA,ave,NA,NA,NA,NA,NA,ibon,NA,NA,NA,NA,NA,kuS,NA,NA,NA,NA,NA,NA,miasasalap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bite,NA,NA,NA,NA,NA,NA,NA,NA,hozka,NA,NA,NA,NA,NA,NA,kagat,NA,NA,NA,NA,NA,NA,NA,NA,bEit,NA,hammusta,pure,NA,NA,kagat,kagat,harap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kamu,NA,NA,NA,NA,NA,NA,NA,ket,NA,mul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,suskoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ren,NA,NA,NA,NA,NA,NA,morde,NA,NA,NA,NA,NA,kagat,NA,NA,NA,NA,NA,3s3rma,NA,NA,NA,NA,NA,NA,soNit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
black,NA,NA,NA,NA,NA,NA,NA,NA,belc,NA,NA,NA,NA,NA,NA,maitum,NA,NA,NA,NA,NA,NA,NA,NA,blEk,NA,must,musta,NA,NA,agiwan,maitum,fekete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kuroi,NA,NA,NA,NA,NA,NA,NA,matuliN,NA,komun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ravZa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,praN,NA,NA,NA,NA,NA,NA,negro,NA,NA,NA,NA,NA,itim,NA,NA,NA,NA,NA,siyah,NA,NA,NA,NA,NA,NA,vaeN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blood,dogo,dugu7,NA,daga,la7,dala,laha7,rogoq,odol,tag3k,lit37,lit37,rah,dala,ruguq,laN3sa,dugo,ch~r,dugu7,tahik,dugo7,duguq,dige7,digi7,bl3d,alw~atis,veri,veri,haik,ada,dugu7,laN3sa,ver,daga,nd~a7,dala,dala,dala,dara,matg3 m,Cala,rugu7,ruguq,daga,dEhE,dala,Ci,za,l3N3sa,dugu7,dala,dala,dala,basa,daya7,dugo,pi,duguq,ruguq,ver,dogo7,digi7,laNosa,laN3sa,l3N3sa,d3panug,dipanog,laN3sa,l3N3sa,dugu7,laha7,rogo7,dugo,da8a,vy~er,daha7,ch~us,NA,duguq,duguq,ruguq,tag3k,dala,laha7,dugu7,dugu7,dugu7,laha7,daya7,dara,moheam,laha7,dogo,v3r3,duguq,duguq,dugo7,sangre,dugu7,dugu7,dugo7,dipanug,lito7,dugo,dugu7,dugu7,dugu7,dada7,dara,kan,dm,sagu,dugo,laha7,daga,sa*Nre,rala,raya,dra,dugo,Cara,dugo7,laha7,dugu7,dada,dugu7,dugu7,dugu7,Cara
bone,tulaN,tu7an,sagnit,tulaN,bokog,toNal,bokog,suka,hezur,tu7laN,tulon,tulan,tulagn~,toN7al,tuqwaN,tul7an,bukog,kuituo,bukug,duhi,tulan,tuqlaN,tulaN,tulaN,bon,giro,kont,luu,kouk,tulaN,but7ul,tul7an,Cont,tulaN,tulaN,tuNal,toNal,tuNal,tulaN,tu7laN,pok3l,tulan,tulaN,tulaN,tulEN,tol7aN,hone,tuhaN,b3k3g,pisa7,tuN7al,tul7~aN,pukil,iNit,binyas,tul7~an,by~o,tuqlaN,tulaN,lyu,b3k3g,beyon,bokog,b3k3g,tulan,tu73lan,to7lan,tul7an,tulan,p3sa7,towaN,tolan,tulaN,tuNa8,pakary~,tulaN,yas,tulan,tuqraN,tulqaN,tuqlaN,tulaN,pokel,bokog,tu7laN,tu7laN,tuy7an,koa7,bot7o,duri,koSiaN,tolaN,tol7an,moaro3,tulqaN,tulqaN,tulaN,weso,tulan,tolan,bukog,tulan,ti7ol,buto,tu7laN,duli7,bukug,tulaN,bukal,kemik,X8X~m,kaksan,tulan,tolaN,tulaN,weso,totowang,tohaN,panah,tul,ikor,tulan,ta7ulaN,p3sa7,toNa,p3sa7,pusa7,but7i,Culi
breast,susu,susu,NA,gata7,susu,soso,dudu7,susu,diti,dudu,tutu7,tutu7,dudu,soso,susu,NA,dugh~an,mi,dugh~an,tuto,it3n,susu,gisat,gisat,brEst,palda,rind,%rinta,neiN,gatat,susu,NA,mel,susu,tusu,palagpag,huhu,palagpag,suso,tutu,soso,susu,susu,gatat,susu,soso,mune,susu,susu,susu,susu,susu,huhu,soso,susu,NA,kasum,susu,susu,rinda,soso,NA,susu,dudu7,susu,susu,soso,susu,susu,aba,dakan,soso,suso,NA,poty~a,dudu7,mem,susu,susu,susu,susu,dudu,suso,dagh~a,NA,NA,susu,dudu7,nono7,susu,tou,susu,soso,5amah,susu,susu,dudo7,peCo,dudu7,dudu7,suso,susu,tutu7,susu,dudu7,susu7,duru7,titi7,tutu7,g3Gis,8d,gusok,dughan,susu,sussu,teta,soso,soso,susu,dugh~an,susu,suso,darakan,susu,soso,susu,susu,susu,susu
