concept,AGTA,AKLANON,ATTA PAMPLONA,BALANGAW,BALANGINGI SAMA,BALANGINGI SAMA (1),BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BINUKID,BONGGI,BONTOC GUINAANG,BROOKES POINT PALAWAN,BUHI,BUHINON ALBAY BICOLANO,BUKIDNON BINUKID,BUTUANON,CAIJIA,CANIPAAN PALAWAN,CASIGURAN NEGRITO,CEBUANO,CENTRAL BICOLANO,CENTRAL BONTOC,CENTRAL DUSUN,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBALOI,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ISNEG,ITAWIT,ITBAYATEN BATANES ISLANDS,ITNEG BINONGAN,IVATAN BATANES ISLANDS,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KALLAHAN KELEYQIQ IFUGAO,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAGUINDANAO,MAMANWA,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MARINDUQUE TAGALOG,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MOLBOG 2,MONGOLIAN,MORO MAGINDANAU,NAGA,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PANGUTARAN SAMA (1),PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 1,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANUA ABORLAN,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TALAANDIG BINUKID,TAMBUNAN DUSUN,TAUSUG,TAUT BATU,TBOLI TAGABILI,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,FINALLIG,HILIGAYNON,INABAKNON,IRARALAY IVATAN,ISAMORONG IVATAN,IVASAY IVATAN,KANKANAEY,LIMOS KALINGA,MANDAYAN BOSO,MANDAYAN CARAGA,MANDAYAN ISLAM PISO,MANSAKA 2,PROTO SOUTHERN MINDANAO,SINAUNA,SOUTHERN KALINGA
I,iyok,aku,sikan,ha7on,aku,aku,nik,aku,agu,agu,si7ak,ou,sak73n,aku,qaku,ako,yan7a,ako,Nuo,aku,sak3n,ako,ako,sak7~3n,ioho,ako,ako,qaku,sak3n,hikan,Ei,narin,mina,%minE,Nuai,ikkanak,aku,yan7a,en,sih7~kak,so7,aku,ha77on,ha77in,ha77en,siak,si7ak,si7kak,aku,qaku,iya7,iya7,yEkEn,yak3n,diyak3n,yak3n,wataSi,zou,a,aku,sa7on,sakon,hi7gak,hi7gak,sak7in,aku,ako,na,qaku,qaku,minama,Eku,ha7o,sikanak,si7ak,si7ak3n,ak3n,si7ak,si7ak,si7ak,aku,aku,ako,qaku,ako,sakon,mon,aku,aku,py~i,aku,qaku,qaku,qaku,qaku,aku,siak,aku,aku,7aku,aku,Eko,7aku,aku,hiko,ia7,ia7,a,aku,ak,man3,qaku,qaku,ako,yo,akon,inan,ako,a,o7uh,ako,7aku,aku,yuu,yan7a,yoku,akuh,aku,nu7 s3h,aku,begen,ben,an,ako,aku,ku,yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blood,dogo,dugu7,daga,dala,laha7,laha7,odol,tag3k,lit37,lit37,lang3sa,rah,dala,dugu7,ruguq,rogo7,laN3sa,dugo,ch~r,dugu7,digi,dugu7,dugo7,dala,raha7,tahik,dugo7,duguq,dige7,digi7,bl3d,alw~atis,veri,veri,haik,ada,dugu7,laN3sa,ver,shala,daga,nd~a7,dala,dala,dala,dara,matg3 m,Cala,rugu7,ruguq,daga,daga,dEhE,raya7,dala,raya7,Ci,za,l3N3sa,dugu7,dala,dala,dala,kuheyaw,basa,daya7,dugo,pi,duguq,ruguq,ver,lugu,dogo7,laNosa,laN3sa,l3N3sa,d3panug,dipanog,laN3sa,l3N3sa,dugu7,laha7,rogo7,duguq,dugo,da8a,vy~er,daha7,NA,ch~us,NA,duguq,duguq,duguq,ruguq,tag3k,dala,laha7,laha7,dugu7,dugu7,dugo,dugu7,laha7,daya7,dara,dara,moheam,laha7,dogo,v3r3,duguq,duguq,dugo7,sangre,dugu7,dugu7,dugo7,dipanug,lito7,dugo,dugu7,dugu7,dugu7,laN3sa,raha,dugu7,dugu7,lito7,dada7,dara,kan,dm,dugo,laha7,daga,sa*Nre,rala,raya,dra,Cara,dugo7,laha7,rala,raya,raya,dada,dala,dugu7,dugu7,dugu7,dugu7,lita7,dugu7,Cara
bone,tulaN,tu7an,tulaN,toNal,bokog,bokog,hezur,tu7laN,tulon,tulan,tul7an,tulagn~,toN7al,tulaN,tuqwaN,to7waN,tul7an,bukog,kuituo,tulaN,tulaN,bukug,tulaN,tuN7~al,tulaN,duhi,tulan,tuqlaN,tulaN,tulaN,bon,giro,kont,luu,kouk,tulaN,but7ul,tul7an,Cont,pohfel,tulaN,tulaN,tuNal,toNal,tuNal,tulaN,tu7laN,pok3l,tulan,tulaN,tulaN,tulaN,tulEN,tu7gaN,tol7aN,to7haN,hone,tuhaN,b3k3g,pisa7,tuN7al,tul7~aN,pukil,tu7Nal,iNit,binyas,tul7~an,by~o,tuqlaN,tulaN,lyu,tulan,b3k3g,bokog,b3k3g,tulan,tu73lan,to7lan,tul7an,tulan,p3sa7,towaN,tolan,butqu,tulaN,tuNa8,pakary~,tulaN,tu7laN,yas,tulan,tuqlaN,tuqraN,tulqaN,tuqlaN,tulaN,pokel,bokog,bokog,tu7laN,tu7laN,tuy7an,tuy7an,koa7,bot7o,duri,duri,koSiaN,tolaN,tol7an,moaro3,tulqaN,tulqaN,tulaN,weso,tulan,tolan,bukog,tulan,ti7ol,buto,tu7laN,tu7laN,duli7,tul7an,tulang,bukug,tu7laN,ti7ol,tulaN,bukal,kemik,X8X~m,tulan,tolaN,tulaN,weso,totowang,tohaN,panah,ikor,tulan,ta7ulaN,totowaN,tohaN,tohaN,toNa,duli,p3sa7,pusa7,pusa7,p3sa7,tulan,but7i,Culi
breast,susu,susu,gata7,soso,dudu7,dudu7,diti,dudu,tutu7,tutu7,susu,dudu,soso,NA,susu,soso,NA,dugh~an,mi,NA,gisap,dugh~an,susu,susu,susu,tuto,it3n,susu,gisat,gisat,brEst,palda,rind,%rinta,neiN,gatat,susu,NA,mel,soso,susu,tusu,palagpag,huhu,palagpag,suso,tutu,soso,susu,susu,gatat,gatat,susu,rahdah,soso,soso7,mune,susu,susu,susu,susu,susu,huhu,huhu7,soso,susu,NA,kasum,susu,susu,rinda,susu,soso,susu,dudu7,susu,susu,soso,susu,susu,aba,dakan,soso,susu,suso,NA,poty~a,dudu7,NA,mem,susu,susu,susu,susu,susu,dudu,suso,dagh~a,dagh~a,NA,NA,soso,susu,dudu7,nono7,susu,susu,tou,susu,soso,5amah,susu,susu,dudo7,peCo,dudu7,dudu7,suso,susu,tutu7,susu,NA,dudu7,susu7,NA,susu,duru7,NA,tutu7,titi7,tutu7,g3Gis,8d,dughan,susu,sussu,teta,soso,soso,susu,susu,suso,darakan,soso,soso,soso,soso,susu,susu,susu,susu,susu,tutu7,susu,susu
come,NA,abut,NA,NA,paitu,paitu,etorri,NA,NA,NA,NA,miataN,NA,NA,qabut,NA,dini,kansani,xu,NA,NA,anh~i,abot,ali,rikot,NA,NA,qabut,NA,umaNay,k3m,lari,tule,tule,li,NA,balik,dini,jin,kala,umarani,mosob,NA,NA,NA,umay,NA,NA,miakauma,qabut,umb~et,NA,umEN,NA,NA,NA,ku,mikot,iliN,NA,NA,datoN,NA,NA,NA,dataN,NA,oda,qabut,qabut,tulda,aNay,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitu,danon,NA,magdayo,umali,sams,kuan,NA,iri,sia,qabut,qabut,qabut,ratiN,mu7atkaka7ini,laka,"t""ka","t""ka",NA,NA,NA,7abut,NA,NA,NA,NA,NA,pitu,hindon,boet3,qabut,qabut,ato7,veni,NA,NA,dali7,sadun,NA,datiN,NA,NA,NA,dini,rumikot,NA,NA,mogow,datoN,aNey,gel,atw,kanhi,pitu,NA,be*i,mayi,ay,temuloi,omali,kadto,da7ito,may,may,maNay,omali,dumatoN,NA,NA,NA,NA,NA,NA,CumatoN
die,NA,matay,NA,NA,patay,patay,hil,NA,NA,NA,NA,mati,NA,pat3y,giraqan,g3ra7an,minatay,patay,sr,pat3y,mate,matay,pakagadan,mat3y,patai,patay,NA,giran,NA,malugulug,dEi,modowati,sure,kuole,8i,NA,matay,minatay,hal,metey,matay,matay,NA,NA,NA,matay,NA,NA,miatai,giraqan,natay,NA,metEy,NA,NA,NA,Sinu,matai,patay,NA,NA,natoy,NA,NA,NA,mate,napatay,Cuk,gadan,goran,kuolyo,matay,NA,NA,NA,NA,NA,NA,NA,NA,NA,imuwa,matay,mamatay,mamatay,natoy,kuloms,patoy,pat3y,NA,matay,gadan,daqan,matay,giran,napatay,unpatey,matay,matay,patay,pat3y,NA,bugtu7,NA,NA,pate,NA,hla,matey,tigbak,yaem3,gadan,matay,patey,mori,NA,NA,patay,mate,NA,patay,patay,NA,NA,minatay,napatai,NA,pat3y,d3N matay,patoy,fandus,zar,mt,matay,matey,bayandag,mori,zakat,diman,matai,matoy,patay,matay,zakat,diman,diman,matey,matoy,NA,NA,NA,NA,mat3y,NA,matoy
dog,otu,ayam,itu,aho,edo,edo,zakur,k37d3N,ay3m,ay3m,asu,asu,aso,id3N,qayam,ayam,asu,gady~a,kh~ui,id3N,aso,iro7,ayam,asu,tasu,kiriN,ty~u7,qayam,aso7,asu7,dag,plodo,koer,koira,kh~eiN,atu,idu7,asu,kuTa,aso,kitu,asu,kahu,kahu,kahu,aso,atu,aso,asu,qayam,atu,atu,Etu,titu7,aso,cito7,inu,tasu,ayam,idu7,asu,asu,ahhu,ahhu7,aso,asu,ayam,kE,qayam,qayam,pin,asu,ido7,asu,idu7,asu,tuyaN,toyaN,asu,asu,idu7,ido7,aso,qasu,aso,asu,pi5e,idoN,id3N,murtux,asu,qayam,qayam,qayam,qayam,k3d3N,aso,ero7,ero7,7id3N,NA,ayam,7ayam,edo7,aho7,NA,asu,Co,ero7,ayam,b3e53,qayam,qayam,ideN,pero,gayam,gitu7,ido,asu,ohuh,aso,k3gd3N,k37d3N,kiru7,aso,tasu,qiru7,7ideN,ohuh,uku7,itu7,k3pek,klb,ayam,asu,atu,%iru,agsa,Cito,asu,aso,idu,ido7,agsa,Tito,Cito,aso,asu,idu7,idu7,idu7,idu7,ay3m,asu,asu
drink,uminum,inum,amminum,inum,inum,inum,edan,inum,inum,minum,inum,eNinum,inom,minum,qinum,inom,inum,moinum,an,minum,uminum,inum,inum,inum,inum,inim,inom,qinum,uminom,magroNroN,driNk,ojirim,jo,juo,ch~iok,minum,uminum,inum,in,inom,uminum,minum,uminum,inum,uminum,inom,inum,inom,inem,qinum,inum,uminum,inum,uminum,ominom,ominom,nomu,inumon,in3m,in3m,uminum,inum,man7innum,inum,ominom,inum,inom,masi,qinum,qinum,juodyo,inum,in3m,inum,in3m,inum,in3m,inom,inum,inum,in3m,inum,inom,qinum,maginom,uminum,sy~imoms,inum,minum,untLa,inum,qinum,qinum,qinum,qinum,inum,inom,inum,inum,7inum,minum,pag7inum,inum,inum,minom,inuN,maNinuN,ou,inum,i7inom,%yowk3,qinum,qinum,inom,bebe,minum,minum,inom,inam,minum,inom,7inum,inum,in3m,in3m,monginum,mag7inum,7inum,minum,inum,inem,iCki,Sty,inom,inum,inum,toma,inom,inom,inum,omenom,ilimnon,tal7~ok,inom,inom,inom,maninom,uminum,imin3m,minum,inim,in3m,inum,inum,uminum
ear,boNboN,duxuNg~an,taliNa,iNo,taiNa,taiNa,belarri,taliNa,kliN3,kliN3,taliNa,NA,kol3N,t3liNa,taliNa,taliNa,taliNa,taliNa,nikh~a,taliNa,taleNa,daluNg~an,taliNa,kul3N,toliNo,taliNa,taliNa,taliNa,taliNa7,taliNa,ir,klabara,korv,korva,Nai,layag,tuli,taliNa,fil,taNida,taliNa,toliNo,iNa,iNa,iNa,lapayag,taliNa,tangida,taNila,taliNa,taliNa,taliNa,dErENgEN,tilwan,iNa,tadiny~a7,mimi,tohiNo,taliNa,taliNa,iNa,iNa,Nila,taNila7,iNa,balugbug,taliNa,kw~i,taliNa,taliNa,kuora,taNila,taliNa,taliNa,taliNa,t3liNa,t3liNa,toliNa,taliNa,t3liNa,tariNa,tiNa,taNila,tayNa,taliNa,iNa,pily~e,toliNa,t3liNa,Ch~ix,taNila,taliNa,tariNa,taliNa,taliNa,taliNa,layag,taiNa,taiNa,taliNa,t3liNa,taliNa,taliNa,taliNa,toli,NA,tuli,tuan,teyNa,talinga,bieLi3,tariNa,taliNa,teliNa,oreha,toliNa,t3liNa,taliNa,NA,kliNuh,teNa,taliNa,taliNa,taliNa7,taliNa,tolingo,taiNah,taliNa,kliNuh,taliNo,keliNo7,kulak,udn,taliNa,tayiNe,bambaN,orehas,taliNa,taji5a,teliNo,inga,duluNg~an,taliNa,taliNa,tadi5a,tadi5a,keweN,inga,taliNa,taliNa,taliNa,taliNa,kilNu,taliNa,iyanga
eye,moto,mata,mata,mata,mata,mata,begi,mata,mato,mata,mata,mata,mata,mata,mata,mata,mata,mata,nicr,mata,mata,mata,mata,mata,mato,mata,mata7,mata,mata7,mata7,Ei,sim,silm,silmE,meikciu,mata,mata,mata,sem,mata,mata,mato,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mEtE,mata7,ata,mata7,me,mato,mata,mata,ata,ata,mata,mata7,mata,mata,mata,nun,mata,mata,NA,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,ata,sy~ely~my~e,mata,mata,nut,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,ma,mata,mata,Cy~elmi3,mata,mata,mata,oho,mata,mata,mata,mata,matah,mata,mata,mata,mata7,mata,mato,matah,mata,matah,mato,moto,delik,Xn,mata,mata,mata,oho,mata,mata,mato,mata,mata,mata,mata,mata,mata,mata,ata,mata,mata,mata,mata,mata,buliga7,ata
