language,I,blood,bone,breast,come,die,dog,drink,ear,eye,fire,fish,full,hand,hear,horn,knee,leaf,liver,louse,mountain,name,new,night,nose,one,path,person,see,skin,star,stone,sun,tongue,tooth,tree,two,water,we,you
AGTA,iyok,dogo,tulaN,susu,NA,NA,otu,uminum,boNboN,moto,opuy,ikan,moponnu,komot,modoNog,NA,tud,don,ogol,kutu,bogetoy,Nogan,bagu,hiklom,iguN,tatakdoy,dolan,toloy,mo7ito,tobbit,bitwon,botu,NA,hilo,Nipon,koyu,duwo,donum,ikitam,iko
AKLANON,aku,dugu7,tu7an,susu,abut,matay,ayam,inum,duxuNg~an,mata,kaxayu,isda7,NA,alimah,nakabati7,NA,NA,dahun,atay,kutuh,NA,Naxan,bag7~uh,gabi7ih,iluN,isaxah,daxan,tawuh,kita7,panit,bitu7un,batu,NA,dila7,Nipun,NA,dawah,tubi7,kitah,ikaw
ATTA PAMPLONA,sikan,daga,tulaN,gata7,NA,NA,itu,amminum,taliNa,mata,api,sira,napannu,lima,maginna,NA,duluN,don,agal,kutu,puddul,Nagan,bagu,gabi,iguN,tadday,dalan,tolay,masiNan,tabbi7,bituan,batu,NA,jila,Nipan,kayu,dua,danum,sittam,sikaw
BALANGAW,ha7on,dala,toNal,soso,NA,NA,aho,inum,iNo,mata,apoy,g3diw,napno,limo,doNal,NA,goNo,tubu,agtoy,oto,bilig,Nadon,ka77amma,labi,aNal,3ho,dalan,tatagu,ilo,uglet,talaw,boto,NA,dilo,bub7o,awoy,duwo,d3num,ditaw,he7a
BALANGINGI SAMA,aku,laha7,bokog,dudu7,paitu,patay,edo,inum,taiNa,mata,api,daiN,ponno7,taNan,kale,tand~uk,tu7ut,dahun,atay,kutu,bullud,on,baha7u,saNom,uN,isa,lan,a7a,and~a7,kuwit,bitu7un,batu,allaw,della7,emp~on,kayu,duwa,bohe7,kitabi,ka7a
BALANGINGI SAMA (1),aku,laha7,bokog,dudu7,paitu,patay,edo,inum,taiNa,mata,api,daiN,ponno7,taNan,kale,tand~uk,tu7ut,dahun,atay,kutu,bullud,on,baha7u,saNom,uN,isa,lan,a7a,and~a7,kuwit,bitu7un,batu,allaw,della7,emp~on,kayu,duwa,bohe7,kitabi,ka7a
BASQUE,nik,odol,hezur,diti,etorri,hil,zakur,edan,belarri,begi,su,arrain,beterik,esku,encun,adar,belaun,hosto,gibel,zorri,mendi,izen,berri,gau,sudur,bat,basabide,gizaki,ikusi,azal,izar,harri,eguzki,mihi,horc,zuhaic,bi,ur,gu,zuek
BATAK PALAWAN,aku,tag3k,tu7laN,dudu,NA,NA,k37d3N,inum,taliNa,mata,apuy,s3da7,p3gp3g,alima,bati7,NA,tuud,daun,atay,kutu,bulud,Naran,ba7gu,d3l3m,uruN,3sa,dalan,taw,l37gan,kulit,panakunun,batu,NA,dila7,nip3n,kayu,dua,danum,kitami,ikaw
BILAAN KORONADAL,agu,lit37,tulon,tutu7,NA,NA,ay3m,inum,kliN3,mato,lifoh,nalaf,fno7,sigal,liN3,NA,bukal,do7on,atoy,kutu7,bulul,dagit,falami,butaN,iluN,satu,dalon,to,t373n,kulit,blotik,batu,NA,dilo7,kifan,kayu,lw3,e7el,ato,g3
BILAAN SARANGANI,agu,lit37,tulan,tutu7,NA,NA,ay3m,minum,kliN3,mata,lifo,nalaf,fno7,sigal,liN3,NA,bukal,do7on,atay,kutu,bulul,dagit,falami,butaN,iluN,satu,dalan,to,t373n,kindal,blatik,batu,NA,dila7,kifan,kayo,lw3,ye7el,ito,g3
