Grapheme	IPA	FREQUENCY	CODEPOINTS
a	a	4344	U+0061
u	u	2239	U+0075
i	i	2153	U+0069
t	t	1650	U+0074
n	n	1392	U+006e
o	o	1362	U+006f
l	l	1127	U+006c
k	k	1096	U+006b
d	d	1042	U+0064
m	m	906	U+006d
b	b	806	U+0062
ʔ	ʔ	745	U+0294
ŋ	ŋ	701	U+014b
s	s	701	U+0073
j	j	636	U+006a
e	e	625	U+0065
g	g	622	U+0067
p	p	483	U+0070
r	r	482	U+0072
ə	ə	386	U+0259
h	h	341	U+0068
w	w	333	U+0077
E	æ	95	U+0045
v	v	83	U+0076
C	c	71	U+0043
z	z	62	U+007a
S	s	60	U+0053
f	f	59	U+0066
dʒ	dʒ	41	U+0064 U+0292
_	_	39	U+005f
c	c	37	U+0063
8	NULL	24	U+0038
ms	ms	19	U+006d U+0073
uu	uu	18	U+0075 U+0075
x	x	16	U+0078
5	NULL	16	U+0035
ll	ll	15	U+006c U+006c
ks	ks	12	U+006b U+0073
ʔʔ	NULL	11	U+0294 U+0294
rr	rr	11	U+0072 U+0072
*	NULL	11	U+002a
aa	aa	10	U+0061 U+0061
nn	nn	8	U+006e U+006e
tʃ	tʃ	8	U+0074 U+0283
kk	kk	8	U+006b U+006b
X	x	8	U+0058
L	l	7	U+004c
mm	mm	6	U+006d U+006d
dd	dd	6	U+0064 U+0064
tt	tt	6	U+0074 U+0074
th	th	6	U+0074 U+0068
gh	gh	5	U+0067 U+0068
kh	kh	5	U+006b U+0068
Es	es	5	U+0045 U+0073
tw	tw	4	U+0074 U+0077
lw	lw	4	U+006c U+0077
Eh	eh	4	U+0045 U+0068
ph	ph	4	U+0070 U+0068
Z	z	4	U+005a
ss	ss	4	U+0073 U+0073
kw	kw	4	U+006b U+0077
Ch	ch	4	U+0043 U+0068
G	g	4	U+0047
wh	wh	3	U+0077 U+0068
bb	bb	2	U+0062 U+0062
ʔw	ʔw	2	U+0294 U+0077
ns	ns	2	U+006e U+0073
nh	nh	2	U+006e U+0068
rw	rw	2	U+0072 U+0077
rs	rs	2	U+0072 U+0073
js	js	2	U+006a U+0073
nw	nw	2	U+006e U+0077
dw	dw	2	U+0064 U+0077
gs	gs	2	U+0067 U+0073
ps	ps	2	U+0070 U+0073
bw	bw	2	U+0062 U+0077
oo	oo	2	U+006f U+006f
ŋw	ŋw	2	U+014b U+0077
gw	gw	2	U+0067 U+0077
ii	ii	2	U+0069 U+0069
sw	sw	1	U+0073 U+0077
rh	rh	1	U+0072 U+0068
EE	ee	1	U+0045 U+0045
pp	pp	1	U+0070 U+0070
lh	lh	1	U+006c U+0068
T	t	1	U+0054
Ew	ew	1	U+0045 U+0077
hh	hh	1	U+0068 U+0068
ŋŋ	ŋŋ	1	U+014b U+014b
ŋs	ŋs	1	U+014b U+0073
hw	hw	1	U+0068 U+0077
ls	ls	1	U+006c U+0073
Xs	xs	1	U+0058 U+0073
pw	pw	1	U+0070 U+0077
ʔs	ʔs	1	U+0294 U+0073
