Grapheme	IPA	FREQUENCY	CODEPOINTS
a	a	4504	U+0061
u	u	2380	U+0075
i	i	2111	U+0069
t	t	1785	U+0074
n	n	1405	U+006e
o	o	1329	U+006f
d	d	1161	U+0064
l	l	1117	U+006c
k	k	1019	U+006b
ʔ	ʔ	904	U+0294
m	m	890	U+006d
ŋ	ŋ	820	U+014b
b	b	799	U+0062
s	s	675	U+0073
j	j	646	U+006a
g	g	601	U+0067
p	p	488	U+0070
e	e	477	U+0065
ə	ə	472	U+0259
r	r	388	U+0072
w	w	359	U+0077
h	h	334	U+0068
v	v	66	U+0076
E	æ	64	U+0045
f	f	47	U+0066
C	c	45	U+0043
S	s	36	U+0053
z	z	35	U+007a
c	c	24	U+0063
_	_	21	U+005f
dʒ	dʒ	19	U+0064 U+0292
8	NULL	19	U+0038
5	NULL	19	U+0035
x	x	16	U+0078
ll	ll	16	U+006c U+006c
uu	uu	14	U+0075 U+0075
ʔʔ	ʔʔ	11	U+0294 U+0294
*	NULL	11	U+002a
ks	ks	9	U+006b U+0073
nn	nn	8	U+006e U+006e
tʃ	tʃ	8	U+0074 U+0283
X	x	8	U+0058
dd	dd	7	U+0064 U+0064
tt	tt	7	U+0074 U+0074
ms	ms	7	U+006d U+0073
L	l	7	U+004c
rr	rr	6	U+0072 U+0072
th	th	6	U+0074 U+0068
aa	aa	6	U+0061 U+0061
mm	mm	5	U+006d U+006d
lw	lw	5	U+006c U+0077
gh	gh	5	U+0067 U+0068
kh	kh	5	U+006b U+0068
Es	es	5	U+0045 U+0073
ʃ	ʃ	5	U+0283
tw	tw	4	U+0074 U+0077
Eh	<?>	4	U+0045 U+0068
ph	ph	4	U+0070 U+0068
dw	dw	4	U+0064 U+0077
ss	ss	4	U+0073 U+0073
Ch	ch	4	U+0043 U+0068
G	g	4	U+0047
ʔw	ʔw	3	U+0294 U+0077
kk	kk	3	U+006b U+006b
gs	gs	3	U+0067 U+0073
ii	ii	3	U+0069 U+0069
ps	ps	3	U+0070 U+0073
oo	oo	3	U+006f U+006f
kw	kw	3	U+006b U+0077
bb	bb	2	U+0062 U+0062
ns	ns	2	U+006e U+0073
nh	nh	2	U+006e U+0068
rw	rw	2	U+0072 U+0077
rs	rs	2	U+0072 U+0073
js	js	2	U+006a U+0073
nw	nw	2	U+006e U+0077
T	t	2	U+0054
ʔs	ʔs	2	U+0294 U+0073
ʔh	ʔh	2	U+0294 U+0068
hh	hh	2	U+0068 U+0068
ŋw	ŋw	2	U+014b U+0077
gw	gw	2	U+0067 U+0077
rh	rh	1	U+0072 U+0068
Ew	ew	1	U+0045 U+0077
ww	ww	1	U+0077 U+0077
ŋŋ	ŋŋ	1	U+014b U+014b
ŋs	ŋs	1	U+014b U+0073
wh	wh	1	U+0077 U+0068
ls	ls	1	U+006c U+0073
Xs	xs	1	U+0058 U+0073
pw	pw	1	U+0070 U+0077
