ID	CONCEPT	DOCULECT	FORM	TOKENS
1	I	AGTA	ijok	i j o k
41	I	AKLANON	aku	a k u
81	I	ATTA PAMPLONA	sikan	s i k a n
121	I	BALANGAW	haʔon	h a ʔ o n
161	I	BALANGINGI SAMA	aku	a k u
201	I	BALANGINGI SAMA (1)	aku	a k u
241	I	BASQUE	nik	n i k
281	I	BATAK PALAWAN	aku	a k u
321	I	BILAAN KORONADAL	agu	a g u
361	I	BILAAN SARANGANI	agu	a g u
401	I	BINUKID	siʔak	s i ʔ a k
441	I	BONGGI	ou	o u
481	I	BONTOC GUINAANG	sakʔən	s a k ʔ ə n
521	I	BROOKES POINT PALAWAN	aku	a k u
561	I	BUHI	ʔaku	ʔ a k u
601	I	BUHINON ALBAY BICOLANO	ako	a k o
641	I	BUKIDNON BINUKID	janʔa	j a n ʔ a
681	I	BUTUANON	ako	a k o
721	I	CAIJIA	ŋuo	ŋ u o
761	I	CANIPAAN PALAWAN	aku	a k u
801	I	CASIGURAN NEGRITO	sakən	s a k ə n
841	I	CEBUANO	ako	a k o
881	I	CENTRAL BICOLANO	ako	a k o
921	I	CENTRAL BONTOC	sakʔən	s a k ʔ ə n
961	I	CENTRAL DUSUN	ioho	i o h o
1001	I	CENTRAL TAGBANWA	ako	a k o
1041	I	CUYONON	ako	a k o
1081	I	DARAGA	ʔaku	ʔ a k u
1121	I	DUMAGAT CASIGURAN	sakən	s a k ə n
1161	I	DUPANINGAN AGTA	hikan	h i k a n
1201	I	ENGLISH	Ei	æ i
1241	I	ESKAYAN	narin	n a r i n
1281	I	ESTONIAN	mina	m i n a
1321	I	FINNISH	minE	m i n æ
1361	I	FUZHOU CHINESE	ŋuai	ŋ u a i
1401	I	GADDANG	ikkanak	i kk a n a k
1441	I	HANUNOO	aku	a k u
1481	I	HIGAONON BINUKID	janʔa	j a n ʔ a
1521	I	HUNGARIAN	en	e n
1561	I	IBALOI	sihʔkak	s i h ʔ k a k
1601	I	IBANAG	soʔ	s o ʔ
1641	I	IDAAN	aku	a k u
1681	I	IFUGAO AMGANAD	haʔʔon	h a ʔʔ o n
1721	I	IFUGAO BATAD	haʔʔin	h a ʔʔ i n
1761	I	IFUGAO BAYNINAN	haʔʔen	h a ʔʔ e n
1801	I	ILOKANO	siak	s i a k
1841	I	ILONGOT KAKIDUGEN	siʔak	s i ʔ a k
1881	I	INIBALOI	siʔkak	s i ʔ k a k
1921	I	IRANUN	aku	a k u
1961	I	IRIGA	ʔaku	ʔ a k u
2001	I	ISNAG	ijaʔ	i j a ʔ
2041	I	ISNEG	ijaʔ	i j a ʔ
2081	I	ITAWIT	jEkEn	j æ k æ n
2121	I	ITBAYATEN BATANES ISLANDS	jakən	j a k ə n
2161	I	ITNEG BINONGAN	dijakən	d i j a k ə n
2201	I	IVATAN BATANES ISLANDS	jakən	j a k ə n
2241	I	JAPANESE	wataSi	w a t a s i
2281	I	KADAZAN	zou	z o u
2321	I	KAGAYANEN	a	a
2361	I	KALAGAN	aku	a k u
2401	I	KALINGA GUINAANG	saʔon	s a ʔ o n
2441	I	KALINGA LIMOS	sakon	s a k o n
2481	I	KALLAHAN KAYAPA PROPER	hiʔgak	h i ʔ g a k
2521	I	KALLAHAN KELEYQIQ IFUGAO	hiʔgak	h i ʔ g a k
2561	I	KANKANAY NORTHERN	sakʔin	s a k ʔ i n
2601	I	KAPAMPANGAN	aku	a k u
2641	I	KINARAY A	ako	a k o
2681	I	KOREAN	na	n a
2721	I	LEGAZPI	ʔaku	ʔ a k u
2761	I	LIBON	ʔaku	ʔ a k u
2801	I	LIVE	minama	m i n a m a
2841	I	MAGUINDANAO	Eku	æ k u
2881	I	MAMANWA	haʔo	h a ʔ o
2921	I	MANOBO ATA	sikanak	s i k a n a k
2961	I	MANOBO DIBABAWON	siʔak	s i ʔ a k
3001	I	MANOBO ILIANEN	siʔakən	s i ʔ a k ə n
3041	I	MANOBO KALAMANSIG COTABATO	akən	a k ə n
3081	I	MANOBO SARANGANI	siʔak	s i ʔ a k
3121	I	MANOBO TIGWA	siʔak	s i ʔ a k
