ID	Concept	Language	IPA
1	I	AGTA	ijok
2	blood	AGTA	dogo
3	bone	AGTA	tulaŋ
4	breast	AGTA	susu
5	come	AGTA	
6	die	AGTA	
7	dog	AGTA	otu
8	drink	AGTA	uminum
9	ear	AGTA	boŋboŋ
10	eye	AGTA	moto
11	fire	AGTA	opuj
12	fish	AGTA	ikan
13	full	AGTA	moponnu
14	hand	AGTA	komot
15	hear	AGTA	modoŋog
16	horn	AGTA	
17	knee	AGTA	tud
18	leaf	AGTA	don
19	liver	AGTA	ogol
20	louse	AGTA	kutu
21	mountain	AGTA	bogetoj
22	name	AGTA	ŋogan
23	new	AGTA	bagu
24	night	AGTA	hiklom
25	nose	AGTA	iguŋ
26	one	AGTA	tatakdoj
27	path	AGTA	dolan
28	person	AGTA	toloj
29	see	AGTA	moʔito
30	skin	AGTA	tobbit
31	star	AGTA	bitwon
32	stone	AGTA	botu
33	sun	AGTA	
34	tongue	AGTA	hilo
35	tooth	AGTA	ŋipon
36	tree	AGTA	koju
37	two	AGTA	duwo
38	water	AGTA	donum
39	we	AGTA	ikitam
40	you	AGTA	iko
41	I	AKLANON	aku
42	blood	AKLANON	duguʔ
43	bone	AKLANON	tuʔan
44	breast	AKLANON	susu
45	come	AKLANON	abut
46	die	AKLANON	mataj
47	dog	AKLANON	ajam
48	drink	AKLANON	inum
49	ear	AKLANON	duxuŋgan
50	eye	AKLANON	mata
51	fire	AKLANON	kaxaju
52	fish	AKLANON	isdaʔ
53	full	AKLANON	
54	hand	AKLANON	alimah
55	hear	AKLANON	nakabatiʔ
56	horn	AKLANON	
57	knee	AKLANON	
58	leaf	AKLANON	dahun
59	liver	AKLANON	ataj
60	louse	AKLANON	kutuh
61	mountain	AKLANON	
62	name	AKLANON	ŋaxan
63	new	AKLANON	bagʔuh
64	night	AKLANON	gabiʔih
65	nose	AKLANON	iluŋ
66	one	AKLANON	isaxah
67	path	AKLANON	daxan
68	person	AKLANON	tawuh
69	see	AKLANON	kitaʔ
70	skin	AKLANON	panit
71	star	AKLANON	bituʔun
72	stone	AKLANON	batu
73	sun	AKLANON	
74	tongue	AKLANON	dilaʔ
75	tooth	AKLANON	ŋipun
76	tree	AKLANON	
77	two	AKLANON	dawah
78	water	AKLANON	tubiʔ
79	we	AKLANON	kitah
80	you	AKLANON	ikaw
81	I	ATTA PAMPLONA	sikan
82	blood	ATTA PAMPLONA	daga
83	bone	ATTA PAMPLONA	tulaŋ
84	breast	ATTA PAMPLONA	gataʔ
85	come	ATTA PAMPLONA	
86	die	ATTA PAMPLONA	
87	dog	ATTA PAMPLONA	itu
88	drink	ATTA PAMPLONA	amminum
89	ear	ATTA PAMPLONA	taliŋa
90	eye	ATTA PAMPLONA	mata
91	fire	ATTA PAMPLONA	api
92	fish	ATTA PAMPLONA	sira
93	full	ATTA PAMPLONA	napannu
94	hand	ATTA PAMPLONA	lima
95	hear	ATTA PAMPLONA	maginna
96	horn	ATTA PAMPLONA	
97	knee	ATTA PAMPLONA	duluŋ
98	leaf	ATTA PAMPLONA	don
99	liver	ATTA PAMPLONA	agal
100	louse	ATTA PAMPLONA	kutu
101	mountain	ATTA PAMPLONA	puddul
102	name	ATTA PAMPLONA	ŋagan
103	new	ATTA PAMPLONA	bagu
