ID	Concept	Language	form
1	I	AGTA	ijok
8	blood	AGTA	dogo
9	bone	AGTA	tulaŋ
10	breast	AGTA	susu
16	dog	AGTA	otu
17	drink	AGTA	uminum
19	ear	AGTA	boŋboŋ
23	eye	AGTA	moto
25	fire	AGTA	opuj
26	fish	AGTA	ikan
30	full	AGTA	moponnu
35	hand	AGTA	komot
37	hear	AGTA	modoŋog
41	knee	AGTA	tud
43	leaf	AGTA	don
45	liver	AGTA	ogol
47	louse	AGTA	kutu
50	mountain	AGTA	bogetoj
52	name	AGTA	ŋogan
54	new	AGTA	bagu
55	night	AGTA	hiklom
56	nose	AGTA	iguŋ
58	one	AGTA	tatakdoj
59	path	AGTA	dolan
60	person	AGTA	toloj
66	see	AGTA	moʔito
68	skin	AGTA	tobbit
73	star	AGTA	bitwon
74	stone	AGTA	botu
80	tongue	AGTA	hilo
81	tooth	AGTA	ŋipon
82	tree	AGTA	koju
83	two	AGTA	duwo
85	water	AGTA	donum
86	we	AGTA	ikitam
92	you	AGTA	iko
93	I	AKLANON	aku
100	blood	AKLANON	duguʔ
101	bone	AKLANON	tuʔan
102	breast	AKLANON	susu
106	come	AKLANON	abut
107	die	AKLANON	mataj
108	dog	AKLANON	ajam
109	drink	AKLANON	inum
111	ear	AKLANON	duxuŋgan
115	eye	AKLANON	mata
117	fire	AKLANON	kaxaju
118	fish	AKLANON	isdaʔ
127	hand	AKLANON	alimah
129	hear	AKLANON	nakabatiʔ
135	leaf	AKLANON	dahun
137	liver	AKLANON	ataj
139	louse	AKLANON	kutuh
144	name	AKLANON	ŋaxan
146	new	AKLANON	bagʔuh
147	night	AKLANON	gabiʔih
148	nose	AKLANON	iluŋ
150	one	AKLANON	isaxah
151	path	AKLANON	daxan
152	person	AKLANON	tawuh
158	see	AKLANON	kitaʔ
160	skin	AKLANON	panit
165	star	AKLANON	bituʔun
166	stone	AKLANON	batu
172	tongue	AKLANON	dilaʔ
173	tooth	AKLANON	ŋipun
175	two	AKLANON	dawah
177	water	AKLANON	tubiʔ
178	we	AKLANON	kitah
184	you	AKLANON	ikaw
185	I	ARTA	tan
193	bone	ARTA	sagnit
199	die	ARTA	mapatid
200	dog	ARTA	lapul
201	drink	ARTA	matim
209	fire	ARTA	dut
214	full	ARTA	minapano
221	hear	ARTA	atiŋen
227	leaf	ARTA	don
229	liver	ARTA	dalem
231	louse	ARTA	utu
234	mountain	ARTA	bukid
236	name	ARTA	ŋadin
238	new	ARTA	buru
239	night	ARTA	biŋuet
240	nose	ARTA	aduŋ
242	one	ARTA	sipaŋ
243	path	ARTA	didiman
244	person	ARTA	agani
250	see	ARTA	ita
252	skin	ARTA	gadaŋ
258	stone	ARTA	karagatan
259	sun	ARTA	laŋit
266	tree	ARTA	aju
267	two	ARTA	talip
269	water	ARTA	wagat
270	we	ARTA	meʔaduami
276	you	ARTA	taw
277	I	ATTA PAMPLONA	sikan
284	blood	ATTA PAMPLONA	daga
285	bone	ATTA PAMPLONA	tulaŋ
286	breast	ATTA PAMPLONA	gataʔ
292	dog	ATTA PAMPLONA	itu
293	drink	ATTA PAMPLONA	amminum
295	ear	ATTA PAMPLONA	taliŋa
299	eye	ATTA PAMPLONA	mata
301	fire	ATTA PAMPLONA	api
302	fish	ATTA PAMPLONA	sira
306	full	ATTA PAMPLONA	napannu
311	hand	ATTA PAMPLONA	lima
313	hear	ATTA PAMPLONA	maginna
317	knee	ATTA PAMPLONA	duluŋ
319	leaf	ATTA PAMPLONA	don
321	liver	ATTA PAMPLONA	agal
323	louse	ATTA PAMPLONA	kutu
326	mountain	ATTA PAMPLONA	puddul
328	name	ATTA PAMPLONA	ŋagan
330	new	ATTA PAMPLONA	bagu
331	night	ATTA PAMPLONA	gabi
332	nose	ATTA PAMPLONA	iguŋ
334	one	ATTA PAMPLONA	taddaj
335	path	ATTA PAMPLONA	dalan
336	person	ATTA PAMPLONA	tolaj
342	see	ATTA PAMPLONA	masiŋan
344	skin	ATTA PAMPLONA	tabbiʔ
349	star	ATTA PAMPLONA	bituan
350	stone	ATTA PAMPLONA	batu
356	tongue	ATTA PAMPLONA	dʒila
357	tooth	ATTA PAMPLONA	ŋipan
358	tree	ATTA PAMPLONA	kaju
359	two	ATTA PAMPLONA	dua
361	water	ATTA PAMPLONA	danum
362	we	ATTA PAMPLONA	sittam
368	you	ATTA PAMPLONA	sikaw
369	I	BAJAU WEST COAST	aku
376	blood	BAJAU WEST COAST	laʔ
377	bone	BAJAU WEST COAST	bokog
378	breast	BAJAU WEST COAST	susu
383	die	BAJAU WEST COAST	mataj
384	dog	BAJAU WEST COAST	uwaʔ
385	drink	BAJAU WEST COAST	inum
