"","Itbayaten","Ivatan","Ibatan","Ilocano","Gddang","Gaddang","Ibanag","Malaweg","Itawis","Yogad","Apayao","Kalinga","Itneg","Kankanaey","Bontoc","Balangao","AyanganIfugao","TuwaliIfugao","Kalanguya","Ibaloi","Bugkalot","Pangasinan","Sambal","Bolinao","Kapampangan","Tagalog","Bicolano","MangyanBuhid","MangyanBangon","MangyanHanunuo","MangyanIraya","BinukidnonNegros","Sulodnon","Kinaray-a","Hilgaynon","Cebuano","Boholano","Waray","Tausug","Surigaonon","Cuyonon","Agutaya","Palawano","Tagbanwa","Molbog","SamaDilautTaluksangay","SamaDilautMampang","SamaDilautBonggao","SamaDeyaBonggao","SamaKabingaan","SamaBangingi","Yakan","Chavacano","Subanon","Subanen","Iranun","Meranao","Maguindanaon","Mandaya","Mansaka","Kamayo","Tagakaolo","Kalagan","Kagayanen","Cinamiguin","BukidnonTalaandig","BukidnonBinukid","BukidnonHigaonon","BukidnonManobo","BukidnonUmayamnon","BukidnonTigwahanon","BukdinonMatigsalug","DavaoMatigsalug","AtaManobo","ManoboTagabawa","OvuManuvo","ManoboAgusan","Manguangan","Dibabaon","ManoboRK","ManoboIlianen","Lambanguian","ManoboDulangan","ManoboSarangani","BagoboKlata","BlaanKoronadal","BlaanSarangani","Obo","Tboli","Teduray","Sangil","AytaAmbala","AytaMagbukon","AytaMag-indi","AytaMag-antsi","AytaSambal","AgtaDupaningan","AgtaLabin","AttaRizal","AgtaMaddela","AgtaCasiguran","Arta","AgtaDumagat","AgtaRemontado","AgtaLopez","AgtaManide","AgtaIriga","AgtaIsarog","AgtaIraya","AgtaMatnog","AgtaBulusan","AtiPanay","AtiNegros","Batak","Mamanwa"
"Itbayaten",0,58.1806486314291,245.631587290438,486.166693635422,1011.85180727916,1109.80237596507,1118.10882523233,724.80333178992,990.437296178005,1174.74538629562,936.756269770782,987.505475191524,595.885855622034,758.361985477003,791.931476895757,893.74249428877,913.316067959764,909.171362739415,881.864300902075,839.524881834291,1647.45512505489,859.018738260813,736.385687987754,639.109162314603,1107.83842670155,985.781631597428,889.209592310196,1530.09237839586,1478.08123448012,1611.31680002679,1239.00763070317,2417.89631620955,2733.88501648452,3566.79822276348,2618.6156146407,2072.55948877539,2127.52795764413,2246.87697702366,3795.68559925809,2140.0360270431,3544.51135335802,3578.16635708099,3136.22480817536,3677.77678721074,3060.08161022463,2914.35374989384,3874.23257831579,3949.92895828099,3949.92895828099,3869.30346046359,3845.47441949688,3986.40838472457,3869.30346046359,3869.30346046359,2621.31337376582,2928.31152232985,2748.31816992841,3113.01896057831,3079.80820814765,3019.04678164367,2798.3212878417,3258.86174284051,3344.67701271685,3420.10653652708,2234.80099055024,2630.20798617868,2567.2721876005,2494.99332223446,2617.06237908916,2607.15319985948,2735.23367531524,2753.69329925606,3003.1534766946,2952.41068179616,3242.71884071239,3003.1534766946,2727.07747700505,2896.82904730534,2937.51771338914,2878.2358974712,3046.7724536733,3066.8014643064,2839.30855712845,3636.41332260123,3099.08331757272,3383.07773613154,3506.59098745845,3381.49430236578,3524.03003982486,3047.09207929294,3866.30301868232,1075.63606877492,980.816981218723,1149.68831488163,1217.19493933783,759.781347720767,373.125661452588,617.712219266061,724.80333178992,1252.02172339241,1837.13377972862,1860.0724015685,1246.60168776833,1170.46328339459,1611.51213096142,1872.60437831635,1828.44659000695,1943.61733919632,1843.49831973303,1825.41568341273,1829.21465068977,2542.78256770523,2392.5658784577,3716.21285871379,2278.46796111946
"Ivatan",58.1806486314291,0,221.55327266911,462.088379014095,987.773492657834,1085.72406134374,1094.030510611,700.725017168593,966.358981556677,1150.6670716743,912.677955149455,963.427160570197,571.807541000706,734.283670855676,767.85316227443,869.664179667442,889.237753338436,885.093048118088,857.785986280748,815.446567212963,1623.37681043356,834.940423639485,712.307373366426,615.030847693275,1083.76011208022,961.7033169761,840.355151006177,1506.01406377453,1454.00291985879,1587.23848540546,1214.92931608184,2393.81800158822,2709.80670186319,3542.71990814215,2594.53730001937,2048.48117415406,2103.4496430228,2222.79866240234,3771.60728463676,2115.95771242177,3520.43303873669,3554.08804245966,3112.14649355404,3653.69847258941,3036.0032956033,2890.27543527251,3850.15426369447,3925.85064365966,3925.85064365966,3845.22514584226,3821.39610487555,3962.33007010324,3845.22514584226,3845.22514584226,2597.23505914449,2904.23320770852,2724.23985530708,3088.94064595698,3055.72989352632,2994.96846702234,2774.24297322037,3234.78342821918,3320.59869809552,3396.02822190575,2210.72267592891,2606.12967155735,2543.19387297918,2470.91500761313,2592.98406446783,2583.07488523815,2711.15536069392,2729.61498463473,2979.07516207327,2928.33236717484,3218.64052609106,2979.07516207327,2702.99916238372,2872.75073268401,2913.43939876781,2854.15758284988,3022.69413905198,3042.72314968508,2815.23024250712,3612.33500797991,3075.0050029514,3358.99942151021,3482.51267283712,3357.41598774445,3499.95172520353,3023.01376467161,3842.22470406099,1051.55775415359,956.738666597396,1125.6100002603,1193.1166247165,735.70303309944,349.04734683126,593.633904644733,700.725017168593,1227.94340877108,1813.05546510729,1835.99408694717,1222.523373147,1146.38496877327,1587.4338163401,1848.52606369502,1804.36827538563,939.438390334744,1819.42000511171,1801.33736879141,1805.13633606845,2518.7042530839,2368.48756383637,3692.13454409246,2254.38964649813
"Ibatan",245.631587290438,221.55327266911,0,351.546366958106,877.231480601844,975.182049287748,983.48849855501,590.183005112603,855.816969500688,1040.12505961831,802.135943093465,852.885148514207,461.265528944717,623.741658799686,657.31115021844,759.122167611453,778.695741282447,774.551036062098,747.243974224758,704.904555156974,1512.83479837757,724.398411583496,601.765361310437,504.488835637286,973.218100024235,851.161304920111,899.194842643349,1395.47205171854,1343.4609078028,1476.69647334947,1104.38730402585,2283.27598953223,2599.2646898072,3432.17789608616,2483.99528796338,1937.93916209807,1992.90763096681,2112.25665034635,3661.06527258077,2005.41570036578,3409.8910266807,3443.54603040367,3001.60448149805,3543.15646053343,2925.46128354731,2779.73342321652,3739.61225163848,3815.30863160367,3815.30863160367,3734.68313378627,3710.85409281956,3851.78805804726,3734.68313378627,3734.68313378627,2486.6930470885,2793.69119565253,2613.69784325109,2978.39863390099,2945.18788147033,2884.42645496635,2663.70096116438,3124.24141616319,3210.05668603953,3285.48620984976,2100.18066387292,2495.58765950136,2432.65186092319,2360.37299555714,2482.44205241184,2472.53287318216,2600.61334863793,2619.07297257874,2868.53315001728,2817.79035511885,3108.09851403507,2868.53315001728,2592.45715032773,2762.20872062802,2802.89738671182,2743.61557079389,2912.15212699599,2932.18113762909,2704.68823045113,3501.79299592392,2964.46299089541,3248.45740945422,3371.97066078113,3246.87397568846,3389.40971314754,2912.47175261562,3731.682692005,941.015742097601,846.196654541406,1015.06798820431,1082.57461266051,625.16102104345,109.960257508953,206.209996685138,590.183005112603,1117.40139671509,1702.5134530513,1725.45207489118,1111.98136109101,1035.84295671728,1476.89180428411,1737.98405163903,1693.82626332964,1808.997012519,1708.87799305572,1690.79535673542,1694.59432401246,2408.16224102791,2257.94555178038,3581.59253203647,2143.84763444214
"Ilocano",486.166693635422,462.088379014095,351.546366958106,0,608.289355665016,706.23992435092,714.546373618182,658.050720562274,586.87484456386,771.182934681479,533.193818156637,583.943023577379,192.323404007889,354.799533862858,388.369025281612,490.180042674625,509.753616345618,505.60891112527,478.30184928793,435.962430220146,1243.89267344075,206.262498830377,332.823236373608,235.546710700458,704.275975087406,582.219179983283,1532.29681629112,1126.52992678171,1074.51878286597,1207.75434841264,835.445179089023,2014.33386459541,2330.32256487037,3163.23577114933,2215.05316302655,1668.99703716124,1723.96550602998,1843.31452540952,3392.12314764394,1736.47357542895,3140.94890174387,3174.60390546684,1353.99215073196,1382.74094044271,1280.17871498258,2510.7912982797,3470.67012670165,3546.36650666685,3546.36650666685,3465.74100884945,3441.91196788274,3582.84593311043,3465.74100884945,3465.74100884945,2217.75092215167,2524.7490707157,2344.75571831426,2709.45650896416,2676.2457565335,2615.48433002952,2394.75883622755,2855.29929122636,2941.1145611027,3016.54408491293,1831.23853893609,2226.64553456453,2163.70973598636,2091.43087062031,2213.49992747501,2203.59074824533,2331.6712237011,2350.13084764192,2599.59102508045,2548.84823018202,2839.15638909825,2599.59102508045,2323.5150253909,2493.26659569119,2533.955261775,2474.67344585706,2643.21000205916,2663.23901269226,2435.7461055143,3232.85087098709,2695.52086595858,2979.5152845174,3103.0285358443,2977.93185075163,3120.46758821071,2643.52962767879,3462.74056706818,672.073617160773,577.254529604578,746.125863267485,813.632487723683,356.218896106622,479.040441120256,550.959608038415,658.050720562274,848.45927177826,1433.57132811448,1456.50994995435,843.039236154183,766.900831780449,1207.94967934728,1469.0419267022,1424.88413839281,1540.05488758217,1439.93586811889,1421.85323179859,1425.65219907563,2139.22011609109,1989.00342684355,1166.48890563144,1874.90550950531
"Gddang",1011.85180727916,987.773492657834,877.231480601844,608.289355665016,0,416.784170810926,208.169513118387,319.41853473195,220.73956148775,295.975395717135,245.563724465967,91.9943848260319,718.008517651628,284.222527732352,249.256791225889,120.796322141896,191.020974058942,301.914835643493,403.797178663139,961.647543863884,662.618306101265,981.141400290406,858.508350017347,761.231824344196,1229.96108873115,1107.90429362702,2057.98192993486,1652.21504042545,1600.20389650971,1733.43946205638,1361.13029273276,2540.01897823914,2856.00767851411,1544.77026727825,2740.73827667029,2194.68215080498,2249.65061967372,2368.99963905326,3917.80826128768,2262.15868907269,3666.63401538761,3700.28901911058,3258.34747020496,3799.89944924034,3182.20427225422,3036.47641192343,3996.35524034539,4072.05162031059,4072.05162031059,3991.42612249319,3967.59708152647,4108.53104675417,3991.42612249319,3991.42612249319,2743.43603579541,3050.43418435944,2870.440831958,3235.1416226079,3201.93087017724,3141.16944367326,2920.44394987129,3380.9844048701,3466.79967474644,3542.22919855667,2356.92365257983,2752.33064820827,2689.3948496301,2617.11598426405,2739.18504111875,2729.27586188907,2857.35633734484,2875.81596128566,3125.27613872419,3074.53334382576,3364.84150274198,3125.27613872419,2849.20013903464,3018.95170933493,3059.64037541873,3000.3585595008,3168.8951157029,3188.924126336,2961.43121915804,3758.53598463083,3221.20597960232,3505.20039816113,3628.71364948804,3503.61696439537,3646.15270185445,3169.21474132253,3988.42568071191,1197.75873080451,1102.93964324832,1271.81097691122,1339.31760136742,881.90400975036,1004.72555476399,466.88344994374,319.41853473195,455.54983983867,535.076575820015,510.718731037737,1368.72434979792,1292.58594542419,1733.63479299102,825.53206462161,1950.56925203655,994.285013642431,1965.62098176263,1947.53834544233,1951.33731271937,2664.90522973482,2514.68854048729,3838.33552074338,2400.59062314905
"Gaddang",1109.80237596507,1085.72406134374,975.182049287748,706.23992435092,416.784170810926,0,620.705341162599,1281.68640289192,1210.5105268935,272.241216532783,1156.82950048628,499.30195367728,815.959086337531,318.923610458534,310.424609111422,371.618386843685,245.975131069031,148.774225671827,126.4937309721,266.567475717136,265.185416047761,759.867159468193,637.234109195133,539.957583521983,1008.68684790893,886.630052804808,1836.70768911265,1430.94079960324,1378.9296556875,1512.16522123417,1139.85605191055,2318.74473741693,2634.7334376919,1659.97832260738,2519.46403584808,1973.40790998277,2028.37637885151,2147.72539823104,3696.53402046547,2040.88444825048,3445.3597745654,3479.01477828837,3037.07322938274,3578.62520841812,2960.93003143201,2815.20217110122,3775.08099952317,3850.77737948837,3850.77737948837,3770.15188167097,3746.32284070426,3887.25680593195,3770.15188167097,3770.15188167097,2522.1617949732,2829.15994353723,2649.16659113579,3013.86738178569,2980.65662935503,2919.89520285105,2699.16970904908,3159.71016404789,3245.52543392423,3320.95495773446,2135.64941175762,2531.05640738606,2468.12060880788,2395.84174344184,2517.91080029654,2508.00162106686,2636.08209652262,2654.54172046344,2904.00189790198,2853.25910300354,3143.56726191977,2904.00189790198,2627.92589821243,2797.67746851272,2838.36613459652,2779.08431867859,2947.62087488068,2967.64988551379,2740.15697833582,3537.26174380861,2999.9317387801,3283.92615733892,3407.43940866583,3282.34272357316,3424.87846103224,2947.94050050032,3767.1514398897,976.484489982297,881.665402426103,1050.53673608901,1118.04336054521,660.629768928147,1102.6761234499,1174.59529036806,1281.68640289192,251.36795008852,275.09084961703,263.371787942749,1147.45010897571,1071.31170460197,739.179522388755,579.903621785253,1729.29501121433,728.872517518561,856.87030516765,1726.26410462011,1730.06307189715,2443.63098891261,2293.41429966508,1560.04100316071,2179.31638232684
"Ibanag",1118.10882523233,1094.030510611,983.48849855501,714.546373618182,208.169513118387,620.705341162599,0,198.534098637479,139.943132234423,449.341651873415,197.093957758843,154.361987420917,824.265535604794,469.320043531884,438.00843861878,304.826262749268,398.690286543603,510.060362846596,1110.24398088483,1067.90456181705,855.763262977352,1087.39841824357,964.765367970513,867.488842297362,1336.21810668431,1214.16131158019,1042.79717466115,1758.47205837862,1706.46091446288,1839.69648000955,1467.38731068593,2646.27599619231,2962.26469646728,1531.60902743039,2846.99529462346,2300.93916875815,2355.90763762689,2475.25665700642,4024.06527924085,2368.41570702586,3772.89103334078,3806.54603706374,3364.60448815812,3906.1564671935,3288.46129020739,3142.7334298766,4102.61225829855,4178.30863826375,4178.30863826375,4097.68314044635,2002.2029666381,4214.78806470733,4097.68314044635,4097.68314044635,2849.69305374858,3156.69120231261,2976.69784991117,3341.39864056107,3308.18788813041,3247.42646162643,3026.70096782445,3487.24142282327,3573.05669269961,3648.48621650983,2463.180670533,2858.58766616144,2795.65186758326,2723.37300221722,2845.44205907192,2835.53287984223,2963.613355298,2982.07297923882,3231.53315667736,3180.79036177892,3471.09852069515,3231.53315667736,2955.45715698781,3125.2087272881,3165.8973933719,3106.61557745396,3275.15213365606,3295.18114428916,3067.6882371112,3864.79300258399,3327.46299755548,3611.4574161143,3734.97066744121,3609.87398234854,3752.40971980762,3275.4717592757,4094.68269866508,1304.01574875768,1209.19666120148,1378.06799486439,1445.57461932059,988.161027703527,406.856217334607,291.99964492253,198.534098637479,616.011554195818,698.601276728569,673.950322078623,1474.98136775109,1398.84296337735,1839.89181094418,949.891948990323,2056.82626998971,1038.94616763011,2071.87799971579,2053.79536339549,2057.59433067253,2771.16224768799,2620.94555844045,3944.59253869655,2506.84764110222
"Malaweg",724.80333178992,700.725017168593,590.183005112603,658.050720562274,319.41853473195,1281.68640289192,198.534098637479,0,98.7412498456048,608.121784825594,98.9021531335,228.108601892642,767.769882548886,930.246012403856,465.220173320821,354.816848265481,477.354612311363,1081.05538966627,1053.74832782893,1011.40890876114,1819.33915198174,1030.90276518766,908.269714914606,810.993189241455,1279.7224536284,1157.66565852428,2107.74329483212,1701.97640532271,1649.96526140697,1783.20082695364,1410.89165763002,2589.7803431364,2905.76904341137,1783.84736045486,2790.49964156755,2244.44351570224,2299.41198457098,2418.76100395052,3967.56962618494,2311.92005396995,3716.39538028487,3750.05038400784,3308.10883510221,3849.66081413759,3231.96563715148,3086.23777682069,4046.11660524265,4121.81298520784,4121.81298520784,4041.18748739044,4017.35844642373,4158.29241165142,4041.18748739044,4041.18748739044,2793.19740069267,3100.1955492567,2920.20219685526,3284.90298750516,3251.6922350745,3190.93080857052,2970.20531476855,3430.74576976736,3516.5610396437,3591.99056345393,2406.68501747709,2802.09201310553,2739.15621452736,2666.87734916131,2788.94640601601,2779.03722678633,2907.1177022421,2925.57732618291,3175.03750362145,3124.29470872302,3414.60286763924,3175.03750362145,2898.9615039319,3068.71307423219,3109.40174031599,3050.11992439806,3218.65648060016,3238.68549123326,3011.1925840553,3808.29734952809,3270.96734449958,3554.96176305839,3678.4750143853,3553.37832929263,3695.91406675171,3218.97610621979,4038.18704560917,1247.52009570177,1152.70100814558,1321.57234180848,1389.07896626468,931.665374647619,306.826005825391,168.450916638929,0,1423.90575031926,852.785667944636,828.255135420149,1418.48571469518,1342.34731032145,1783.39615788828,2044.4884052432,2000.33061693381,2115.50136612317,2015.38234665989,1997.29971033958,2001.09867761663,2714.66659463208,2564.44990538455,3888.09688564064,2450.35198804631
"Itawis",990.437296178005,966.358981556677,855.816969500688,586.87484456386,220.73956148775,1210.5105268935,139.943132234423,98.7412498456048,0,511.231659869488,57.2875982637084,129.379835958942,696.594006550471,406.113696922592,381.580390037199,262.731521855606,382.358780827876,493.309903890961,982.572451830512,940.233032762728,1748.16327598333,959.72688918925,837.093838916191,739.81731324304,1208.54657762999,1086.48978252586,2036.56741883371,1630.8005293243,1578.78938540855,1712.02495095523,1339.71578163161,2518.60446713799,2834.59316741296,1727.9698041965,2719.32376556913,2173.26763970382,2228.23610857256,2347.5851279521,3896.39375018653,2240.74417797153,3645.21950428646,3678.87450800942,3236.9329591038,3778.48493813918,3160.78976115307,3015.06190082228,3974.94072924423,4050.63710920943,4050.63710920943,3970.01161139203,3946.18257042532,4087.11653565301,3970.01161139203,3970.01161139203,2722.02152469425,3029.01967325828,2849.02632085685,3213.72711150674,3180.51635907608,3119.7549325721,2899.02943877013,3359.56989376895,3445.38516364529,3520.81468745551,2335.50914147867,2730.91613710711,2667.98033852894,2595.7014731629,2717.7705300176,2707.86135078791,2835.94182624368,2854.4014501845,3103.86162762303,3053.1188327246,3343.42699164083,3103.86162762303,2827.78562793349,2997.53719823377,3038.22586431758,2978.94404839964,3147.48060460174,3167.50961523484,2940.01670805688,3737.12147352967,3199.79146850116,3483.78588705998,3607.29913838689,3482.20245329422,3624.7381907533,3147.80023022137,3967.01116961076,1176.34421970335,1081.52513214716,1250.39646581007,1317.90309026627,860.489498649204,393.853273901629,256.430863383818,98.7412498456048,674.306428828183,754.736729463423,730.25038748179,1347.30983869677,1271.17143432303,1712.22028188986,1973.31252924478,1929.15474093539,2044.32549012476,1944.20647066147,1926.12383434117,1929.92280161821,2643.49071863367,2493.27402938613,3816.92100964222,2379.1761120479
"Yogad",1174.74538629562,1150.6670716743,1040.12505961831,771.182934681479,295.975395717135,272.241216532783,449.341651873415,608.121784825594,511.231659869488,0,541.185753706448,386.498359424061,880.902096668091,412.102479438038,381.861688826724,339.884631215751,261.798928366384,280.570727843268,353.571866723674,529.558241753295,431.566869877753,1144.03497930687,1021.40192903381,924.12540336066,1392.85466774761,1270.79787264348,804.888629516294,1815.10861944192,1763.09747552617,1896.33304107285,1524.02387174923,2702.91255725561,1383.13090402145,1040.0222694425,2903.63185568675,2357.57572982144,2412.54419869018,2531.89321806972,4080.70184030415,2425.05226808915,3829.52759440408,3863.18259812704,3421.24104922142,1974.10125468329,3345.09785127069,3199.3699909399,1712.85446939778,4234.94519932705,4234.94519932705,1624.07109005119,1607.0627150054,1833.75115788035,1624.07109005119,1624.07109005119,2906.32961481187,3213.3277633759,3033.33441097447,3398.03520162436,3364.8244491937,3304.06302268972,3083.33752888775,3543.87798388657,3629.69325376291,3705.12277757313,2519.81723159629,2915.22422722473,2852.28842864656,2780.00956328052,2902.07862013522,2892.16944090553,3020.2499163613,3038.70954030212,3288.16971774065,3237.42692284222,3527.73508175845,3288.16971774065,3012.09371805111,3181.84528835139,3222.5339544352,3163.25213851726,3331.78869471936,3351.81770535246,3124.3247981745,3921.42956364729,3384.09955861878,3668.0939771776,3791.6072285045,3666.51054341183,3809.04628087092,3332.10832033899,4151.31925972838,1360.65230982097,1265.83322226478,1434.70455592769,1502.21118038388,1044.79758876682,1167.61913378046,1239.53830069862,608.121784825594,166.699949162622,249.259632730335,224.610819759717,578.456688163714,1455.47952444065,634.886573471089,530.212947472063,787.688570780737,692.435210944872,825.054817932898,2110.43192445879,2114.23089173583,1328.35660653263,2677.58211950375,1748.889528053,2563.48420216551
