"population","longitude","latitude","sPC1"
"Itbayaten",121.85,20.7833,-0.016001683998205
"Ivatan",121.97,20.4489,-0.0157196668416557
"Ibatan",121.9403,19.5225,0.0249381650841428
"Ilocano",120.3869,17.5747,-0.0186400452561225
"Gddang",121.47,17.27,0.0042144589961042
"Gaddang",121.15,16.4833,0.0263578672312641
"Ibanag",121.7269,17.6131,0.00298849344157985
"Malaweg",121.45,17.9167,-0.00027825909244085
"Itawis",121.45,17.7167,-0.012214601975966
"Yogad",121.6772,16.7042,0.0240616180738489
"Apayao",121.3333,17.75,-0.0120443656699624
"Kalinga",121.4442,17.4547,-0.00034586871193628
"Itneg",120.6178,17.5983,-0.0168808786910261
"Kankanaey",120.9,17.0833,0.00852985642068737
"Bontoc",120.9764,17.0897,0.00913188705482376
"AyanganIfugao",121.2033,16.9789,0.0149809310320198
"TuwaliIfugao",121.0889,16.7789,0.0217344729292382
"Kalanguya",120.9333,16.6333,0.0227717156548665
"Ibaloi",120.5875,16.4597,0.0148915754880789
"Bugkalot",121.2167,15.95,0.0283616447406544
"Pangasinan",120.2317,16.0214,-0.0130494116702093
"Sambal",119.9781,15.3275,0.0195439304714298
"Bolinao",119.8833,16.3833,-0.0177442347808346
"Kapampangan",120.6833,15.0333,0.0241602737994219
"Tagalog",120.9842,14.5995,-0.115052731823127
"Bicolano",123.1948,13.6218,-0.0233524912526696
"MangyanBuhid",121.43,12.7458,-0.0495431800379746
"MangyanBangon",121.42,12.8619,-0.0480511796516722
"MangyanHanunuo",121.4,12.5225,-0.0368164136668706
"MangyanIraya",121.0158,13.4297,-0.0463157064666942
"BinukidnonNegros",122.8147,9.9892,-0.0859740905933095
"Sulodnon",122.4,11.15,-0.0448066710453237
"Kinaray-a",121.9394,10.7444,-0.0871421524797983
"Hilgaynon",122.5621,10.7202,-0.0582902466924849
"Cebuano",123.8854,10.3157,-0.0543101629691801
"Boholano",123.85,9.65,-0.0475000271171927
"Waray",125,11.2444,0.00873540314759856
"Tausug",121.0022,6.0522,0.202655768581518
"Surigaonon",125.4939,9.7894,-0.00340172161551135
"Cuyonon",121.0167,10.85,-0.167111916823693
"Agutaya",120.9395,11.1512,-0.160331293708263
"Palawano",117.8333,8.7833,0.234644733298981
"Tagbanwa",118.55,9.4333,0.0254607529785545
"Molbog",117.0639,7.9861,0.238770051220272
"SamaDilautTaluksangay",122.15,6.9667,0.0293255453855315
"SamaDilautMampang",122.1,6.92,-0.154005464719926
"SamaDilautBonggao",119.7731,5.0292,0.188012612024855
"SamaDeyaBonggao",119.7731,5.0292,0.188012612024855
"SamaKabingaan",122.079,6.9214,-0.0695674388650688
"SamaBangingi",121.78,6.07,0.201180483759096
"Yakan",122.1333,6.65,0.0719203889398416
"Chavacano",122.079,6.9214,-0.0695674388650687
"Subanon",122.079,6.9214,-0.0695674388650687
"Subanen",123.1206,7.8683,0.0388845265797974
"Iranun",124.2667,7.3667,0.0951883739725038
"Meranao",124.2833,8,0.0637341720122676
