"language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr","span_influenced","jap_influenced","eng_influenced","geodist_H1_span","geodist_H2_span","using_network"
"Agutaynen",10.5328,119.655,0.44701615431731,0.348238765595502,0.65242882254463,0.532158791656323,FALSE,FALSE,FALSE,200.366653487654,988.179430327415,FALSE
"Arta",16.4185,121.656,0.47059568966824,0.288610660194006,0.515659311017149,0.468762008569385,TRUE,FALSE,FALSE,788.851111552584,950.49260396626,FALSE
"Ata Manobo",7.7789,125.499,0.407307082175717,0.343425907285181,0.667122550456946,0.563388914937143,FALSE,FALSE,FALSE,647.527652254821,1901.94073124527,TRUE
"Botolan Sambal",15.2315,120.164,0.336127908669849,0.371035082996379,0.548812081379646,0.545616298219905,FALSE,FALSE,FALSE,127.34346569713,344.41979697443,TRUE
"Central Cagayan Agta",17.9571,121.857,0.32939208568697,0.35795144363915,0.51269106597401,0.525020510363473,FALSE,FALSE,FALSE,510.017840209897,1150.35708974768,TRUE
"Coastal-Naga Bikol",13.7574,123.403,0.434941115395409,0.39881446850199,0.493181425857412,0.52892000269292,FALSE,TRUE,FALSE,359.05479211747,931.015512626414,FALSE
"Central Bontoc",17.08,120.92,0.416069016106852,0.322622096694313,0.585199667919617,0.518906204723298,FALSE,FALSE,FALSE,323.176412247708,795.110741592238,TRUE
"Filipino",12.265,123.464,0.431978425388737,0.433292995406414,0.581243057934365,0.547218998661975,FALSE,TRUE,FALSE,134.794263487272,850.968697018809,FALSE
"Ibaloi",16.4263,120.695,0.432900283159144,0.3694499392111,0.621725669729794,0.5704396429873,FALSE,FALSE,FALSE,287.283458323883,599.605382914354,TRUE
"Ibanag",17.4201,121.891,0.47033307565736,0.346905446747011,0.693266984320552,0.547430300405842,FALSE,FALSE,FALSE,753.912613427707,1225.84694277224,TRUE
"Ibatan",18.9398,121.909,0.413101844468402,0.359540072356428,0.563707382492326,0.540031894902059,FALSE,FALSE,FALSE,117.769372323856,844.442317309292,TRUE
"Ilongot",16.3785,121.547,0.541657942401005,0.345583437960846,0.645186460010409,0.539194162864103,TRUE,FALSE,FALSE,756.59453055739,915.809008407119,FALSE
"Isinai",16.3299,121.12,0.40823170361901,0.348801320533007,0.592633797662975,0.542465843132105,FALSE,FALSE,FALSE,489.25210215359,801.574026744061,TRUE
"Isnag",18.2139,121.16,0.400442091547015,0.354407822495011,0.533584819386423,0.548982851034795,FALSE,FALSE,FALSE,257.874694740914,898.213944278693,TRUE
"Kagayanen",10.4656,119.872,0.406166568607275,0.375981288611081,0.577594567457875,0.551518337343369,FALSE,FALSE,FALSE,162.334423016677,965.484953286621,FALSE
"Keley-i Kallahan",16.7099,121.035,0.392227972371424,0.342972250670668,0.645021962506031,0.521037617402326,FALSE,FALSE,FALSE,460.690270774262,932.624600118792,TRUE
"Kinaray-a",10.8131,122.297,0.498782371988676,0.346581993187513,0.556289348831011,0.523876485011823,TRUE,FALSE,FALSE,634.903726001634,1168.64903855469,FALSE
"Maguindanao",6.9453,124.509,0.564007059530924,0.322259952014043,0.598513701817467,0.505233047309535,TRUE,FALSE,FALSE,1030.99669063665,2285.40976962709,TRUE
"Masbatenyo",12.21453,123.63579,0.39156003343544,0.283845440915946,0.483099152694849,0.457796653942867,FALSE,FALSE,FALSE,125.758120998747,896.354402063052,TRUE
"Northern Subanen",8.5232,123.588,0.375755281244713,0.331336202347798,0.640240156934332,0.534495257495836,FALSE,FALSE,FALSE,161.352455103964,1464.39972864451,TRUE
"Pangasinan",15.9377,120.365,0.431550940733834,0.408478389749698,0.571032724487628,0.532371190292117,FALSE,TRUE,FALSE,327.621344558664,639.943269149135,TRUE
"Tausug",5.12236,118.88,0.500367663476967,0.312077822789054,0.49906201991425,0.49333067462649,TRUE,FALSE,FALSE,584.216763760041,1608.20181442218,FALSE
"Tboli",6.20377,124.538,0.397749323401641,0.34040503143329,0.594651106022307,0.531601696381136,FALSE,FALSE,FALSE,828.310553458589,2248.7602036149,TRUE
"Tuwali Ifugao",16.6646,121.113,0.461321970684758,0.350933691690565,0.660646194736456,0.570279480438992,FALSE,FALSE,FALSE,504.601898789641,976.536228134171,TRUE
"Western Subanon",7.79964,122.341,0.342728317755422,0.309140986340478,0.481519572849949,0.475353713645339,FALSE,FALSE,FALSE,153.863091446492,1574.3127416028,TRUE
"Yogad",16.7015,121.718,0.426858633203231,0.372367339482527,0.543991605561219,0.565844324428029,FALSE,FALSE,FALSE,748.109112845033,1092.2229661671,FALSE
