"","Agutaynen","Arta","Ata Manobo","Balangingi","Bonggi","Botolan Sambal","Central Cagayan Agta","Coastal-Naga Bikol","Central Bontoc","Filipino","Ibaloi","Ibanag","Ibatan","Ilongot","Isinai","Isnag","Kagayanen","Karao","Keley-i Kallahan","Kinaray-a","Maguindanao","Masbatenyo","Northern Subanen","Pangasinan","Pangutaran Sama","Rungus","Sabah Malay","Southern Sama","Tagabawa","Tambunan Dusun","Tatana","Tausug","Tboli","Timugon Murut","Tuwali Ifugao","Western Subanon","West Coast Bajau","Yakan","Yogad"
"Agutaynen",3.62490037986163e-11,0.321438877697549,0.210975001283081,0.16883319014719,0.391389204713778,0.276997033983459,0.30162196779775,0.274813121496627,0.53751320366997,0.166517632434925,0.176880711469518,0.112363081521975,0.17824457356957,0.164560550123809,0.168738201644982,0.209265064804754,0.18494324067132,0.346539683949082,0.221633451259647,0.205904171857044,0.164451371097845,0.222794035654621,0.369952621691856,0.285638521709366,0.184543243521308,0.406373678813453,0.403023021219761,0.285238803926012,0.231973729513903,0.406373678813453,0.386437632798492,0.293052105607649,0.245924671949316,0.286176947993498,0.232270827086268,0.308174067846394,0.46136535985951,0.222912801158791,0.197967071415465
"Arta",0.321438877697549,1.91510141078766e-11,0.357810965867203,0.321405082362412,0.45891151487583,0.385272352839713,0.279419311470585,0.407049591600367,0.531261177340076,0.326774969372372,0.32575711920799,0.28530874603947,0.266504948582098,0.215511580048918,0.321352495423886,0.347780751449092,0.364552698381805,0.252844760148062,0.242420590389078,0.229432364158967,0.242918958209092,0.20778681276338,0.468406830787131,0.322149729565815,0.32594424062848,0.490883597030202,0.51537220052844,0.400537284462132,0.238680981641164,0.490883597030202,0.325473153224982,0.135665721880375,0.379164113908109,0.410218758660655,0.309044536413908,0.218799954955172,0.532792654913993,0.357889325623834,0.344806281387366
"Ata Manobo",0.210975001283081,0.357810965867203,3.5970004752528e-11,0.200449713271542,0.290230926551015,0.210124212372076,0.267583596855907,0.308473489511655,0.509781202476441,0.223139831190698,0.205434608058078,0.142908635988811,0.231054002196385,0.212921072086244,0.200297832421494,0.170016192480814,0.267315365929974,0.372101982049688,0.19246533592494,0.258212496514542,0.353516579550775,0.386351552451209,0.224209749044722,0.22780388662538,0.218668452172026,0.34354647899406,0.38520091406415,0.220951080852249,0.178270205218967,0.34354647899406,0.355961783587875,0.339728397119375,0.277212488604345,0.162020223550068,0.092185171626419,0.340791283686743,0.399739105988754,0.253114658450175,0.183591796261666
"Balangingi",0.16883319014719,0.321405082362412,0.200449713271542,4.25529611547404e-11,0.325232452761907,0.177137749763306,0.237464634103246,0.186067378928789,0.493647958985352,0.09143726721755,0.074591770863187,0.09520544805665,0.098283646325205,0.169122527049279,9.75574750109454e-05,0.10608776277771,0.065194336420613,0.261504819881192,0.239154979284837,0.133862628144569,0.321151903318381,0.27829366014588,0.372199399538052,0.19191916487759,0.077446563583513,0.319985737756453,0.372414978451262,0.18764792029487,0.223204899891742,0.319985737756453,0.274738934303785,0.228998930521654,0.148471021909887,0.132731081574829,0.243045391763625,0.223048848618665,0.315473118266768,0.062815347287037,0.120300172082548
"Bonggi",0.391389204713778,0.45891151487583,0.290230926551015,0.325232452761907,7.45290495984818e-11,0.310002539355051,0.324877977929076,0.37889373213104,0.370144009394465,0.305016071684172,0.292506167784348,0.318996533600252,0.328123289104058,0.330886756473274,0.323790516274508,0.272115706753115,0.372898333127721,0.442391244122858,0.359939078787487,0.335054478697953,0.436736976347198,0.504068866160448,0.371467714571751,0.350010914240383,0.316075926126156,0.332110487305225,0.282035249756998,0.314058491154864,0.366149486057872,0.332110487305225,0.372651296834888,0.401483130581956,0.355813570695296,0.244709596939107,0.285900518341078,0.40297704480829,0.331907697237886,0.299603212211963,0.231239402379943
"Botolan Sambal",0.276997033983459,0.385272352839713,0.210124212372076,0.177137749763306,0.310002539355051,5.18449727593406e-11,0.186392684422933,0.228623821586296,0.524715821150499,0.198019854609872,0.166370803083809,0.198644397519592,0.211137948534563,0.25753800552893,0.176679170249765,0.155735734742843,0.202097779635426,0.292756924919112,0.252729544649213,0.234512677402426,0.425574478319336,0.374777078605151,0.389702206280125,0.20564189822486,0.131232011217928,0.355289419192027,0.307883362774768,0.025079088275655,0.225558831932495,0.355289419192027,0.280800154730803,0.3158943139552,0.096195358063846,0.154789529277464,0.248457573237083,0.265679878541234,0.357761749266518,0.167668531223683,0.17587911718877
"Central Cagayan Agta",0.30162196779775,0.279419311470585,0.267583596855907,0.237464634103246,0.324877977929076,0.186392684422933,4.38129532653875e-11,0.280039757143265,0.533368051132696,0.227707147730276,0.235722927564524,0.256871230630278,0.244586756890109,0.286556129397957,0.236853240000476,0.217343545652583,0.259843521260439,0.351889002326714,0.087079932423691,0.262576234655197,0.441926184803651,0.419801688231821,0.44218108574735,0.263644050662029,0.19449123497951,0.400116770142204,0.470986206190835,0.195684939933908,0.290218149224969,0.400116770142204,0.15276844868431,0.17580890453707,0.252779223185191,0.210663231856856,0.278620505212359,0.314608162798502,0.403212861275044,0.237682239517803,0.211792102692298
"Coastal-Naga Bikol",0.274813121496627,0.407049591600367,0.308473489511655,0.186067378928789,0.37889373213104,0.228623821586296,0.280039757143265,3.65160124360386e-11,0.571021666107514,0.115855789827951,0.156647910523455,0.211737493547607,0.216796290876658,0.270374043801448,0.185746636008548,0.163152718790283,0.199691117466214,0.308857956316172,0.339547908969736,0.241356530133123,0.411259039014339,0.374928957509694,0.467134056842824,0.213246120928025,0.136183128619101,0.425798492905243,0.485292711724578,0.238379356838689,0.328912819714913,0.425798492905243,0.378103221016368,0.324213108769813,0.202907048657684,0.253925901636937,0.338892535434376,0.26840180219267,0.428871834422924,0.154453674659683,0.18800487463948
"Central Bontoc",0.53751320366997,0.531261177340076,0.509781202476441,0.493647958985352,0.370144009394465,0.524715821150499,0.533368051132696,0.571021666107514,2.90589774465388e-11,0.481000744006989,0.472604281421445,0.489275527665194,0.497315674854637,0.502945580881091,0.493083531429066,0.539028497227299,0.566016187592899,0.617523760926755,0.518627420216749,0.504133418741316,0.482748468135854,0.531481249820166,0.311386641178525,0.405066233909515,0.529224732049028,0.243040079661699,0.44815003269564,0.528491756981569,0.526949653271428,0.243040079661699,0.575917714661942,0.468140450816425,0.507468216733723,0.517793325291695,0.411401333434577,0.58136986962074,0.298577277225724,0.524267402699934,0.513909288559296
"Filipino",0.166517632434925,0.326774969372372,0.223139831190698,0.09143726721755,0.305016071684172,0.198019854609872,0.227707147730276,0.115855789827951,0.481000744006989,3.86950471664704e-11,0.102649344100531,0.121803476271322,0.101971164410091,0.171259998698606,0.091249589530478,0.131090486842775,0.156007063368119,0.282420566996705,0.233949666767091,0.13432203411192,0.316187063552739,0.298575291661866,0.387049364879772,0.121109238255406,0.102955716354842,0.334352942395812,0.380979180189505,0.207648737814821,0.244294885630816,0.334352942395812,0.326044637840368,0.230121540425909,0.171883339634033,0.212307963643697,0.241251377592118,0.240437945173867,0.392745185941583,0.149243813375124,0.122671410735298
