"","Agutaynen","Arta","Ata Manobo","Botolan Sambal","Central Cagayan Agta","Coastal-Naga Bikol","Central Bontoc","Filipino","Ibaloi","Ibanag","Ibatan","Ilongot","Isinai","Isnag","Kagayanen","Keley-i Kallahan","Kinaray-a","Maguindanao","Masbatenyo","Northern Subanen","Pangasinan","Tausug","Tboli","Tuwali Ifugao","Western Subanon","Yogad"
"Agutaynen",0,1916.07289296345,1249.62591407778,729.705850616089,2580.88511293252,760.740824588248,1967.69170548471,681.210545671654,1570.98837455837,2421.31272344046,2643.04437881414,1891.92609253254,1511.40424495784,2539.42105518097,66.0040373768228,1731.03887651062,522.570306243246,1128.57078285931,737.914717174153,590.284774473257,1117.50279138689,761.923044105919,1268.93890596585,1656.59967459575,504.915534685821,2080.05990613792
"Arta",1916.07289296345,0,2288.59387156961,919.592121889217,765.509039242315,563.490499866433,477.208116267667,1099.96897176143,455.111611028065,506.800614433594,1028.83194147252,55.2731731879471,257.634011984613,916.707374313763,1900.846601992,327.193676796859,1433.35443595882,2433.31703608931,1093.03348585599,1992.75009000108,656.545151502423,2697.33111852352,2942.96749465017,284.262074749885,1851.84051683132,142.766257570553
"Ata Manobo",1249.62591407778,2288.59387156961,0,2246.3605282197,2637.80678585466,1492.37241409026,2697.05147283751,1251.77089850543,2501.54611415962,2504.60079812433,2477.21823016756,2314.90883950056,2703.51475798933,2800.15467552396,1201.84270224009,2612.07366284212,1301.08374548634,635.880943273951,1142.94891537255,850.680936640112,2541.8840003944,1599.99662520761,909.118577911124,2545.95872195805,1346.81253441562,2337.69871294171
"Botolan Sambal",729.705850616089,919.592121889217,2246.3605282197,0,1060.62422416751,1327.89882062672,705.377876012068,1156.14017737126,509.872517334183,1136.11407719207,754.709451729122,867.340949719054,707.360659631779,808.481078698522,935.071088168417,838.839464854225,1617.22574938055,2629.82956660152,1240.77419903748,1808.81952561894,361.520681641868,1571.0421677359,2593.18000058933,838.767426008727,1606.30273230626,1034.77403883652
"Central Cagayan Agta",2580.88511293252,765.509039242315,2637.80678585466,1060.62422416751,0,1137.80966384015,618.158666630039,1636.1256186012,933.553395017512,265.602154644382,262.072267978057,792.963244690433,875.366533611144,350.822021286201,2639.54370736704,727.472933043826,1966.74488167527,2965.71965994492,1580.54674349097,2458.8031109649,1165.65650971587,3346.85694799597,3272.66897748111,728.121193237674,2636.04365870279,623.349303434291
"Coastal-Naga Bikol",760.740824588248,563.490499866433,1492.37241409026,1327.89882062672,1137.80966384015,0,1015.4009428913,541.287748704639,920.155590410847,923.646129121525,934.624148459636,564.495327536799,685.278658471565,1496.97320290687,813.915413324861,836.084752884585,868.664055966133,1927.86219232539,538.806824761353,1106.85215134281,1211.15147582715,1676.99812096086,1891.2126263132,795.491776837161,1216.7651643011,707.46146918976
"Central Bontoc",1967.69170548471,477.208116267667,2697.05147283751,705.377876012068,618.158666630039,1015.4009428913,0,1517.7959417754,339.812579022137,487.644076384847,695.684400212471,455.884087982512,382.214227271172,571.086797023019,1885.69211514028,190.625595640359,2476.97863319635,3053.69640714353,1548.99493321625,2259.51047023675,622.146196396576,2694.08762362661,3043.87094520714,224.442655193001,2369.42348319504,420.753903698698
"Filipino",681.210545671654,1099.96897176143,1251.77089850543,1156.14017737126,1636.1256186012,541.287748704639,1517.7959417754,0,1367.27479476403,1452.20563102418,1454.75526908198,1085.40887066304,1242.80267675539,1803.60448883027,664.057084620399,1393.90655437872,694.75191124698,1430.4440270109,86.5502464664562,808.996766743844,1545.33381370071,1469.54047132655,1612.95818603787,1296.42677930959,938.510724025771,1205.50744302187
"Ibaloi",1570.98837455837,455.111611028065,2501.54611415962,509.872517334183,933.553395017512,920.155590410847,339.812579022137,1367.27479476403,0,748.222336734444,819.403851042704,404.207852286294,206.860207504799,873.175478012105,1611.47141355778,213.283870776748,2050.53506786297,2885.01515254145,1451.18427452212,2064.00511155886,287.526633246706,2299.27592666402,2848.36558652925,230.165037130297,2173.91812451716,502.806521808662
"Ibanag",2421.31272344046,506.800614433594,2504.60079812433,1136.11407719207,265.602154644382,923.646129121525,487.644076384847,1452.20563102418,748.222336734444,0,524.730539037015,539.307861433132,649.906607512608,521.191194908234,2417.59562815618,534.938681223003,1701.21620177332,2628.99708073311,1419.71181240496,2224.50970336537,1027.83463048478,3183.58604453918,2992.65922386724,523.436291963351,2344.63142281932,364.052153462672
