language,Language_Type,PC1,PC2,cluster
Agutaynen,Philippine Language,-1.5725035138675847,-1.4941468388930816,1
Arta,Philippine Language,-0.8176784045826316,-3.6327144783100715,Noise
Ata Manobo,Philippine Language,-1.3299159097502076,-1.125200535138199,1
Balangingi,Philippine Language,-1.6537987719348592,-1.7198672628689906,1
Bonggi,Philippine Language,-0.6204403324313554,0.5739827891058592,2
Botolan Sambal,Philippine Language,-1.5501850629836231,-0.978462137868764,1
Central Cagayan Agta,Philippine Language,-1.569778301170293,-1.1787792718817098,1
Coastal-Naga Bikol,Philippine Language,-1.1225574819252353,-1.5794398047756424,1
Central Bontoc,Philippine Language,0.010761768971516242,0.103476105931196,2
Filipino,Philippine Language,-1.6099937304913814,-1.6334059101514813,1
Ibaloi,Philippine Language,-1.7795328248205606,-1.637405386997604,1
Ibanag,Philippine Language,-1.7830407073100278,-1.9333378883201775,1
Ibatan,Philippine Language,-1.4683638268714312,-1.562140044948679,1
Ilongot,Philippine Language,-1.1442861959820072,-2.729535290744068,3
Isinai,Philippine Language,-1.6542266904009655,-1.7201543176448404,1
Isnag,Philippine Language,-1.6468552851566387,-1.1914665657443373,1
Kagayanen,Philippine Language,-1.4784447187064562,-1.2215441338501818,1
Karao,Philippine Language,-1.324310747196656,-1.7762835796835508,1
Keley-i Kallahan,Philippine Language,-1.5757068529500653,-1.6372327274339322,1
Kinaray-a,Philippine Language,-1.112696903506187,-2.4563492752649916,3
Maguindanao,Philippine Language,-0.4312652262445837,-2.142085545599436,Noise
Masbatenyo,Philippine Language,-1.3976468505161708,-2.067999277469337,1
Northern Subanen,Philippine Language,-0.8046175450718086,-0.11668111842792028,2
Japanese,Language of Interest,2.089023114678726,-0.1656319818516637,4
Pangasinan,Philippine Language,-1.125583963581703,-1.7429539632332152,1
Pangutaran Sama,Philippine Language,-1.7315699165003948,-1.35926270808202,1
Rungus,Philippine Language,-0.9304024682009081,-0.1466590353359627,2
Sabah Malay,Philippine Language,-0.5682275731289171,0.636481322634012,2
Southern Sama,Philippine Language,-1.5364406986836656,-0.9660952448020841,1
English,Language of Interest,-0.18686680705671518,0.41762512302335364,2
Tagabawa,Philippine Language,-0.9630453852255285,-2.3196478053164484,3
Tambunan Dusun,Philippine Language,-0.9304024682009081,-0.1466590353359627,2
Tatana,Philippine Language,-0.48485116228055813,-1.347002715550653,Noise
Tausug,Philippine Language,-0.9136432103278733,-3.080739656556267,Noise
Tboli,Philippine Language,-1.6829416960480932,-1.2180613929953887,1
Timugon Murut,Philippine Language,-1.341811077655893,-0.9958975873248678,1
