language,Language_Type,PC1,PC2,cluster
Agutaynen,Philippine Language,0.744927079848145,-0.3097351143241831,1
Arta,Philippine Language,2.7365728523046617,-2.749915703605465,Noise
Ata Manobo,Philippine Language,-0.2885438224715487,-0.10568736053381464,1
Balangingi,Philippine Language,0.2611474212249327,0.8262869639218068,1
Bonggi,Philippine Language,-1.394232647853362,0.16647098283921904,2
Botolan Sambal,Philippine Language,-0.35965047514164983,1.044038348602099,1
Central Cagayan Agta,Philippine Language,0.13924117700199953,0.2831513994515296,1
Coastal-Naga Bikol,Philippine Language,0.3738532091518853,1.317307108260629,1
Central Bontoc,Philippine Language,-2.9522777398621285,-2.1208064095772277,Noise
Filipino,Philippine Language,0.38997174935151635,0.5927704860974441,1
Ibaloi,Philippine Language,0.34413761102746726,0.7100281810564518,1
Ibanag,Philippine Language,0.47058581273201266,0.12084924816707972,1
Ibatan,Philippine Language,0.47188244871521673,0.4276913440486663,1
Ilongot,Philippine Language,1.1846282697593862,-1.0621579547783873,1
Isinai,Philippine Language,0.26108501395336337,0.8266445240759,1
Isnag,Philippine Language,0.286345436915306,1.1940741814979863,1
Kagayanen,Philippine Language,0.29172421210322974,1.1696688136238267,1
Karao,Philippine Language,1.2691187525197742,0.8035522427053796,3
Keley-i Kallahan,Philippine Language,0.25901186404062004,-0.6650830901858179,1
Kinaray-a,Philippine Language,1.0151028985198431,-0.5420894327380713,1
Maguindanao,Philippine Language,1.4496739735312172,-2.3285957983302707,4
Masbatenyo,Philippine Language,1.6102876441900498,-0.7842504642594584,1
Northern Subanen,Philippine Language,-2.659828375064044,-1.3249108473912956,5
Pangasinan,Philippine Language,-0.0711899569005378,-0.22349008319849778,1
Pangutaran Sama,Philippine Language,0.2874403099754117,1.1085354767318771,1
Rungus,Philippine Language,-2.7034605331935584,-0.6610305728926523,5
Sabah Malay,Philippine Language,-1.4810231948168093,-0.015428713527901506,2
Southern Sama,Philippine Language,-0.39706384489939106,1.0783453631399542,1
Tagabawa,Philippine Language,0.4815136185887679,-1.10525597243954,1
Tambunan Dusun,Philippine Language,-2.7034605331935584,-0.6610305728926523,5
Tatana,Philippine Language,0.27404295813442253,0.47261443539787723,1
Tausug,Philippine Language,1.596501770652671,-1.7727987053939742,4
Tboli,Philippine Language,0.1553181868143659,1.2363807851290607,1
Timugon Murut,Philippine Language,-0.34329806186923983,1.127126133072299,1
Tuwali Ifugao,Philippine Language,-0.015403848172499192,-1.0290530061833383,1
Western Subanon,Philippine Language,1.185241288982147,0.6829125371428512,3
West Coast Bajau,Philippine Language,-2.7708875310832224,-0.06379651724360984,5
Yakan,Philippine Language,0.252615401178323,1.3044191200604072,1
Yogad,Philippine Language,0.34834960330481213,1.032248644473818,1
