feature,PC1_loading,PC2_loading,label
GB172,-0.38247795806334783,0.22958189865574158,GB172
GB197,-0.36434007025628684,0.045319023350470174,GB197
GB196,-0.34711601382605606,0.05475723523599266,GB196
GB171,-0.32490896867302,-0.06359162966752137,GB171
GB051,-0.2968676429402962,0.04188379645828899,GB051
GB042,-0.26416534509730316,-0.12211295368189971,GB042
GB321,-0.26073825524217875,-0.18862506650022268,GB321
GB186,-0.25387034542840914,0.1987214142631553,GB186
GB052,-0.25295365891297666,-0.03527188956337875,GB052
GB030,-0.21036747852812418,-0.060251152738335756,GB030
GB054,-0.14380537076904945,-0.24362306165242303,GB054
GB053,-0.1171699664091429,-0.10816020670012752,GB053
GB043,-0.10652822284854713,0.005029168463487126,GB043
GB192,-0.10349322357230462,-0.039896111504692904,GB192
GB023,-0.10109316952682934,-0.006098985066238405,GB023
GB130_2,0.08114564396508973,0.5094937042604943,GB130_2
GB020,-0.06107609734716159,0.09944785943227179,GB020
GB021,-0.05399078054729334,0.1701045798290557,GB021
GB070,0.05300349691617756,-0.04394823425431345,GB070
GB415,-0.050992854278174,-0.010064867805597984,GB415
GB022,-0.04136852244866007,0.2141620488418267,GB022
GB131,-0.03783149039578954,0.39968095888668204,GB131
GB318,0.0336415215350481,0.2611123555138304,GB318
GB065_3,0.028441294053562355,-0.09559798061130388,GB065_3
GB037,0.027321724679051834,0.10053501250144588,GB037
GB086,0.02493789947755076,-0.016968117387478495,GB086
GB082,-0.024176570571020562,-6.076891245926045e-4,GB082
GB089,0.01972006886067777,0.013077080399370946,GB089
GB080,0.01918705510848972,0.0029520099804390123,GB080
GB138,0.019133829608767194,0.11003737338711019,GB138
GB091,0.01903265645784831,0.012176296024634785,GB091
GB084,-0.01862509663987723,-0.008484104017193874,GB084
GB316,-0.017361876510591217,0.12708116856322493,GB316
GB036,0.017015676372436832,-0.020048772827564683,GB036
GB093,0.016265638679514572,0.06309065328795864,GB093
GB073,0.014493340239678621,-0.0024161053932369872,GB073
GB092,0.01378818123078916,-0.12746797805938265,GB092
GB065_2,-0.012090592312915514,0.17390216650718868,GB065_2
GB121,-0.01192688493188228,-0.11304185523860448,GB121
GB094,-0.01127913977560002,-0.207399904190259,GB094
GB130_1,-0.010912678893721585,-0.056038263718595605,GB130_1
GB072,0.009560928419058265,-0.010227665355550763,GB072
GB107,-0.008103891533397061,-0.01977974165404678,GB107
GB031,-0.007035963007916965,-0.005960130332919922,GB031
GB130_3,0.006687463387538467,-0.09087346199341846,GB130_3
GB028,-0.005745813290794488,-0.01006635195102873,GB028
GB090,-0.0035658689123418174,-0.12103096239583226,GB090
GB065_1,-0.0035542701866395528,-0.0745966197434079,GB065_1
GB079,-0.0030696377175570663,-0.04862731949702802,GB079
GB044,0.0030660195487248695,0.00531243952115415,GB044
GB137,0.0028486088328560227,-0.07174202511944851,GB137
GB083,-6.84262010308298e-4,0.0011720836081147979,GB083
GB071,-1.6209399855856866e-4,9.138006619777081e-5,GB071
GB035,3.9535101791179916e-5,-5.531338408214237e-4,GB035
