"","Central Cagayan Agta","Agutaynen","Arta","Ibatan","Central Bontoc","Botolan Sambal","Ibaloi","Ibanag","Tuwali Ifugao","Ilongot","Isinai","Isnag","Kagayanen","Keley-i Kallahan","Kinaray-a","Maguindanao","Ata Manobo","Masbatenyo","Coastal-Naga Bikol","Pangasinan","Northern Subanen","Filipino","Tausug","Tboli","Western Subanon","Yogad"
"Central Cagayan Agta",0,6010.6341046086,3304.84652510398,4906.1939289813,4286.52922538778,5307.65093095348,4286.52922538778,2281.10214041624,4286.52922538778,4286.52922538778,4286.52922538778,2281.10214041624,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2481.36302006827
"Agutaynen",6010.6341046086,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,6010.6341046086,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086,4800.21412629267,5222.45424519902,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086
"Arta",3304.84652510398,6010.6341046086,0,4906.1939289813,4286.52922538778,5307.65093095348,4286.52922538778,3304.84652510398,4286.52922538778,4286.52922538778,4286.52922538778,3304.84652510398,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398
"Ibatan",4906.1939289813,6010.6341046086,4906.1939289813,0,4906.1939289813,5307.65093095348,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,6010.6341046086,4906.1939289813,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813
"Central Bontoc",4286.52922538778,6010.6341046086,4286.52922538778,4906.1939289813,0,5307.65093095348,3538.80768883702,4286.52922538778,2325.01746338406,3538.80768883702,3197.5670286186,4286.52922538778,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Botolan Sambal",5307.65093095348,6010.6341046086,5307.65093095348,5307.65093095348,5307.65093095348,0,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,6010.6341046086,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348
"Ibaloi",4286.52922538778,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,5307.65093095348,0,4286.52922538778,3538.80768883702,2752.71455393814,3538.80768883702,4286.52922538778,6010.6341046086,1815.50156589022,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2188.07628592418,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Ibanag",2281.10214041624,6010.6341046086,3304.84652510398,4906.1939289813,4286.52922538778,5307.65093095348,4286.52922538778,0,4286.52922538778,4286.52922538778,4286.52922538778,1731.82129266329,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2481.36302006827
"Tuwali Ifugao",4286.52922538778,6010.6341046086,4286.52922538778,4906.1939289813,2325.01746338406,5307.65093095348,3538.80768883702,4286.52922538778,0,3538.80768883702,3197.5670286186,4286.52922538778,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Ilongot",4286.52922538778,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,5307.65093095348,2752.71455393814,4286.52922538778,3538.80768883702,0,3538.80768883702,4286.52922538778,6010.6341046086,2752.71455393814,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2752.71455393814,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
