"language","subgroup","colour"
"Central Cagayan Agta","Cagayan Valley","#F16DEF"
"Agutaynen","Palawanic-Kalamian","#95A459"
"Arta","Northern Luzon","#7CF2D9"
"Ibatan","Batanic","#F1C878"
"Central Bontoc","Meso-Cordilleran","#565153"
"Botolan Sambal","Sambalic","#85DEF2"
"Ibaloi","Meso-Cordilleran","#565153"
"Ibanag","Cagayan Valley","#F16DEF"
"Tuwali Ifugao","Meso-Cordilleran","#565153"
"Ilongot","Meso-Cordilleran","#565153"
"Isinai","Meso-Cordilleran","#565153"
"Isnag","Cagayan Valley","#F16DEF"
"Kagayanen","Manobo","#79F287"
"Keley-i Kallahan","Meso-Cordilleran","#565153"
"Kinaray-a","Central Philippine","#EA7B81"
"Maguindanao","Danaw","#A74B82"
"Ata Manobo","Manobo","#79F287"
"Masbatenyo","Central Philippine","#EA7B81"
"Coastal-Naga Bikol","Central Philippine","#EA7B81"
"Pangasinan","Meso-Cordilleran","#565153"
"Northern Subanen","Subanen","#87B1F1"
"Filipino","Central Philippine","#EA7B81"
"Tausug","Central Philippine","#EA7B81"
"Tboli","Tboli-Blaan","#E0C0F0"
"Western Subanon","Subanen","#87B1F1"
"Yogad","Cagayan Valley","#F16DEF"
