"","language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr"
"1","Isnag",18.19955,121.10666,0.0970535050019882,0.248043120534078,0.269599919433191,0.108633436200032
"2","Yogad",16.69425,121.70617,0.0517315515381266,0.2220262244392,0.0249352785412856,0.0758747291320846
"3","Agta",15.11794,121.38808,0.0798211308367265,0.203402401086628,0.234059834410242,0.114696617066605
"4","Gaddang",16.58369,121.26426,0.0688265287452882,0.0564063854790177,0.0642872534892171,0.063350566348051
"5","Ibanag",17.64993,121.78591,0.141358452901746,0.171471762882295,0.0561493976923547,0.102796133668245
"6","Atta",18.47131,121.29837,0.110745676780464,0.171295963144884,0.062126124804712,0.0927951524056519
"7","Casiguran Dumagat",16.40414,121.99354,0.167173576195882,0.178536009907521,0.16715820395399,0.0994605894679857
"8","Ilokano",15.70115,120.65378,0.13764622069266,0.168039084268564,0.0568292897731949,0.101167783506279
"9","Itneg",17.2618,120.7103,0.104561305092718,0.129207181141921,0.106451749547922,0.098649882521034
"10","North Kalinga",17.61454,121.36921,0.0726914858351477,0.346693288582115,0.0350382386183388,0.110459043125381
"11","Central Kalinga",17.38069,121.03338,0.136411275295768,0.135359527367432,0.0726350656191862,0.0805413582369198
"12","South Kalinga",17.29229,121.05985,0.0698974077404,0.323964155635885,0.0372183515382023,0.0975117697154245
"13","Balangaw",17.13492,121.28216,0.0565458407263079,0.278856094680293,0.0692427909096262,0.111660439478636
"14","Central Ifugao",16.90069,121.00691,0.135330461060444,0.156766813079902,0.0775620873795679,0.0882479433229137
"15","East Ifugao",16.84668,121.26145,0.0922305684523622,0.151431197440007,0.113696660368542,0.100115421820864
"16","Central Bontok",17.11673,121.002,0.0760297549298361,0.328082764487625,0.0368462560574317,0.0998569037997846
"17","North Kankanay",17.12722,120.80177,0.0681109112650793,0.0679912706281779,0.0364846900661695,0.0626230710357963
"18","Ilongot",16.37807,121.49391,0.0719632141737032,0.07131822540648,0.094930052847038,0.0718733905145864
"19","Pangasinan",15.96202,120.38515,0.0509687522255411,0.0411072322236721,0.144996304463041,0.0674511037740621
"20","Inibaloi",16.45231,120.68141,0.144784150924615,0.222692668488306,0.114296814008537,0.092067890731038
"21","North Kallahan",16.70893,121.02642,0.0344980800022462,0.0406981884765204,0.0519384432436111,0.0650646819470276
"22","Itbayaten",20.38116,121.93381,0.320929646629944,0.322777704093641,0.083959140667449,0.155147881750896
"23","Ivatanen",20.38116,121.93381,0.208744941831073,0.397551791469595,0.150096599379884,0.172908529203262
"24","Kapampangan",15.24905,120.54845,0.228711353615071,0.273143609980646,0.0431455632959156,0.0846277387683049
"25","Tina",15.57252,120.04184,0.0969122437996943,0.0923036911784208,0.0498869143668645,0.0748002589580024
"26","Iraya",13.35138,120.67441,0.189084809422694,0.202717415428445,0.0417474052097349,0.0723716539909536
"27","Siocon Subanon",7.73572,122.37053,0.0913379108175798,0.106992032109126,0.130524986772688,0.0874461689191873
"28","Sindangan",8.13155,123.09603,0.0520493365815116,0.0805073525214231,0.11831208583522,0.0867149513061106
"29","Binukid",8.19325,124.94266,0.0764850928326113,0.091883717708259,0.0519490680413157,0.0668580133311074
"30","Ata",9.715,122.9,0.0686636687115306,0.330543416247204,0.0434705305354958,0.101142504741253
"31","Tigwa",7.70798,125.15548,0.0776981149886292,0.0916622759257932,0.0518238696436918,0.0675547004154063
"32","Dibabawon",7.85784,125.99118,0.0939298208011367,0.0887580937679182,0.0501819078218311,0.0734071036118695
"33","Ilianen",7.35339,124.73172,0.0765186951806978,0.0723056156598783,0.0873483160350291,0.0705082760907224
"34","Western Bukidnon",7.68416,124.83378,0.0367175442111557,0.0346958953421505,0.0419141446175953,0.0398369989557857
"35","Sarangani Manobo",6.03322,125.61158,0.0458100773458464,0.0540543215085514,0.0626854415509604,0.0620235241450615
"36","Kalamansig",6.40155,124.29478,0.0564523299868999,0.0653627518362912,0.0694445165917355,0.0620982553520406
"37","Magindanao",6.98166,124.52305,0.0797052282275844,0.0789908496733944,0.0447130497583386,0.0627546584480458
"38","Maranao",7.81502,124.22438,0.206490997357064,0.221378551885084,0.0974130801104755,0.0831534286043452
"39","Hanunoo",12.41035,121.2367,0.223334864458786,0.28089351245737,0.0500929740616936,0.0888055424064076
"40","Buhid",12.64484,121.222,0.310200374612958,0.221145500685182,0.102870071181544,0.0939626385403642
"41","Kalamianen",11.91139,119.99355,0.0643761061215559,0.0511021295816935,0.0289265411395062,0.0597712144790428
"42","Batak",10.16456,119.08504,0.206785937996226,0.221234607703985,0.0973497404331412,0.0833702011504726
"43","Tagbanwa",9.63679,118.52075,0.0939298208011367,0.0887580937679182,0.0501819078218311,0.0734071036118695
