"language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr","span_influenced","jap_influenced","eng_influenced","geodist_H1_span","geodist_H2_span","using_network"
"Isnag",18.19955,121.10666,0.0970535050019882,0.248043120534078,0.269599919433191,0.106982161239152,FALSE,TRUE,TRUE,255.764048122079,896.103297659858,TRUE
"Yogad",16.69425,121.70617,0.0517315515381266,0.2220262244392,0.0249352785412856,0.0660748237734523,FALSE,TRUE,FALSE,744.469215918781,1087.07559531187,FALSE
"Agta",15.11794,121.38808,0.0798211308367265,0.203402401086628,0.234059834410242,0.11754079430709,FALSE,FALSE,TRUE,387.48217387167,315.726054321113,FALSE
"Gaddang",16.58369,121.26426,0.0688265287452882,0.0564063854790177,0.0642872534892171,0.0604415190174249,FALSE,FALSE,FALSE,587.461781303789,987.388592953244,FALSE
"Ibanag",17.64993,121.78591,0.141358452901746,0.171471762882295,0.0561493976923547,0.0987512872051323,FALSE,FALSE,FALSE,701.433461568795,1173.36779091332,TRUE
"Atta",18.47131,121.29837,0.110745676780464,0.171295963144884,0.062126124804712,0.0892327612111228,FALSE,FALSE,FALSE,147.187580923205,787.526830460984,TRUE
"Casiguran Dumagat",16.40414,121.99354,0.167173576195882,0.178536009907521,0.16715820395399,0.106658186313493,FALSE,FALSE,TRUE,833.11108249983,763.726786872518,FALSE
"Ilokano",15.70115,120.65378,0.13764622069266,0.168039084268564,0.0568292897731949,0.0971963166231796,FALSE,FALSE,FALSE,388.64777835639,568.12859511972,FALSE
"Itneg",17.2618,120.7103,0.104561305092718,0.129207181141921,0.106451749547922,0.0961574564718252,FALSE,FALSE,FALSE,197.97735523017,669.911684574699,TRUE
"North Kalinga",17.61454,121.36921,0.0726914858351477,0.346693288582115,0.0350382386183388,0.0983161965154441,FALSE,TRUE,FALSE,504.938713565318,976.873042909848,TRUE
"Central Kalinga",17.38069,121.03338,0.136411275295768,0.135359527367432,0.0726350656191862,0.0786718528265333,FALSE,FALSE,FALSE,354.238797357822,826.173126702352,TRUE
"South Kalinga",17.29229,121.05985,0.0698974077404,0.323964155635885,0.0372183515382023,0.0859988928765866,FALSE,TRUE,FALSE,370.31654076788,842.25087011241,TRUE
"Balangaw",17.13492,121.28216,0.0565458407263079,0.278856094680293,0.0692427909096262,0.10522601675526,FALSE,TRUE,FALSE,486.919367468341,958.85369681287,TRUE
"Central Ifugao",16.90069,121.00691,0.135330461060444,0.156766813079902,0.0775620873795679,0.0864129120853774,FALSE,FALSE,FALSE,399.80637973046,871.740709074989,TRUE
"East Ifugao",16.84668,121.26145,0.0922305684523622,0.151431197440007,0.113696660368542,0.0979470379061722,FALSE,FALSE,FALSE,519.961667204941,991.89599654947,TRUE
"Central Bontok",17.11673,121.002,0.0760297549298361,0.328082764487625,0.0368462560574317,0.0883364854729973,FALSE,TRUE,FALSE,354.144200167219,826.078529511748,TRUE
"North Kankanay",17.12722,120.80177,0.0681109112650793,0.0679912706281779,0.0364846900661695,0.0635272954796905,FALSE,FALSE,FALSE,260.989498809397,732.923828153926,TRUE
