"","Isnag","Yogad","Agta","Gaddang","Ibanag","Atta","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil"
"Isnag",3.54569706928487e-11,0.691626455120606,0.697260971316666,0.81528642190704,0.734222232696254,0.705931970416081,0.630953263515307,0.731004028999195,0.630017798430106,0.491436068130203,0.75906826647816,0.512508316554966,0.497541314381523,0.75161450733877,0.612139884204645,0.517382080298348,0.878979669804282,0.727241890453391,0.613935113333901,0.817441396119619,0.926499571228994,0.650439782270523,0.687371306636237,0.575324480824914,0.840646269621615,0.687242401248072,0.815288216325708,0.861791030630296,0.836093324876865,0.503529859703903,0.834459054941371,0.839703972266078,0.751159543277678,0.880593749674537,0.821344156125876,0.802080540439326,0.851686062401909,0.526567838705058,0.565045957249398,0.670217013077652,0.904050176832937,0.52687567252266,0.839703972266078,0.295527059292903,0.409568805813853,0.940602935814772,0.679366427079728,0.817291716573309,0.917112138650893,0.805528727321049,0.708635695518987,0.596066486502272,0.66345561342488,0.931053283426123,0.776848460709452,0.879737052658942,0.795038774633888,0.93239630194426
"Yogad",0.691626455120606,6.53099796465995e-11,0.404785325599161,0.266528099115789,0.768584855626106,0.779711823237543,0.876810871290196,0.776472996860281,0.831965510643806,0.390465938129325,0.728785476344781,0.366961670988896,0.525850715745316,0.731129114598392,0.816758810934093,0.359826631029332,0.864574023676438,0.856855403248276,0.918118150499242,0.94289261373289,0.93137863827421,0.700375308206638,0.645857602417173,0.84701351478048,0.844257879290297,0.869668639480079,0.818400876898858,0.89646680763482,0.847835311999467,0.378135248357245,0.845447907433317,0.850344659397382,0.878085241809466,0.941499126280373,0.346378903607553,0.264662107723358,0.841455486881977,0.857670995873668,0.850609882716724,0.847410494043383,0.897431635594686,0.856917596000526,0.850344659397382,0.940003895441061,0.914626560918475,0.936505774342127,0.113290024923009,0.923862380154711,0.922614357338985,0.93320653821153,0.801867611041696,0.839203513220256,0.878762159582884,0.442671195664259,0.885537126859943,0.86971575019054,0.883855211372321,0.926638253160206
"Agta",0.697260971316666,0.404785325599161,2.38169484134687e-11,0.550188862716742,0.780940108772664,0.75762265133109,0.590867022568227,0.778287594384456,0.823989605267384,0.582420957858078,0.800941288099392,0.599643478992195,0.664427327989777,0.794977008025554,0.808018393141803,0.604137307866573,0.900498934742315,0.889364910376249,0.939820013002503,0.893614806288314,0.8789973640881,0.713115782846998,0.743595412657934,0.650996203001615,0.869034338303691,0.743366571670026,0.695911805107422,0.700216196912675,0.864705372995377,0.592299338041834,0.863368269674788,0.867697241756251,0.677094306785368,0.845053499165175,0.583494263144643,0.538218553110047,0.877462462319353,0.719742200694121,0.642594401810176,0.728902805428324,0.739736948268258,0.71941357844457,0.867697241756251,0.85535113353728,0.795463202684222,0.95092592032468,0.433273304342925,0.366502992478066,0.417070061028254,0.840201228841442,0.759975838312096,0.667947569627611,0.723423499897063,0.522443487506443,0.706683498048519,0.797191750288967,0.819202080612183,0.832829618585398
"Gaddang",0.81528642190704,0.266528099115789,0.550188862716742,7.85069786957138e-11,0.631446434208772,0.690883625709338,0.679441058069454,0.638704448943869,0.491500185749161,0.803550970054121,0.623614528036229,0.807139338402855,0.707691413595282,0.633349683271073,0.51974238880882,0.794305778681917,0.811824152571009,0.592524094473836,0.865030226569392,0.841908801956012,0.903708011716549,0.91136966376194,0.872518004177095,0.78532380483701,0.743436704022791,0.818903175903108,0.747980783861207,0.854718462364693,0.785629845103332,0.810543466438851,0.783126887717681,0.749602776396605,0.620049434882639,0.817680481349159,0.129638271729616,0.023467944386567,0.777524578126658,0.60598857259261,0.790370359007092,0.792419948804741,0.828386788113938,0.60531728062127,0.749602776396605,0.915620456904001,0.88015170023531,0.893764046403846,0.325824647155426,0.894205960151689,0.870521492977423,0.906272987329395,0.66849295253264,0.774364526854115,0.829874656880723,0.346110484880135,0.682476044287406,0.822471313383272,0.69628527479152,0.883163509182196
"Ibanag",0.734222232696254,0.768584855626106,0.780940108772664,0.631446434208772,3.31162985922617e-10,0.096203121504407,0.655809207539071,0.011963762038947,0.235514273122635,0.444857458370782,0.226965692273469,0.603895689003215,0.568161231266213,0.246960111671925,0.291937935586762,0.577537652642185,0.613517532424738,0.587454647835077,0.722794121570302,0.837025331757028,0.802231977430106,0.740861928047221,0.647928100881782,0.372328057573793,0.47306087857907,0.628056690571239,0.48239367667587,0.57522470127238,0.559718701580914,0.610887212204097,0.554578035762934,0.485724984514409,0.58105261124994,0.798967830887478,0.739519782747606,0.686123315962286,0.543071806541159,0.593817477154355,0.387083212218144,0.573664465969866,0.647534481677907,0.592176681228785,0.485724984514409,0.752697241419986,0.649433702077738,0.781808696204467,0.651112634618516,0.782716314894045,0.734072286226054,0.72596022553676,0.077263567874596,0.536581577162814,0.502586188033464,0.728120331247131,0.673106870104562,0.635385062390246,0.674955914305885,0.76003692347557
"Atta",0.705931970416081,0.779711823237543,0.75762265133109,0.690883625709338,0.096203121504407,4.05415034876455e-10,0.662037484190753,0.085259382739076,0.273816651421667,0.436014418736928,0.178723948822956,0.579176524061907,0.56128233609574,0.261524840627391,0.281123685708033,0.585410399378781,0.589478696023369,0.543541959682352,0.751709525186636,0.826888464713807,0.781180896725137,0.713278416842648,0.665567659856476,0.305516585514209,0.527893686188311,0.604922175771205,0.450092094178183,0.530010217261155,0.512853707817015,0.586604358129215,0.507165852571772,0.522780565636487,0.611239453856071,0.813453006376928,0.723403886685235,0.692070353527993,0.494434862356279,0.568553316332659,0.32184232749145,0.581379186151781,0.672931038407743,0.566726183459321,0.522780565636487,0.726373520012161,0.612118268905694,0.797530256289793,0.645711755131609,0.769201479427864,0.753233446445807,0.69679052796051,0.100576382288248,0.487253791553729,0.449639821060717,0.764963230768359,0.652813448688442,0.642293440239158,0.681114541201418,0.798736132100464
"Casiguran Dumagat",0.630953263515307,0.876810871290196,0.590867022568227,0.679441058069454,0.655809207539071,0.662037484190753,9.38430444463734e-11,0.664455974295292,0.491418730885485,0.78521872695476,0.58849096457453,0.789141954889928,0.659089118853438,0.547458534954452,0.439707358084241,0.775110792224848,0.794263946845222,0.554499231947557,0.87555989913599,0.699269006375553,0.759810374827175,0.755031201433157,0.866126098240245,0.40664819923092,0.730572703549984,0.482666485296308,0.38541979095349,0.47221218579727,0.731440844226192,0.764258545272527,0.72878670084359,0.737379688704448,0.593671086835364,0.805022814377002,0.703340514073948,0.657879799748626,0.756763602526958,0.220486552022957,0.387633549444076,0.436328343175773,0.842641293841031,0.219979369055028,0.737379688704448,0.75226562299485,0.649579985836394,0.90258819806599,0.865269312515935,0.697781544526917,0.864201026947499,0.726206285529016,0.652310505885943,0.340877591759996,0.529784014385562,0.612502740343197,0.237651175946752,0.575430322615667,0.462481718974996,0.876960243622538
"Ilokano",0.731004028999195,0.776472996860281,0.778287594384456,0.638704448943869,0.011963762038947,0.085259382739076,0.664455974295292,3.39230976642568e-10,0.245665419291349,0.453157049833622,0.248745437695734,0.615055673711773,0.574617384577138,0.266158452487359,0.302662651026455,0.588218952839,0.624479488854772,0.5824592902819,0.728911871522559,0.841647847297241,0.799837278325484,0.73772412194075,0.652603051876591,0.364727812504953,0.484668616733264,0.638606267057766,0.496976902591731,0.570081255864722,0.554387499816078,0.621850215234213,0.549184587596124,0.4794978204717,0.575979733827207,0.796533607451725,0.746986300477162,0.6940884422944,0.53753903374317,0.605338194112178,0.379661631804704,0.584374874276732,0.643266608388181,0.603666841459153,0.4794978204717,0.749702744701787,0.645188825738215,0.779166699217035,0.656375465281204,0.788879218748233,0.730852266883269,0.722641980281473,0.066090497129298,0.530970216601886,0.496563190004971,0.724828241904977,0.68241435962533,0.644637753616982,0.683204431439308,0.764762574525765
"Itneg",0.630017798430106,0.831965510643806,0.823989605267384,0.491500185749161,0.235514273122635,0.273816651421667,0.491418730885485,0.245665419291349,2.15261031222269e-10,0.578477000438188,0.379663287987089,0.682138239620194,0.441118731046548,0.441983310798119,0.081128274829025,0.685316105367641,0.688404044454398,0.326888221656467,0.776506729755033,0.738220507079626,0.841327999020373,0.791787560565037,0.716147072562425,0.495677708349082,0.575162878449156,0.700126032528248,0.584636540047631,0.658701245654632,0.646780648420034,0.687748726077332,0.642631839923714,0.587064704671944,0.37222682140984,0.698762643737698,0.580051340166645,0.534770259990035,0.63340023417285,0.347565753544484,0.507533190331434,0.683801982470791,0.716989065156795,0.347989977628141,0.587064704671944,0.800615691959974,0.718327740022676,0.824804068338326,0.735168993415459,0.824818140112296,0.786474287659269,0.779814330201305,0.25829647799341,0.628193033994682,0.600337602191439,0.796376354421121,0.475459700443891,0.729738967918993,0.518217876096688,0.819768508575506
"North Kalinga",0.491436068130203,0.390465938129325,0.582420957858078,0.803550970054121,0.444857458370782,0.436014418736928,0.78521872695476,0.453157049833622,0.578477000438188,1.28953958622446e-10,0.517612625399514,0.058576289239547,0.222111914890727,0.530089504354541,0.558156479121736,0.04906923083513,0.758827957589489,0.742564246720816,0.854126329230207,0.898300862530485,0.876589180813049,0.506022634892537,0.416984656376184,0.608321367666029,0.722648148011541,0.76790065495502,0.677004302556804,0.734932539111699,0.725256515146054,0.075193088232753,0.722048646798377,0.730855119826599,0.780744657339285,0.894790185339618,0.837455638298965,0.804135278301711,0.714868551878191,0.746534767175523,0.617528850748953,0.733958924089297,0.815537821525923,0.745510880873442,0.730855119826599,0.845678610592299,0.781240296362418,0.885809983873487,0.369497881749082,0.864411054797914,0.86082722181699,0.828994229619074,0.492738047966469,0.71081853148556,0.689604794475712,0.856037218738513,0.796012780914762,0.77247369137462,0.797166617904499,0.872093182699637
