"","Isnag","Yogad","Agta","Gaddang","Ibanag","Atta","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil"
"Isnag",0,1168.63818423411,1457.08824414734,1011.63074961912,1125.60242988412,402.951629045284,1902.7171527755,1067.67474473895,622.146323545498,929.107681880647,778.407765673151,794.485509083209,911.088335783669,823.975348045788,944.130635520269,778.313168482547,685.158467124725,1250.61546215891,916.698518499241,864.457869311283,881.651074712938,470.694698753759,470.694698753759,1079.42202740448,769.191113946269,3073.25310418227,6105.74966855263,6072.10451361173,6138.59525377575,6153.12168934732,6380.36701162505,6451.9123538153,6565.83691762965,6395.49007766075,7089.72650330079,6586.82436723608,6769.23620597832,6397.86478531812,3540.047680423,3424.9283749336,3503.12727917578,7261.18753580913,7321.9481664753,1320.49673955421,5284.41904722242,6744.29157110337,6691.82952322332,5832.47375400422,7447.91506554283,5727.54343515866,5797.14821532736,6222.71909031917,7298.44122552696,6603.36900333331,6772.22201984948,7113.13795609054,7207.02062714965,7453.89940857547
"Yogad",1168.63818423411,0,1777.38849175079,1331.93099722257,1445.90267748758,1060.06171703524,2223.01740037895,1387.9749923424,942.446571148951,1249.4079294841,1098.7080132766,1114.78575668666,1231.38858338712,1144.27559564924,1264.43088312372,1098.613416086,1005.45871472818,1570.91570976236,1236.99876610269,1184.75811691474,1201.95132231639,1127.80478674371,1127.80478674371,1399.72227500793,1089.49136154972,3393.55335178572,6426.04991615608,6392.40476121519,6458.89550137921,6473.42193695078,6700.6672592285,6772.21260141875,6886.1371652331,6715.7903252642,7410.02675090424,6907.12461483953,7089.53645358177,6718.16503292158,3860.34792802645,3745.22862253705,3823.42752677923,7581.48778341259,7642.24841407875,1640.79698715766,5604.71929482587,7064.59181870682,7012.12977082677,6152.77400160767,7768.21531314628,6047.84368276211,6117.44846293082,6543.01933792262,7618.74147313041,6923.66925093677,7092.52226745293,7433.43820369399,7527.3208747531,7774.19965617893
"Agta",1457.08824414734,1777.38849175079,0,1620.3810571358,1734.3527374008,1348.51177694846,1220.5932563715,1166.70905612117,1230.89663106218,1537.85798939733,1387.15807318983,1403.23581659989,1519.83864330035,1432.72565556247,1552.88094303695,1387.06347599923,1293.90877464141,1540.14096016747,1206.2240165078,1153.98336731985,1490.40138222962,1416.25484665694,1416.25484665694,1017.89833212105,868.225425328492,2391.12920777827,5423.62577214863,5389.98061720774,5456.47135737176,5470.99779294333,5698.24311522105,5769.7884574113,5883.71302122565,5713.36618125675,6407.60260689679,5904.70047083208,6087.11230957432,5715.74088891413,2857.923784019,2742.8044785296,2821.00338277178,6579.06363940514,6639.8242700713,638.372843150214,4602.29515081842,6062.16767469937,6009.70562681932,5150.34985760022,6765.79116913883,5045.41953875466,5115.02431892337,5540.59519391517,6616.31732912296,5921.24510692932,6090.09812344548,6431.01405968654,6524.89673074565,6771.77551217148
"Gaddang",1011.63074961912,1331.93099722257,1620.3810571358,0,1288.89524287258,903.054282420243,2066.00996576396,1230.96755772741,785.439136533959,1092.40049486911,941.700578661611,957.778322071669,1074.38114877213,987.268161034248,1107.42344850873,941.605981471007,848.451280113185,1413.90827514737,1079.9913314877,1027.75068229974,1044.9438877014,970.797352128719,970.797352128719,1242.71484039294,932.483926934729,3236.54591717073,6269.04248154109,6235.39732660019,6301.88806676421,6316.41450233578,6543.65982461351,6615.20516680376,6729.12973061811,6558.78289064921,7253.01931628925,6750.11718022454,6932.52901896678,6561.15759830658,3703.34049341146,3588.22118792206,3666.42009216424,7424.48034879759,7485.24097946376,1483.78955254267,5447.71186021088,6907.58438409183,6855.12233621178,5995.76656699268,7611.20787853129,5890.83624814712,5960.44102831582,6386.01190330763,7461.73403851542,6766.66181632177,6935.51483283794,7276.43076907899,7370.31344013811,7617.19222156393
"Ibanag",1125.60242988412,1445.90267748758,1734.3527374008,1288.89524287258,0,1017.02596268525,2179.98164602896,1344.93923799241,899.410816798965,1206.37217513411,1055.67225892662,1071.75000233668,1188.35282903714,1101.23984129925,1221.39512877374,1055.57766173601,962.422960378192,1527.87995541238,1193.96301175271,1141.72236256475,1158.9155679664,1084.76903239373,1084.76903239373,1356.68652065794,1046.45560719974,3350.51759743574,6383.0141618061,6349.3690068652,6415.85974702922,6430.38618260079,6657.63150487852,6729.17684706877,6843.10141088311,6672.75457091421,7366.99099655426,6864.08886048955,7046.50069923179,6675.12927857159,3817.31217367647,3702.19286818707,3780.39177242925,7538.4520290626,7599.21265972876,1597.76123280768,5561.68354047589,7021.55606435683,6969.09401647679,6109.73824725769,7725.1795587963,6004.80792841212,6074.41270858083,6499.98358357263,7575.70571878042,6880.63349658678,7049.48651310294,7390.402449344,7484.28512040311,7731.16390182894
"Atta",402.951629045284,1060.06171703524,1348.51177694846,903.054282420243,1017.02596268525,0,1794.14068557662,959.098277540073,513.569856346624,820.531214681773,669.831298474277,685.909041884335,802.511868584795,715.398880846914,835.554168321395,669.736701283673,576.581999925851,1142.03899496004,808.122051300367,755.881402112409,773.074607514064,362.118231554885,362.118231554885,970.845560205601,660.614646747395,2964.6766369834,5997.17320135376,5963.52804641286,6030.01878657688,6044.54522214845,6271.79054442618,6343.33588661643,6457.26045043077,6286.91361046187,6981.15003610192,6478.24790003721,6660.65973877945,6289.28831811925,3431.47121322412,3316.35190773473,3394.55081197691,7152.61106861026,7213.37169927642,1211.92027235534,5175.84258002354,6635.71510390449,6583.25305602445,5723.89728680535,7339.33859834396,5618.96696795978,5688.57174812849,6114.14262312029,7189.86475832808,6494.79253613444,6663.6455526506,7004.56148889166,7098.44415995077,7345.3229413766
"Casiguran Dumagat",1902.7171527755,2223.01740037895,1220.5932563715,2066.00996576396,2179.98164602896,1794.14068557662,0,1612.33796474933,1676.52553969034,1983.48689802549,1832.78698181799,1848.86472522805,1965.46755192851,1878.35456419063,1998.50985166511,1832.69238462739,1739.53768326957,1985.76986879563,1651.85292513596,1599.61227594801,1936.03029085778,1861.8837552851,1861.8837552851,1463.52724074921,1313.85433395665,2836.75811640643,5869.25468077679,5835.6095258359,5902.10026599992,5916.62670157148,6143.87202384921,6215.41736603946,6329.34192985381,6158.99508988491,6853.23151552495,6350.32937946024,6532.74121820248,6161.36979754229,3303.55269264716,3188.43338715776,3266.63229139994,7024.6925480333,7085.45317869946,1084.00175177837,5047.92405944658,6507.79658332753,6455.33453544748,5595.97876622838,7211.42007776699,5491.04844738282,5560.65322755153,5986.22410254333,7061.94623775112,6366.87401555748,6535.72703207364,6876.6429683147,6970.52563937381,7217.40442079964
"Ilokano",1067.67474473895,1387.9749923424,1166.70905612117,1230.96755772741,1344.93923799241,959.098277540073,1612.33796474933,0,841.483131653789,1148.44448998894,997.744573781441,1013.8223171915,1130.42514389196,1043.31215615408,1163.46744362856,997.649976590837,904.495275233015,1150.72746075908,816.810517099414,764.569867911456,1100.98788282123,1026.84134724855,1026.84134724855,789.042839378307,478.811925920101,2782.8739161561,5815.37048052646,5781.72532558557,5848.21606574959,5862.74250132116,6089.98782359888,6161.53316578913,6275.45772960348,6105.11088963458,6799.34731527462,6296.44517920991,6478.85701795215,6107.48559729196,3249.66849239683,3134.54918690743,3212.74809114961,6970.80834778297,7031.56897844913,1030.11755152804,4994.03985919625,6453.9123830772,6401.45033519715,5542.09456597805,7157.53587751666,5437.16424713249,5506.7690273012,5932.339902293,7008.06203750079,6312.98981530715,6481.84283182331,6822.75876806437,6916.64143912348,7163.52022054931
"Itneg",622.146323545498,942.446571148951,1230.89663106218,785.439136533959,899.410816798965,513.569856346624,1676.52553969034,841.483131653789,0,702.916068795488,552.216152587992,568.29389599805,684.896722698511,597.783734960629,717.93902243511,552.121555397389,458.966854039566,1024.42384907375,690.506905414082,638.266256226124,655.459461627779,581.3129260551,581.3129260551,853.230414319317,542.99950086111,2847.06149109711,5879.55805546747,5845.91290052658,5912.4036406906,5926.93007626216,6154.17539853989,6225.72074073014,6339.64530454449,6169.29846457559,6863.53489021563,6360.63275415092,6543.04459289316,6171.67317223297,3313.85606733784,3198.73676184844,3276.93566609062,7034.99592272397,7095.75655339014,1094.30512646905,5058.22743413726,6518.09995801821,6465.63791013816,5606.28214091906,7221.72345245767,5501.3518220735,5570.95660224221,5996.52747723401,7072.2496124418,6377.17739024816,6546.03040676432,6886.94634300538,6980.82901406449,7227.70779549032
"North Kalinga",929.107681880647,1249.4079294841,1537.85798939733,1092.40049486911,1206.37217513411,820.531214681773,1983.48689802549,1148.44448998894,702.916068795488,0,859.17751092314,875.255254333198,991.858081033659,904.745093295778,1024.90038077026,859.082913732537,765.928212374715,1331.3852074089,997.46826374923,945.227614561272,962.420819962928,888.274284390248,888.274284390248,1160.19177265447,849.960859196259,3154.02284943226,6186.51941380262,6152.87425886172,6219.36499902574,6233.89143459731,6461.13675687504,6532.68209906529,6646.60666287964,6476.25982291074,7170.49624855078,6667.59411248607,6850.00595122831,6478.63453056812,3620.81742567299,3505.69812018359,3583.89702442577,7341.95728105912,7402.71791172529,1401.2664848042,5365.18879247241,6825.06131635336,6772.59926847331,5913.24349925421,7528.68481079282,5808.31318040865,5877.91796057735,6303.48883556915,7379.21097077695,6684.1387485833,6852.99176509946,7193.90770134052,7287.79037239964,7534.66915382546
