"phoneme","ruhlen_ipa","ipa","class","modification_type","global_n_ruhlen","global_n_phoible","IDF_ruhlen","IDF_phoible","idf_shift","variance_shift_dir","in_ruhlen","in_phoible"
"phoneme_149","qʘʰ","qʘʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_150","G!ʰ","G!ʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_151","Gʘʰ","Gʘʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_163","q!ʰ","q!ʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_166","/ʰ","/ʰ","click","aspirated",29,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_168","ǂʰ","ǂʰ","click","aspirated",19,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_198","n!ʰ","n!ʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_204","qǂʰ","qǂʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_209","G/ʰ","G/ʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_224","q/ʰ","q/ʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_230","ǁʰ","ǁʰ","click","aspirated",28,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_235","nǁʰ","nǁʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_243","n/ʰ","n/ʰ","click","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_253","!ʰ","!ʰ","click","aspirated",26,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_270","Gǁʰ","Gǁʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_276","qǁʰ","qǁʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_281","Gǂʰ","Gǂʰ","click","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_282","ʘʰ","ʘʰ","click","aspirated",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_153","nǂˀʰ","nǂˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_162","n!ˀʰ","n!ˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_186","n/ˀʰ","n/ˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_208","nǁˀʰ","nǁˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_215","ɡǂˀʰ","ɡǂˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_222","!ˀʰ","!ˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_225","ǂˀʰ","ǂˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_233","/ˀʰ","/ˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_241","ɡ!ˀʰ","ɡ!ˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_256","ɡ/ˀʰ","ɡ/ˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_272","ǁˀʰ","ǁˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_277","ɡǁˀʰ","ɡǁˀʰ","click","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_223","n̥!ʰ","n̥!ʰ","click","aspirated+voiceless",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_242","n̥ǂʰ","n̥ǂʰ","click","aspirated+voiceless",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_265","n̥ǁʰ","n̥ǁʰ","click","aspirated+voiceless",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_274","n̥/ʰ","n̥/ʰ","click","aspirated+voiceless",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_148","ˀnʘ","ˀnʘ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_156","/kˣˀ","/kˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_157","ǁkˣˀ","ǁkˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_160","ɡ/kˣˀ","ɡ/kˣˀ","click","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_161","qǂˀ","qǂˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_165","ǁˣˀ","ǁˣˀ","click","glottalized",15,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_171","/ˀ","/ˀ","click","glottalized",28,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_173","qǁˀ","qǁˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_180","ǂkˣˀ","ǂkˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_185","q/ˀ","q/ˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_188","!ˣˀ","!ˣˀ","click","glottalized",14,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_194","ˀn!","ˀn!","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_195","ɡǁkˣˀ","ɡǁkˣˀ","click","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_196","+kˣˀ","+kˣˀ","click","glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_197","ʘkˣˀ","ʘkˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_199","!kˣˀ","!kˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
