phoneme,ipa,class,rate_structure,q01_base,q10_base,stationary_p_present,austronesian_prevalence,loglik_1reg,base_rate_saturated,start_used
phoneme_012,ɡ̌,consonant,ER,0.06936973734496504,0.06936973734496504,0.5,0.18023255813953487,-61.45810099226742,FALSE,bounded_1d
phoneme_038,č,consonant,ER,0.09192007604464236,0.09192007604464236,0.5,0.1686046511627907,-66.37606054504161,FALSE,bounded_1d
phoneme_072,ⁿ̃ɡ̌,consonant,ER,0.011026284633615,0.011026284633615,0.5,0.02906976744186046,-18.244792916234918,FALSE,bounded_1d
phoneme_089,tˢ,consonant,ER,0.026369506004418227,0.026369506004418227,0.5,0.06976744186046512,-27.222835431962714,FALSE,bounded_1d
phoneme_121,o,vowel,ARD,1.4562087507025214,0.5519307403808189,0.7251531864038657,0.686046511627907,-100.73756463654696,FALSE,ip
phoneme_123,u,vowel,ER,0.07188941151179679,0.07188941151179679,0.5,0.9011627906976744,-76.10240971936908,FALSE,bounded_1d
phoneme_125,ɒ,vowel,ARD,9.999999999999982e-9,0.8768162735564289,1.140489768214531e-8,0.03488372093023256,-23.675209816677775,FALSE,ip
phoneme_128,ɔ,vowel,ARD,0.2354043526927917,0.6072138728347924,0.2793724910773194,0.23255813953488372,-85.95860283947216,FALSE,ace
phoneme_130,ɑ,vowel,ER,0.007252102008463291,0.007252102008463291,0.5,0.01744186046511628,-13.141078126885986,FALSE,bounded_1d
phoneme_134,ʊ,vowel,ER,0.03465805363550598,0.03465805363550598,0.5,0.05232558139534884,-47.873894323823464,FALSE,bounded_1d
phoneme_136,ɐ,vowel,ARD,0.05496942449888301,1.5326774088161133,0.03462320671411992,0.02906976744186046,-22.178358230318175,FALSE,ip
phoneme_139,ə,vowel,ARD,0.7470518382862328,1.8823843932340796,0.28411103084796824,0.29651162790697677,-103.86873620191288,FALSE,ip
phoneme_141,ɨ,vowel,ARD,0.3329840205498041,1.6949369542187176,0.16419970240103302,0.20930232558139536,-80.76882316586583,FALSE,ip
phoneme_145,a,vowel,ARD,2.083951772122739,0.15434052244876792,0.9310454122443761,0.9302325581395348,-41.94062515226692,FALSE,ip
phoneme_284,ð,consonant,ER,0.03866892548659392,0.03866892548659392,0.5,0.05813953488372093,-36.99601584619474,FALSE,bounded_1d
phoneme_294,ɣ,consonant,ER,0.10339199871987957,0.10339199871987957,0.5,0.20348837209302328,-74.35496243871883,FALSE,bounded_1d
phoneme_312,š,consonant,ARD,0.06310947249692692,1.0106492048721594,0.05877435389072446,0.05813953488372093,-33.227873779141284,FALSE,ace
phoneme_327,β,consonant,ARD,0.11232070486761156,0.6531503541713864,0.14673409731338938,0.13372093023255813,-62.93707514707757,FALSE,ip
phoneme_328,f,consonant,ARD,0.11717224909526296,0.459665722178473,0.2031285298998796,0.2441860465116279,-80.0221630538921,FALSE,ace
phoneme_329,h,consonant,ARD,0.9908576242298942,0.5663218026710857,0.6363156403895273,0.6337209302325582,-108.47658725961233,FALSE,ip
phoneme_334,s,consonant,ARD,0.84694235971848,0.07070829890975974,0.9229463867922693,0.8895348837209303,-50.72774337567951,FALSE,ace
phoneme_336,ʮ,consonant,ER,0.02301035489917919,0.02301035489917919,0.5,0.04651162790697674,-27.496913563466247,FALSE,bounded_1d
phoneme_338,v,consonant,ARD,0.009680402740853399,0.3257878431010544,0.028856390614733083,0.313953488372093,-76.60844147432748,FALSE,ace
phoneme_341,x,consonant,ER,0.04808471991519701,0.04808471991519701,0.5,0.10465116279069768,-45.656733644482934,FALSE,bounded_1d
phoneme_343,z,consonant,ER,0.03967796544427343,0.03967796544427343,0.5,0.06976744186046512,-40.07692930880582,FALSE,bounded_1d
phoneme_345,ɦ,consonant,ER,0.007249715799118869,0.007249715799118869,0.5,0.01744186046511628,-10.590162589155222,FALSE,bounded_1d
phoneme_380,ž,consonant,ARD,0.010787930897580464,0.7595055795720437,0.014004961421787646,0.02325581395348837,-15.708661974146462,FALSE,ip
phoneme_385,ɸ,consonant,ARD,0.17711230267443964,3.182004631378965,0.0527258521068275,0.05813953488372093,-37.40968169762697,TRUE,ip
phoneme_391,e,vowel,ARD,0.2945974183219127,0.15184648225044414,0.6598755587078879,0.6046511627906976,-100.53678222286447,FALSE,ace
phoneme_392,i,vowel,ARD,3.3474981707315337,0.2541452972849251,0.9294362977507902,0.9302325581395348,-43.18306403292962,TRUE,ace
phoneme_394,æ,vowel,ARD,9.999999999999982e-9,0.6248610519387887,1.6003557605225816e-8,0.06976744186046512,-38.25277422143641,FALSE,ip
phoneme_396,I,vowel,ARD,0.2884159029370116,3.464085138356442,0.0768596463433884,0.0755813953488372,-45.740579004159336,TRUE,ace
phoneme_397,ø,vowel,ER,0.018697273089446662,0.018697273089446662,0.5,0.02906976744186046,-23.867466858039407,FALSE,bounded_1d
phoneme_398,y,vowel,ER,0.014800032718213337,0.014800032718213337,0.5,0.02325581395348837,-18.703206044135573,FALSE,bounded_1d
phoneme_401,ɛ,vowel,ARD,0.3247880648586718,0.8182235091891993,0.2841511601745768,0.2441860465116279,-94.42810045071,FALSE,ip
phoneme_403,œ,vowel,ER,0.010918952773463919,0.010918952773463919,0.5,0.01744186046511628,-14.480111016407823,FALSE,bounded_1d
phoneme_409,j,consonant,ER,0.08641181691390457,0.08641181691390457,0.5,0.686046511627907,-60.97380708834675,FALSE,bounded_1d
phoneme_414,w̥,consonant,ER,0.011123942664819792,0.011123942664819792,0.5,0.02906976744186046,-18.51294490414906,FALSE,bounded_1d
phoneme_415,w,consonant,ARD,0.3023639251478342,0.06891497924423312,0.8143848777051457,0.7790697674418605,-66.35741804986544,FALSE,ip
phoneme_430,l,consonant,ARD,0.6327765395994533,0.07126933242846271,0.8987717487453193,0.8546511627906976,-66.44039059774302,FALSE,ace
phoneme_435,ɬ,consonant,ARD,0.012945165679029013,0.38422206887729776,0.032593740250224774,0.04069767441860465,-29.33685894807102,FALSE,ip
phoneme_458,cː,mod_consonant,ER,0.06231844881770221,0.06231844881770221,0.5,0.13953488372093023,-61.878566339020374,FALSE,bounded_1d
phoneme_467,cʲ,mod_consonant,ER,0.010923292215671378,0.010923292215671378,0.5,0.01744186046511628,-14.906560318936672,FALSE,bounded_1d
