tip,ruhlen_language,iso6393,glottocode,inventory_size,source,latitude,longitude,Language_type,n_tips_for_language,austronesian_score,span_score,eng_score,jap_score,unrelated_score,austronesian_score_present,span_score_present,eng_score_present,jap_score_present,unrelated_score_present,austronesian_score_absent,span_score_absent,eng_score_absent,jap_score_absent,unrelated_score_absent,span_score_D1,austronesian_score_span_D1,eng_score_D1,austronesian_score_eng_D1,jap_score_D1,austronesian_score_jap_D1,unrelated_score_D1,austronesian_score_unrelated_D1,n_present,n_absent,n_logp_floored
Balangaw,Balangaw,blw,bala1310,24,ruhlen,17.13492,121.28216,Philippine Language,1,0.7437788137400617,0.7439508496320141,0.7451298651078363,0.7573477773681867,0.7510149837571644,0.5625619317596974,0.5629398939478877,0.5650450765135134,0.5837413979346546,0.574278146901797,0.9833707055828297,0.9831651169484011,0.9826092447375636,0.9825851959684723,0.9821434245246028,0.8958342570460301,0.8962123730878442,0.9015028470868746,0.8995609255209546,0.7477882968869327,0.7330960201425768,0.7507071573516637,0.7434983868856271,24,60,0
BikolNagaCity,Naga,bcl,cent2087,21,ruhlen,13.61531,123.39831,Philippine Language,1,0.7824267404459028,0.781790874254743,0.7862238817728815,0.7819853823808045,0.7810992223294242,0.6719773264524601,0.6719347819970105,0.6795224768263252,0.6781906375905384,0.6763264876688513,0.9110301494794709,0.9096075801456499,0.9096799787360184,0.9016655559118031,0.9021027658203467,0.7682642679178894,0.7725120427407406,0.794838703027294,0.7913430854182516,0.6148782024673113,0.6402633891521917,0.7791826828138607,0.7806991192984213,21,63,0
Binukid,Binukid,bkd,binu1244,18,ruhlen,8.19325,124.94266,Philippine Language,1,0.9047944029956052,0.904901385177338,0.9050614339210972,0.9041962392540306,0.9049403997510754,0.9596524917336662,0.9597036580284422,0.9597860681501069,0.9600848737113528,0.959018324630992,0.8530722514076228,0.8532285044927873,0.8534570633538333,0.8515610041023652,0.8539118659872704,0.6784167256951148,0.6779835835516316,0.9547497249453868,0.953875302165464,0.9692584761278451,0.9752980620913553,0.9015673088306867,0.9014007430579691,18,66,0
Cebuano,Cebuano,ceb,cebu1242,22,ruhlen,10.20178,123.64698,Philippine Language,1,0.796100551490291,0.7958327495158501,0.7956572920457662,0.7922894430210485,0.7946477119093864,0.6678664839954737,0.6680303944245877,0.6682626429309056,0.665446103378934,0.6692365613154408,0.9489562708576356,0.9480852525392918,0.9473378963831401,0.9433108982609081,0.9435602035872422,0.8823847345115956,0.8853808030704192,0.9444915468429461,0.9468308323497509,0.8277481493571368,0.8520365264237852,0.7935706636265013,0.7951368046408248,22,62,0
DumagatCasiguran,Casiguran Dumagat,dgc,casi1235,24,ruhlen,16.40414,121.99354,Philippine Language,1,0.7912064031675453,0.7917442923056571,0.7968619046030068,0.801299752190621,0.8001611218893231,0.6516969982331645,0.652753809411043,0.6615370946013102,0.6667511807814835,0.6659103979588517,0.9605807209646696,0.9603299365869329,0.9598689176911861,0.9629998586701894,0.9614774344201534,0.8543688371417866,0.8545613811095263,0.8171184337751893,0.8097196168913087,0.8267190422768598,0.8033321749785486,0.7994261081278887,0.7904602053462537,24,60,0
Gaddang,Gaddang,gad,gadd1244,22,ruhlen,16.58369,121.26426,Philippine Language,1,0.7782095009708744,0.7787368363347745,0.7778758816241539,0.7814049170951795,0.7810928045836332,0.6618541379131424,0.6624151408347146,0.6617125419154202,0.6649153876475835,0.6664140663141351,0.9150203839638362,0.9154849019612155,0.914431643476235,0.9183027732607527,0.9155058397052699,0.8109406641776888,0.8083982960500377,0.9302629973951836,0.9314513086752655,0.6852088657644803,0.6734838517087779,0.7793654000310783,0.7764780022266973,22,62,0
Hanunoo,Hanunoo,hnn,hanu1241,20,ruhlen,12.41035,121.2367,Philippine Language,1,0.8812086512372106,0.8807238935184395,0.8808828229391237,0.8845398265695753,0.8832907841109259,0.8252624864608314,0.8252312787822135,0.8262650713664711,0.8370136233773933,0.8346481800166323,0.9409475164022972,0.939948104922702,0.9391109156604328,0.9347645999245109,0.9347682388521436,0.8492526474904261,0.852890483752028,0.9358002765174863,0.9382422777927694,0.7847764258163975,0.8016722289693753,0.8819687391927057,0.8800322923564913,20,64,0
Ibanag,Ibanag,ibg,iban1267,21,ruhlen,17.64993,121.78591,Philippine Language,1,0.8252545140263445,0.8258270611591453,0.8251331657536982,0.8292891971012557,0.8283787922684661,0.7254353550012854,0.7260795445885352,0.7256100160355831,0.7309945511947423,0.7311406225164088,0.9388086867087575,0.9392777141645416,0.9383067021959799,0.9408012293728186,0.9385491687199505,0.8109406641776888,0.8083982960500377,0.9221684765416535,0.9228070937723332,0.775544819881752,0.7643418866943502,0.8270911599369263,0.8239774332118395,21,63,0
IfugaoAmganad,Central Ifugao,ifa,amga1235,19,ruhlen,16.90069,121.00691,Philippine Language,1,0.8917058736515545,0.8919531704909607,0.8922097822585144,0.8956029639332201,0.8945252837312977,0.8537978616773957,0.8539582770656116,0.8537332805604516,0.8567047265506395,0.8553646233459157,0.9312969741368626,0.9316385585987481,0.9324203632253966,0.9362673557731991,0.9354788138238934,0.7796490474322161,0.7784015702087799,0.906241885672066,0.9044250415354672,0.7743532385373417,0.756158810946495,0.8931127850620401,0.8902013291946701,19,65,0
IfugaoBatad,East Ifugao,ifb,bata1298,21,ruhlen,16.84668,121.26145,Philippine Language,1,0.7960032989958296,0.7962215663221816,0.7977764313574764,0.8040395532775474,0.8020034108618689,0.6703685619280906,0.6704825173579955,0.672821658999705,0.682155721426156,0.6790389943747176,0.9451834229663826,0.9455411084761346,0.9459374946039741,0.947700917736479,0.9472349546381515,0.7796490474322161,0.7784015702087799,0.8579002086470755,0.8543600415622913,0.7016068901184096,0.6853740936255603,0.8009448590819733,0.79490957823258,21,63,0
