phoneme,ipa,class,span_has,eng_has,jap_has,ph_prevalence,unrelated_prevalence,austronesian_prevalence,n_austronesian,drop_reason
phoneme_031,čʰ,consonant,0,0,0,0,0.11678832116788321,0.005555555555555556,1,<=2 languages
phoneme_069,dᶻ,consonant,0,0,0,0,0.21897810218978103,0.005555555555555556,1,<=2 languages
phoneme_086,ⁿdᶻ,consonant,0,0,0,0,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_106,d̤ᶻ,consonant,0,0,0,0,0,0.011111111111111112,2,<=2 languages
phoneme_309,hᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_315,ç,consonant,0,0,0,0,0.021897810218978103,0.005555555555555556,1,<=2 languages
phoneme_320,ⁿ̃ž,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_348,ṣ̌,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_364,βʷ,consonant,0,0,0,0.021739130434782608,0,0.005555555555555556,1,<=2 languages
phoneme_375,j^,consonant,0,0,0,0,0,0.011111111111111112,2,<=2 languages
phoneme_383,ẓ̌,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_386,ẓ,consonant,0,0,0,0.021739130434782608,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_408,ə̯,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_410,j̥,consonant,0,0,0,0,0.021897810218978103,0.005555555555555556,1,<=2 languages
phoneme_417,jˀ,consonant,0,0,0,0,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_419,ˀw,consonant,0,0,0,0,0.051094890510948905,0.005555555555555556,1,<=2 languages
phoneme_421,wˀ,consonant,0,0,0,0,0.014598540145985401,0.005555555555555556,1,<=2 languages
phoneme_423,ɥ,consonant,0,0,0,0,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_433,lᵚ,consonant,0,1,0,0,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_434,l̤,consonant,0,0,0,0,0,0.011111111111111112,2,<=2 languages
phoneme_437,ˀl,consonant,0,0,0,0,0.029197080291970802,0.011111111111111112,2,<=2 languages
phoneme_449,ľ,consonant,0,0,0,0,0.014598540145985401,0.011111111111111112,2,<=2 languages
phoneme_453,ḷ,consonant,0,0,0,0,0.072992700729927,0.011111111111111112,2,<=2 languages
phoneme_474,c̤,mod_consonant,0,0,0,0,0,0.011111111111111112,2,<=2 languages
phoneme_487,v̤,mod_vowel,0,0,0,0,0.021897810218978103,0.005555555555555556,1,<=2 languages
phoneme_489,nasalharmony,mod_vowel,0,0,0,0,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_492,v̆,mod_vowel,0,0,0,0.021739130434782608,0,0.005555555555555556,1,<=2 languages
phoneme_497,v˜ː,mod_vowel,0,0,0,0,0.06569343065693431,0.011111111111111112,2,<=2 languages
phoneme_519,ṇ,consonant,0,0,0,0,0.072992700729927,0.011111111111111112,2,<=2 languages
phoneme_532,ŋᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_534,n̪ᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_547,n̪,consonant,0,0,0,0,0.029197080291970802,0.011111111111111112,2,<=2 languages
phoneme_549,mᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_553,ɡ̤,consonant,0,0,0,0,0.051094890510948905,0.011111111111111112,2,<=2 languages
phoneme_557,ʄ,consonant,0,0,0,0,0.014598540145985401,0.005555555555555556,1,<=2 languages
phoneme_580,d̪,consonant,0,0,0,0,0.021897810218978103,0.005555555555555556,1,<=2 languages
phoneme_607,ɗ̣,consonant,0,0,0,0,0.021897810218978103,0.005555555555555556,1,<=2 languages
phoneme_614,t̪ᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_622,d̤,consonant,0,0,0,0,0.043795620437956206,0.011111111111111112,2,<=2 languages
phoneme_630,ɠ,consonant,0,0,0,0,0.014598540145985401,0.005555555555555556,1,<=2 languages
phoneme_636,ⁿ̃ɟ,consonant,0,0,0,0,0.0072992700729927005,0.011111111111111112,2,<=2 languages
phoneme_643,b̤,consonant,0,0,0,0,0.051094890510948905,0.011111111111111112,2,<=2 languages
phoneme_645,pʷ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_662,ɓʷ,consonant,0,0,0,0,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_666,d̪̤,consonant,0,0,0,0,0,0.011111111111111112,2,<=2 languages
phoneme_673,t̪ʰ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_674,bᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_676,cʰ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_687,kᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_688,ɗ,consonant,0,0,0,0,0.08029197080291971,0.011111111111111112,2,<=2 languages
phoneme_707,ɹ̥,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_710,ˀr,consonant,0,0,0,0,0.0072992700729927005,0.005555555555555556,1,<=2 languages
phoneme_712,rᵚ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
phoneme_716,ʁ,consonant,0,0,0,0,0,0.005555555555555556,1,<=2 languages
