phoneme,ipa,class,winning_model,er_rate,ard_rate_01,ard_rate_10,er2_rate_bg,er2_rate_ph,ard2_rate_bg_01,ard2_rate_bg_10,ard2_rate_ph_01,ard2_rate_ph_10,span_has,eng_has,jap_has,ph_prevalence,unrelated_prevalence,austronesian_prevalence,n_austronesian,n_ph,austronesian_nonph_prevalence,p_er_vs_ard,p_1reg_vs_2reg,loglik_er,loglik_ard,loglik_1reg,loglik_2reg,ard_se_na,reg2_se_na,fit_note
phoneme_012,ɡ̌,consonant,ER2,0.06937022956212949,0.0675958764050811,0.0879320904470943,0.05415993173637187,0.23505195270668844,NA,NA,NA,NA,0,1,1,0.20454545454545456,0.45985401459854014,0.18023255813953487,31,9,0.171875,0.7045826882267772,0.030775115961571644,-60.76495381137,-60.69307962076945,-61.45810099192989,-59.125369248460785,FALSE,FALSE,
phoneme_038,č,consonant,ER1,0.09192000807655812,0.08939766800293523,0.1795345786513761,0.09800624767802978,0.047264262832786445,NA,NA,NA,NA,1,1,1,0.022727272727272728,0.6204379562043796,0.1686046511627907,29,1,0.21875,0.23152125463914472,0.4402596615886211,-65.68291336447766,-64.9671678462643,-66.37606054504488,-66.07825780207327,FALSE,FALSE,
phoneme_072,ⁿ̃ɡ̌,consonant,ER1,0.011026294551813356,0,1.0226939193844442,0.012017553696331956,0,NA,NA,NA,NA,0,0,0,0,0.014598540145985401,0.029069767441860465,5,0,0.0390625,0.004120686387968685,0.47722847062053136,-17.55164573567382,-13.43671916039469,-18.24479291623375,-17.992197865604343,TRUE,TRUE,NaNs produced | Inf replaced by maximum positive value | ARD favoured by LRT but SE non-finite; forced ER
phoneme_089,tˢ,consonant,ER1,0.02636908247518135,0.020083670930587102,0.19663253795901403,0.028876727251997854,0,NA,NA,NA,NA,0,0,0,0,0.3722627737226277,0.06976744186046512,12,0,0.09375,1,0.2721069481788317,-26.529688250545426,-27.14539234118822,-27.222835431105374,-26.61978810660248,FALSE,TRUE,
phoneme_121,o,vowel,ARD2,0.21986339273388789,1.4562144313078993,0.5519322065457021,NA,NA,0.22057572899792383,0.09294199519233012,1.5102034912445386,1.6901466309641098,1,0,1,0.45454545454545453,0.708029197080292,0.686046511627907,118,20,0.765625,1.2342545154904897e-4,1.9802127678866658e-4,-107.41422521172701,-100.04441745604302,-100.73756463660429,-92.21042856208992,FALSE,FALSE,
phoneme_123,u,vowel,ER2,0.07189026740261431,1162.487456831778,127.49832147297992,0.03850047947901385,0.48397430217693294,NA,NA,NA,NA,1,0,0,0.8181818181818182,0.8686131386861314,0.9011627906976745,155,36,0.9296875,1.3342129914808603e-10,1.3341776503164294e-5,-75.40926253780258,-54.78038387793333,-76.10240971836224,-66.62190917076126,TRUE,FALSE,NaNs produced | ARD favoured by LRT but SE non-finite; forced ER
phoneme_125,ɒ,vowel,ARD1,0.0224555867715328,0,0.876815766664608,NA,NA,0.034459640022181964,1.0013003406581897,0,14.896554778318817,0,0,0,0,0.0364963503649635,0.03488372093023256,6,0,0.046875,0.0024741739718648716,0.7668451873756007,-27.561859758526122,-22.982062539290155,-23.675209719845277,-23.409739380104806,FALSE,TRUE,NaNs produced | Inf replaced by maximum positive value
phoneme_128,ɔ,vowel,ARD1,0.18448375283587404,0.23540435269279172,0.6072138728347924,NA,NA,0.3356812867764951,0.8499987220537328,0.14969876010582905,0,0,1,0,0.11363636363636363,0.26277372262773724,0.23255813953488372,40,5,0.2734375,0.009565527722733436,0.4032405175475585,-88.62248957798742,-85.26545565891215,-85.95860283947333,-85.05038076214888,FALSE,FALSE,
phoneme_130,ɑ,vowel,ER1,0.007252136010044013,0.020429556003713514,1.4182769111595508,0.00788993463411577,0,NA,NA,NA,NA,0,1,0,0,0.10948905109489052,0.01744186046511628,3,0,0.0234375,0.13880320829235918,0.5643051652755077,-12.44793094630428,-11.352342420470418,-13.14107812686417,-12.974925799876964,FALSE,TRUE,NaNs produced | Inf replaced by maximum positive value
phoneme_134,ʊ,vowel,ER1,0.0346578862729495,78.95201749284584,1429.908733397402,0.029019814836507812,0.09543395195049445,NA,NA,NA,NA,0,1,0,0.045454545454545456,0.1386861313868613,0.05232558139534884,9,2,0.0546875,5.380711639520693e-7,0.1947907993563736,-47.18074714316675,-34.61959900177916,-47.87389432372699,-47.03339119927442,TRUE,FALSE,NaNs produced | ARD favoured by LRT but SE non-finite; forced ER
phoneme_136,ɐ,vowel,ARD1,0.018483395865794318,0.05496953454387701,1.5326812417921012,NA,NA,0.04807720614637724,1.4058559135672604,0.04609166238309041,0,0,1,0,0.022727272727272728,0.029197080291970802,0.029069767441860465,5,1,0.03125,0.04826660177058924,0.9399565454890123,-23.435550460209303,-21.48521104976175,-22.17835823032373,-22.11643659733391,FALSE,FALSE,
phoneme_139,ə,vowel,ARD2,0.18592582760765017,0.7470516727855455,1.8823838260018653,NA,NA,0.09243486002470407,0.12782111617993816,10.30471007680023,19.918880187635416,0,1,0,0.3409090909090909,0.24817518248175183,0.29651162790697677,51,15,0.28125,0.004275077729040264,2.884632844080285e-7,-107.25714875029372,-103.17558902135316,-103.86873620191601,-88.8100381790687,FALSE,FALSE,
phoneme_141,ɨ,vowel,ARD2,0.12286745489740278,0.33298407051551243,1.6949366546704752,NA,NA,0.048619895859667944,0.3083050753311023,1.0839900895451355,2.1093273779925954,0,0,0,0.38636363636363635,0.12408759124087591,0.20930232558139536,36,17,0.1484375,7.587502526273976e-6,0.0010158937461292332,-90.0952228134209,-80.07567598530635,-80.76882316587212,-73.87683664999588,FALSE,FALSE,
phoneme_145,a,vowel,ARD1,0.04301233356142116,2.08395337835755,0.15434056378280622,NA,NA,1.8033045864425494,0.13565860117350886,31.49413119736679,1.499925324886104,1,1,1,0.9545454545454546,0.8394160583941606,0.9302325581395349,160,42,0.921875,4.1008919122070955e-4,0.48856224563362805,-47.49030480942784,-41.24747797170816,-41.94062515226685,-41.224336758622684,FALSE,FALSE,
phoneme_284,ð,consonant,ER1,0.03866879612271571,0.04590641751328895,0.36566010539579835,0.042556825577940466,0,NA,NA,NA,NA,0,1,0,0,0.051094890510948905,0.05813953488372093,10,0,0.078125,0.2926541222016755,0.18373293831911217,-36.30286866558341,-35.74918310280319,-36.99601584614334,-36.112431798998244,FALSE,TRUE,
phoneme_294,ɣ,consonant,ER2,0.10339197789452201,0.09228683551025915,0,0.0829365686908168,0.3022344106674671,NA,NA,NA,NA,0,0,0,0.22727272727272727,0.15328467153284672,0.20348837209302326,35,10,0.1953125,0.4983149702728599,0.031732471586405485,-73.66181525815875,-73.4325536611084,-74.35496243871863,-72.04851634841944,TRUE,FALSE,NaNs produced | Inf replaced by maximum positive value
phoneme_312,š,consonant,ARD1,0.03490414292478765,0.06310947249692692,1.0106492048721594,NA,NA,0.09318313624095716,1.2584961382423563,0,0,0,1,1,0,0.5547445255474452,0.05813953488372093,10,0,0.078125,0.004244968995404404,0.28206603456607227,-36.62269607190039,-32.53472659858132,-33.22787377914123,-31.962259708812745,FALSE,TRUE,
phoneme_327,β,consonant,ARD2,0.07413739565876425,0.11232070930793156,0.6531503736150484,NA,NA,0.09000247452103684,0.5401026812301087,0.5423488997526333,8.642137683329464,0,0,0,0.06818181818181818,0.051094890510948905,0.13372093023255813,23,3,0.15625,0.047807904429417146,0.04153098523177749,-64.20229088694738,-62.243927966517646,-62.9370751470875,-59.75575964884196,FALSE,FALSE,
phoneme_328,f,consonant,ARD1,0.14514984810568832,0.11717224909526294,0.45966572217847307,NA,NA,0.15514125964603412,0.5053135798172337,0.04869917958937255,0,1,1,0,0.06818181818181818,0.38686131386861317,0.2441860465116279,42,3,0.3046875,0.006020071444852556,0.3379709625263761,-83.10115824291249,-79.32901587333227,-80.02216305389213,-78.93736775701728,FALSE,FALSE,
