phoneme,ipa,class,winning_model,node,p_present,n_desc_tips,in_philippine_clade
phoneme_121,o,vowel,ARD2,173,0.046,172,FALSE
phoneme_121,o,vowel,ARD2,174,0.016,5,FALSE
phoneme_121,o,vowel,ARD2,175,0.016,3,FALSE
phoneme_121,o,vowel,ARD2,176,0.006,2,FALSE
phoneme_121,o,vowel,ARD2,177,0.016,2,FALSE
phoneme_121,o,vowel,ARD2,178,0.046,167,FALSE
phoneme_121,o,vowel,ARD2,179,0.046,166,FALSE
phoneme_121,o,vowel,ARD2,180,0.046,165,FALSE
phoneme_121,o,vowel,ARD2,181,0.261,160,FALSE
phoneme_121,o,vowel,ARD2,182,0.326,159,FALSE
phoneme_121,o,vowel,ARD2,183,0.326,114,FALSE
phoneme_121,o,vowel,ARD2,184,0.326,107,FALSE
phoneme_121,o,vowel,ARD2,185,0.837,11,FALSE
phoneme_121,o,vowel,ARD2,186,0.898,9,FALSE
phoneme_121,o,vowel,ARD2,187,0.901,8,FALSE
phoneme_121,o,vowel,ARD2,188,0.888,7,FALSE
phoneme_121,o,vowel,ARD2,189,0.997,2,FALSE
phoneme_121,o,vowel,ARD2,190,0.888,5,FALSE
phoneme_121,o,vowel,ARD2,191,0.888,4,FALSE
phoneme_121,o,vowel,ARD2,192,0.994,3,FALSE
phoneme_121,o,vowel,ARD2,193,1,2,FALSE
phoneme_121,o,vowel,ARD2,194,0.893,2,FALSE
phoneme_121,o,vowel,ARD2,195,0.334,96,FALSE
phoneme_121,o,vowel,ARD2,196,0.975,92,FALSE
phoneme_121,o,vowel,ARD2,197,0.976,91,FALSE
phoneme_121,o,vowel,ARD2,198,0.976,89,FALSE
phoneme_121,o,vowel,ARD2,199,0.996,85,FALSE
phoneme_121,o,vowel,ARD2,200,0.995,2,FALSE
phoneme_121,o,vowel,ARD2,201,0.999,83,FALSE
phoneme_121,o,vowel,ARD2,202,1,82,FALSE
phoneme_121,o,vowel,ARD2,203,1,70,FALSE
phoneme_121,o,vowel,ARD2,204,1,69,FALSE
phoneme_121,o,vowel,ARD2,205,1,30,FALSE
phoneme_121,o,vowel,ARD2,206,0.997,21,FALSE
phoneme_121,o,vowel,ARD2,207,0.981,20,FALSE
phoneme_121,o,vowel,ARD2,208,0.983,18,FALSE
phoneme_121,o,vowel,ARD2,209,0.999,12,FALSE
phoneme_121,o,vowel,ARD2,210,0.999,8,FALSE
phoneme_121,o,vowel,ARD2,211,0.999,7,FALSE
phoneme_121,o,vowel,ARD2,212,1,2,FALSE
phoneme_121,o,vowel,ARD2,213,0.972,5,FALSE
phoneme_121,o,vowel,ARD2,214,0.972,4,FALSE
phoneme_121,o,vowel,ARD2,215,0.416,3,FALSE
phoneme_121,o,vowel,ARD2,216,0.416,2,FALSE
phoneme_121,o,vowel,ARD2,217,1,4,FALSE
phoneme_121,o,vowel,ARD2,218,1,3,FALSE
phoneme_121,o,vowel,ARD2,219,1,2,FALSE
phoneme_121,o,vowel,ARD2,220,0.983,6,FALSE
phoneme_121,o,vowel,ARD2,221,0.98,5,FALSE
phoneme_121,o,vowel,ARD2,222,0.959,4,FALSE
phoneme_121,o,vowel,ARD2,223,0.102,3,FALSE
phoneme_121,o,vowel,ARD2,224,0.102,2,FALSE
phoneme_121,o,vowel,ARD2,225,0.981,2,FALSE
phoneme_121,o,vowel,ARD2,226,0.998,9,FALSE
phoneme_121,o,vowel,ARD2,227,0.998,8,FALSE
phoneme_121,o,vowel,ARD2,228,1,7,FALSE
phoneme_121,o,vowel,ARD2,229,1,6,FALSE
phoneme_121,o,vowel,ARD2,230,1,2,FALSE
phoneme_121,o,vowel,ARD2,231,1,4,FALSE
phoneme_121,o,vowel,ARD2,232,1,2,FALSE
phoneme_121,o,vowel,ARD2,233,1,2,FALSE
phoneme_121,o,vowel,ARD2,234,1,39,FALSE
phoneme_121,o,vowel,ARD2,235,1,4,FALSE
phoneme_121,o,vowel,ARD2,236,0.991,2,FALSE
phoneme_121,o,vowel,ARD2,237,0.996,2,FALSE
phoneme_121,o,vowel,ARD2,238,1,35,FALSE
phoneme_121,o,vowel,ARD2,239,1,18,FALSE
phoneme_121,o,vowel,ARD2,240,1,5,FALSE
phoneme_121,o,vowel,ARD2,241,0.998,3,FALSE
phoneme_121,o,vowel,ARD2,242,0.988,2,FALSE
phoneme_121,o,vowel,ARD2,243,1,2,FALSE
phoneme_121,o,vowel,ARD2,244,0.999,13,FALSE
phoneme_121,o,vowel,ARD2,245,1,9,FALSE
phoneme_121,o,vowel,ARD2,246,0.998,3,FALSE
phoneme_121,o,vowel,ARD2,247,0.994,2,FALSE
phoneme_121,o,vowel,ARD2,248,1,6,FALSE
phoneme_121,o,vowel,ARD2,249,0.999,2,FALSE
phoneme_121,o,vowel,ARD2,250,1,4,FALSE
phoneme_121,o,vowel,ARD2,251,1,3,FALSE
phoneme_121,o,vowel,ARD2,252,0.998,2,FALSE
phoneme_121,o,vowel,ARD2,253,0.994,4,FALSE
phoneme_121,o,vowel,ARD2,254,0.973,3,FALSE
phoneme_121,o,vowel,ARD2,255,0.973,2,FALSE
phoneme_121,o,vowel,ARD2,256,0.998,17,FALSE
phoneme_121,o,vowel,ARD2,257,0.998,7,FALSE
phoneme_121,o,vowel,ARD2,258,0.998,2,FALSE
phoneme_121,o,vowel,ARD2,259,0.995,5,FALSE
phoneme_121,o,vowel,ARD2,260,1,4,FALSE
phoneme_121,o,vowel,ARD2,261,1,3,FALSE
phoneme_121,o,vowel,ARD2,262,1,2,FALSE
phoneme_121,o,vowel,ARD2,263,0.996,10,FALSE
phoneme_121,o,vowel,ARD2,264,0.936,2,FALSE
phoneme_121,o,vowel,ARD2,265,0.998,8,FALSE
phoneme_121,o,vowel,ARD2,266,0.997,5,FALSE
phoneme_121,o,vowel,ARD2,267,0.99,4,FALSE
phoneme_121,o,vowel,ARD2,268,1,2,FALSE
phoneme_121,o,vowel,ARD2,269,0.988,2,FALSE
phoneme_121,o,vowel,ARD2,270,1,3,FALSE
phoneme_121,o,vowel,ARD2,271,1,2,FALSE
phoneme_121,o,vowel,ARD2,272,0.998,12,FALSE
phoneme_121,o,vowel,ARD2,273,1,7,FALSE
phoneme_121,o,vowel,ARD2,274,1,3,FALSE
phoneme_121,o,vowel,ARD2,275,0.999,2,FALSE
phoneme_121,o,vowel,ARD2,276,1,4,FALSE
phoneme_121,o,vowel,ARD2,277,1,3,FALSE
phoneme_121,o,vowel,ARD2,278,1,2,FALSE
phoneme_121,o,vowel,ARD2,279,0.998,5,FALSE
phoneme_121,o,vowel,ARD2,280,0.99,4,FALSE
phoneme_121,o,vowel,ARD2,281,0.978,3,FALSE
phoneme_121,o,vowel,ARD2,282,0.976,2,FALSE
phoneme_121,o,vowel,ARD2,283,0.99,4,FALSE
phoneme_121,o,vowel,ARD2,284,0.99,3,FALSE
phoneme_121,o,vowel,ARD2,285,0.991,2,FALSE
phoneme_121,o,vowel,ARD2,286,0.976,2,FALSE
phoneme_121,o,vowel,ARD2,287,0.334,4,FALSE
phoneme_121,o,vowel,ARD2,288,0.79,2,FALSE
phoneme_121,o,vowel,ARD2,289,0.418,2,FALSE
phoneme_121,o,vowel,ARD2,290,0.325,7,FALSE
phoneme_121,o,vowel,ARD2,291,0.012,6,FALSE
phoneme_121,o,vowel,ARD2,292,0.012,3,FALSE
phoneme_121,o,vowel,ARD2,293,0.008,2,FALSE
phoneme_121,o,vowel,ARD2,294,0.023,3,FALSE
phoneme_121,o,vowel,ARD2,295,0.023,2,FALSE
phoneme_121,o,vowel,ARD2,296,0.328,45,FALSE
phoneme_121,o,vowel,ARD2,297,0.545,44,TRUE
phoneme_121,o,vowel,ARD2,298,0.539,22,TRUE
phoneme_121,o,vowel,ARD2,299,0.539,13,TRUE
phoneme_121,o,vowel,ARD2,300,0.54,12,TRUE
phoneme_121,o,vowel,ARD2,301,0.841,3,TRUE
phoneme_121,o,vowel,ARD2,302,0.841,2,TRUE
phoneme_121,o,vowel,ARD2,303,0.545,9,TRUE
phoneme_121,o,vowel,ARD2,304,0.555,7,TRUE
phoneme_121,o,vowel,ARD2,305,0,5,TRUE
phoneme_121,o,vowel,ARD2,306,0,4,TRUE
phoneme_121,o,vowel,ARD2,307,0.002,2,TRUE
phoneme_121,o,vowel,ARD2,308,0,2,TRUE
phoneme_121,o,vowel,ARD2,309,0.654,2,TRUE
phoneme_121,o,vowel,ARD2,310,0.546,2,TRUE
phoneme_121,o,vowel,ARD2,311,0.539,9,TRUE
phoneme_121,o,vowel,ARD2,312,0.422,6,TRUE
phoneme_121,o,vowel,ARD2,313,0.395,5,TRUE
phoneme_121,o,vowel,ARD2,314,0.394,4,TRUE
phoneme_121,o,vowel,ARD2,315,0.577,3,TRUE
phoneme_121,o,vowel,ARD2,316,0.583,2,TRUE
phoneme_121,o,vowel,ARD2,317,0.503,3,TRUE
phoneme_121,o,vowel,ARD2,318,0.494,2,TRUE
phoneme_121,o,vowel,ARD2,319,0.543,22,TRUE
phoneme_121,o,vowel,ARD2,320,0.505,21,TRUE
phoneme_121,o,vowel,ARD2,321,0.425,6,TRUE
phoneme_121,o,vowel,ARD2,322,0.022,5,TRUE
phoneme_121,o,vowel,ARD2,323,0.021,4,TRUE
phoneme_121,o,vowel,ARD2,324,0.026,2,TRUE
phoneme_121,o,vowel,ARD2,325,0.022,2,TRUE
phoneme_121,o,vowel,ARD2,326,0.637,15,TRUE
phoneme_121,o,vowel,ARD2,327,0.637,14,TRUE
phoneme_121,o,vowel,ARD2,328,0.702,4,TRUE
