language,Language_type,PC1,PC2,cluster
Hadza,Unrelated Language,18.06052385603667,1.4490162152893673,Noise
Kxoe,Unrelated Language,26.855385272136548,-19.892287334801573,1
Buka,Unrelated Language,27.173364614772055,-19.41383117774814,1
Xu^,Unrelated Language,29.4661596221453,-20.880905758557557,Noise
\u450?Hu^,Unrelated Language,22.87181126638343,-15.321362082200082,Noise
Temne,Unrelated Language,-2.2475047493150906,-1.3568252960971035,2
Suppire,Unrelated Language,-2.0044339374380864,-1.3069144956899015,2
Dagbani,Unrelated Language,-2.037939708484315,-0.6311556661739254,2
Mumuye,Unrelated Language,-1.795507903261712,-0.8976949333362075,2
Fon,Unrelated Language,-1.7254316869059136,-1.1776494309075898,2
Nupe,Unrelated Language,-1.344146264284643,-0.959067158375541,2
Idoma,Unrelated Language,-1.066544309827696,0.6343382586034771,3
Degema,Unrelated Language,-1.8916546510723133,-1.01088909015486,2
Igbo,Unrelated Language,-1.967803839009823,-1.3775927046117848,2
Aghem,Unrelated Language,-1.4250769794929703,-0.9067476736470566,2
Babanki,Unrelated Language,-1.097415533945405,-0.261926337264792,2
Tikar,Unrelated Language,-1.360262524793279,-0.09416529657890906,2
Bembe\sub 2\nosupersub,Unrelated Language,-1.1395880705541186,-0.994603880653346,2
Nyoro,Unrelated Language,-1.6219393345441904,-0.4369381860713322,2
Nyakyusa,Unrelated Language,-1.98503204390487,-1.1312288043687133,2
Mwera,Unrelated Language,-1.4581653699368895,-0.21653537689376226,2
Tswana,Unrelated Language,10.734801196552494,3.8190528031602478,Noise
Southern Sotho,Unrelated Language,14.747833058172954,2.164656352499782,Noise
Lozi,Unrelated Language,-1.8732435670939647,-0.7275798010876218,2
Songhai,Unrelated Language,-0.8806857221524508,0.6540175633850744,3
Kanuri,Unrelated Language,-1.9424944030783615,-0.6289330634745507,2
Fur,Unrelated Language,-2.1462263658577894,-1.131110911298238,2
Dongolawi,Unrelated Language,-1.867601496323152,-0.5314474271941209,2
Murle,Unrelated Language,-2.169222019407246,-1.084251846918233,2
Shilluk,Unrelated Language,-2.048865975932377,-1.1335711111957147,2
Nuer,Unrelated Language,-2.3381402139683387,-1.3339787917620443,2
Mangbetu,Unrelated Language,-1.8955280687483411,-0.9800060122356552,2
Coptic,Unrelated Language,-1.649922783309767,-0.6772778684360399,2
Tera,Unrelated Language,0.24555214759561325,3.0689251081893585,Noise
Margi,Unrelated Language,-0.3550854253304429,1.0238502650937822,3
Kilba,Unrelated Language,-0.35181544112427526,1.0373774499585704,3
Glavda,Unrelated Language,-0.37437967787681664,0.9844128835588526,3
Gude,Unrelated Language,-0.9649214070792588,-0.16567722281986888,2
Kanakuru,Unrelated Language,-1.9714270395471591,-0.8194147368988941,2
Sura,Unrelated Language,-1.506966743127922,-0.5928953741278563,2
Paa,Unrelated Language,-1.7802103132731322,-0.895290786012531,2
Zayse,Unrelated Language,1.9780993657713402,3.2310233323435327,4
Kemant,Unrelated Language,-0.055580273835990956,2.3364987402462596,5
Bilin,Unrelated Language,4.334105174622486,7.68664032446064,Noise
Burji,Unrelated Language,1.9947278882092139,3.8404687902171384,4
Hadiyya,Unrelated Language,2.0039947009646917,3.8277310314552455,4
Yaaku,Unrelated Language,-1.8587697199291544,-0.6884914773251757,2
Afar,Unrelated Language,-2.0844231648896328,-0.8160100475764724,2
Dasenech,Unrelated Language,-1.9568993745103762,-0.6205811776878247,2
Georgian,Unrelated Language,5.55684163582398,7.476407763177181,6
Basque,Unrelated Language,-1.4734625887078385,-0.6095476344003264,2
Kabardian,Unrelated Language,8.615793037321069,12.3257393813652,Noise
Hunzib,Unrelated Language,6.718100933595414,9.09187977354985,Noise
Lezgi,Unrelated Language,6.77568925771169,7.759856815157639,Noise
Spanish,Language of Interest,-1.963065767175412,-1.1895179678472638,2
English,Language of Interest,-1.964072876946627,-0.2618616142941844,2
Hungarian,Unrelated Language,-1.3185744458379123,-0.2891837223007989,2
Eastern Saami,Unrelated Language,-1.0584152604112784,-0.13520908176762247,2
Southern Saami,Unrelated Language,-1.1489665519762167,-0.45388157449843913,2
Finnish,Unrelated Language,-2.240319965775139,-1.2144630105916963,2
Ingrian,Unrelated Language,-1.7831817892204764,-0.22201254003976187,2
Vepsian,Unrelated Language,-1.6920543506112102,-0.20152801548484353,2
Livonian,Unrelated Language,-1.1940492663087803,-0.05307196556176701,2
Chuvash,Unrelated Language,-1.7234099289444431,0.08396558845834703,2
Gagauz,Unrelated Language,-2.122869036079356,-0.5244082006878554,2
Turkish,Unrelated Language,-2.110174540938344,-0.6792625524232521,2
Crimean Turkish,Unrelated Language,-1.477974786687084,0.1078174325694489,2
Turkmen,Unrelated Language,-2.035608445068811,-0.49964566172430347,2
Azerbaijani,Unrelated Language,-1.7951472090344247,0.45312168484753323,2
Uzbek,Unrelated Language,-1.0598463562237372,0.6403138424277447,3
Bashkir,Unrelated Language,-1.4132840195455463,-0.030030080104254668,2
Tatar,Unrelated Language,-1.775538194194838,-0.25697011677353754,2
Baraba,Unrelated Language,-1.034882664706271,0.616671662865397,3
Kalmyk,Unrelated Language,-1.4453990984936305,-0.18742081949614123,2
Japanese,Language of Interest,-2.003053873375708,-0.7159489609430103,2
Greenlandic,Unrelated Language,-1.4931394889781633,-0.3340069669118353,2
Malto,Unrelated Language,-1.848605458183063,-0.9010722406746187,2
Kannada,Unrelated Language,-1.9174321947124335,-1.3152758750796063,2
Kodagu,Unrelated Language,-2.1227181212154402,-1.4160247018362182,2
Tamil,Unrelated Language,-2.0545669680372116,-1.4500463645102033,2
Malayalam,Unrelated Language,-2.278769322642464,-1.129531976772248,2
Newari,Unrelated Language,-1.5472064490822466,-1.5575618964417917,2
Lepcha,Unrelated Language,-0.3315045831724988,-0.8398617661978495,2
Thakali,Unrelated Language,-1.8067513928916918,-1.422835160014166,2
Chepang,Unrelated Language,-1.861917096917059,-1.4262665803130048,2
Thulung,Unrelated Language,-1.5955901264099381,-1.448512654021144,2
Sunwar,Unrelated Language,-0.6825610793678962,-0.9509237384955844,2
Khaling,Unrelated Language,-1.8681896635189663,-1.3622508125289503,2
Bodo,Unrelated Language,-1.961738498529268,-1.0897688878548666,2
Garo,Unrelated Language,-1.3873235247712683,-1.0178929426681171,2
Nocte,Unrelated Language,-1.4013819762097426,-0.8969469362691099,2
Lotha,Unrelated Language,-1.4545177672273757,-0.7442138809326535,2
Ao,Unrelated Language,-1.4545177672273757,-0.7442138809326535,2
Angami,Unrelated Language,-0.619609068888958,-0.2559418577749636,2
Tangkhul,Unrelated Language,-1.2868122080093725,-0.7284737740816474,2
Thado,Unrelated Language,-1.658142832266764,-1.1258286020467576,2
Khasi,Unrelated Language,-1.5023260858411114,-1.0531290542793528,2
Isnag,Philippine Language,-2.221825748942579,-1.245826675096658,2
Yogad,Philippine Language,-2.1491117684121566,-1.2724239606649432,2
Agta,Philippine Language,-2.1769266256948296,-1.1679704635171952,2
Gaddang,Philippine Language,-2.0967647173019888,-1.2523712046664301,2
Ibanag,Philippine Language,-2.103051799937198,-1.29850773826949,2
Atta,Philippine Language,-2.100786435247685,-1.297383192945581,2
Casiguran Dumagat,Philippine Language,-2.1299708137643623,-1.3155494877705622,2
Ilokano,Philippine Language,-2.103258667389748,-1.2973269949575994,2
Itneg,Philippine Language,-2.1035835849682325,-1.2614949406487184,2
North Kalinga,Philippine Language,-2.149677224366289,-1.2791621664296038,2
Central Kalinga,Philippine Language,-2.1008852165468235,-1.3111751909103815,2
South Kalinga,Philippine Language,-2.151433151926579,-1.2898939530259588,2
Balangaw,Philippine Language,-2.176723368101629,-1.2546704060617615,2
Central Ifugao,Philippine Language,-2.0964849433498522,-1.3122875432008971,2
East Ifugao,Philippine Language,-2.095214590263582,-1.2645686080513956,2
Central Bontok,Philippine Language,-2.150029083674993,-1.291747772014888,2
North Kankanay,Philippine Language,-2.116565948004383,-1.313872010595841,2
Ilongot,Philippine Language,-2.0847867170409358,-1.2660773855143552,2
Pangasinan,Philippine Language,-2.1631729806623317,-1.3094350362513398,2
Inibaloi,Philippine Language,-2.100632401682581,-1.1836224234823893,2
North Kallahan,Philippine Language,-2.183542219914931,-1.376613539063349,2
Itbayaten,Philippine Language,-1.9631552104547043,-1.1741080653259368,2
Ivatanen,Philippine Language,-2.093390447779864,-1.1696201459842537,2
Kapampangan,Philippine Language,-2.140977230947027,-1.3255149154006995,2
Tina,Philippine Language,-2.132864786124424,-1.3198297959269691,2
Iraya,Philippine Language,-2.169133070873102,-1.349897184426624,2
Siocon Subanon,Philippine Language,-2.0819473962763655,-1.317858581189654,2
Sindangan,Philippine Language,-2.1245750025235703,-1.3171280368069767,2
Binukid,Philippine Language,-2.128847166212406,-1.3210428887362053,2
Ata,Philippine Language,-2.1484688164721,-1.2889780228140801,2
Tigwa,Philippine Language,-2.1291029320692947,-1.3206103677272398,2
Dibabawon,Philippine Language,-2.133025443019959,-1.3186747016827034,2
Ilianen,Philippine Language,-2.0994115754326326,-1.2969865423711924,2
Western Bukidnon,Philippine Language,-2.1027269685865333,-1.302365729106257,2
Sarangani Manobo,Philippine Language,-2.122345881360161,-1.2630459089926018,2
Kalamansig,Philippine Language,-2.0898742084701447,-1.2534191757761535,2
Magindanao,Philippine Language,-2.1320672675237735,-1.3215262979391185,2
Maranao,Philippine Language,-2.13719318301412,-1.303257653589404,2
Hanunoo,Philippine Language,-2.1380128954925484,-1.3245989851888207,2
Buhid,Philippine Language,-2.1440994928897545,-1.3302716656896336,2
Kalamianen,Philippine Language,-2.1189751361222373,-1.3357326218327474,2
Batak,Philippine Language,-2.1371469724571055,-1.3032833026570294,2
Tagbanwa,Philippine Language,-2.133025443019959,-1.3186747016827034,2
Tagalog,Philippine Language,-2.1805612544356006,-1.2822403380631875,2
Naga,Philippine Language,-2.106097263709669,-1.248515851521257,2
Mansakan,Philippine Language,-2.1460031352555133,-1.327845301121136,2
Kalagan,Philippine Language,-2.1750207184116723,-1.26708214428792,2
Mamanwa,Philippine Language,-2.1705267523604315,-1.2028519198161112,2
Tausug,Philippine Language,-2.098192580933961,-1.2022506201439016,2
Cebuano,Philippine Language,-2.239400851678564,-1.384534686374407,2
Waray,Philippine Language,-2.10174461074387,-1.2945315966891657,2
Hiligaynon,Philippine Language,-2.1383185442442367,-1.3372102398417305,2
Kuyunon,Philippine Language,-2.171952414471427,-1.3370467657413279,2
Tiruray,Philippine Language,-1.8834348137874584,-1.181698370173053,2
Tboli,Philippine Language,-2.098664729353588,-1.2755677470154125,2
Cotabato Bilaan,Philippine Language,-2.145127823219948,-1.3164874254180359,2
Sarangani Bilaan,Philippine Language,-2.0726223235166352,-1.2118238222534814,2
Sangil,Philippine Language,-2.2053751735285667,-1.4174333591264705,2
Kusunda,Unrelated Language,-1.1725369849522091,-1.2213244039968898,2
Maung,Unrelated Language,-2.4218213489585407,-1.5953714197064857,2
Ngalkbon,Unrelated Language,-2.435436333615815,-1.592983789043578,2
Wagiman,Unrelated Language,-2.1399288548531894,-1.357383538884638,2
Marithiyel,Unrelated Language,-2.347265883351629,-1.4423419363076762,2
Maranungku,Unrelated Language,-2.2325113332221695,-1.280121174244548,2
Gugu Yalandyi,Unrelated Language,-2.2260014515894344,-1.3589364762934855,2
Pitta-Pitta,Unrelated Language,-2.7706813225956335,-1.870142304569369,2
Kalkatungu,Unrelated Language,-2.7667588116449693,-1.8720779706139055,2
Yalarnnga,Unrelated Language,-2.435584048734554,-1.6094610426359814,2
Aranda,Unrelated Language,-2.6616830727911385,-1.7971744639472333,2
Nhanda,Unrelated Language,-2.7257336045497955,-1.837719934772443,2
Eyak,Unrelated Language,8.597395421569777,10.736547592693487,7
Hare,Unrelated Language,6.686181774129208,6.931951416204327,8
Slave,Unrelated Language,7.075460392667854,7.058961363747856,8
Chipewyan,Unrelated Language,9.001872827823885,10.28795294643253,7
Yurok,Unrelated Language,3.3767137676250107,6.268944740542348,Noise
Blackfoot,Unrelated Language,-1.884275237544349,-1.1606424404574844,2
Arapaho,Unrelated Language,-1.8163736564726962,-1.0243645106083465,2
Shawnee,Unrelated Language,-1.8639635136482102,-0.7407255581340197,2
Micmac,Unrelated Language,-2.041114583847532,-1.1478289269559556,2
Bella Coola,Unrelated Language,8.777470037868081,13.853757301582878,Noise
Halkomelem,Unrelated Language,7.459142578524185,12.047729892610795,Noise
Lushootseed,Unrelated Language,9.740325576301387,13.564846864203158,9
Upper Chehalis,Unrelated Language,9.448774301379693,14.43065329249558,10
Cowlitz,Unrelated Language,9.58103114024628,14.503827812106104,10
Coeur dAlene,Unrelated Language,9.14290735097652,14.705943436591612,10
Yuchi,Unrelated Language,6.846407079056643,6.972824014109548,8
Crow,Unrelated Language,-1.6204626009532517,-0.6959768441948383,2
Hidatsa,Unrelated Language,-1.4405366422987012,-0.503431550522587,2
Cherokee,Unrelated Language,-0.28522214239411353,0.8612138658547125,3
Coos,Unrelated Language,9.66330744003685,13.023582908529908,9
Nez Perce,Unrelated Language,5.036331079190025,7.569621040374073,6
Mountain Maidu,Unrelated Language,0.3722494348563022,1.9724895944409773,5
Chitimacha,Unrelated Language,4.074649651622585,5.0142308662420625,Noise
Alabama,Unrelated Language,-1.769729675186686,-0.5774090776776482,2
Karok,Unrelated Language,-1.7268154283439259,-1.0950354536438551,2
Northern Paiute,Unrelated Language,0.11696487846694045,2.1197675328794916,5
Shoshone,Unrelated Language,-0.2878379210486418,1.0996042672599509,3
Galibi,Unrelated Language,-2.2395936887024286,-1.3804231844358472,2
Wayana,Unrelated Language,-2.19439207091796,-1.3124858390111358,2
Trio,Unrelated Language,-2.2215398587468704,-1.332012359986454,2
Waiwai,Unrelated Language,-1.9048013716945464,-0.9779510298043366,2
