language,Language_type,PC1,PC2,cluster
Isnag,Philippine Language,0.5837170708274759,-2.9959676455353024,Noise
Yogad,Philippine Language,-2.6597852904054307,-0.9501177820653499,1
Agta,Philippine Language,-3.7987743036889126,-2.428069221907757,Noise
Gaddang,Philippine Language,-1.6700265856201313,-0.3465898151750844,1
Ibanag,Philippine Language,0.35754012376279176,0.2581991149108215,2
Atta,Philippine Language,0.39106963020120117,0.20083790269880333,2
Casiguran Dumagat,Philippine Language,0.482998184834833,-0.616316641583113,2
Ilokano,Philippine Language,0.36325695315680007,0.2573325431902138,2
Itneg,Philippine Language,0.408178553486426,0.14054242551105015,2
North Kalinga,Philippine Language,-0.5883489872526138,-0.45536657243395945,3
Central Kalinga,Philippine Language,0.3810656426914175,0.3233858962790254,2
South Kalinga,Philippine Language,-0.5720201036277357,-0.3348047401910133,3
Balangaw,Philippine Language,-0.7644914903070305,0.25966627001302495,3
Central Ifugao,Philippine Language,0.37795083320345346,0.3134497878388451,2
East Ifugao,Philippine Language,0.4118286575905162,0.07596486399950642,2
Central Bontok,Philippine Language,-0.5922044236566957,-0.3344187483777236,3
North Kankanay,Philippine Language,0.1642813115672284,1.4123276651617922,2
Ilongot,Philippine Language,0.4221750885771169,0.4543785342438765,2
Pangasinan,Philippine Language,1.0081948563813274,-0.6731714640039977,2
Inibaloi,Philippine Language,2.01719055327557,-1.7424110649282976,4
North Kallahan,Philippine Language,1.585575358620423,-0.6614147494936634,2
Itbayaten,Philippine Language,-0.7418956852429731,-0.39215868471961995,3
Ivatanen,Philippine Language,-0.7174621589045835,0.09310412761731583,3
Kapampangan,Philippine Language,0.7069757197224178,-0.4746061031906925,2
Tina,Philippine Language,0.16856755977365898,1.2088636937770971,2
Iraya,Philippine Language,0.4916702845986233,0.47804463701285915,2
Siocon Subanon,Philippine Language,0.3007246055036351,0.21958910858126549,2
Sindangan,Philippine Language,-0.07390522141929592,0.9289453895201212,2
Binukid,Philippine Language,0.18111121075136336,1.1538014937668972,2
Ata,Philippine Language,-0.5547352698971539,-0.34598105078526714,3
Tigwa,Philippine Language,0.18104930275972167,1.153355668985126,2
Dibabawon,Philippine Language,0.17385266745597397,1.2087307198598682,2
Ilianen,Philippine Language,0.24589779940692572,0.4534499124491507,2
Western Bukidnon,Philippine Language,0.38633246233603974,1.156821475482689,2
Sarangani Manobo,Philippine Language,-1.8489947054377376,0.4271274065542442,Noise
Kalamansig,Philippine Language,-1.6470244658337985,-0.4130320610466713,1
Magindanao,Philippine Language,0.1637644690291399,1.16453197957938,2
Maranao,Philippine Language,0.7442789539261968,-0.47977151998782724,2
Hanunoo,Philippine Language,0.7242605534529996,-0.48578241378494635,2
Buhid,Philippine Language,0.736588191990432,-0.33347029113523585,2
Kalamianen,Philippine Language,-0.018193753430826052,1.6701050917092743,2
Batak,Philippine Language,0.7438472322145033,-0.4790379221844486,2
Tagbanwa,Philippine Language,0.17385266745597397,1.2087307198598682,2
Tagalog,Philippine Language,1.7921735902780473,-2.7088553307646923,Noise
Naga,Philippine Language,1.3353443600339197,-1.6477039020709874,4
Mansakan,Philippine Language,0.24031504526845562,2.0128216243493444,2
Kalagan,Philippine Language,-2.865716557095331,-0.22391165178138367,1
Mamanwa,Philippine Language,-0.6046120656700615,-0.2595217252487528,3
Tausug,Philippine Language,-0.7875098879286876,-0.40191689326753405,3
Cebuano,Philippine Language,2.003394477175779,-1.3659197001392676,4
Waray,Philippine Language,0.40115782862803523,0.24503664297929162,2
Hiligaynon,Philippine Language,0.7199733953372243,-0.3641009919253319,2
Kuyunon,Philippine Language,0.48395771666613174,0.3674065518302696,2
Tiruray,Philippine Language,-2.221165273749553,-0.4631131937758614,1
Tboli,Philippine Language,0.22917645559414238,0.08676142973994368,2
Cotabato Bilaan,Philippine Language,0.05357761544427973,1.1383176534608046,2
Sarangani Bilaan,Philippine Language,0.42670745976931895,-0.03840307247389503,2
Sangil,Philippine Language,-0.036708213580967715,2.3443046230158977,2
