phoneme,PC1_loading,PC2_loading,ipa,class,IDF,label
phoneme_085,0.3117199288983208,0.17503354990817488,tˢˀ,consonant,5.65248918026865,tˢˀ
phoneme_618,0.24448922693640146,0.19648693279211052,tˀ,consonant,4.95934199970871,tˀ
phoneme_077,0.2119278362256295,0.24409692144091907,čˀ,consonant,5.65248918026865,čˀ
phoneme_599,0.16916549308376375,0.2442624855064059,kˀ,consonant,4.95934199970871,kˀ
phoneme_152,0.1607574891203346,-0.09726031764718247,nǁ,click,5.65248918026865,nǁ
phoneme_164,0.1607574891203346,-0.09726031764718247,!,click,5.65248918026865,!
phoneme_178,0.1607574891203346,-0.09726031764718247,/,click,5.65248918026865,/
phoneme_189,0.1607574891203346,-0.09726031764718247,n/,click,5.65248918026865,n/
phoneme_221,0.1607574891203346,-0.09726031764718247,ǁ,click,5.65248918026865,ǁ
phoneme_166,0.14924590830000906,-0.10271663321410753,/ʰ,click,5.65248918026865,/ʰ
phoneme_174,0.14924590830000906,-0.10271663321410753,n!,click,5.65248918026865,n!
phoneme_230,0.14924590830000906,-0.10271663321410753,ǁʰ,click,5.65248918026865,ǁʰ
phoneme_253,0.14924590830000906,-0.10271663321410753,!ʰ,click,5.65248918026865,!ʰ
phoneme_053,0.14615444507468817,0.18996747444476714,tˡˀ,consonant,5.65248918026865,tˡˀ
phoneme_171,0.13343090911508199,-0.10580929748505284,/ˀ,click,5.65248918026865,/ˀ
phoneme_216,0.13343090911508199,-0.10580929748505284,ǁˀ,click,5.65248918026865,ǁˀ
phoneme_246,0.13343090911508199,-0.10580929748505284,!ˀ,click,5.65248918026865,!ˀ
phoneme_658,0.12188436755546408,0.2018079017280071,pˀ,consonant,4.95934199970871,pˀ
phoneme_691,0.11495919539120278,0.19165937833082258,kˀʷ,consonant,5.65248918026865,kˀʷ
phoneme_104,0.11406350992254197,-0.10787952016583578,kˣˀ,consonant,5.65248918026865,kˣˀ
phoneme_154,0.11406350992254197,-0.10787952016583578,ǁˣ,click,5.65248918026865,ǁˣ
phoneme_165,0.11406350992254197,-0.10787952016583578,ǁˣˀ,click,5.65248918026865,ǁˣˀ
phoneme_168,0.11406350992254197,-0.10787952016583578,ǂʰ,click,5.65248918026865,ǂʰ
phoneme_177,0.11406350992254197,-0.10787952016583578,ǂ,click,5.65248918026865,ǂ
phoneme_187,0.11406350992254197,-0.10787952016583578,!ˣ,click,5.65248918026865,!ˣ
phoneme_188,0.11406350992254197,-0.10787952016583578,!ˣˀ,click,5.65248918026865,!ˣˀ
phoneme_226,0.11406350992254197,-0.10787952016583578,ɡǂ,click,5.65248918026865,ɡǂ
phoneme_234,0.11406350992254197,-0.10787952016583578,/ˣ,click,5.65248918026865,/ˣ
phoneme_240,0.11406350992254197,-0.10787952016583578,ɡǁ,click,5.65248918026865,ɡǁ
phoneme_254,0.11406350992254197,-0.10787952016583578,ɡ!,click,5.65248918026865,ɡ!
phoneme_269,0.11406350992254197,-0.10787952016583578,ɡ/,click,5.65248918026865,ɡ/
phoneme_271,0.11406350992254197,-0.10787952016583578,nǂ,click,5.65248918026865,nǂ
phoneme_275,0.11406350992254197,-0.10787952016583578,ǂˀ,click,5.65248918026865,ǂˀ
phoneme_279,0.11406350992254197,-0.10787952016583578,/ˣˀ,click,5.65248918026865,/ˣˀ
phoneme_551,0.1125856818600602,0.20705281234152453,kʷ,consonant,5.65248918026865,kʷ
phoneme_069,0.10976554311828227,0.013651545000491823,dᶻ,consonant,4.26619481914876,dᶻ
phoneme_681,0.10551495794232435,0.2028745720215535,qˀ,consonant,5.65248918026865,qˀ
phoneme_089,0.10547194147837577,0.09997392891824144,tˢ,consonant,2.65675690671466,tˢ
phoneme_649,0.10207976200381466,0.095124891011020965,q,consonant,3.70657903121334,q
phoneme_435,0.09857722647532341,0.15159329083977227,ɬ,consonant,3.57304763858881,ɬ
phoneme_081,0.09718364283586654,0.09487946982222126,tˡ,consonant,5.65248918026865,tˡ
phoneme_051,0.0922310236225446,-0.012936966165740254,tˢʰ,consonant,5.65248918026865,tˢʰ
phoneme_210,0.08953667434548715,-0.08598975043905399,qǂ,click,5.65248918026865,qǂ
phoneme_217,0.08953667434548715,-0.08598975043905399,qǁ,click,5.65248918026865,qǁ
phoneme_236,0.08953667434548715,-0.08598975043905399,ǂˣ,click,5.65248918026865,ǂˣ
phoneme_239,0.08953667434548715,-0.08598975043905399,q!,click,5.65248918026865,q!
