"","Isnag","Yogad","Agta","Gaddang","Ibanag","Atta","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil"
"Isnag",0.999999999964543,0.308373544879394,0.302739028683334,0.18471357809296,0.265777767303746,0.294068029583919,0.369046736484693,0.268995971000805,0.369982201569894,0.508563931869797,0.24093173352184,0.487491683445034,0.502458685618477,0.24838549266123,0.387860115795355,0.482617919701652,0.121020330195718,0.272758109546609,0.386064886666099,0.182558603880381,0.0735004287710065,0.349560217729477,0.312628693363763,0.424675519175086,0.159353730378385,0.312757598751928,0.184711783674292,0.138208969369704,0.163906675123135,0.496470140296097,0.165540945058629,0.160296027733922,0.248840456722322,0.119406250325463,0.178655843874124,0.197919459560674,0.148313937598091,0.473432161294942,0.434954042750602,0.329782986922348,0.095949823167063,0.47312432747734,0.160296027733922,0.704472940707097,0.590431194186147,0.0593970641852276,0.320633572920272,0.182708283426691,0.082887861349107,0.194471272678951,0.291364304481013,0.403933513497728,0.33654438657512,0.0689467165738767,0.223151539290548,0.120262947341058,0.204961225366112,0.0676036980557396
"Yogad",0.308373544879394,0.99999999993469,0.595214674400839,0.733471900884211,0.231415144373894,0.220288176762457,0.123189128709804,0.223527003139719,0.168034489356194,0.609534061870675,0.271214523655219,0.633038329011104,0.474149284254684,0.268870885401608,0.183241189065907,0.640173368970668,0.135425976323562,0.143144596751724,0.0818818495007585,0.0571073862671099,0.0686213617257898,0.299624691793362,0.354142397582827,0.15298648521952,0.155742120709703,0.130331360519921,0.181599123101142,0.10353319236518,0.152164688000533,0.621864751642755,0.154552092566683,0.149655340602618,0.121914758190534,0.0585008737196267,0.653621096392447,0.735337892276642,0.158544513118023,0.142329004126332,0.149390117283276,0.152589505956617,0.102568364405314,0.143082403999474,0.149655340602618,0.0599961045589386,0.0853734390815248,0.0634942256578729,0.886709975076991,0.0761376198452886,0.077385642661015,0.06679346178847,0.198132388958304,0.160796486779744,0.121237840417116,0.557328804335741,0.114462873140057,0.13028424980946,0.116144788627679,0.0733617468397942
"Agta",0.302739028683334,0.595214674400839,0.999999999976183,0.449811137283258,0.219059891227336,0.24237734866891,0.409132977431773,0.221712405615544,0.176010394732616,0.417579042141922,0.199058711900608,0.400356521007805,0.335572672010223,0.205022991974446,0.191981606858197,0.395862692133427,0.099501065257685,0.110635089623751,0.0601799869974966,0.106385193711686,0.1210026359119,0.286884217153002,0.256404587342066,0.349003796998385,0.130965661696309,0.256633428329974,0.304088194892578,0.299783803087325,0.135294627004623,0.407700661958166,0.136631730325212,0.132302758243749,0.322905693214632,0.154946500834825,0.416505736855357,0.461781446889953,0.122537537680647,0.280257799305879,0.357405598189824,0.271097194571676,0.260263051731742,0.28058642155543,0.132302758243749,0.14464886646272,0.204536797315778,0.0490740796753204,0.566726695657075,0.633497007521934,0.582929938971746,0.159798771158558,0.240024161687904,0.332052430372389,0.276576500102937,0.477556512493557,0.293316501951481,0.202808249711033,0.180797919387817,0.167170381414602
"Gaddang",0.18471357809296,0.733471900884211,0.449811137283258,0.999999999921493,0.368553565791228,0.309116374290662,0.320558941930546,0.361295551056131,0.508499814250839,0.196449029945879,0.376385471963771,0.192860661597145,0.292308586404718,0.366650316728927,0.48025761119118,0.205694221318083,0.188175847428991,0.407475905526164,0.134969773430608,0.158091198043988,0.0962919882834507,0.08863033623806,0.127481995822905,0.21467619516299,0.256563295977209,0.181096824096892,0.252019216138793,0.145281537635307,0.214370154896668,0.189456533561149,0.216873112282319,0.250397223603395,0.379950565117361,0.182319518650841,0.870361728270384,0.976532055613433,0.222475421873342,0.39401142740739,0.209629640992908,0.207580051195259,0.171613211886062,0.39468271937873,0.250397223603395,0.0843795430959992,0.11984829976469,0.106235953596154,0.674175352844574,0.105794039848311,0.129478507022577,0.0937270126706054,0.33150704746736,0.225635473145885,0.170125343119277,0.653889515119865,0.317523955712594,0.177528686616728,0.30371472520848,0.116836490817804
"Ibanag",0.265777767303746,0.231415144373894,0.219059891227336,0.368553565791228,0.999999999668837,0.903796878495593,0.344190792460929,0.988036237961053,0.764485726877365,0.555142541629218,0.773034307726531,0.396104310996785,0.431838768733787,0.753039888328075,0.708062064413238,0.422462347357815,0.386482467575262,0.412545352164923,0.277205878429698,0.162974668242972,0.197768022569894,0.259138071952779,0.352071899118218,0.627671942426207,0.52693912142093,0.371943309428761,0.51760632332413,0.42477529872762,0.440281298419086,0.389112787795903,0.445421964237066,0.514275015485591,0.41894738875006,0.201032169112522,0.260480217252394,0.313876684037714,0.456928193458841,0.406182522845645,0.612916787781856,0.426335534030134,0.352465518322093,0.407823318771215,0.514275015485591,0.247302758580014,0.350566297922262,0.218191303795533,0.348887365381484,0.217283685105955,0.265927713773946,0.27403977446324,0.922736432125404,0.463418422837186,0.497413811966536,0.271879668752869,0.326893129895438,0.364614937609754,0.325044085694115,0.23996307652443
"Atta",0.294068029583919,0.220288176762457,0.24237734866891,0.309116374290662,0.903796878495593,0.999999999594585,0.337962515809247,0.914740617260924,0.726183348578333,0.563985581263072,0.821276051177044,0.420823475938093,0.43871766390426,0.738475159372609,0.718876314291967,0.414589600621219,0.410521303976631,0.456458040317648,0.248290474813364,0.173111535286193,0.218819103274863,0.286721583157352,0.334432340143524,0.694483414485791,0.472106313811689,0.395077824228795,0.549907905821817,0.469989782738845,0.487146292182985,0.413395641870785,0.492834147428228,0.477219434363513,0.388760546143929,0.186546993623072,0.276596113314765,0.307929646472007,0.505565137643721,0.431446683667341,0.67815767250855,0.418620813848219,0.327068961592257,0.433273816540679,0.477219434363513,0.273626479987839,0.387881731094306,0.202469743710207,0.354288244868391,0.230798520572136,0.246766553554193,0.30320947203949,0.899423617711752,0.512746208446271,0.550360178939283,0.235036769231641,0.347186551311558,0.357706559760842,0.318885458798582,0.201263867899536
"Casiguran Dumagat",0.369046736484693,0.123189128709804,0.409132977431773,0.320558941930546,0.344190792460929,0.337962515809247,0.999999999906157,0.335544025704708,0.508581269114515,0.21478127304524,0.41150903542547,0.210858045110072,0.340910881146562,0.452541465045548,0.560292641915759,0.224889207775152,0.205736053154778,0.445500768052443,0.12444010086401,0.300730993624447,0.240189625172825,0.244968798566843,0.133873901759755,0.59335180076908,0.269427296450016,0.517333514703692,0.61458020904651,0.52778781420273,0.268559155773808,0.235741454727473,0.27121329915641,0.262620311295552,0.406328913164636,0.194977185622998,0.296659485926052,0.342120200251374,0.243236397473042,0.779513447977043,0.612366450555924,0.563671656824227,0.157358706158969,0.780020630944972,0.262620311295552,0.24773437700515,0.350420014163606,0.09741180193401,0.134730687484065,0.302218455473083,0.135798973052501,0.273793714470984,0.347689494114057,0.659122408240004,0.470215985614438,0.387497259656803,0.762348824053248,0.424569677384333,0.537518281025004,0.123039756377462
"Ilokano",0.268995971000805,0.223527003139719,0.221712405615544,0.361295551056131,0.988036237961053,0.914740617260924,0.335544025704708,0.999999999660769,0.754334580708651,0.546842950166378,0.751254562304266,0.384944326288227,0.425382615422862,0.733841547512641,0.697337348973545,0.411781047161,0.375520511145228,0.4175407097181,0.271088128477441,0.158352152702759,0.200162721674516,0.26227587805925,0.347396948123409,0.635272187495047,0.515331383266736,0.361393732942234,0.503023097408269,0.429918744135278,0.445612500183922,0.378149784765787,0.450815412403876,0.5205021795283,0.424020266172793,0.203466392548275,0.253013699522838,0.3059115577056,0.46246096625683,0.394661805887822,0.620338368195296,0.415625125723268,0.356733391611819,0.396333158540847,0.5205021795283,0.250297255298213,0.354811174261785,0.220833300782965,0.343624534718796,0.211120781251767,0.269147733116731,0.277358019718527,0.933909502870702,0.469029783398114,0.503436809995029,0.275171758095023,0.31758564037467,0.355362246383018,0.316795568560692,0.235237425474235
"Itneg",0.369982201569894,0.168034489356194,0.176010394732616,0.508499814250839,0.764485726877365,0.726183348578333,0.508581269114515,0.754334580708651,0.999999999784739,0.421522999561812,0.620336712012911,0.317861760379806,0.558881268953452,0.558016689201881,0.918871725170975,0.314683894632359,0.311595955545602,0.673111778343533,0.223493270244967,0.261779492920374,0.158672000979627,0.208212439434963,0.283852927437575,0.504322291650918,0.424837121550844,0.299873967471752,0.415363459952369,0.341298754345368,0.353219351579966,0.312251273922668,0.357368160076286,0.412935295328056,0.62777317859016,0.301237356262302,0.419948659833355,0.465229740009965,0.36659976582715,0.652434246455516,0.492466809668566,0.316198017529209,0.283010934843205,0.652010022371859,0.412935295328056,0.199384308040026,0.281672259977324,0.175195931661674,0.264831006584541,0.175181859887704,0.213525712340731,0.220185669798695,0.74170352200659,0.371806966005318,0.399662397808561,0.203623645578879,0.524540299556109,0.270261032081007,0.481782123903312,0.180231491424494
"North Kalinga",0.508563931869797,0.609534061870675,0.417579042141922,0.196449029945879,0.555142541629218,0.563985581263072,0.21478127304524,0.546842950166378,0.421522999561812,0.999999999871046,0.482387374600486,0.941423710760453,0.777888085109273,0.469910495645459,0.441843520878264,0.95093076916487,0.241172042410511,0.257435753279184,0.145873670769793,0.101699137469515,0.123410819186951,0.493977365107463,0.583015343623816,0.391678632333971,0.277351851988459,0.23209934504498,0.322995697443196,0.265067460888301,0.274743484853946,0.924806911767247,0.277951353201623,0.269144880173401,0.219255342660715,0.105209814660382,0.162544361701035,0.195864721698289,0.285131448121809,0.253465232824477,0.382471149251047,0.266041075910703,0.184462178474077,0.254489119126558,0.269144880173401,0.154321389407701,0.218759703637582,0.114190016126513,0.630502118250918,0.135588945202086,0.13917277818301,0.171005770380926,0.507261952033531,0.28918146851444,0.310395205524288,0.143962781261487,0.203987219085238,0.22752630862538,0.202833382095501,0.127906817300363
"Central Kalinga",0.24093173352184,0.271214523655219,0.199058711900608,0.376385471963771,0.773034307726531,0.821276051177044,0.41150903542547,0.751254562304266,0.620336712012911,0.482387374600486,0.999999999445829,0.512401981183083,0.375243391168784,0.899584123303904,0.613085586377909,0.504909721949732,0.499955129445561,0.533670171990988,0.302399437462224,0.210824625168469,0.255833435207,0.235477569709685,0.285686333468209,0.570362596500025,0.57495669760856,0.481147221448271,0.669577427399131,0.385991353031832,0.569549493206858,0.503357721274936,0.576199477255547,0.557943458365795,0.454521312366268,0.218102338836162,0.336958158940831,0.375055582475613,0.591083977335402,0.525439192782063,0.556954655591328,0.509719981524755,0.382394291634323,0.527561732374905,0.557943458365795,0.224183847031316,0.318419037537858,0.236718500732911,0.30242834813163,0.281078967431831,0.288508334715588,0.249018677988924,0.738675077394244,0.599479761726447,0.45199763468153,0.274794399448978,0.422870144921854,0.435683422050724,0.388399664867765,0.245062384945639
"South Kalinga",0.487491683445034,0.633038329011104,0.400356521007805,0.192860661597145,0.396104310996785,0.420823475938093,0.210858045110072,0.384944326288227,0.317861760379806,0.941423710760453,0.512401981183083,0.999999999854499,0.732322287735656,0.460948687265919,0.314146269236644,0.988788253601736,0.256177998938065,0.273453653545216,0.154950070921032,0.108026955655362,0.131089559099602,0.473603891460834,0.55947286901167,0.292254924569238,0.294608951078751,0.246540789613041,0.343092800514286,0.197782734090696,0.291838288831321,0.982349287639883,0.295245753834111,0.285891333580844,0.232897621042334,0.111756070558907,0.172658028282026,0.192179223588471,0.30287260116862,0.269236083487627,0.285384669079905,0.261181528492027,0.195939592703253,0.270323676980578,0.285891333580844,0.114872247408016,0.163158545741781,0.121295028800756,0.593439180785405,0.144025419832853,0.14783224235008,0.127597663998291,0.378498573293536,0.30717461772684,0.231604483596109,0.140805194746627,0.216679500127606,0.223245048717285,0.199016757846642,0.125570451603569
"Balangaw",0.502458685618477,0.474149284254684,0.335572672010223,0.292308586404718,0.431838768733787,0.43871766390426,0.340910881146562,0.425382615422862,0.558881268953452,0.777888085109273,0.375243391168784,0.732322287735656,0.999999999921968,0.412659697282947,0.605498025615373,0.739717715193632,0.504016566722474,0.406239485842544,0.113473390436407,0.157611495891218,0.109806765953604,0.53874062711947,0.649199813324717,0.304682141325801,0.60956180927923,0.510106190685317,0.28595237337964,0.459416645426577,0.623811672676441,0.745480550397489,0.625318704520792,0.605506416355385,0.370519784933922,0.177794152823247,0.485355703548418,0.311969684931292,0.609572115764335,0.420172188777474,0.327577786392557,0.233364151549375,0.394354958564426,0.420823656263944,0.605506416355385,0.13224141564586,0.187380381951875,0.244122667585024,0.682377324729126,0.297996361522895,0.123831223078871,0.146462528821755,0.43445825311417,0.257303873689194,0.53797898693848,0.111986932255655,0.338636069302453,0.476213738822636,0.32306923757003,0.266567156083591
"Central Ifugao",0.24838549266123,0.268870885401608,0.205022991974446,0.366650316728927,0.753039888328075,0.738475159372609,0.452541465045548,0.733841547512641,0.558016689201881,0.469910495645459,0.899584123303904,0.460948687265919,0.412659697282947,0.999999999541767,0.681521127603243,0.492003861010304,0.449728833838885,0.479865649001572,0.272015715888745,0.189644844578949,0.263498823199385,0.2117367669074,0.293029802467002,0.51285875040596,0.589735761891197,0.493514945388925,0.686424716287513,0.347075779856986,0.587584706220996,0.516022743413706,0.593463806107422,0.574660792771482,0.46813986933292,0.224637211995956,0.345911227495185,0.412981773096887,0.531491005654567,0.538945426622398,0.573642363076203,0.560545230713697,0.34384137349023,0.540835753489558,0.574660792771482,0.231119473045532,0.328015970975341,0.21285258750611,0.294751177790548,0.288304005670348,0.297152741663306,0.256479879385715,0.760807567890917,0.617441624163772,0.406427321023975,0.268568091957974,0.433872630213753,0.479740391971579,0.427675229385138,0.269498069696732
"East Ifugao",0.387860115795355,0.183241189065907,0.191981606858197,0.48025761119118,0.708062064413238,0.718876314291967,0.560292641915759,0.697337348973545,0.918871725170975,0.441843520878264,0.613085586377909,0.314146269236644,0.605498025615373,0.681521127603243,0.999999999787164,0.335311026272907,0.306499702073995,0.667226773678167,0.185384457485248,0.258893879248854,0.179580015172733,0.206117354995261,0.272053451041115,0.499247677527816,0.401917381594824,0.336340862201644,0.467812946855369,0.337864522887162,0.400451391709872,0.351680402098466,0.404458122495305,0.391643471637826,0.608781945128925,0.292124400890493,0.444499986763794,0.512718957398266,0.362222349633588,0.690422293357528,0.537153328859901,0.382023417859174,0.234335160665868,0.691500493078738,0.391643471637826,0.216837957043929,0.30725929880494,0.145063535501474,0.277672967953941,0.196485271107254,0.202515871641782,0.240165353639042,0.712413071334719,0.420799512102849,0.395640897109473,0.183034828935082,0.556439471945678,0.326953213018429,0.530960957602461,0.183668628411197
