"language","subgroup","colour"
"Agta","Greater Central Philippine","#ED6BB1"
"Atta","Cagayan Valley","#79F287"
"Balangaw","Meso-Cordilleran","#EA7B81"
"Batak","Palawanic-Kalamian","#87B1F1"
"Cotabato Bilaan","Tboli-Blaan","#5C7193"
"Sarangani Bilaan","Tboli-Blaan","#5C7193"
"Binukid","Manobo","#F16DEF"
"Central Bontok","Meso-Cordilleran","#EA7B81"
"Buhid","South Mangyan","#85DEF2"
"Cebuano","Central Philippine","#565153"
"Kuyunon","Central Philippine","#565153"
"Casiguran Dumagat","Northeastern Luzon","#95A459"
"Gaddang","Cagayan Valley","#79F287"
"Hanunoo","South Mangyan","#85DEF2"
"Hiligaynon","Central Philippine","#565153"
"Ibanag","Cagayan Valley","#79F287"
"Central Ifugao","Meso-Cordilleran","#EA7B81"
"East Ifugao","Meso-Cordilleran","#EA7B81"
"Ilokano","Northern Luzon","#7E6E40"
"Ilongot","Meso-Cordilleran","#EA7B81"
"Inibaloi","Meso-Cordilleran","#EA7B81"
"Iraya","North Mangyan","#ECBEBD"
"Isnag","Cagayan Valley","#79F287"
"Itbayaten","Yami-Itbayat","#9ECCC9"
"Itneg","Meso-Cordilleran","#EA7B81"
"Ivatanen","Yami-Itbayat","#9ECCC9"
"Kalagan","Central Philippine","#565153"
"North Kalinga","Meso-Cordilleran","#EA7B81"
"Central Kalinga","Meso-Cordilleran","#EA7B81"
"South Kalinga","Meso-Cordilleran","#EA7B81"
"North Kallahan","Meso-Cordilleran","#EA7B81"
"North Kankanay","Meso-Cordilleran","#EA7B81"
"Kapampangan","Central Luzon","#477C65"
"Magindanao","Danaw","#C573F1"
"Mamanwa","Central Philippine","#565153"
"Ata","Central Philippine","#565153"
"Dibabawon","Manobo","#F16DEF"
"Ilianen","Manobo","#F16DEF"
"Kalamansig","Manobo","#F16DEF"
"Sarangani Manobo","Manobo","#F16DEF"
"Tigwa","Manobo","#F16DEF"
"Western Bukidnon","Manobo","#F16DEF"
"Mansakan","Central Philippine","#565153"
"Maranao","Danaw","#C573F1"
"Naga","Central Philippine","#565153"
"Pangasinan","Meso-Cordilleran","#EA7B81"
"Waray","Central Philippine","#565153"
"Tina","Sambalic","#F1C878"
"Sangil","Sangiric","#A852A0"
"Siocon Subanon","Subanen","#7CF2D9"
"Sindangan","Subanen","#7CF2D9"
"Tagalog","Central Philippine","#565153"
"Tagbanwa","Palawanic-Kalamian","#87B1F1"
"Kalamianen","Palawanic-Kalamian","#87B1F1"
"Tausug","Central Philippine","#565153"
"Tboli","Tboli-Blaan","#5C7193"
"Tiruray","Bilic","#BA7862"
"Yogad","Cagayan Valley","#79F287"
