"","cent2084","agut1237","akla1241","alan1249","arta1239","pamp1244","aben1249","amba1267","maga1263","magi1241","babu1242","bala1310","bant1288","bata1301","buhi1245","cent2087","buhi1243","irig1242","koro1310","sara1326","binu1244","boli1256","cent2292","guin1256","boto1242","butu1244","capi1239","cebu1242","cuyo1237","casi1235","dupa1235","gadd1244","gian1241","hanu1241","hili1240","ibal1244","iban1267","amga1235","bata1298","kele1259","ilok1237","ilon1239","ivat1242","alab1246","atii1237","iray1237","isin1239","isna1241","itaw1240","bino1237","kaga1256","kala1388","lowe1412","lubu1243","limo1248","sout2908","kaya1320","kama1363","kank1243","nort2877","pamp1243","kina1250","magu1243","mama1275","cama1250","atam1240","diba1242","ilia1236","cota1241","sara1327","mati1250","west2555","mans1262","mara1404","taga1270","masb1238","pang1290","rata1245","romb1245","sout2916","wara1300","tina1248","sang1337","remo1247","west2557","cent2089","suri1273","tady1237","tbol1240","cent2090","cala1258","taus1251","tiru1241","yoga1237"
"cent2084",0,3831.65682960882,2268.99130050275,1630.66043115007,1467.27387195573,655.067555860116,1082.8173405246,1073.8023051807,1283.6120095841,1107.06391503805,653.240804899896,505.132744179592,1781.34191818308,3924.03281588653,1863.99974694058,2226.01425128432,1955.70112827553,2044.79802482331,3763.82365970724,3869.48512822344,2808.12481876924,891.910287648688,1001.59917265085,1026.88652220237,1060.62422416751,2517.34114027427,2445.41500672173,2712.82499475682,3854.9828202137,858.859192374637,326.945176714694,1241.67699762342,3401.56607840721,1973.74844418526,2674.73851142158,1125.31862348109,265.602154644382,1092.75576676772,1189.42171512113,1139.11303117741,1511.51773947053,1435.01729096054,779.809682028604,1665.57651586156,2920.99312074756,1500.51968043729,1327.2872673108,350.822021286201,170.87450470755,951.038323407868,3793.62459913784,3488.31048107905,396.957471518774,477.431701439054,282.425286847775,495.103869515579,1222.90727099355,3070.20124629268,947.551156055899,936.967536144252,1348.721573353,2965.87535353711,3435.76685937477,2487.37911755057,2030.7932746762,3052.29782099294,3105.62386720938,3213.77896065133,3201.28076867932,3906.52349657364,3021.6647681919,3051.4997879949,3619.4642622593,3047.94229729384,1641.68952394233,2046.71149181073,1165.65650971587,2038.77852050306,1810.50496802798,3423.40260995286,2492.31834108785,1049.12819066888,4102.21997454015,1411.79761051098,2724.66983135048,2691.05522317277,2682.51287638202,1699.01243582074,3399.11729336258,3989.39992881118,1879.30412871107,3726.76780360991,3252.72767264492,623.349303434291
"agut1237",3831.65682960882,0,476.460460380814,498.498460069063,1916.07289296345,3466.68870504915,824.732245551812,655.51261653929,943.773112997876,603.909191403872,3464.86195408892,3638.02451575486,374.12769113146,493.109293253015,423.774504637032,760.740824588248,683.097246835201,678.25550522697,3165.32537138826,3270.98683990446,904.667106384345,819.668486138574,3476.41048145338,3501.6978310049,729.705850616089,1918.84285195529,795.793432607635,623.662705909073,201.839916696568,1495.96153857569,4048.566469563,1622.04526269535,2803.06779008823,349.596475822318,494.687076050684,1570.98837455837,3907.14668263338,3567.56707557025,1755.90133692906,1731.03887651062,1298.41540717002,1891.92609253254,3591.43083121763,872.52626805315,584.526867394024,500.66247068817,1511.40424495784,3579.51368413984,3760.40301106887,3425.8496322104,66.0040373768228,2889.81219276007,3639.92696165526,3508.39531513744,3663.66055869262,3527.44909613659,1551.01270727946,2471.7029579737,3422.36246485843,3411.77884494678,902.443843149846,522.570306243246,1128.57078285931,1888.88082923159,1063.34054137791,2453.79953267396,2507.1255788904,2615.28067233235,1891.32411848017,3308.02520825466,2423.16647987292,2453.00149967592,3020.96597394033,1972.79040032622,834.607767775784,737.914717174153,1117.50279138689,290.934470723445,414.167685450094,969.957359861948,1986.53586297293,830.510120766852,1537.74045891028,1120.05990887441,504.915534685821,505.175686430591,2084.01458806304,593.113801136251,2089.16064316342,164.69248431093,316.858457065228,1273.322553519,1942.77102244577,3901.34318205071
"akla1241",2268.99130050275,476.460460380814,0,966.307029732316,996.700929337966,1904.02317594308,1485.2471240866,1315.67408207706,1525.48378648046,1348.93569193441,1902.19642498286,2075.35898664879,271.44012696339,665.873844678391,470.785812855587,761.08663345338,490.773510444597,579.870406992377,2190.90821858603,2296.56968710223,1235.20937764803,1484.83125783703,1913.74495234732,1939.03230189883,1463.05400772951,944.42569915306,298.651089284429,1139.90955363562,694.824906604029,782.372411400562,2485.90094045693,2153.82277731989,1828.650637286,418.580375559859,538.857563536033,1718.23959366943,2344.48115352732,2004.90154646418,2101.56749481759,2051.25881087387,1913.94752303253,940.517810453838,2028.76530211157,881.195405931354,211.958437530899,915.842656980206,1920.20823749914,2016.84815503377,2197.7374819628,1863.18410310433,411.278051912883,1915.39503995784,2077.26143254919,1945.72978603137,2100.99502958655,1964.78356703052,1815.82824118189,1497.28580517148,1859.69693575236,1849.11331584071,1438.16847826565,366.974936396359,1862.85141825356,914.463676429357,959.599382054213,1479.38237987174,1532.70842608817,1640.86351953012,1628.36532755812,2333.60805545243,1448.74932707069,1478.58434687369,2046.5488211381,1475.02685617264,857.308414012121,473.796050689521,1758.57747990421,377.986466404982,182.411620209741,1850.48716883165,919.402899966639,1451.55797423089,2529.30453341895,1380.07473151838,1151.75439022927,1118.13978205156,1109.59743526082,458.839686221029,1826.20185224137,556.879322409199,436.702886774572,2153.8523624887,1679.81223152371,1132.28699768122
"alan1249",1630.66043115007,498.498460069063,966.307029732316,0,1741.08878229951,1265.69230659039,846.916254733918,677.343212724372,887.152917127775,710.604822581721,1263.86555563017,1437.02811729611,478.657647412641,945.33014146053,243.825179752561,923.329980513877,653.016857505095,742.113754052875,2461.1393889368,2566.800857453,1505.4405479988,846.500388484349,1275.41408299463,1300.70143254614,824.723138376825,1214.65686950383,1142.73073595129,1410.14072398638,728.659057486579,1263.71707730912,1847.57007110425,1515.4919079672,2098.88180763677,671.064173414825,1372.05424065114,1079.90872431675,1706.15028417463,1366.5706771115,1463.23662546491,1412.92794152119,1275.61665367985,1708.83220130431,1390.43443275888,362.89224509112,1618.30884997713,277.511787627522,1281.87736814646,1378.51728568109,1559.40661261012,1224.85323375165,536.870719692021,2185.62621030861,1438.93056319651,1307.39891667869,1462.66416023387,1326.45269767783,1177.49737182921,1767.51697552224,1221.36606639968,1210.78244648803,799.837608912968,785.24916581475,2133.08258860433,1184.69484678013,728.10900390576,1749.6135502225,1802.93959643894,1911.09468988089,1898.59649790889,2603.8392258032,1718.98049742146,1748.81551722446,2316.77999148886,1745.25802652341,339.005253171887,744.02722104029,1120.24661055153,736.094249732625,507.820697257544,2120.71833918242,1189.63407031741,813.227104878201,2799.53570376971,741.743862165699,1421.98556058004,1388.37095240233,1379.82860561158,141.327686987187,2096.43302259214,674.286885360271,576.619857940628,2424.08353283947,1950.04340187448,1700.34678359196
"arta1239",1467.27387195573,1916.07289296345,996.700929337966,1741.08878229951,0,1102.30574739605,1193.24569167404,1184.23065633013,1394.04036073354,1217.49226618748,1100.47899643583,382.046586645554,805.797054822622,4034.46116703597,1974.42809809002,563.490499866433,916.832773522434,836.112285256062,3874.25201085667,3979.91347937288,2918.55316991868,1002.33863879813,477.208116267667,449.932697720696,1171.05257531694,2627.7694914237,1040.71081604997,2823.25334590626,3965.41117136314,144.575946969926,534.849854020381,235.447526516471,3511.99442955665,2084.1767953347,2785.16686257102,455.111611028065,506.800614433594,375.798494431885,284.971524645524,327.193676796859,394.395084896458,55.2731731879471,1227.04787356454,541.878093779424,1206.12145223936,1610.94803158672,257.634011984613,1215.13072648675,649.917923264721,1061.46667455731,1900.846601992,3598.73883222849,485.170426401315,560.973121479732,601.49057817358,513.659830066497,361.332216189138,3180.62959744212,505.607260434364,1047.39588729369,1459.14992450244,1433.35443595882,3546.19521052421,2597.8074687,473.66196936105,3162.72617214238,3216.05221835882,3324.20731180076,3311.70911982876,4016.95184772308,3132.09311934134,3161.92813914434,3729.89261340874,3158.37064844328,499.77546704624,2157.13984296017,1276.08486086531,2149.2068716525,824.610100196251,3533.8309611023,2602.74669223728,1159.55654181832,4212.64832568959,630.968394719054,2835.09818249992,2801.48357432221,2792.94122753146,1809.44078697017,3509.54564451202,1935.68282240935,1989.7324798605,3837.19615475935,3363.15602379436,142.766257570553
"pamp1244",655.067555860116,3466.68870504915,1904.02317594308,1265.69230659039,1102.30574739605,0,717.849215964922,708.834180621019,918.643885024423,742.095790478369,288.272680340219,798.245082392654,1416.3737936234,3559.06469132685,1499.03162238091,1861.04612672464,1590.73300371586,1679.82990026364,3398.85553514756,3504.51700366376,2443.15669420957,526.942163089011,636.631048091178,661.918397642689,695.656099607829,2152.37301571459,2080.44688216205,2347.85687019715,3490.01469565402,1568.80270109473,1208.78703620079,876.708873063746,3036.59795384753,1608.78031962559,2309.7703868619,760.350498921411,1067.36724927118,727.787642208045,824.453590561454,774.144906617732,1146.54961491085,1070.04916640086,414.841557468927,1300.60839130188,2556.02499618789,1135.55155587761,962.319142751118,144.113714447884,388.669952203341,586.070198848191,3428.65647457817,3123.34235651938,800.147528293052,668.615881775232,823.881125330412,687.66966277438,857.93914643387,2705.23312173301,582.583031496222,571.999411584575,983.753448793321,2600.90722897743,3070.79873481509,2122.41099299089,1665.82515011652,2687.32969643327,2740.6557426497,2848.81083609165,2836.31264411965,3541.55537201397,2656.69664363222,2686.53166343522,3254.49613769963,2682.97417273417,1276.72139938265,1681.74336725105,800.688385156192,1673.81039594339,1445.53684346831,3058.43448539318,2127.35021652817,684.160066109205,3737.25184998048,1046.8294859513,2359.7017067908,2326.08709861309,2317.54475182235,1334.04431126106,3034.1491688029,3624.4318042515,1514.33600415139,3361.79967905023,2887.75954808525,1061.5637486885
"aben1249",1082.8173405246,824.732245551812,1485.2471240866,846.916254733918,1193.24569167404,717.849215964922,0,290.058128764544,163.595564905389,323.319738621893,716.022465004701,889.185026670637,997.597741766928,924.292444583077,1080.25557052443,1442.27007486816,1171.95695185938,1261.05384840716,2980.07948329109,3085.74095180729,2024.38064235309,298.657297858877,727.570992369161,752.858341920672,91.2810153799003,1733.59696385812,1661.67083030558,1929.08081834067,1178.786263646,1150.02664923825,1299.72698047877,967.648817341729,2617.82190199106,1190.00426776911,1890.99433500543,532.065633691277,1158.30719354916,818.727586486028,915.393534839437,865.084850895715,727.773563054378,1160.98911067884,842.59134213341,881.832339445407,2137.24894433141,716.775504021134,734.034277520984,830.674195055616,1011.56352198464,677.010143126174,1026.18177236498,2704.5663046629,891.087472571035,759.555826053215,914.821069608395,778.609607052363,629.654281203736,2286.45706987653,673.522975774205,662.939355862558,265.85627419852,2182.13117712096,2652.02268295862,1703.63494113441,1247.04909826005,2268.55364457679,2321.87969079323,2430.03478423517,2417.53659226317,3122.77932015749,2237.92059177575,2267.75561157875,2835.72008584315,2264.19812087769,857.945347526173,1262.96731539458,270.613400427981,1255.03434408691,1026.76079161183,990.166592881464,1708.57416467169,96.2328877659232,3318.475798124,628.053434094828,1940.92565493433,1907.31104675662,1898.76869996587,915.268259404585,2615.37311694643,992.672659381025,1095.55995229492,2943.02362719376,2468.98349622877,1152.50369296649
"amba1267",1073.8023051807,655.51261653929,1315.67408207706,677.343212724372,1184.23065633013,708.834180621019,290.058128764544,0,330.294791158401,153.746696612347,707.007429660799,880.169991326735,828.024699757382,678.549752228283,910.682528514884,1272.69703285862,1002.38390984984,1091.48080639762,2810.50644128154,2916.16790979774,1854.80760034354,289.642262514975,718.555957025258,743.84330657677,267.865012407451,1564.02392184857,1492.09778829603,1759.50777633112,937.012130466772,980.453607228708,1290.71194513487,958.633781997826,2448.24885998151,1020.43122575957,1721.42129299588,523.050598347374,1149.29215820526,809.712551142126,906.378499495535,856.069815551812,718.758527710475,1151.97407533494,833.576306789507,712.25929743586,1967.67590232187,547.202462011588,725.019242177081,821.659159711713,1002.54848664074,667.995107782272,795.945176721377,2534.99326265335,882.072437227133,750.540790709312,905.806034264492,769.59457170846,620.639245859833,2116.88402786698,664.507940430303,653.924320518656,126.578635809271,2012.55813511141,2482.44964094907,1534.06189912487,1077.4760562505,2098.98060256724,2152.30664878368,2260.46174222563,2247.96355025363,2953.20627814794,2068.3475497662,2098.1825695692,2666.1470438336,2094.62507886815,688.372305516627,1093.39427338503,563.388484582155,1085.46130207736,857.187749602284,803.876373692218,1539.00112266215,256.368978908827,3148.90275611446,458.480392085282,1771.35261292478,1737.73800474707,1729.19565795632,745.695217395039,2445.80007493688,768.138695207391,419.463471912282,2773.45058518421,2299.41045421922,1143.48865762258
"maga1263",1283.6120095841,943.773112997876,1525.48378648046,887.152917127775,1394.04036073354,918.643885024423,163.595564905389,330.294791158401,0,175.353986589358,916.817134064202,1089.97969573014,1037.83440416079,909.638612232074,1120.49223291829,1482.50673726202,1212.19361425324,1301.29051080102,3020.31614568494,3125.97761420114,2064.61730474695,499.451966918378,928.365661428662,953.653010980173,141.664858330793,1773.83362625197,1701.90749269944,1969.31748073453,1197.26777022618,1190.26331163211,1500.52164953828,1168.44348640123,2658.05856438492,1230.24093016297,1931.23099739929,732.860302750777,1359.10186260866,1019.52225554553,1116.18820389894,1065.87951995522,445.227281841173,1361.78377973834,1043.38601119291,922.069001839264,2177.48560672527,757.012166414991,934.828946580484,1031.46886411512,1212.35819104415,877.804812185675,993.879372530927,2744.80296705676,1091.88214163054,960.350495112716,1115.6157386679,979.404276111863,830.448950263236,2326.69373227039,874.317644833706,863.734024922059,117.86650020654,2222.36783951481,2692.25934535247,1743.87160352827,1287.2857606539,2308.79030697065,2362.11635318708,2470.27144662903,2457.77325465703,3163.01598255135,2278.1572541696,2307.9922739726,2875.95674823701,2304.43478327155,898.18200992003,1303.20397778843,369.194846158638,1295.27100648077,1066.99745400569,1005.6470617127,1748.81082706555,466.178683312231,3358.71246051786,668.290096488685,1981.16231732818,1947.54770915047,1939.00536235973,955.504921798442,2655.60977934028,1036.17221659556,1135.79661468877,2983.26028958761,2509.22015862263,1353.29836202599
"magi1241",1107.06391503805,603.909191403872,1348.93569193441,710.604822581721,1217.49226618748,742.095790478369,323.319738621893,153.746696612347,175.353986589358,0,740.269039518148,913.431601184084,861.286309614731,726.111890933744,943.944138372233,1305.95864271597,1035.64551970718,1124.74241625497,2843.76805113889,2949.42951965509,1888.06921020089,322.903872372324,751.817566882608,777.104916434119,133.477994147771,1597.28553170592,1525.35939815338,1792.76938618847,979.270854034818,1013.71521708606,1323.97355499222,991.895391855176,2481.51046983886,1053.69283561691,1754.68290285323,556.312208204723,1182.55376806261,842.974160999475,939.640109352884,889.331425409162,752.020137567824,1185.23568519229,866.837916646857,745.52090729321,2000.93751217922,580.464071868937,758.28085203443,854.920769569062,1035.81009649809,701.256717639621,818.038576056583,2568.2548725107,915.334047084482,783.802400566662,939.067644121841,802.856181565809,653.900855717182,2150.14563772433,697.769550287652,687.185930376005,152.632106586708,2045.81974496876,2515.71125080642,1567.32350898222,1110.73766610785,2132.24221242459,2185.56825864103,2293.72335208298,2281.22516011098,2986.46788800529,2101.60915962355,2131.44417942655,2699.40865369095,2127.8866887255,721.633915373976,1126.65588324238,596.650094439504,1118.72291193471,890.449359459634,851.481847345994,1572.2627325195,289.630588766177,3182.1643659718,491.742001942631,1804.61422278213,1770.99961460442,1762.45726781367,778.956827252388,2479.06168479423,795.428318031718,453.77820447955,2806.71219504156,2332.67206407657,1176.75026747993
