"language_id","language","glottocode","author","latitude","longitude","number_of_entries","number_of_loans","loans_norm","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"409","Agta","cent2084","R. Mayfield in Reid (1971)",17.9571,121.857,176,0,0,"2",510.017840209897,1150.35708974768,TRUE
"1569","Agutyanen","agut1237","Caabay & Melvin (2018)",10.5328,119.655,207,3,0.230769230769231,"25",200.366653487654,988.179430327415,FALSE
"43","Aklanon - Bisayan","akla1241","Dave Zorc",11.5543,122.354,210,2,0.153846153846154,"19",348.037929690774,923.568683451355,FALSE
"1270","Alangan","alan1249","Barbian (1977)",13.0982,121.022,169,0,0,"14",163.988080189816,480.303341402394,TRUE
"1211","Arta","arta1239","Yukinori Kimoto",16.4185,121.656,202,1,0.0769230769230769,"3",788.851111552584,950.49260396626,FALSE
"410","Atta, Pamplona","pamp1244","C. Whittle & R. Lusted in Reid (1971)",18.4738,121.3,198,1,0.0769230769230769,"2",145.04971565022,785.388965187999,TRUE
"1262","Ayta Abellen","aben1249","Stone (2008)",15.4131,120.2,140,0,0,"5",149.536582054223,366.612913331524,TRUE
"1263","Ayta Ambala","amba1267","Stone (2008)",14.8156,120.283,126,1,0.0769230769230769,"6",60.242543377499,197.039871321978,TRUE
"1264, 1257","Ayta Mag-anchi; Ayta Mag-antsi","maga1263","Stone (2008); Storck, Kurt and Margaret Storck, compilers",15.1954,120.459,209,1,0.0769230769230769,"6",270.052247780902,391.19284780479,FALSE
"1267","Ayta Mag-indi","magi1241","Stone (2008)",14.9617,120.182,140,0,0,"6",93.5041532348483,230.301481179327,TRUE
"289","Babuyan","babu1242","Tsuchida et al. (1987)",19.48,121.96,202,0,0,"1",56.8892692423424,783.562214227778,TRUE
"411","Balangaw","bala1310","J. Shetler in Reid (1971)",17.0994,121.272,178,0,0,"3",484.790446549185,956.724775893714,TRUE
"708","Bantoanon (Banton)","bant1288","Gordon & Kilgour",12.5194,122.034,129,1,0.0769230769230769,"17",111.24932162071,630.984828435404,TRUE
"412, 265","Batak, Palawan; Palawan Batak","bata1301","R. Rodda in Reid (1971); Lawrence A. Reid",10.1115,119.025,203,1,0.0769230769230769,"25",292.742639765361,1340.4401993099,FALSE
"1272, 1273","Batangan; Buhid","buhi1245","Barbian (1977)",12.6396,121.21,172,0,0,"14",397.327395980328,713.642657192906,TRUE
"859, 47, 1208","Bikol (Bisakol); Bikol (Naga City); Naga Bikol","cent2087","Roberto Gimoro; Amy V. Daniega; Geopoet",13.7574,123.403,210,6,0.461538461538462,"18",359.05479211747,931.015512626414,FALSE
"710","Bikol (Buhinon)","buhi1243","Kenneth S. Olson, et. al.",13.17,123.5,174,3,0.230769230769231,"18",88.741669108688,805.344038527858,TRUE
"722","Bikol (Rinconada)","irig1242","Lobel & Bucad",13.3896,123.331,192,4,0.307692307692308,"18",177.838565656468,894.440935075638,TRUE
"413, 291","Bilaan, Koronadal; Koronadal Blaan","koro1310","N. Abrams in Reid (1971); Savage, T.D. (1986)",6.20529,125.007,180,1,0.0769230769230769,"37",1359.05349096911,2613.46656995956,TRUE
"414, 293","Bilaan, Sarangani; Sarangani Blaan","sara1326","B. McLachlin & B. Blackburn in Reid (1971); Savage, T.D. (1986)",6.03691,125.354,181,0,0,"37",1464.71495948532,2719.12803847576,TRUE
"415","Binukid","binu1244","U. Post in Reid (1971)",8.15933,124.892,207,0,0,"37",403.35465003112,1657.76772902157,TRUE
"1265","Bolinao","boli1256","Stone (2008)",16.3071,119.853,140,0,0,"4",53.8751224914833,366.197047081954,TRUE
"673","Bontok, Eastern","cent2292","Summer Institute of Linguistics (1981)",17.08,120.92,162,0,0,"3",323.176412247708,795.110741592238,TRUE
"36, 416","Bontok, Guina-ang","guin1256","Lawrence A. Reid; Reid (1971)",17.04,120.96,209,0,0,"3",348.46376179922,820.398091143749,TRUE
"1266, 444","Botolan Sambal; Sambal, Botolan","boto1242","Stone (2008); C. Huock and H. Minot in Reid (1971)",15.2315,120.164,207,2,0.153846153846154,"5",127.34346569713,344.41979697443,TRUE
