"language_id","language","latitude","longitude","glottocode","author","number_of_entries","source_url","number_of_loans","loans_norm"
"409","Agta",17.9571,121.857,"cent2084","R. Mayfield in Reid (1971)",176,"https://abvd.eva.mpg.de/austronesian/language.php?id=409",0,0
"1569","Agutyanen",10.5328,119.655,"agut1237","Caabay & Melvin (2018)",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=1569",3,0.230769230769231
"43","Aklanon - Bisayan",11.5543,122.354,"akla1241","Dave Zorc",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=43",2,0.153846153846154
"1270","Alangan",13.0982,121.022,"alan1249","Barbian (1977)",169,"https://abvd.eva.mpg.de/austronesian/language.php?id=1270",0,0
"1211","Arta",16.4185,121.656,"arta1239","Yukinori Kimoto",202,"https://abvd.eva.mpg.de/austronesian/language.php?id=1211",1,0.0769230769230769
"410","Atta, Pamplona",18.4738,121.3,"pamp1244","C. Whittle & R. Lusted in Reid (1971)",198,"https://abvd.eva.mpg.de/austronesian/language.php?id=410",1,0.0769230769230769
"1262","Ayta Abellen",15.4131,120.2,"aben1249","Stone (2008)",140,"https://abvd.eva.mpg.de/austronesian/language.php?id=1262",0,0
"1263","Ayta Ambala",14.8156,120.283,"amba1267","Stone (2008)",126,"https://abvd.eva.mpg.de/austronesian/language.php?id=1263",1,0.0769230769230769
"1264, 1257","Ayta Mag-anchi; Ayta Mag-antsi",15.1954,120.459,"maga1263","Stone (2008); Storck, Kurt and Margaret Storck, compilers",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=1264; https://abvd.eva.mpg.de/austronesian/language.php?id=1257",1,0.0769230769230769
"1267","Ayta Mag-indi",14.9617,120.182,"magi1241","Stone (2008)",140,"https://abvd.eva.mpg.de/austronesian/language.php?id=1267",0,0
"289","Babuyan",19.48,121.96,"babu1242","Tsuchida et al. (1987)",202,"https://abvd.eva.mpg.de/austronesian/language.php?id=289",0,0
"411","Balangaw",17.0994,121.272,"bala1310","J. Shetler in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=411",0,0
"3","Banggi",7.29249,117.174,"bong1289","Blust, from Schneeberger",157,"https://abvd.eva.mpg.de/austronesian/language.php?id=3",0,0
"708","Bantoanon (Banton)",12.5194,122.034,"bant1288","Gordon & Kilgour",129,"https://abvd.eva.mpg.de/austronesian/language.php?id=708",1,0.0769230769230769
"412, 265","Batak, Palawan; Palawan Batak",10.1115,119.025,"bata1301","R. Rodda in Reid (1971); Lawrence A. Reid",203,"https://abvd.eva.mpg.de/austronesian/language.php?id=412; https://abvd.eva.mpg.de/austronesian/language.php?id=265",1,0.0769230769230769
"1272, 1273","Batangan; Buhid",12.6396,121.21,"buhi1245","Barbian (1977)",172,"https://abvd.eva.mpg.de/austronesian/language.php?id=1272; https://abvd.eva.mpg.de/austronesian/language.php?id=1273",0,0
"859, 47, 1208","Bikol (Bisakol); Bikol (Naga City); Naga Bikol",13.7574,123.403,"cent2087","Roberto Gimoro; Amy V. Daniega; Geopoet",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=859; https://abvd.eva.mpg.de/austronesian/language.php?id=47; https://abvd.eva.mpg.de/austronesian/language.php?id=1208",6,0.461538461538462
"710","Bikol (Buhinon)",13.17,123.5,"buhi1243","Kenneth S. Olson, et. al.",174,"https://abvd.eva.mpg.de/austronesian/language.php?id=710",3,0.230769230769231
"722","Bikol (Rinconada)",13.3896,123.331,"irig1242","Lobel & Bucad",192,"https://abvd.eva.mpg.de/austronesian/language.php?id=722",4,0.307692307692308
"413, 291","Bilaan, Koronadal; Koronadal Blaan",6.20529,125.007,"koro1310","N. Abrams in Reid (1971); Savage, T.D. (1986)",180,"https://abvd.eva.mpg.de/austronesian/language.php?id=413; https://abvd.eva.mpg.de/austronesian/language.php?id=291",1,0.0769230769230769
"414, 293","Bilaan, Sarangani; Sarangani Blaan",6.03691,125.354,"sara1326","B. McLachlin & B. Blackburn in Reid (1971); Savage, T.D. (1986)",181,"https://abvd.eva.mpg.de/austronesian/language.php?id=414; https://abvd.eva.mpg.de/austronesian/language.php?id=293",0,0
"415","Binukid",8.15933,124.892,"binu1244","U. Post in Reid (1971)",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=415",0,0
"1265","Bolinao",16.3071,119.853,"boli1256","Stone (2008)",140,"https://abvd.eva.mpg.de/austronesian/language.php?id=1265",0,0
"673","Bontok, Eastern",17.08,120.92,"cent2292","Summer Institute of Linguistics (1981)",162,"https://abvd.eva.mpg.de/austronesian/language.php?id=673",0,0
"36, 416","Bontok, Guina-ang",17.04,120.96,"guin1256","Lawrence A. Reid; Reid (1971)",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=36; https://abvd.eva.mpg.de/austronesian/language.php?id=416",0,0
"1266, 444","Botolan Sambal; Sambal, Botolan",15.2315,120.164,"boto1242","Stone (2008); C. Huock and H. Minot in Reid (1971)",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=1266; https://abvd.eva.mpg.de/austronesian/language.php?id=444",2,0.153846153846154
"495","Bundu Dusun (Central Dusun)",6.02998,116.681,"cent2100","fieldwork in Ranau, Sabah, Malaysia",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=495",0,0
"483","Butuanon",8.87009,125.418,"butu1244","Vicente de Jesus, Richard Parker, Fr. Joesilo C. Amalla",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=483",2,0.153846153846154
"660","Capisano",11.4122,122.954,"capi1239","Jose Ricarte",156,"https://abvd.eva.mpg.de/austronesian/language.php?id=660",1,0.0769230769230769
"153","Cebuano",8.38799,124.367,"cebu1242","Gemma Losbaños & Hermelito Go",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=153",13,1
"1643, 443","Central Sinama; Samal, Siasi Dialect",7.00457,118.45598,"cent2092","Kemp Pallesen; K. Pallesen in Reid (1971)",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=1643; https://abvd.eva.mpg.de/austronesian/language.php?id=443",0,0
"688","Cuyonon",10.3201,119.3,"cuyo1237","Fe Aldave Yap",182,"https://abvd.eva.mpg.de/austronesian/language.php?id=688",2,0.153846153846154
"417","Dumagat, Casiguran",16.2176,121.878,"casi1235","T.N. Headland in Reid (1971)",175,"https://abvd.eva.mpg.de/austronesian/language.php?id=417",1,0.0769230769230769
"730","Dupaningan Agta",17.3748,122.188,"dupa1235","Laura C. Robinson",191,"https://abvd.eva.mpg.de/austronesian/language.php?id=730",0,0
"656","Dusun Tuhauon (Tambunan)",5.68284,116.373,"tamb1254","Gordian Pius",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=656",0,0
"418","Gaddang",16.5468,121.177,"gadd1244","L. & M. Troyer in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=418",0,0
"1552, 1551","Guiangan (Baguio); Guiangan (Sirib)",6.99967,125.359,"gian1241","Summer Institute of Linguistics (unknown authors). 1966. Guiangan (Baguio) available via Zorc, R. David. 1972. Unpublished field notes.; Summer Institute of Linguistics (unknown authors). 1966. Guiangan (Sirib) available via Zorc, R. David. 1972. Unpublished field notes.",174,"https://abvd.eva.mpg.de/austronesian/language.php?id=1552; https://abvd.eva.mpg.de/austronesian/language.php?id=1551",0,0
"1274, 13","Hanunoo; Hanunóo",12.4159,121.221,"hanu1241","Barbian (1977); Blust, from: Conklin (1953)",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=1274; https://abvd.eva.mpg.de/austronesian/language.php?id=13",1,0.0769230769230769
"193, 467","Hiligaynon; Ilonggo",10.4018,122.974,"hili1240","Jamaica Salcedo; Richard Parker",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=193; https://abvd.eva.mpg.de/austronesian/language.php?id=467",4,0.307692307692308
"679, 423","Ibaloi; Inibaloi",16.4263,120.695,"ibal1244","Anton, Sofia Olga; L. Ballard in Reid (1971)",208,"https://abvd.eva.mpg.de/austronesian/language.php?id=679; https://abvd.eva.mpg.de/austronesian/language.php?id=423",1,0.0769230769230769
"279","Ibanag",17.4201,121.891,"iban1267","Telan Family",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=279",3,0.230769230769231
"262","Ida'an",5.29059,118.515,"idaa1241","David Moody",198,"https://abvd.eva.mpg.de/austronesian/language.php?id=262",0,0
"419","Ifugao, Amganad",16.9016,121.042,"amga1235","S. Funnell & A. West in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=419",0,0
"420","Ifugao, Batad",16.8266,121.23,"bata1298","L.E. Newell, in Reid (1971)",169,"https://abvd.eva.mpg.de/austronesian/language.php?id=420",0,0
"421, 431","Ifugao, Bayninan; Kallahan, Keleyqiq",16.7099,121.035,"kele1259","H.C. Conklin in Reid (1971); R & L. Hohulin in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=421; https://abvd.eva.mpg.de/austronesian/language.php?id=431",0,0
"288","Ilokano",15.9361,120.993,"ilok1237","Blust",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=288",0,0
"422, 31","Ilongot, Kakiduge:n; Kakiduge:n Ilongot",16.3785,121.547,"ilon1239","M. Rosaldo in Reid (1971); Reid (1971)",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=422; https://abvd.eva.mpg.de/austronesian/language.php?id=31",0,0
"250, 248, 252, 249, 157, 425, 251, 427","Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",20.77,121.85,"ivat1242","Tsuchida et al. (1987); Lawrence A. Reid; Y. Yamada in Reid (1971); M. Cottle, V. Larson & L. A. Reid in Reid (1971)",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=250; https://abvd.eva.mpg.de/austronesian/language.php?id=248; https://abvd.eva.mpg.de/austronesian/language.php?id=252; https://abvd.eva.mpg.de/austronesian/language.php?id=249; https://abvd.eva.mpg.de/austronesian/language.php?id=157; https://abvd.eva.mpg.de/austronesian/language.php?id=425; https://abvd.eva.mpg.de/austronesian/language.php?id=251; https://abvd.eva.mpg.de/austronesian/language.php?id=427",5,0.384615384615385
"490","Inabaknon",12.4264,124.166,"inab1237","Fr. Marc R. Jacobson",204,"https://abvd.eva.mpg.de/austronesian/language.php?id=490",9,0.692307692307692
"1635","Inagta Alabat",14.1217,122.014,"alab1246","Lobel et al. 2020.",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=1635",1,0.0769230769230769
"1553, 1554, 1260, 1276, 1277","Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",11.1539,122.512,"atii1237","Hsiu, Andrew. 2018. Inati word lists. m.s.; Pennoyer (1987)",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=1553; https://abvd.eva.mpg.de/austronesian/language.php?id=1554; https://abvd.eva.mpg.de/austronesian/language.php?id=1260; https://abvd.eva.mpg.de/austronesian/language.php?id=1276; https://abvd.eva.mpg.de/austronesian/language.php?id=1277",6,0.461538461538462
"1269","Iraya",13.381,120.65,"iray1237","Barbian (1977)",161,"https://abvd.eva.mpg.de/austronesian/language.php?id=1269",0,0
"1463","Isinay (Dupax)",16.3299,121.12,"isin1239","Sarah Eve Perlawan",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=1463",2,0.153846153846154
"424","Isneg, Dibagat-Kabugao-Isneg",18.2139,121.16,"isna1241","G.R. Roe in Reid (1971)",179,"https://abvd.eva.mpg.de/austronesian/language.php?id=424",0,0
"678, 978, 1278","Itawis; Malaweg",17.7329,121.58,"itaw1240","Tharp & Natividad (1976); Norman Barrias; Laurie Reid",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=678; https://abvd.eva.mpg.de/austronesian/language.php?id=978; https://abvd.eva.mpg.de/austronesian/language.php?id=1278",5,0.384615384615385
"426","Itneg, Binongan",17.5972,120.876,"bino1237","C. Walton in Reid (1971)",175,"https://abvd.eva.mpg.de/austronesian/language.php?id=426",1,0.0769230769230769
"934","Kadazan Dusun of Taginambur, Kota Belud, Sabah, Malaysia",6.14235,117.176,"sugu1243","Stemmah Sariau",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=934",0,0
"860","Kagayanen",10.4656,119.872,"kaga1256","Multiple contributors from Cagayancillo, Palawan",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=860",1,0.0769230769230769
"428","Kalagan",6.8126,125.328,"kala1388","D. Murray in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=428",0,0
"711","Kalinga (Minangali)",17.3441,121.311,"lowe1412","Kenneth S. Olson, et. al.",171,"https://abvd.eva.mpg.de/austronesian/language.php?id=711",1,0.0769230769230769
"429","Kalinga, Guinaang, Lubuagan Dialect",17.3879,121.0365,"lubu1243","C.R. Geiser in Reid (1971)",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=429",1,0.0769230769230769
"672","Kalinga, Limos",17.6081,121.381,"limo1248","Summer Institute of Linguistics (1981)",197,"https://abvd.eva.mpg.de/austronesian/language.php?id=672",0,0
"671","Kalinga, Southern",17.2936,121.068,"sout2908","Summer Institute of Linguistics (1980)",152,"https://abvd.eva.mpg.de/austronesian/language.php?id=671",1,0.0769230769230769
"430","Kallahan, Kayapa Proper",16.321,120.9,"kaya1320","P.O. Afable in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=430",0,0
