"gloss","wordform","feature","loading"
"child","anak","child::anak",-0.145448227245076
"woman.female","babayi","woman.female::babayi",-0.145339054907987
"he.she","ya","he.she::ya",-0.138412235718517
"to.count","bilaŋ","to.count::bilaŋ",-0.135479711146852
"to.bite","kayat","to.bite::kayat",-0.134733020134494
"sky","laŋit","sky::laŋit",-0.134211965851884
"to.choose","piliʔ","to.choose::piliʔ",-0.131311836648498
"to.buy","haliw","to.buy::haliw",-0.126705845976911
"to.steal","takaw","to.steal::takaw",-0.125446799882158
"liver","agtay","liver::agtay",-0.12519488519548
"wing","pakpak","wing::pakpak",-0.121051399447105
"thou","ka","thou::ka",-0.120320369610008
"spider","gigaŋ","spider::gigaŋ",-0.12025917522873
"to.dream","taynɨp","to.dream::taynɨp",-0.118393882675438
"root","yamot","root::yamot",-0.117822393945882
"mouth","bɨbɨy","mouth::bɨbɨy",-0.116466329774057
"fire","apoy","fire::apoy",-0.115987204140368
"to.plant","tanɨm","to.plant::tanɨm",-0.114918300942412
"tail","ikoy","tail::ikoy",-0.114320860175814
"new","bayo","new::bayo",-0.107867666886918
"to.cry","taŋih","to.cry::taŋih",-0.106293686018231
"night","yabi","night::yabi",-0.105409375843194
"to.dig","kali","to.dig::kali",-0.104104660113391
"eye","mata","eye::mata",-0.102291356012082
"mosquito","ilɨk","mosquito::ilɨk",-0.101992484868294
"to.eat","kan","to.eat::kan",-0.101582848618689
"blood","dayaʔ","blood::dayaʔ",-0.0953937345258221
"to.drink","inom","to.drink::inom",-0.0924307300776809
"hand","gamɨt","hand::gamɨt",-0.0911639489633177
"house","bali","house::bali",-0.0905979698280406
"bone","botʔo","bone::botʔo",-0.0880269956577951
"water","lanom","water::lanom",-0.0873665603682391
"to.kill","pati","to.kill::pati",-0.0864822501932018
"skin","balat","skin::balat",-0.0854301482622236
"shoulder","bantaw","shoulder::bantaw",-0.0831367748057348
"neck","lɨʔɨy","neck::lɨʔɨy",-0.0815803249096145
"to.swim","taŋoy","to.swim::taŋoy",-0.0809198896200584
"Five","limá","Five::limá",0.080621685748708
"I","ako","I::ako",-0.0805892599052959
"lightning","kimat","lightning::kimat",-0.0792940065464521
"bird","manokmanok","bird::manokmanok",-0.0784866400015282
"to.fly","lompad","to.fly::lompad",-0.0771270441653858
"back","bokot","back::bokot",-0.0769700417269319
"if.","no","if.::no",-0.0768647413826447
"stone","bato","stone::bato",-0.0739496296803762
"to.suck","hɨphɨp","to.suck::hɨphɨp",-0.0735531507520317
"black","ŋitit","black::ŋitit",-0.0728927154624755
"to.sew","tayiʔ","to.sew::tayiʔ",-0.0720084052874383
"Nine","siyám","Nine::siyám",0.0711097075175274
"husband","ahawa","husband::ahawa",-0.0707517890046384
"heavy","byat","heavy::byat",-0.0705233709787512
"thatch.roof","atɨp","thatch.roof::atɨp",-0.069391520113274
"Four","apat","Four::apat",-0.0692482740774926
"nose","baloŋoh","nose::baloŋoh",-0.0690998700078029
"to.work","trabaho","to.work::trabaho",-0.0679027843974846
"moon","buwan","moon::buwan",-0.0667178743961778
"heavy","biyat","heavy::biyat",-0.0655286808899525
"to.stand","irɨŋ","to.stand::irɨŋ",-0.0646416664194115
"father","bapa","father::bapa",-0.0642096491557424
"head","olo","head::olo",-0.0640206749471398
"Six","anɨm","Six::anɨm",-0.063302358414936
"I","aku","I::aku",-0.0630269564098337
"to.sleep","toloy","to.sleep::toloy",-0.0627246148470555
"hair","habot","hair::habot",-0.0624961968211683
"tongue","dila","tongue::dila",-0.0615936520500349
"ear","talinga","ear::talinga",0.0615228419726018
"who.","hino","who.::hino",-0.0595136121992226
"good","hampat","good::hampat",-0.0587033513664957
"dirty","yaŋat","dirty::yaŋat",-0.0580429160769396
"rain","uran","rain::uran",-0.0575986849342632
"white","putiʔ","white::putiʔ",-0.0569137273006242
"to.climb","manik","to.climb::manik",-0.0557515952358843
"we","kamí","we::kamí",0.0556750072939184
"stone","bató","stone::bató",0.0552244938798024
"tooth","ŋipɨn","tooth::ŋipɨn",-0.0546260251020393
"Three","tatlo","Three::tatlo",-0.0538476558624618
"fish","kɨnaʔ","fish::kɨnaʔ",-0.0538131305144353
"man.male","lalaki","man.male::lalaki",-0.0530999642624864
"root","gamót","root::gamót",0.0530085604805516
"shoulder","abaya","shoulder::abaya",-0.052915277062969
"to.stand","idɨŋ","to.stand::idɨŋ",-0.0518246633546461
"fruit","boŋa","fruit::boŋa",-0.051596245328759
"Seven","pitó","Seven::pitó",0.0513159943741839
"left","odi","left::odi",-0.0497358042499789
"wing","pakpák","wing::pakpák",0.049708525928646
"skin","katat","skin::katat",-0.0491649230717838
"road.path","dalan","road.path::dalan",0.0484914252508031
"egg","itlog","egg::itlog",0.0483767369002421
"belly","bitoka","belly::bitoka",-0.0482507699412919
"fish","ikan","fish::ikan",-0.0478639586051222
"dust","alikabuk","dust::alikabuk",-0.0468401109032642
"tail","ikog","tail::ikog",0.0464773084541297
"Eight","waló","Eight::waló",0.0464197064307428
"I","akó","I::akó",0.0462960555632344
"star","bituʔɨn","star::bituʔɨn",-0.0462802855415598
"needle","dagum","needle::dagum",0.0461069221450668
"thatch.roof","buboŋ","thatch.roof::buboŋ",-0.0457145407694191
"salt","asín","salt::asín",0.0456119436140297
"mother","ima","mother::ima",-0.0453550765945772
"to.yawn","kayab","to.yawn::kayab",-0.0442295064607321
"tongue","dilaʔ","tongue::dilaʔ",-0.0441786798357674
"hair","labok","hair::labok",-0.0437974891970631
"breast","suso","breast::suso",0.0435827304962953
"thunder","korol","thunder::korol",-0.043569071171176
"thunder","kilat","thunder::kilat",-0.0435087884030496
"painful..sick","sakít","painful..sick::sakít",0.0433489460426393
"father","ama","father::ama",0.0432370776819903
"to.fly","lumpad","to.fly::lumpad",-0.0430185011926948
"at","ha","at::ha",-0.0429599224395922
"leaf","dahon","leaf::dahon",0.042945512883198
"to.squeeze","pɨspɨs","to.squeeze::pɨspɨs",-0.0429292260060312
"all","tanán","all::tanán",0.0427882380178222
"house","baláy","house::baláy",0.0426590397872546
"to.suck","sɨpsɨp","to.suck::sɨpsɨp",-0.042426386570543
"ash","abu","ash::abu",-0.0419863278100421
"Two","duwa","Two::duwa",0.0415693794184278
"spider","lawa","spider::lawa",0.0414301149374784
"house","balay","house::balay",0.0408422416465442
"sand","balas","sand::balas",-0.0408002225496229
"belly","tiyán","belly::tiyán",0.0405979095932709
"mother","ina","mother::ina",0.0405329190131268
"egg","okoy","egg::okoy",-0.0397762257165033
"we","kitá","we::kitá",0.0397051338045583
"to.chew","tilad","to.chew::tilad",0.0396106387361544
"skin","panit","skin::panit",0.0395686723284921
"to.walk","bita","to.walk::bita",-0.0393392856086717
"One.Thousand","libu","One.Thousand::libu",-0.0392571739170731
"Five","lima","Five::lima",-0.0390562795350125
"left","wala","left::wala",0.0390511674236271
"mosquito","namók","mosquito::namók",0.0389912089488353
"what.","anya","what.::anya",-0.0388847193253848
"lightning","kilát","lightning::kilát",0.0387908547731513
"you","kamó","you::kamó",0.0385125295077054
"eye","matá","eye::matá",0.0379604273863085
"egg","itlóg","egg::itlóg",0.0377112036402841
"liver","atáy","liver::atáy",0.0375653725130756
"thin","impih","thin::impih",-0.0371938160104286
"branch","panga","branch::panga",0.0368549886371642
"white","potiʔ","white::potiʔ",-0.036767406830112
"blood","daya","blood::daya",-0.0365819148172581
"Eight","walú","Eight::walú",0.0360446162869638
"Four","opat","Four::opat",0.0360009828172467
"Eight","walo","Eight::walo",-0.0359033397762112
"ash","abo","ash::abo",-0.0355760235796685
"and","tan","and::tan",-0.0354495084563172
"Eight","walu","Eight::walu",-0.0353443079278539
"he.she","siyá","he.she::siyá",0.0352818109209219
"to.burn","silab","to.burn::silab",-0.035213073139719
"to.hide","tagoʔ","to.hide::tagoʔ",-0.0349979289012633
"year","tawon","year::tawon",0.0349101910606517
"neck","bɨŋ","neck::bɨŋ",-0.0348860048644429
"branch","salingsíng","branch::salingsíng",0.03468958882142
"Five","limaʔ","Five::limaʔ",-0.0343782907237728
"thin","manipís","thin::manipís",0.03430189147306
"other","ibá","other::ibá",0.0342817689784352
"at","sa","at::sa",0.0340783621400071
"lightning","kilat","lightning::kilat",-0.0339306134745098
"breast","susu","breast::susu",-0.0339280412685029
"needle","karayom","needle::karayom",-0.0338839382515918
"mosquito","yamok","mosquito::yamok",-0.033400970555756
"eye","'mata","eye::'mata",-0.0333740499753025
"mosquito","balangkád","mosquito::balangkád",0.0332512497642165
"to.hide","tayo","to.hide::tayo",-0.0328251780613668
"mother","indoʔ","mother::indoʔ",-0.0327405352661998
"long","aba","long::aba",0.0323951719258682
"sky","langit","sky::langit",0.0320787074879604
"to.drink","inɨm","to.drink::inɨm",-0.0320407016643916
"feather","bulbul","feather::bulbul",-0.0317935747061163
"day","adlaw","day::adlaw",0.0311778663855882
"man.male","laki","man.male::laki",-0.031147109374018
"sand","barás","sand::barás",0.0310266036070181
"old","gurang","old::gurang",0.0309654297963562
"fish","isda","fish::isda",0.0308752860512832
"to.vomit","sukà","to.vomit::sukà",0.0308713446555733
"to.walk","panaw","to.walk::panaw",0.0308084264486159
"to.suck","sipsip","to.suck::sipsip",-0.0307225796660817
"Nine","siyam","Nine::siyam",-0.0306655141894282
"leaf","don","leaf::don",0.0306168566116146
