"language","longitude","latitude","sPC1"
"Agta",121.857,17.9571,0.767682489262188
"Agutyanen",119.655,10.5328,0.0242793544447507
"Aklanon - Bisayan",122.354,11.5543,0.578807192854676
"Alangan",121.022,13.0982,0.973507326494684
"Arta",121.656,16.4185,0.0714639869870306
"Atta, Pamplona",121.3,18.4738,1.01268973170439
"Ayta Abellen",120.2,15.4131,-4.91358369289954
"Ayta Ambala",120.283,14.8156,-4.48130341690437
"Ayta Mag-anchi; Ayta Mag-antsi",120.459,15.1954,-5.38307680010511
"Ayta Mag-indi",120.182,14.9617,-3.86831039427964
"Babuyan",121.96,19.48,-0.49397373244477
"Balangaw",121.272,17.0994,1.08361880126995
"Bantoanon (Banton)",122.034,12.5194,0.326157055878928
"Batak, Palawan; Palawan Batak",119.025,10.1115,-0.0375367425237654
"Batangan; Buhid",121.21,12.6396,1.6498870162146
"Bikol (Buhinon)",123.5,13.17,0.109837897592905
"Bikol (Bisakol); Bikol (Naga City); Naga Bikol",123.403,13.7574,0.880243003889226
"Bikol (Rinconada)",123.331,13.3896,1.15141649006902
"Bilaan, Koronadal; Koronadal Blaan",125.007,6.20529,-0.401785764147202
"Bilaan, Sarangani; Sarangani Blaan",125.354,6.03691,-0.633135649326495
"Binukid",124.892,8.15933,-0.196530785768458
"Bolinao",119.853,16.3071,-4.30485038563324
"Bontok, Eastern",120.92,17.08,1.05771736121975
"Bontok, Guina-ang",120.96,17.04,2.04180423186979
"Botolan Sambal; Sambal, Botolan",120.164,15.2315,-5.93700498092235
"Butuanon",125.418,8.87009,0.546174606795379
"Capisano",122.954,11.4122,0.717461242200074
"Cebuano",124.367,8.38799,0.647081287252842
"Cuyonon",119.3,10.3201,0.775760267361874
"Dumagat, Casiguran",121.878,16.2176,0.744546805780771
"Dupaningan Agta",122.188,17.3748,0.610128314047266
"Gaddang",121.177,16.5468,0.6797393124447
"Guiangan (Baguio); Guiangan (Sirib)",125.359,6.99967,-0.100400960527677
"Hanunoo; Hanunóo",121.221,12.4159,2.88360836612516
"Hiligaynon; Ilonggo",122.974,10.4018,0.99033635799005
"Ibaloi; Inibaloi",120.695,16.4263,0.201430240838904
"Ibanag",121.891,17.4201,1.08755935464163
"Ifugao, Amganad",121.042,16.9016,1.13619646377911
"Ifugao, Batad",121.23,16.8266,0.920864556058864
"Ifugao, Bayninan; Kallahan, Keleyqiq",121.035,16.7099,0.784142602901573
"Ilokano",120.993,15.9361,0.192208238572623
"Ilongot, Kakiduge:n; Kakiduge:n Ilongot",121.547,16.3785,0.52308219970855
"Inagta Alabat",122.014,14.1217,0.18133686897407
"Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",122.512,11.1539,0.611908395142408
"Iraya",120.65,13.381,0.441940100689524
"Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",121.85,20.77,-0.921012994891549
"Isinay (Dupax)",121.12,16.3299,0.895795399258227
"Isneg, Dibagat-Kabugao-Isneg",121.16,18.2139,1.02718796547987
"Itawis; Malaweg",121.58,17.7329,1.82067762139842
