"glottocode","language","subgroup","colour","region"
"cent2084","Agta","Cagayan Valley","#79F287","Luzon"
"agut1237","Agutyanen","Palawanic-Kalamian","#87B1F1","Luzon"
"akla1241","Aklanon - Bisayan","Central Philippine","#565153","Visayas"
"alan1249","Alangan","North Mangyan","#ECBEBD","Luzon"
"arta1239","Arta","Northern Luzon","#7E6E40","Luzon"
"pamp1244","Atta, Pamplona","Cagayan Valley","#79F287","Luzon"
"aben1249","Ayta Abellen","Sambalic","#F1C878","Luzon"
"amba1267","Ayta Ambala","Sambalic","#F1C878","Luzon"
"maga1263","Ayta Mag-anchi; Ayta Mag-antsi","Sambalic","#F1C878","Luzon"
"magi1241","Ayta Mag-indi","Sambalic","#F1C878","Luzon"
"babu1242","Babuyan","Ibatan","#EF7AD0","Luzon"
"bala1310","Balangaw","Meso-Cordilleran","#EA7B81","Luzon"
"bant1288","Bantoanon (Banton)","Central Philippine","#565153","Luzon"
"bata1301","Batak, Palawan; Palawan Batak","Palawanic-Kalamian","#87B1F1","Luzon"
"buhi1245","Batangan; Buhid","South Mangyan","#85DEF2","Luzon"
"buhi1243","Bikol (Buhinon)","Central Philippine","#565153","Luzon"
"cent2087","Bikol (Bisakol); Bikol (Naga City); Naga Bikol","Central Philippine","#565153","Luzon"
"irig1242","Bikol (Rinconada)","Central Philippine","#565153","Luzon"
"koro1310","Bilaan, Koronadal; Koronadal Blaan","Tboli-Blaan","#5C7193","Mindanao"
"sara1326","Bilaan, Sarangani; Sarangani Blaan","Tboli-Blaan","#5C7193","Mindanao"
"binu1244","Binukid","Manobo","#F16DEF","Mindanao"
"boli1256","Bolinao","Sambalic","#F1C878","Luzon"
"cent2292","Bontok, Eastern","Meso-Cordilleran","#EA7B81","Luzon"
"guin1256","Bontok, Guina-ang","Meso-Cordilleran","#EA7B81","Luzon"
"boto1242","Botolan Sambal; Sambal, Botolan","Sambalic","#F1C878","Luzon"
"butu1244","Butuanon","Central Philippine","#565153","Mindanao"
"capi1239","Capisano","Central Philippine","#565153","Visayas"
"cebu1242","Cebuano","Central Philippine","#565153","Mindanao"
"cuyo1237","Cuyonon","Central Philippine","#565153","Luzon"
