"glottocode","language","tip"
"cent2084","Agta","Agta_409"
"agut1237","Agutyanen","Agutyanen_1569"
"akla1241","Aklanon - Bisayan","Aklanon_Bisayan_43"
"alan1249","Alangan","Alangan_1270"
"arta1239","Arta","Arta_1211"
"pamp1244","Atta, Pamplona","Atta_Pamplona_410"
"aben1249","Ayta Abellen","Ayta_Abellen_1262"
"amba1267","Ayta Ambala","Ayta_Ambala_1263"
"maga1263","Ayta Mag-anchi; Ayta Mag-antsi","Ayta_Mag-anchi_1264"
"magi1241","Ayta Mag-indi","Ayta_Mag-indi_1267"
"babu1242","Babuyan","Babuyan_289"
"bala1310","Balangaw","Balangaw_411"
"bant1288","Bantoanon (Banton)","Bantoanon_Banton_708"
"bata1301","Batak, Palawan; Palawan Batak","Batak_Palawan_412"
"buhi1245","Batangan; Buhid","Batangan_1272"
"cent2087","Bikol (Bisakol); Bikol (Naga City); Naga Bikol","Bikol_Naga_City_47"
"buhi1243","Bikol (Buhinon)","Bikol_Buhinon_710"
"irig1242","Bikol (Rinconada)","Bikol_Rinconada_722"
"koro1310","Bilaan, Koronadal; Koronadal Blaan","Bilaan_Koronadal_413"
"sara1326","Bilaan, Sarangani; Sarangani Blaan","Bilaan_Sarangani_414"
"binu1244","Binukid","Binukid_415"
"boli1256","Bolinao","Bolinao_1265"
"cent2292","Bontok, Eastern","Bontok_Eastern_673"
"guin1256","Bontok, Guina-ang","Bontok_Guina-ang_36"
"boto1242","Botolan Sambal; Sambal, Botolan","Botolan_Sambal_1266"
"butu1244","Butuanon","Butuanon_483"
"capi1239","Capisano","Capisano_660"
"cebu1242","Cebuano","Cebuano_153"
"cuyo1237","Cuyonon","Cuyonon_688"
"casi1235","Dumagat, Casiguran","Dumagat_Casiguran_417"
"dupa1235","Dupaningan Agta","Dupaningan_Agta_730"
"gadd1244","Gaddang","Gaddang_418"
"gian1241","Guiangan (Baguio); Guiangan (Sirib)","Guiangan_Baguio_1552"
"hanu1241","Hanunoo; Hanunóo","Hanunoo_1274"
"hili1240","Hiligaynon; Ilonggo","Hiligaynon_193"
"ibal1244","Ibaloi; Inibaloi","Ibaloi_679"
"iban1267","Ibanag","Ibanag_279"
"amga1235","Ifugao, Amganad","Ifugao_Amganad_419"
"bata1298","Ifugao, Batad","Ifugao_Batad_420"
"kele1259","Ifugao, Bayninan; Kallahan, Keleyqiq","Ifugao_Bayninan_421"
"ilok1237","Ilokano","Ilokano_288"
"ilon1239","Ilongot, Kakiduge:n; Kakiduge:n Ilongot","Ilongot_Kakidugen_422"
"ivat1242","Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect","Isamorong_252"
"alab1246","Inagta Alabat","Inagta_Alabat_1635"
"atii1237","Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)","Inati_Hamtic_1553"
"iray1237","Iraya","Iraya_1269"
"isin1239","Isinay (Dupax)","Isinay_Dupax_1463"
"isna1241","Isneg, Dibagat-Kabugao-Isneg","Isneg_Dibagat-Kabugao-Isneg_424"
"itaw1240","Itawis; Malaweg","Itawis_678"
"bino1237","Itneg, Binongan","Itneg_Binongan_426"
"kaga1256","Kagayanen","Kagayanen_860"
"kala1388","Kalagan","Kalagan_428"
"lowe1412","Kalinga (Minangali)","Kalinga_Minangali_711"
"lubu1243","Kalinga, Guinaang, Lubuagan Dialect","Kalinga_Guinaang_Lubuagan_Dialect_429"
"limo1248","Kalinga, Limos","Kalinga_Limos_672"
"sout2908","Kalinga, Southern","Kalinga_Southern_671"
"kaya1320","Kallahan, Kayapa Proper","Kallahan_Kayapa_Proper_430"
"kama1363","Kamayo","Kamayo_1549"
"kank1243","Kankanaey","Kankanaey_681"
"nort2877","Kankanay, Northern","Kankanay_Northern_432"
"pamp1243","Kapampangan","Kapampangan_33"
"kina1250","Kinaray-a","Kinaray-a_657"
"magu1243","Maguindanaon","Maguindanaon_685"
"mama1275","Mamanwa","Mamanwa_433"
"cama1250","Manide; Manide (Labo)","Manide_Labo_1641"
"atam1240","Manobo, Ata (down-river); Manobo, Ata (up-river)","Manobo_Ata_down-river_435"
"diba1242","Manobo, Dibabawon","Manobo_Dibabawon_436"
"ilia1236","Manobo, Ilianen (Kibudtungan Dialect)","Manobo_Ilianen_Kibudtungan_Dialect_437"
"cota1241","Manobo, Kalamansig Cotabato (Paril Dialect)","Manobo_Kalamansig_Cotabato_Paril_Dialect_438"
"sara1327","Manobo, Sarangani, Kayaponga Dialect","Manobo_Sarangani_Kayaponga_Dialect_439"
"mati1250","Manobo, Tigwa, Iglogsad Dialect","Manobo_Tigwa_Iglogsad_Dialect_440"
"west2555","Manobo, Western Bukidnon; Western Bukidnon Manobo","Manobo_Western_Bukidnon_441"
"mans1262","Mansaka","Mansaka_442"
"mara1404","Maranao","Maranao_86"
"taga1270","Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)","Tagalog_389"
"masb1238","Masbatenyo","Masbatenyo_755"
"pang1290","Pangasinan","Pangasinan_405"
"rata1245","Ratagnon","Ratagnon_1275"
"romb1245","Romblon","Romblon_687"
"sout2916","S.W. Palawano","SW_Palawano_494"
"wara1300","Samar-Leyte; Waray-Waray","Samar-Leyte_783"
"tina1248","Sambal","Sambal_1268"
"sang1337","Sangil, Saragani Islands","Sangil_Saragani_Islands_445"
"remo1247","Sinauna","Sinauna_686"
"west2557","Subanon, Siocon; Western Subanon","Subanon_Siocon_448"
"cent2089","Subanun, Sindangan","Subanun_Sindangan_447"
"suri1273","Surigaonon","Surigaonon_466"
"tady1237","Tadyawan","Tadyawan_1271"
"tbol1240","Tagabili; Tboli (Tagabili)","Tagabili_449"
"cent2090","Tagbanwa, Aborlan Dialect","Tagbanwa_Aborlan_Dialect_450"
"cala1258","Tagbanwa, Kalamian, Coron Island Dialect","Tagbanwa_Kalamian_Coron_Island_Dialect_451"
"taus1251","Tausug, Jolo Dialect","Tausug_Jolo_Dialect_452"
"tiru1241","Tiruray","Tiruray_707"
"yoga1237","Yogad","Yogad_713"
