english_word,na_count
Fifty,57
at,55
to grow,50
fog,49
above,47
to swell,46
meat/flesh,45
to flow,45
to yawn,45
"in, inside",44
to shoot,44
"correct, true",42
and,41
"to live, be alive",41
to split,41
branch,40
to breathe,40
to hit,39
"to open, uncover",39
grass,37
that,37
to come,37
to lie down,36
thou,35
to think,35
this,33
he/she,31
you,30
they,29
I,28
we,27
road/path,26
below,22
lake,19
stick/wood,19
Twenty,17
"to cut, hack",17
fat/grease,16
to blow,16
to chew,16
to spit,16
to turn,16
One Thousand,15
green,15
to hide,15
to hold,15
"to pound, beat",15
rotten,14
to hunt,14
other,13
to kill,13
to work,13
"dull, blunt",12
how?,12
person/human being,12
thick,12
warm,12
One Hundred,11
leg/foot,11
narrow,11
"no, not",11
"to know, be knowledgeable",11
to squeeze,11
Nine,10
Seven,10
Ten,10
rat,10
sharp,10
"to die, be dead",10
to fear,10
to sew,10
Six,9
feather,9
if,9
intestines,9
old,9
"painful, sick",9
right,9
to cook,9
to count,9
to fall,9
to scratch,9
"to stab, pierce",9
what?,9
Eight,8
"bad, evil",8
louse,8
sea,8
"shy, ashamed",8
to suck,8
"to tie up, fasten",8
who?,8
yellow,8
Five,7
earth/soil,7
near,7
spider,7
to choose,7
to climb,7
to dig,7
to drink,7
to say,7
to stand,7
woods/forest,7
ash,6
dry,6
flower,6
leaf,6
long,6
needle,6
short,6
thin,6
to bite,6
to burn,6
to dream,6
to plant,6
to steal,6
wet,6
all,5
cloud,5
fire,5
fish,5
mosquito,5
smoke,5
tail,5
thunder,5
to fly,5
to throw,5
when?,5
where?,5
wind,5
Four,4
Three,4
fruit,4
good,4
hair,4
heavy,4
lightning,4
shoulder,4
small,4
thatch/roof,4
to buy,4
to sit,4
to swim,4
to vomit,4
One,3
Two,3
back,3
breast,3
cold,3
day,3
far,3
house,3
left,3
mother,3
new,3
root,3
rope,3
salt,3
to cry,3
to eat,3
to hear,3
to see,3
to sleep,3
"to sniff, smell",3
to walk,3
wide,3
wife,3
year,3
belly,2
bird,2
dirty,2
ear,2
egg,2
eye,2
father,2
husband,2
liver,2
mouth,2
name,2
neck,2
sand,2
sky,2
to laugh,2
white,2
wing,2
worm (earthworm),2
big,1
black,1
blood,1
bone,1
child,1
dog,1
dust,1
hand,1
head,1
man/male,1
moon,1
night,1
rain,1
skin,1
star,1
stone,1
tooth,1
water,1
nose,0
red,0
snake,0
tongue,0
woman/female,0
