"language","longitude","latitude","sPC1"
"Agta",121.857,17.9571,-0.000781503119941018
"Agutyanen",119.655,10.5328,0.00300330357101655
"Aklanon - Bisayan",122.354,11.5543,0.0256705558481154
"Alangan",121.022,13.0982,0.00215627838583848
"Arta",121.656,16.4185,-0.0114869699110772
"Atta, Pamplona",121.3,18.4738,0.00371663232038582
"Ayta Abellen",120.2,15.4131,0.00713505657740712
"Ayta Ambala",120.283,14.8156,-0.0154884363511004
"Ayta Mag-anchi; Ayta Mag-antsi",120.459,15.1954,0.0241382145789685
"Ayta Mag-indi",120.182,14.9617,-0.00105644549761194
"Babuyan",121.96,19.48,-0.00564968488132116
"Balangaw",121.272,17.0994,0.00324974173067452
"Bantoanon (Banton)",122.034,12.5194,0.0105908131009025
"Batak, Palawan; Palawan Batak",119.025,10.1115,-0.00378326434179399
"Batangan; Buhid",121.21,12.6396,0.0122634627277255
"Bikol (Buhinon)",123.5,13.17,-0.0553351127851599
"Bikol (Bisakol); Bikol (Naga City); Naga Bikol",123.403,13.7574,0.0491246519866936
"Bikol (Rinconada)",123.331,13.3896,-0.00342146069388995
"Bilaan, Koronadal; Koronadal Blaan",125.007,6.20529,-0.0249176531504874
"Bilaan, Sarangani; Sarangani Blaan",125.354,6.03691,0.0180789144144966
"Binukid",124.892,8.15933,0.0326477273934622
"Bolinao",119.853,16.3071,-0.0220342412108642
"Bontok, Eastern",120.92,17.08,0.00349160115426476
"Bontok, Guina-ang",120.96,17.04,0.00374909805780562
"Botolan Sambal; Sambal, Botolan",120.164,15.2315,0.0150822506816666
"Butuanon",125.418,8.87009,-0.0403262817879109
"Capisano",122.954,11.4122,-0.0385073101550986
"Cebuano",124.367,8.38799,0.158798486082779
"Cuyonon",119.3,10.3201,-0.00193635641348326
"Dumagat, Casiguran",121.878,16.2176,0.0257324229035717
"Dupaningan Agta",122.188,17.3748,-0.00817407846243443
"Gaddang",121.177,16.5468,0.000233833491282379
"Guiangan (Baguio); Guiangan (Sirib)",125.359,6.99967,-0.00402603098694661
"Hanunoo; Hanunóo",121.221,12.4159,0.012037481071172
"Hiligaynon; Ilonggo",122.974,10.4018,0.0312475083781777
"Ibaloi; Inibaloi",120.695,16.4263,-0.00919707055491722
"Ibanag",121.891,17.4201,-0.00737507243656602
"Ifugao, Amganad",121.042,16.9016,-0.00267962471673484
"Ifugao, Batad",121.23,16.8266,-0.0021341326365549
"Ifugao, Bayninan; Kallahan, Keleyqiq",121.035,16.7099,-0.00423419511100046
"Ilokano",120.993,15.9361,0.0118987617041022
"Ilongot, Kakiduge:n; Kakiduge:n Ilongot",121.547,16.3785,-0.013284745214355
"Inagta Alabat",122.014,14.1217,0.00185577017981202
"Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",122.512,11.1539,0.0450270960594986
"Iraya",120.65,13.381,-0.0451691329847695
"Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",121.85,20.77,-0.00454524820292018
"Isinay (Dupax)",121.12,16.3299,0.00426831661677834
"Isneg, Dibagat-Kabugao-Isneg",121.16,18.2139,0.00564658109902104
"Itawis; Malaweg",121.58,17.7329,0.0030626325053531
"Itneg, Binongan",120.876,17.5972,-6.0468233565824e-05
"Kagayanen",119.872,10.4656,0.00362675942916643
"Kalagan",125.328,6.8126,0.000292048429047426
"Kalinga, Guinaang, Lubuagan Dialect",121.0365,17.3879,-0.00044524661057195
"Kalinga, Limos",121.381,17.6081,0.00505317326269134
"Kalinga (Minangali)",121.311,17.3441,0.00370522958917949
"Kalinga, Southern",121.068,17.2936,-0.000190153144634178
"Kallahan, Kayapa Proper",120.9,16.321,-0.000596587616547156
"Kamayo",126.314,8.10796,0.0838805511991777
"Kankanaey",120.689,16.8548,-0.0106141193257591
"Kankanay, Northern",120.786,17.1057,-0.00417238984864504
"Kapampangan",120.502,14.9603,0.0104940332793158
"Kinaray-a",122.297,10.8131,0.035546064996591
"Maguindanaon",124.509,6.9453,0.0589375221707273
"Mamanwa",125.548,9.44744,-0.0378839250994632
