"english_word","detected_loan_words"
"to cook",""
"dry",""
"short",""
"to tie up, fasten",""
"to scratch",""
"dirty",""
"old",""
"to throw","etsa; itsa"
"small",""
"to climb",""
"to fall",""
"no, not",""
"where?",""
"to say",""
"to stab, pierce",""
"to know, be knowledgeable","maalamon; ma-antígo; kamaò; kabalò"
"when?",""
"to hear",""
"bad, evil",""
"to cut, hack",""
"to sniff, smell",""
"to squeeze",""
"wide",""
"to fear",""
"to burn",""
"to laugh",""
"to see",""
"to walk",""
"to sit",""
"far",""
"that",""
"to hold",""
"big",""
"dust",""
"shy, ashamed",""
"black",""
"red",""
"to dig",""
"to turn","kurba; kumorba"
"to sleep",""
"woods/forest",""
"good",""
"to cry",""
"to stand",""
"to blow",""
"to spit",""
"dull, blunt",""
"narrow",""
"rotten",""
"cold",""
"to split",""
"to bite",""
"worm (earthworm)",""
"One","uno; un"
"to hide",""
"to pound, beat",""
"near",""
"Ten","diis"
"to chew",""
"warm",""
"long",""
"to sew","magsórsi"
"to work","ʔubraʔ; mag-obrá; magtrabáho; mattrabáhu; mattrabahu; mattarabáhu; magtrabaho; gumawa; mantrabajo; trabajo; kimey; mankimey; trabaho; buhat; buhata; magbuhat; migtarabáhu; tara'baho; tara'bahoʔ; mat-trabaho; taraˈbahu; maytarabaho; mantalavaho; magtala'bako; tarabaho; tra'bahu; tʌrbaho"
"we",""
"to buy",""
"to dream",""
"to suck",""
"to fly",""
"what?",""
"to kill",""
"to lie down",""
"to think","pamínsar; paminsara"
"Twenty","baynte; bayinti; baínte; binte; veinti; beynte; veinte; beynti; béinte"
"who?",""
"cloud",""
"heavy",""
"how?",""
"mouth",""
"snake",""
"thick",""
"below",""
"leg/foot",""
"to hit","paluin; pumalo"
"painful, sick",""
"thunder",""
"to hunt",""
"to open, uncover","abrih; ʔábri; abri +d1; abríhan; abri"
"other",""
"to swim",""
"correct, true","ustu; hustu; támâ; totoó; tutoqó; tama; totoo; bennal; toʔo; tuʔun; taɣˈma; tutoo; taˈma; tama'; támaʔ; tu-túʔu"
"egg",""
"left",""
"nose",""
"husband",""
"One Thousand","mil"
"to eat",""
"yellow","amarílyu"
"all",""
"day",""
"earth/soil",""
"One Hundred","ciento"
"spider",""
"to plant",""
"to steal",""
"bone",""
"to come",""
"new",""
"night",""
"white",""
"sharp",""
"belly",""
"bird",""
"fish",""
"rat",""
"to die, be dead",""
"to vomit",""
"tooth",""
"wet",""
"wife",""
"this",""
"green","birdi; be:rdi; berde; birˈdi; 'birdi; hilaw; lunhaw; bérde; berdi'; byérde; vyerde; asúl; luntian; birde; verde; maeta; berdi; asol; hiláw"
"wind",""
"woman/female",""
"star",""
"neck",""
"shoulder",""
"to swell",""
"hand","siŋku"
"hair",""
"sand",""
"smoke",""
"to yawn",""
"breast",""
"man/male",""
"mosquito",""
"to choose",""
"right",""
"thin",""
"to flow",""
"ash",""
"blood",""
"intestines",""
"child",""
"ear",""
"fruit","proˈtas; protas; prutas"
"rope",""
"to count",""
"and",""
"dog",""
"feather",""
"lake","lalaguna'"
"to shoot",""
"back",""
"Two","dos"
"mother",""
"skin",""
"year",""
"above",""
"house",""
"person/human being",""
"to live, be alive",""
"fat/grease","mantíka; sebo; grasa; mantika"
"flower","rosas; florés"
"grass",""
"rain",""
"they",""
"to breathe",""
"fog",""
"Three","tres"
"in, inside",""
"tail",""
"leaf",""
"lightning",""
"needle",""
"road/path",""
"father",""
"head",""
"water",""
"Six","says; sa'is"
"to grow",""
"stick/wood",""
"thatch/roof",""
"to drink",""
"fire",""
"name",""
"you",""
"sea",""
"wing",""
"he/she",""
"sky",""
"if",""
"liver",""
"Four","kwatro +d1; kwatro"
"root",""
"I",""
"meat/flesh","karne; karni +t+d1; karni; carne; kárne; kal'ni; karné"
"thou",""
"tongue",""
"Fifty","singkwénta; singkwenta; cincuenta; cinquenta; Sinɡkwinta"
"Eight","otso"
"moon",""
"louse",""
"at",""
"branch",""
"stone",""
"Nine","nuebe"
"Seven","siete; syiti"
"salt",""
"eye",""
"Five","singko"
