node_i,node_j,w,log10_w_ratio
0,2,0.7107277816010065,0.04945393675135266
0,1,0.710182119647511,0.04912037867447708
1,3,0.7104970740088709,0.04931293860502521
1,2,0.7112312963767491,0.04976150354590817
2,5,0.711375170495078,0.04984934756650981
2,6,0.709540600500603,0.04872789605720882
2,3,0.7084214981256166,0.04804237690613362
3,7,0.7119178347355504,0.050180517741192435
3,6,0.7082132897162998,0.04791471695498847
4,5,0.7078474997408603,0.04769034724913244
5,6,0.7061979016452051,0.04667706765487083
6,11,0.6968861985323316,0.0409125084922632
6,7,0.6998744997810278,0.042770814964186415
7,8,0.6765592825629724,0.028056501911761792
7,12,0.686510454763349,0.03439780029066128
7,11,0.6664390026444317,0.021511050634948767
8,13,0.6479290011150084,0.009278064138877268
8,12,0.6269314840330095,-0.00502927480451144
9,18,0.9306673749975862,0.16654513463599296
9,10,0.9209894681743577,0.16200530878404149
10,19,0.9294625036874723,0.1659825190460139
10,18,0.926495205325604,0.1645938210207473
11,12,0.6620175284562699,0.01862013341293841
11,21,0.6874145319307143,0.03496935373859189
11,22,0.6763773804629215,0.027939720275291038
12,13,0.6295373811536177,-0.0032278320566272926
12,22,0.6560243812975551,0.014670625193152627
12,23,0.6338845960289146,-0.00023915698704472663
13,14,0.5863770103846471,-0.03407242020733261
13,23,0.6162390534687088,-0.01250013735139744
13,24,0.5825448135042596,-0.03692001512316541
14,15,0.5327827781985337,-0.07569917698955841
14,24,0.5579823067131711,-0.05562892720072667
14,25,0.5270431942202635,-0.08040314553598175
15,16,0.4984355460459181,-0.10464034857043204
15,25,0.5084384124388964,-0.09601100113858178
15,26,0.48306129976701245,-0.11824710955883633
16,17,0.48325442280258346,-0.11807351770301817
16,26,0.47469504506348176,-0.125834656624609
16,27,0.4441769851096105,-0.1546933031732941
17,27,0.4460150278319155,-0.15289986325339439
17,28,0.38463669987624194,-0.21719863531439762
18,31,0.9064184319298734,0.15507937314369483
18,19,0.9023317971680218,0.1531169065542692
19,32,0.8862450016254214,0.14530444366318218
19,20,0.8882190925570093,0.146270749101394
19,31,0.8734638732264183,0.1389955919804886
20,33,0.8499263500402662,0.12713193862785951
20,32,0.8373367038467784,0.12065077336814745
21,34,0.6725236654969182,0.025458216234561647
21,22,0.6973894003526789,0.041225987095092786
22,35,0.6445642606421581,0.00701686624366916
22,23,0.6832673802827892,0.03234133252345913
22,34,0.6621710248370432,0.01872081791333636
23,36,0.5926844402308858,-0.02942582929942618
23,24,0.6407010265546278,0.004406064697812735
23,35,0.6045356835901009,-0.02082741432594135
24,37,0.539489589953526,-0.07026628622821103
24,25,0.5758909383086894,-0.04190911021286058
24,36,0.5144489920791756,-0.09090703445795519
25,38,0.4881398540187079,-0.1137050882021287
25,26,0.4964265562381104,-0.10639434919361748
25,37,0.4938758574359553,-0.10863155845240959
26,39,0.44916541299497065,-0.14984304816154725
26,27,0.4691357441975576,-0.1309508313428793
26,38,0.45723403534198637,-0.14211080443080604
27,40,0.3699180107336252,-0.23414387818288396
27,28,0.43503716756887634,-0.1637229924801461
27,39,0.3857656190803085,-0.21592583610363733
28,40,0.3849745011068822,-0.21681739029176558
28,41,0.3518854549360968,-0.2558480393435331
28,29,0.36789090030515287,-0.2365303093449494
29,42,0.4182249992836721,-0.18083936604700834
29,30,0.40565516967633647,-0.1940923401317607
29,41,0.41690523328250545,-0.1822120084122339
30,43,0.4150598313499583,-0.18413864986550563
30,42,0.41831450003721476,-0.18074643634417994
31,46,0.8593517172373812,0.1319215940171038
31,32,0.8531763072474844,0.12878943142631805
32,46,0.8351134404169618,0.11949611819177702
32,47,0.8356523021170993,0.11977625880638922
32,33,0.8215046747454006,0.11236068397949855
33,47,0.8015459668664636,0.10167907808333372
33,48,0.7912175691824634,0.09604656717581946
34,50,0.6765545908263516,0.028053490198756706
34,49,0.7275611036608429,0.05962011794124638
34,35,0.7097051471298601,0.04882859981981181
35,51,0.6228870897622065,-0.007840025552327492
35,50,0.6899324010413426,0.03655718590027305
35,36,0.6503769992710751,0.010915818798400269
36,52,0.5276088521751642,-0.0799372816468366
36,51,0.6124877615419251,-0.015151939893051771
36,37,0.5948192981011301,-0.02786430496629288
37,52,0.4716035488206142,-0.1286722906321908
37,38,0.5288068062688337,-0.07895231882221279
37,53,0.49427741940061143,-0.1082785845584187
38,54,0.4670255914518387,-0.13290867602325
38,53,0.5044204215283481,-0.09945669440986007
38,39,0.4870261250207918,-0.11469709690388787
39,40,0.4128963759068379,-0.18640828415529126
39,55,0.4737677269398896,-0.12668388188522436
39,54,0.45042340948517395,-0.14862840147757234
40,41,0.37750962257255377,-0.22532132903442326
40,56,0.40504781027749587,-0.19474306645525935
40,55,0.3960471742954434,-0.20450243609042532
41,56,0.4070103919179152,-0.1926438572264136
41,42,0.40184756834711655,-0.1981880104603453
41,57,0.40750133398821886,-0.19212032036106033
