"glottocode","language","n_tips","monophyletic","max_within_dist","chosen_tip","dropped_tips"
"kele1259","Ifugao, Bayninan; Kallahan, Keleyqiq",2,FALSE,3538.80768883702,"Ifugao_Bayninan_421","Kallahan_Keleyqiq_431"
"cent2087","Bikol (Bisakol); Bikol (Naga City); Naga Bikol",3,FALSE,1943.28183652817,"Bikol_Naga_City_47","Bikol_Bisakol_859; Naga_Bikol_1208"
"west2557","Subanon, Siocon; Western Subanon",2,FALSE,1873.73917147587,"Subanon_Siocon_448","Western_Subanon_1638"
"hanu1241","Hanunoo; Hanunóo",2,TRUE,1394.08167641353,"Hanunoo_1274","Hanunoo_13"
"ivat1242","Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",8,FALSE,1352.49338616326,"Isamorong_252","Imorod_250; Iraralay_248; Itbayat_249; Itbayaten_157; Itbayaten_425; Ivasay_251; Ivatan_Basco_Dialect_427"
"ibal1244","Ibaloi; Inibaloi",2,FALSE,1256.55723918073,"Ibaloi_679","Inibaloi_423"
"buhi1245","Batangan; Buhid",2,TRUE,1216.36833244677,"Batangan_1272","Buhid_1273"
"itaw1240","Itawis; Malaweg",3,TRUE,1180.4598100414,"Itawis_678","Itawis_978; Malaweg_1278"
"atii1237","Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",3,TRUE,1169.29555539573,"Inati_Hamtic_1553","Inati_Jordan_Guimaras_1554; Inati_Nagpana_1260"
"hili1240","Hiligaynon; Ilonggo",2,FALSE,1162.06295648606,"Hiligaynon_193","Ilonggo_467"
"pamp1243","Kapampangan",2,TRUE,1070.49253777971,"Kapampangan_33","Kapampangan_1200"
"suri1273","Surigaonon",2,TRUE,1029.74630865609,"Surigaonon_466","Surigaonon_1637"
"wara1300","Samar-Leyte; Waray-Waray",2,TRUE,853.854075520485,"Samar-Leyte_783","Waray-Waray_513"
"gian1241","Guiangan (Baguio); Guiangan (Sirib)",2,TRUE,785.331158171119,"Guiangan_Baguio_1552","Guiangan_Sirib_1551"
"taga1270","Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)",5,TRUE,688.050183297066,"Tagalog_389","Marinduque_Tagalog_788; Mindoro_Tagalog_1467; Tagalog_277; Tagalog_Anthony_dela_Paz_408"
"guin1256","Bontok, Guina-ang",2,TRUE,545.173621095917,"Bontok_Guina-ang_36","Bontok_Guina-ang_416"
"boto1242","Botolan Sambal; Sambal, Botolan",2,TRUE,489.469161155945,"Botolan_Sambal_1266","Sambal_Botolan_444"
"maga1263","Ayta Mag-anchi; Ayta Mag-antsi",2,TRUE,433.825159456854,"Ayta_Mag-anchi_1264","Ayta_Mag-antsi_1257"
"bata1301","Batak, Palawan; Palawan Batak",2,TRUE,348.118066902682,"Batak_Palawan_412","Palawan_Batak_265"
"koro1310","Bilaan, Koronadal; Koronadal Blaan",2,FALSE,330.952383084841,"Bilaan_Koronadal_413","Koronadal_Blaan_291"
"sara1326","Bilaan, Sarangani; Sarangani Blaan",2,FALSE,266.130708175174,"Bilaan_Sarangani_414","Sarangani_Blaan_293"
"west2555","Manobo, Western Bukidnon; Western Bukidnon Manobo",2,TRUE,201.22609450333,"Manobo_Western_Bukidnon_441","Western_Bukidnon_Manobo_144"
"tbol1240","Tagabili; Tboli (Tagabili)",2,TRUE,154.541968907435,"Tagabili_449","Tboli_Tagabili_133"
"ilon1239","Ilongot, Kakiduge:n; Kakiduge:n Ilongot",2,TRUE,47.2008656958587,"Ilongot_Kakidugen_422","Kakidugen_Ilongot_31"
"atam1240","Manobo, Ata (down-river); Manobo, Ata (up-river)",2,TRUE,6.12952988997677,"Manobo_Ata_down-river_435","Manobo_Ata_up-river_434"
