english_word,na_count
at,88
Fifty,86
to grow,81
fog,76
to shoot,73
above,71
"in, inside",71
to swell,71
to flow,70
"correct, true",68
to yawn,67
and,66
meat/flesh,66
"to live, be alive",66
to split,64
branch,63
to hit,63
grass,62
to breathe,62
"to open, uncover",62
that,60
thou,58
to come,57
this,56
to think,55
he/she,54
to lie down,54
you,54
they,53
I,50
we,48
road/path,41
lake,37
below,34
stick/wood,34
One Thousand,33
Twenty,31
other,29
to blow,29
"to cut, hack",29
to turn,29
to hunt,28
to spit,28
One Hundred,27
fat/grease,26
to chew,26
to hold,26
to work,26
green,25
to hide,25
"to pound, beat",25
Nine,24
Seven,23
thick,23
Eight,22
Ten,22
"dull, blunt",22
narrow,22
rotten,22
warm,22
how?,21
to squeeze,21
Six,20
"shy, ashamed",20
feather,19
if,19
intestines,19
old,19
"painful, sick",19
rat,19
"to know, be knowledgeable",19
"to stab, pierce",19
Five,18
"bad, evil",18
to kill,18
leg/foot,17
"no, not",17
person/human being,17
right,17
sharp,17
to count,17
to fear,17
to scratch,17
to sew,17
to suck,17
"to tie up, fasten",17
louse,16
to cook,16
to fall,16
to say,16
woods/forest,16
yellow,16
near,15
sea,15
short,15
spider,15
earth/soil,14
flower,14
thunder,14
to choose,14
"to die, be dead",14
wind,14
shoulder,13
thin,13
to climb,13
to dig,13
to dream,13
to steal,13
wet,13
what?,13
dry,12
needle,12
to buy,12
to plant,12
to throw,12
when?,12
fruit,11
mosquito,11
to burn,11
wide,11
worm (earthworm),11
Four,10
ash,10
dirty,10
lightning,10
to drink,10
to stand,10
where?,10
who?,10
Three,9
all,9
back,9
cloud,9
heavy,9
leaf,9
salt,9
sky,9
smoke,9
to vomit,9
wife,9
year,9
fish,8
good,8
house,8
long,8
mother,8
rope,8
tail,8
thatch/roof,8
to bite,8
to cry,8
"to sniff, smell",8
wing,8
cold,7
far,7
father,7
fire,7
husband,7
left,7
small,7
to fly,7
breast,6
child,6
day,6
dust,6
egg,6
to laugh,6
new,5
root,5
snake,5
star,5
to eat,5
to hear,5
to swim,5
white,5
Two,4
belly,4
bird,4
hair,4
to see,4
to sit,4
to walk,4
One,3
big,3
black,3
eye,3
head,3
liver,3
moon,3
neck,3
red,3
sand,3
to sleep,3
water,3
dog,2
ear,2
hand,2
mouth,2
name,2
night,2
rain,2
skin,2
stone,2
blood,1
bone,1
man/male,1
tongue,1
tooth,1
woman/female,1
nose,0
