"glottocode","language","number_of_loans","population","span_admx","span_se","admixture_exists"
"cent2084","Agta",0,"AgtaLabin",0,0.017,0
"agut1237","Agutyanen",3,"Agutaya",0,0.013,0
"arta1239","Arta",1,"Arta",0,0.021,0
"amba1267","Ayta Ambala",1,"AytaAmbala",0,0.017,0
"maga1263","Ayta Mag-anchi; Ayta Mag-antsi",1,"AytaMag-antsi",0,0.015,0
"magi1241","Ayta Mag-indi",0,"AytaMag-indi",0,0.015,0
"bata1301","Batak, Palawan; Palawan Batak",1,"Batak",0,0.021,0
"buhi1245","Batangan; Buhid",0,"MangyanBuhid",0,0.019,0
"cent2087","Bikol (Bisakol); Bikol (Naga City); Naga Bikol",6,"Bicolano",0.031,0.012,1
"boli1256","Bolinao",0,"Bolinao",0.013,0.015,0
"cent2292","Bontok, Eastern",0,"Bontoc",0.002,0.012,0
"boto1242","Botolan Sambal; Sambal, Botolan",2,"AytaSambal",0,0.014,0
"cebu1242","Cebuano",13,"Cebuano",0,0.014,0
"cuyo1237","Cuyonon",2,"Cuyonon",0,0.013,0
"casi1235","Dumagat, Casiguran",1,"AgtaMaddela",0.005,0.021,0
"casi1235","Dumagat, Casiguran",1,"AgtaCasiguran",0,0.019,0
"dupa1235","Dupaningan Agta",0,"AgtaDupaningan",0.001,0.017,0
"gadd1244","Gaddang",0,"Gaddang",0.013,0.013,0
"hanu1241","Hanunoo; Hanunóo",1,"MangyanHanunuo",0,0.015,0
"hili1240","Hiligaynon; Ilonggo",4,"Hilgaynon",0,0.013,0
"ibal1244","Ibaloi; Inibaloi",1,"Ibaloi",0.005,0.013,0
"iban1267","Ibanag",3,"Ibanag",0,0.015,0
"ilok1237","Ilokano",0,"Ilocano",0,0.013,0
"ilon1239","Ilongot, Kakiduge:n; Kakiduge:n Ilongot",0,"Bugkalot",0.015,0.014,1
"ivat1242","Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",5,"Itbayaten",0,0.016,0
"alab1246","Inagta Alabat",1,"AgtaLopez",0,0.018,0
"atii1237","Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",6,"AtiPanay",0,0.015,0
"atii1237","Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",6,"AtiNegros",0,0.016,0
"iray1237","Iraya",0,"MangyanIraya",0,0.017,0
"isna1241","Isneg, Dibagat-Kabugao-Isneg",0,"Apayao",0.01,0.015,0
"itaw1240","Itawis; Malaweg",5,"Itawis",0.015,0.014,1
"kaga1256","Kagayanen",1,"Kagayanen",0,0.013,0
"kank1243","Kankanaey",0,"Kankanaey",0,0.012,0
"pamp1243","Kapampangan",2,"Kapampangan",0.015,0.011,1
"kina1250","Kinaray-a",1,"Kinaray-a",0,0.013,0
"cama1250","Manide; Manide (Labo)",2,"AgtaManide",0,0.019,0
"diba1242","Manobo, Dibabawon",1,"Manguangan",0,0.018,0
"diba1242","Manobo, Dibabawon",1,"Dibabaon",0,0.027,0
"ilia1236","Manobo, Ilianen (Kibudtungan Dialect)",0,"ManoboIlianen",0,0.022,0
"cota1241","Manobo, Kalamansig Cotabato (Paril Dialect)",0,"ManoboDulangan",0,0.059,0
"mati1250","Manobo, Tigwa, Iglogsad Dialect",0,"DavaoMatigsalug",0,0.027,0
"taga1270","Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)",6,"Tagalog",0.009,0.01,0
"pang1290","Pangasinan",9,"Pangasinan",0.009,0.013,0
"tina1248","Sambal",1,"Sambal",0.011,0.014,0
"sang1337","Sangil, Saragani Islands",0,"Sangil",0,0.039,0
"remo1247","Sinauna",2,"AgtaRemontado",0,0.015,0
"tbol1240","Tagabili; Tboli (Tagabili)",0,"Tboli",0,0.034,0
"yoga1237","Yogad",2,"Yogad",0.016,0.013,1
