"glottocode","language","span_delta","population","span_admx","span_se","admixture_exists"
"agut1237","Agutaynen",-0.085142637339013,"Agutaya",0,0.013,0
"arta1239","Arta",0.00183368109885501,"Arta",0,0.021,0
"boto1242","Botolan Sambal",-0.209488389550056,"AytaSambal",0,0.014,0
"cent2084","Central Cagayan Agta",-0.195628424676503,"AgtaLabin",0,0.017,0
"cent2087","Coastal-Naga Bikol",-0.0939788872975111,"Bicolano",0.031,0.012,1
"cent2292","Central Bontoc",-0.102837188616446,"Bontoc",0.002,0.012,0
"ibal1244","Ibaloi",-0.137539359828156,"Ibaloi",0.005,0.013,0
"iban1267","Ibanag",-0.077097224748482,"Ibanag",0,0.015,0
"ibat1238","Ibatan",-0.126930050433657,"Ivatan",0.016,0.014,1
"ibat1238","Ibatan",-0.126930050433657,"Ibatan",0,0.016,0
"ilon1239","Ilongot",0.00246377953690191,"Bugkalot",0.015,0.014,1
"isna1241","Isnag",-0.14854075948778,"Apayao",0.01,0.015,0
"kaga1256","Kagayanen",-0.145351768736094,"Kagayanen",0,0.013,0
"kina1250","Kinaray-a",-0.0250941130231471,"Kinaray-a",0,0.013,0
"pang1290","Pangasinan",-0.100820249558283,"Pangasinan",0.009,0.013,0
"tbol1240","Tboli",-0.133852372979495,"Tboli",0,0.034,0
"tuwa1243","Tuwali Ifugao",-0.108957509754234,"TuwaliIfugao",0.02,0.011,1
"yoga1237","Yogad",-0.138985691224798,"Yogad",0.016,0.013,1
