"glottocode","language","span_delta","population","span_admx","span_se","admixture_exists"
"isna1241","Isnag",0.023523887515673,"Apayao",0.01,0.015,0
"yoga1237","Yogad",0.0148416631459031,"Yogad",0.016,0.013,1
"umir1236","Agta",-0.0096343390154555,"AgtaDumagat",0,0.016,0
"gadd1244","Gaddang",0.0032661722102639,"Gaddang",0.013,0.013,0
"iban1267","Ibanag",0.0687338319965617,"Ibanag",0,0.015,0
"casi1235","Casiguran Dumagat",0.063931537785431,"AgtaMaddela",0.005,0.021,0
"casi1235","Casiguran Dumagat",0.063931537785431,"AgtaCasiguran",0,0.019,0
"ilok1237","Ilokano",0.067035047653794,"Ilocano",0,0.013,0
"ilon1239","Ilongot",-0.0024324047105669,"Bugkalot",0.015,0.014,1
"pang1290","Pangasinan",-0.0193920897898082,"Pangasinan",0.009,0.013,0
"ibal1244","Inibaloi",0.0493294242598029,"Ibaloi",0.005,0.013,0
"ivat1242","Itbayaten",0.218284689228507,"Itbayaten",0,0.016,0
"ivat1242","Ivatanen",0.082762280462365,"Itbayaten",0,0.016,0
"pamp1243","Kapampangan",0.173199964779098,"Kapampangan",0.015,0.011,1
"tina1248","Tina",0.0190024454102448,"Sambal",0.011,0.014,0
"iray1237","Iraya",0.113806300981296,"MangyanIraya",0,0.017,0
"mati1250","Tigwa",0.00731260893667861,"DavaoMatigsalug",0,0.027,0
"diba1242","Dibabawon",0.01747285831598,"Manguangan",0,0.018,0
"diba1242","Dibabawon",0.01747285831598,"Dibabaon",0,0.027,0
"ilia1236","Ilianen",0.0031235943177769,"ManoboIlianen",0,0.022,0
"cota1241","Kalamansig",-0.0078021068557955,"ManoboDulangan",0,0.059,0
"hanu1241","Hanunoo",0.161585345367979,"MangyanHanunuo",0,0.015,0
"buhi1245","Buhid",0.212188704354582,"MangyanBuhid",0,0.019,0
"bata1301","Batak",0.120380281927532,"Batak",0,0.021,0
"tagb1258","Tagbanwa",0.01747285831598,"Tagbanwa",0,0.014,0
"taga1270","Tagalog",0.0233645948716244,"Tagalog",0.009,0.01,0
"cent2087","Naga",0.0317367736594796,"Bicolano",0.031,0.012,1
"cebu1242","Cebuano",0.0359190356861589,"Cebuano",0,0.014,0
"hili1240","Hiligaynon",0.161585345367979,"Hilgaynon",0,0.013,0
"cuyo1237","Kuyunon",0.120232654286043,"Cuyonon",0,0.013,0
"tbol1240","Tboli",0.031963136795336,"Tboli",0,0.034,0
"sang1337","Sangil",-0.0201279160863448,"Sangil",0,0.039,0
