glottocode,language,subgroup,cog_PC1,cog_PC2,colour,gen_PC1,gen_PC2,populations,n_populations,gen_rot1,gen_rot2,cog_std1,cog_std2,residual
agut1237,Agutyanen,Palawanic-Kalamian,-0.3918371264275538,-0.46000631832617095,#87B1F1,-0.00112041533333333,0.00142918177777777,Agutaya,1,-0.025153374649591335,0.008229619746624077,-3.594992985079572e-4,0.004203055988052115,0.02511870758273413
alab1246,Inagta Alabat,Central Philippine,-0.8771486067051816,-0.17687882319995055,#565153,0.08325445000000001,-0.006399615,AgtaLopez,1,0.11109643959616924,-0.21659527392679437,-0.015016101052145046,0.012753620131302887,0.261735148794435
amba1267,Ayta Ambala,Sambalic,0.5391620518479593,-4.183308102817392e-4,#F1C878,0.1135661875,-0.0268962375,AytaAmbala,1,0.20939014356266694,-0.27338580705727317,0.027757050058910167,0.018082797921876802,0.3434305291383342
arta1239,Arta,Northern Luzon,1.6899897652385665,-0.5373028814071082,#7E6E40,0.07275653333333333,-0.01048543999999999,Arta,1,0.1082633657128459,-0.18176184997116196,0.06251250952705596,0.0018686687171099667,0.18924404412149043
atam1240,"Manobo, Ata (down-river); Manobo, Ata (up-river)",Manobo,-2.2548400546178433,-5.630665703970914,#F16DEF,0.00547832333333333,0.02335311111111111,AtaManobo,1,-0.07738274135364114,-0.039910296145521995,-0.05662293648059262,-0.1519529355737951,0.11394964918077224
atii1237,"Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",Malayo-Polynesian,-4.07284571536097,2.8699307535953733,#C1E868,-5.09254749999995e-4,0.00635002083333333,AtiNegros; AtiPanay,2,-0.03805583007402257,-1.4795592325458513e-4,-0.111527438101133,0.10476849387941768,0.12808410762185138
bala1310,Balangaw,Meso-Cordilleran,6.372085372757111,1.970117373716581,#EA7B81,-0.0389069,-0.04640555,Balangao,1,0.05708998826139208,0.1785285480515899,0.2039136786331235,0.07759376816731797,0.17817133844886637
bata1301,"Batak, Palawan; Palawan Batak",Palawanic-Kalamian,-1.2150859919802912,-0.5232254616587823,#87B1F1,0.02430936666666666,0.00988698333333333,Batak,1,-0.014273692118693516,-0.07419773253684936,-0.02522194590627724,0.0022938124512989215,0.07727108589680395
binu1244,Binukid,Manobo,-2.461747576882777,-3.910530304977438,#F16DEF,-0.0056980984821428556,0.011199538482142855,BukidnonBinukid; BukidnonTalaandig,2,-0.05862352499953722,0.00775553124273799,-0.062871626810222,-0.10000415519267039,0.10784338825190667
boli1256,Bolinao,Sambalic,1.1599695185289358,0.08801067239002659,#F1C878,-0.01516453333333333,-0.00557159666666666,Bolinao,1,-0.024660861758700962,0.05691077970057423,0.04650568505848252,0.020753389358610562,0.07982502278248028
boto1242,"Botolan Sambal; Sambal, Botolan",Sambalic,0.5991810981302599,0.595560814782514,#F1C878,0.0701790888888889,-0.01793765444444444,AytaSambal,1,0.1255632880630193,-0.1644652424467515,0.029569649378608034,0.036081607645952425,0.22233717131865008
buhi1245,Batangan; Buhid,South Mangyan,-0.12238584779287148,-0.4127672203644997,#85DEF2,-0.0041157483,-0.08826467,MangyanBuhid,1,0.22106736033480742,0.13820415564026428,0.007778037610154567,0.005629695732138099,0.25113407297352636
