"language","n_exceed_raw","n_exceed_family","family","size","delta"
"Kanuri",39,43,"Nilo-Saharan",33,4
"Bodo",33,31,"Sino-Tibetan",22,-2
"Fur",30,31,"Nilo-Saharan",26,1
"Turkmen",20,21,"Altaic",31,1
"Garo",19,19,"Sino-Tibetan",21,0
"Galibi",19,23,"Carib",21,4
"Kodagu",16,17,"Dravidian",32,1
"Lotha",14,14,"Sino-Tibetan",32,0
"Ao",14,14,"Sino-Tibetan",32,0
"Micmac",14,16,"Algic",17,2
"Karok",14,14,"Hokan",21,0
"Coptic",13,18,"Afro-Asiatic",28,5
"Gude",13,14,"Afro-Asiatic",31,1
"Kanakuru",13,16,"Afro-Asiatic",29,3
"Yaaku",13,14,"Afro-Asiatic",27,1
"Alabama",10,11,"Muskogean",19,1
"Tamil",9,11,"Dravidian",30,2
"Ngalkbon",9,12,"Australian",24,3
"Trio",9,12,"Carib",17,3
"Nyakyusa",8,13,"Niger-Congo",25,5
"Shilluk",8,10,"Nilo-Saharan",28,2
"Waiwai",8,8,"Carib",20,0
"Thado",7,9,"Sino-Tibetan",28,2
"Blackfoot",7,9,"Algic",14,2
"Babanki",6,11,"Niger-Congo",31,5
"Nyoro",6,8,"Niger-Congo",30,2
"Dongolawi",6,12,"Nilo-Saharan",29,6
"Zayse",6,7,"Afro-Asiatic",33,1
"Hungarian",6,7,"Uralic",34,1
"Khasi",6,8,"Austro-Asiatic",27,2
"Wagiman",6,7,"Australian",16,1
"Arapaho",6,11,"Algic",17,5
"Tikar",5,2,"Niger-Congo",42,-3
"Lozi",5,6,"Niger-Congo",21,1
"Basque",5,5,"Basque",25,0
"Uzbek",5,5,"Altaic",29,0
"Kalmyk",5,7,"Altaic",30,2
"Temne",4,8,"Niger-Congo",25,4
"Margi",4,6,"Afro-Asiatic",39,2
"Kilba",4,11,"Afro-Asiatic",41,7
"Ingrian",4,4,"Uralic",29,0
"Suppire",3,4,"Niger-Congo",29,1
"Mumuye",3,3,"Niger-Congo",30,0
"Afar",3,4,"Afro-Asiatic",25,1
"Dasenech",3,6,"Afro-Asiatic",32,3
"Vepsian",3,4,"Uralic",30,1
"Tatar",3,3,"Altaic",32,0
"Dagbani",2,2,"Niger-Congo",31,0
"Degema",2,1,"Niger-Congo",35,-1
"Aghem",2,3,"Niger-Congo",29,1
"Songhai",2,3,"Nilo-Saharan",32,1
"Nuer",2,2,"Nilo-Saharan",32,0
"Sura",2,4,"Afro-Asiatic",33,2
"Eastern Saami",2,11,"Uralic",37,9
"Finnish",2,4,"Uralic",24,2
"Livonian",2,3,"Uralic",30,1
"Azerbaijani",2,4,"Altaic",33,2
"Malto",2,2,"Dravidian",30,0
"Gugu Yalandyi",2,6,"Australian",17,4
"Nupe",1,1,"Niger-Congo",29,0
"Murle",1,2,"Nilo-Saharan",33,1
"Mangbetu",1,1,"Nilo-Saharan",49,0
"Southern Saami",1,2,"Uralic",30,1
"Gagauz",1,1,"Altaic",31,0
"Turkish",1,1,"Altaic",30,0
"Bashkir",1,1,"Altaic",31,0
"Kannada",1,1,"Dravidian",37,0
"Malayalam",1,1,"Dravidian",35,0
"Lepcha",1,1,"Sino-Tibetan",35,0
"Thulung",1,1,"Sino-Tibetan",38,0
"Nocte",1,1,"Sino-Tibetan",28,0
"Maung",1,4,"Australian",23,3
"Pitta-Pitta",1,1,"Australian",25,0
"Kalkatungu",1,1,"Australian",24,0
"Aranda",1,3,"Australian",25,2
"Nhanda",1,1,"Australian",25,0
"Crow",1,1,"Siouan",18,0
"Hidatsa",1,1,"Siouan",17,0
"Mountain Maidu",1,1,"Penutian",26,0
"Wayana",1,1,"Carib",18,0
"Hadza",0,0,"Khoisan",66,0
"Kxoe",0,0,"Khoisan",68,0
"Buka",0,0,"Khoisan",67,0
"Xu^",0,0,"Khoisan",76,0
"\u450?Hu^",0,0,"Khoisan",63,0
"Fon",0,1,"Niger-Congo",30,1
"Idoma",0,0,"Niger-Congo",30,0
"Igbo",0,0,"Niger-Congo",44,0
"Bembe\sub 2\nosupersub",0,0,"Niger-Congo",27,0
"Mwera",0,0,"Niger-Congo",28,0
