"language","n_exceed"
"Kanuri",39
"Bodo",33
"Fur",30
"Turkmen",20
"Garo",19
"Galibi",19
"Kodagu",16
"Lotha",14
"Ao",14
"Micmac",14
"Karok",14
"Coptic",13
"Gude",13
"Kanakuru",13
"Yaaku",13
"Alabama",10
"Tamil",9
"Ngalkbon",9
"Trio",9
"Nyakyusa",8
"Shilluk",8
"Waiwai",8
"Thado",7
"Blackfoot",7
"Babanki",6
"Nyoro",6
"Dongolawi",6
"Zayse",6
"Hungarian",6
"Khasi",6
"Wagiman",6
"Arapaho",6
"Tikar",5
"Lozi",5
"Basque",5
"Uzbek",5
"Kalmyk",5
"Temne",4
"Margi",4
"Kilba",4
"Ingrian",4
"Suppire",3
"Mumuye",3
"Afar",3
"Dasenech",3
"Vepsian",3
"Tatar",3
"Dagbani",2
"Degema",2
"Aghem",2
"Songhai",2
"Nuer",2
"Sura",2
"Eastern Saami",2
"Finnish",2
"Livonian",2
"Azerbaijani",2
"Malto",2
"Gugu Yalandyi",2
"Nupe",1
"Murle",1
"Mangbetu",1
"Southern Saami",1
"Gagauz",1
"Turkish",1
"Bashkir",1
"Kannada",1
"Malayalam",1
"Lepcha",1
"Thulung",1
"Nocte",1
"Maung",1
"Pitta-Pitta",1
"Kalkatungu",1
"Aranda",1
"Nhanda",1
"Crow",1
"Hidatsa",1
"Mountain Maidu",1
"Wayana",1
"Hadza",0
"Kxoe",0
"Buka",0
"Xu^",0
"\u450?Hu^",0
"Fon",0
"Idoma",0
"Igbo",0
"Bembe\sub 2\nosupersub",0
"Mwera",0
"Tswana",0
"Southern Sotho",0
"Tera",0
"Glavda",0
"Paa",0
"Kemant",0
"Bilin",0
"Burji",0
"Hadiyya",0
"Georgian",0
"Kabardian",0
"Hunzib",0
"Lezgi",0
"Chuvash",0
"Crimean Turkish",0
"Baraba",0
"Greenlandic",0
"Newari",0
"Thakali",0
"Chepang",0
"Sunwar",0
"Khaling",0
"Angami",0
"Tangkhul",0
"Kusunda",0
"Marithiyel",0
"Maranungku",0
"Yalarnnga",0
"Eyak",0
"Hare",0
"Slave",0
"Chipewyan",0
"Yurok",0
"Shawnee",0
"Bella Coola",0
"Halkomelem",0
"Lushootseed",0
"Upper Chehalis",0
"Cowlitz",0
"Coeur dAlene",0
"Yuchi",0
"Cherokee",0
"Coos",0
"Nez Perce",0
"Chitimacha",0
"Northern Paiute",0
"Shoshone",0
