phoneme,n_languages,n_total,IDF_phoible,global_n_phoible
a,77,88,0.13192754304254806,1830
ae,2,88,3.39002408106403,7
ai,9,88,2.186051276738094,69
ai̯,1,88,3.7954891891721947,8
au,8,88,2.2914117923959205,57
au̯,1,88,3.7954891891721947,7
ay,1,88,3.7954891891721947,2
aː,16,88,1.6554230256759237,646
ã,4,88,2.8791984572980396,361
ãi,1,88,3.7954891891721947,1
ä,1,88,3.7954891891721947,40
b,58,88,0.4110989258264204,1278
bʷ,2,88,3.39002408106403,38
bː,1,88,3.7954891891721947,40
b̰,2,88,3.39002408106403,13
b͈,1,88,3.7954891891721947,1
c,12,88,1.9236870122706031,275
cç,1,88,3.7954891891721947,83
cʰ,2,88,3.39002408106403,55
d,46,88,0.6384887680220812,958
dr,1,88,3.7954891891721947,6
dz,1,88,3.7954891891721947,198
dʲ,1,88,3.7954891891721947,38
dː,1,88,3.7954891891721947,29
d̠ʒ,20,88,1.4441139320087168,537
d̠͈ʒ,1,88,3.7954891891721947,1
d̪,7,88,2.409194828052304,265
d̪z̪,1,88,3.7954891891721947,18
d̪z̪|dz,1,88,3.7954891891721947,12
d̪|d,4,88,2.8791984572980396,53
d̪ʲ|dʲ,1,88,3.7954891891721947,2
d̰,1,88,3.7954891891721947,8
d͈,1,88,3.7954891891721947,1
e,58,88,0.4110989258264204,1322
ea,1,88,3.7954891891721947,9
ei,2,88,3.39002408106403,25
eu,1,88,3.7954891891721947,13
eː,11,88,2.0037297199441397,446
ẽ,1,88,3.7954891891721947,229
e̝,2,88,3.39002408106403,5
e̞,11,88,2.0037297199441397,167
e̞i,2,88,3.39002408106403,7
e̞u,1,88,3.7954891891721947,4
e̤,1,88,3.7954891891721947,19
f,27,88,1.1564318595569358,852
fː,1,88,3.7954891891721947,31
f̰,1,88,3.7954891891721947,1
h,55,88,0.46328467899699055,1142
i,85,88,0.034289073478632165,1926
ia,2,88,3.39002408106403,35
iu,1,88,3.7954891891721947,21
iə,4,88,2.8791984572980396,16
iː,16,88,1.6554230256759237,679
ĩ,4,88,2.8791984572980396,378
ĩə,1,88,3.7954891891721947,1
i̤,1,88,3.7954891891721947,20
j,52,88,0.518344456180018,1842
k,84,88,0.04598511324182344,1863
kp,1,88,3.7954891891721947,284
kpʷ,1,88,3.7954891891721947,4
kʰ,6,88,2.5427262206768266,350
kʲ,1,88,3.7954891891721947,63
kʷ,3,88,3.1023420086122493,259
kː,2,88,3.39002408106403,54
k̰,1,88,3.7954891891721947,9
k͈,1,88,3.7954891891721947,55
l,68,88,0.2545298651348804,1410
lː,2,88,3.39002408106403,57
l̥,3,88,3.1023420086122493,52
l̩,1,88,3.7954891891721947,4
l̪,2,88,3.39002408106403,150
l̪|l,5,88,2.6968769005040847,73
l̪ʲ|lʲ,1,88,3.7954891891721947,4
l̪̰|l̰,1,88,3.7954891891721947,4
