node_i,node_j,w,log10_w_ratio
0,3,137.23667207716704,-0.0054170748922141975
0,2,137.23662190335662,-0.00541723367056882
0,1,137.23591300255234,-0.005419477040439124
1,4,137.23571180451464,-0.005420113748861036
1,3,137.23518712926548,-0.00542177413301385
2,5,137.23566761948962,-0.005420253576281915
2,3,137.23492525948566,-0.0054226028469263705
3,5,137.2350037269949,-0.005422354528238771
3,4,137.23486182126123,-0.005422803603964873
3,6,137.23432476187722,-0.005424503189480007
4,7,137.23369665431954,-0.005426490915736292
4,6,137.23310507886282,-0.005428363039831932
5,9,137.23368201176598,-0.005426537254067973
5,8,137.23372298015036,-0.005426407604113609
5,6,137.23310181825096,-0.005428373358521108
6,10,137.23268662129354,-0.005429687312792316
6,9,137.23272456996423,-0.005429567218255045
6,7,137.2319261768176,-0.005432093865945522
7,11,137.23110605980867,-0.005434689277710824
7,10,137.23000715863907,-0.005438166977764731
8,9,137.23242737096263,-0.005430507752129796
8,12,137.23202607118813,-0.005431777732817411
9,10,137.23140069333988,-0.005433756853691913
9,13,137.2318399175275,-0.005432366848672817
9,12,137.23100759605043,-0.0054350008855047075
10,13,137.2296889986141,-0.005439173866172259
10,11,137.23020390281093,-0.005437544338090626
10,14,137.22886384220809,-0.00544178526866006
11,14,137.227500078494,-0.0054461012557058645
11,15,137.2249987746284,-0.00545401739763172
12,16,137.23048294299883,-0.0054366612563259515
12,13,137.2303329119029,-0.005437136061276663
13,14,137.22845908808682,-0.0054430662144881485
13,17,137.2297306820767,-0.005439041949418893
13,16,137.22863535025422,-0.00544250838823242
14,15,137.22477343241184,-0.005454730569156054
14,18,137.22726343705855,-0.0054468501738028615
14,17,137.22416752039794,-0.005456648188099944
15,19,137.22154331812197,-0.0054649534850885854
15,18,137.21428512524457,-0.005487925654093366
16,17,137.22830741016995,-0.005443546238232243
16,21,137.22951829682776,-0.0054397140910355
16,20,137.22905895568067,-0.005441167784539927
17,18,137.22427988811148,-0.005456292560816247
17,22,137.22787758365953,-0.005444906537557652
17,21,137.22677598039203,-0.0054483928710128
18,19,137.215352378513,-0.00548454772298151
18,23,137.22345347746779,-0.005458908035740718
18,22,137.21862327855175,-0.005474195259629587
19,23,137.21149979335217,-0.005496741547771393
19,24,137.1890204648892,-0.0055678977417975934
20,21,137.22883174115836,-0.005441886860336944
21,22,137.22747521181898,-0.005446179953202409
21,26,137.22944713387847,-0.005439939302670685
22,23,137.22090452485506,-0.005466975216005825
22,27,137.22804792414047,-0.005444367449682044
22,26,137.23226939651153,-0.005431007688429123
23,24,137.19217011027214,-0.005557927134067877
23,28,137.2245099680867,-0.005455564392448772
23,27,137.22452275919284,-0.005455523910565774
24,28,137.17508037613894,-0.00561202963520594
24,25,137.19113527265662,-0.0055612030204448765
24,29,137.173028288048,-0.005618526567432932
25,29,137.2857901374353,-0.0052616653669473705
25,30,137.39198692237244,-0.004925848756766879
26,27,137.2368255336727,-0.005416589269272885
27,33,137.23971110740317,-0.005407457787480975
27,28,137.27377352963637,-0.0052996807716333225
28,34,137.23278188095315,-0.005429385848679181
28,29,137.26769679653617,-0.005318906221622434
28,33,137.28613992018055,-0.005260558853866515
29,35,137.39933164955016,-0.004902632779626813
29,30,137.2725992997995,-0.005303395710813788
29,34,137.34258565213077,-0.0050820336816939215
30,36,137.4875905597786,-0.004623751858700696
30,31,137.45938819919184,-0.004712846342864264
30,35,137.5396695699015,-0.004459276330136556
31,37,137.75660062408653,-0.003774835678475531
31,32,137.6896079591579,-0.003986089595745428
31,36,137.81557548818228,-0.0035889500146895326
32,37,137.92761012163237,-0.0032360417412958926
32,38,138.04501428091393,-0.00286652696268463
33,40,137.34244378435912,-0.005082482285613214
33,39,137.36500354498457,-0.005011151277517358
33,34,137.41010717092067,-0.004868574637422355
34,40,137.43112404352988,-0.004802154386148547
34,35,137.40598003565242,-0.004881618939824144
34,41,137.45319438267143,-0.004732415766074563
35,42,137.59841847754117,-0.004273810719216746
35,41,137.52607934863897,-0.0045021908560647205
35,36,137.60050849756598,-0.004267214151607711
36,43,137.78938525980226,-0.003671490413589422
36,42,137.7240915385302,-0.0038773366299835665
36,37,137.80792049698258,-0.0036130736506373206
37,44,138.02378412696672,-0.0029333229119594562
37,43,137.9717532324365,-0.0030970699845886407
37,38,138.09396026356873,-0.002712568468154863
38,45,138.24877903857,-0.002225948505694878
38,44,138.41980546394862,-0.0016890184281724246
39,40,137.49340596756466,-0.00460538259286945
39,47,137.5560843091666,-0.00440744833502826
40,41,137.55598272826506,-0.004407769048150577
40,48,137.552355668628,-0.004419220623883866
40,47,137.61035416998868,-0.0042361403693871895
41,42,137.69578822374274,-0.003966596515549115
41,49,137.66825899493057,-0.004053432777034729
41,48,137.74665429308595,-0.0038061938319166504
42,49,137.89129318853162,-0.0033504084039659853
42,43,137.84478555603715,-0.0034969108743153443
42,50,137.9313965229842,-0.003224119613151757
43,50,138.14442931440655,-0.0025538763286363977
43,44,138.06683051623676,-0.0027978977400354753
43,51,138.17877742014923,-0.002445907164258268
44,52,138.45421480108013,-0.0015810719671444518
44,51,138.343843899324,-0.001927414541661124
44,45,138.4948889415956,-0.0014535066154583755
45,53,138.84606902525653,-0.00035366434824335885
45,52,138.70279815874665,-0.0008020304532873806
45,46,138.9207640505753,-0.0001200897508424661
46,54,139.16711331599294,0.0006493659736698406
46,53,139.4972448666374,0.001678377209676106
47,48,137.7207221978425,-0.0038879615246660555
47,59,137.77858884205307,-0.00370552067178963
48,59,137.86188495064295,-0.00344304077594555
48,49,137.8482506039465,-0.0034859940139724222
48,60,137.94728291587438,-0.0031741021722156222
49,61,138.034404050179,-0.0028999084055319245
49,60,138.0170616435368,-0.0029544758500380263
49,50,138.095949114197,-0.002706313736726443
50,62,138.26114052010948,-0.0021871179043704498
50,61,138.20585652015822,-0.002360806168745035
50,51,138.29952018389315,-0.0020665796017562826
51,63,138.55756852887336,-0.0012569994298108525
51,62,138.44477032186566,-0.0016106978266040694
51,52,138.5727205517209,-0.001209509565453223
52,64,138.94266585907297,-5.162565251157183e-05
52,63,138.7575089936722,-0.0006307582863941033
52,53,138.92817010470378,-9.693754080269413e-05
53,64,139.41633787188297,0.0014264177173503288
53,54,139.16436235964417,0.0006407810649069034
53,65,139.38274012270696,0.0013217450817943044
54,65,139.98719193314915,0.0032010489392139897
54,55,139.62913175670542,0.002088784520854261
54,66,139.9000319167067,0.0029305605983278877
55,66,140.5947551114954,0.0050818666535615625
55,56,140.16889458704497,0.0037643954078142687
55,67,140.4700887199455,0.004696603745960432
56,68,141.05371303246315,0.0064972698350070825
56,67,140.679513338847,0.005343604293137798
56,57,140.95091982962558,0.006180661399935587
57,69,141.3537932255007,0.007420214290271044
57,68,141.11019960065346,0.006671153199222537
57,58,141.33975152813719,0.007377070527000029
58,70,141.42588598959645,0.007641655168888464
58,69,141.6521267795262,0.008335846474012264
59,73,138.0443685324705,-0.0028685585148061285
59,60,138.10754287973361,-0.002669854325126382
60,61,138.20067453124372,-0.0023770902209528455
60,74,138.18256505217707,-0.0024340028387505024
60,73,138.28435615785696,-0.0021142009810258206
61,62,138.39367274112027,-0.0017710180289777582
61,75,138.37991898618384,-0.0018141809611200888
61,74,138.4395804641421,-0.001626978461931209
62,63,138.6390046651261,-0.0010018211986222382
62,76,138.55557563534956,-0.001263245995003803
62,75,138.65117879234774,-0.0009636867344892324
63,64,138.96104414229072,5.815732491267633e-06
63,77,138.804110907707,-0.0004849243320540516
63,76,138.93962126657797,-6.11422700257859e-05
64,77,139.36366032746514,0.001262291400678209
64,65,139.13230057864925,0.0005407133567232418
64,78,139.3027030513755,0.00107229065039855
65,79,139.83381066635175,0.002724939970622963
65,78,139.52682428239993,0.0017704565570305986
65,66,139.7258602483676,0.0023895391381178
66,67,140.33768165746238,0.004287044845323109
66,80,139.9750654289869,0.0031634261975247674
66,79,140.1906475898472,0.003831788934194305
67,68,140.82470304496732,0.005791591144619936
67,81,140.449716440823,0.004633613751950331
67,80,140.67026860883664,0.005315063768216597
68,69,141.251042248614,0.007104408057419029
68,82,140.9081646722954,0.006048905284452361
68,81,141.12062935966333,0.006703251654266024
69,70,141.57160377104165,0.008088898952168931
69,83,141.31853604599837,0.007311876847945493
69,82,141.46603026257807,0.0077649138083288405
70,71,141.83763017618165,0.00890421348596689
70,84,141.63709500159507,0.00828975775822012
70,83,141.82546500562506,0.008866963194779125
71,84,141.98332145903416,0.009350078566731044
71,72,141.9087937566699,0.009122055533370787
71,85,142.00638072399036,0.009420605853264702
72,86,142.03066920660132,0.009494880346680497
72,85,142.05664567145809,0.009574302656563845
73,74,138.3975961670675,-0.0017587060637494277
73,88,138.46443098903728,-0.0015490276528640867
74,89,138.55236690399337,-0.0012733036953294808
74,75,138.5616931032299,-0.001244071567107725
74,88,138.62116624386158,-0.0010577046521044603
75,90,138.72224777154773,-0.0007411357384632274
75,76,138.6805499281892,-0.0008716978204928598
75,89,138.72549211633952,-0.0007309788632181629
76,91,138.97275197419086,4.2404638650490235e-05
76,77,138.84294216249447,-0.0003634449242732268
76,90,138.95186290969858,-2.2879290676807926e-05
77,92,139.2933334072285,0.0010430785711192053
77,78,139.10380260022532,0.00045174923828729163
77,91,139.2375010175959,0.0008689671546668409
78,92,139.67580681967135,0.0022339357135299554
78,93,139.42213654102852,0.001444480719724486
78,79,139.57472221365487,0.0019195192025369707
79,94,140.1030524812074,0.0035603445631450558
79,80,139.78480160531888,0.0025727014281677106
79,93,139.95805222386605,0.003110636865740602
80,95,140.55700505661926,0.004965241805735858
80,81,140.18798499755317,0.0038235404515604594
80,94,140.3709931619424,0.004390119697974476
81,96,141.01526020752604,0.006378860145381167
81,82,140.61286162930983,0.005137793736016173
81,95,140.82124147858045,0.00578091576150241
82,97,141.4171458012307,0.007614814729827824
82,83,141.08502340354306,0.006593661572022273
82,96,141.29098039200082,0.007227185655199178
83,98,141.78061553442163,0.008729604517664696
83,84,141.52279959802345,0.00793915820849195
83,97,141.67108685702613,0.008393972717472966
