treemix_name,language,iso6393,Language_type
Atayal,Atayal,tay,Austronesian
Sedeq,Sedeq,trv,Austronesian
Rukai,Rukai,dru,Austronesian
Tsou,Tsou,tsu,Austronesian
Kanakanabu,Kanakanabu,xnb,Austronesian
Saaroa,Saaroa,sxr,Austronesian
Bunun,Bunun,bnn,Austronesian
Paiwan,Paiwan,pwn,Austronesian
Puyuma,Puyuma,pyu,Austronesian
Saisiyat,Saisiyat,xsy,Austronesian
Ami,Ami,ami,Austronesian
Pazeh,Pazeh,uun,Austronesian
Thao,Thao,ssf,Austronesian
Chamorro,Chamorro,cha,Austronesian
Palauan,Palauan,pau,Austronesian
Yapese,Yapese,yap,Austronesian
Isnag,Isnag,isd,Philippine Language
Yogad,Yogad,yog,Philippine Language
Agta,Agta,due,Philippine Language
Gaddang,Gaddang,gad,Philippine Language
Ga-dang,Ga-dang,gdg,Philippine Language
Ibanag,Ibanag,ibg,Philippine Language
Atta,Atta,att,Philippine Language
Umiray_Dumaget,Umiray Dumaget,due,Philippine Language
Casiguran_Dumagat,Casiguran Dumagat,dgc,Philippine Language
Ilokano,Ilokano,ilo,Philippine Language
Itneg,Itneg,itt,Philippine Language
North_Kalinga,North Kalinga,kmk,Philippine Language
Central_Kalinga,Central Kalinga,knb,Philippine Language
South_Kalinga,South Kalinga,ksc,Philippine Language
Balangaw,Balangaw,blw,Philippine Language
Central_Ifugao,Central Ifugao,ifa,Philippine Language
East_Ifugao,East Ifugao,ifb,Philippine Language
Central_Bontok,Central Bontok,bnc,Philippine Language
North_Kankanay,North Kankanay,xnn,Philippine Language
Ilongot,Ilongot,ilk,Philippine Language
Pangasinan,Pangasinan,pag,Philippine Language
Inibaloi,Inibaloi,ibl,Philippine Language
North_Kallahan,North Kallahan,ify,Philippine Language
Itbayaten,Itbayaten,ivv,Philippine Language
Ivatanen,Ivatanen,ivv,Philippine Language
Kapampangan,Kapampangan,pam,Philippine Language
Tina,Tina,xsb,Philippine Language
Iraya,Iraya,iry,Philippine Language
Siocon_Subanon,Siocon Subanon,suc,Philippine Language
Sindangan,Sindangan,syb,Philippine Language
Binukid,Binukid,bkd,Philippine Language
Ata,Ata,atm,Philippine Language
Tigwa,Tigwa,mbt,Philippine Language
Dibabawon,Dibabawon,mbd,Philippine Language
Ilianen,Ilianen,mbi,Philippine Language
Western_Bukidnon,Western Bukidnon,mbb,Philippine Language
Sarangani_Manobo,Sarangani Manobo,mbs,Philippine Language
Kalamansig,Kalamansig,mta,Philippine Language
Magindanao,Magindanao,mdh,Philippine Language
Maranao,Maranao,mrw,Philippine Language
Hanunoo,Hanunoo,hnn,Philippine Language
Buhid,Buhid,bku,Philippine Language
Kalamianen,Kalamianen,tbk,Philippine Language
Batak,Batak,bya,Philippine Language
Tagbanwa,Tagbanwa,tbw,Philippine Language
Tagalog,Tagalog,tgl,Philippine Language
Naga,Naga,bcl,Philippine Language
Mansakan,Mansakan,msk,Philippine Language
Kalagan,Kalagan,kqe,Philippine Language
Tagakaolo,Tagakaolo,klg,Philippine Language
Mamanwa,Mamanwa,mmn,Philippine Language
Tausug,Tausug,tsg,Philippine Language
Cebuano,Cebuano,ceb,Philippine Language
Waray,Waray,war,Philippine Language
Hiligaynon,Hiligaynon,hil,Philippine Language
Kuyunon,Kuyunon,cyo,Philippine Language
Tiruray,Tiruray,tiy,Philippine Language
