feature,k,states,n_observed,n_missing,n_ph_observed,stage1_winner,winning_model,npar_per_regime,loglik_er,loglik_sym,loglik_ard,loglik_1reg,loglik_2reg,p_er_vs_sym,p_sym_vs_ard,p_1reg_vs_2reg,reg2_se_na,max_rate_bg,max_rate_ph,exp_transitions,saturated,fit_note
GB020,2,0/1,150,1,23,ER,ER2,1,-103.57440782007959,NA,-103.18612712479573,-103.57440782007959,-99.90506691181139,NA,0.3781948561812327,0.00674863091014181,FALSE,0.3714895497152504,53.18995937336762,1199.0361557671379,FALSE,
GB021,2,0/1,146,5,23,ARD,ARD1,2,-93.34063599120311,NA,-90.59514986639913,-90.59514986639913,-83.08637687408188,NA,0.019114910461745696,5.482533872903191e-4,TRUE,0.29140599278758833,8236.30067110835,172059.2794754545,TRUE,2-regime favoured by LRT but SE non-finite; forced 1-regime | 2-regime favoured by LRT but saturated (172000 segments/sim); forced 1-regime
GB022,2,0/1,151,0,23,ER,ER2,1,-96.8408097245442,NA,-96.8346467976674,-96.8408097245442,-87.52525398936862,NA,0.9115990108465469,1.586109078139126e-5,FALSE,0.13766204233050322,52.807613033106044,1135.4566327506113,FALSE,
GB023,2,0/1,150,1,23,ER,ER1,1,-72.80683638763757,NA,-71.34043791837053,-72.80683638763757,-71.85651279894975,NA,0.08679700151754813,0.1680058971883969,FALSE,0.17474794260898827,0.050516411271135896,42.603369505089965,FALSE,
GB030,2,0/1,151,0,23,ARD,ARD1,2,-26.02565223794064,NA,-23.234448936242384,-23.234448936242384,-22.61297868043659,NA,0.018141776264409423,0.537154102801635,TRUE,1.562976462659511,5.327396752028712,482.863435899507,FALSE,
GB031,2,0/1,151,0,23,ER,ER1,1,-72.29565540194054,NA,-71.77283756617736,-72.29565540194054,-72.020491017094,NA,0.30651437642901525,0.45818339013709536,FALSE,0.10116738230978048,0.17367172555193927,27.680402376391278,FALSE,
GB035,2,0/1,148,3,23,ARD,ARD1,2,-74.08149695540071,NA,-71.09011936419958,-71.09011936419958,-68.86357166791498,NA,0.014446417195953439,0.1079002924561656,TRUE,0.3648682833164261,5.294130867490918,197.30371526252003,FALSE,
GB036,2,0/1,147,4,23,ARD,ARD1,2,-36.87072560081693,NA,-28.929760776606855,-28.929760776606855,-29.59594861559224,NA,6.74193719554181e-5,1,TRUE,1397.2824994992966,1792.5590473999428,369653.3496083028,TRUE,
GB037,2,0/1,146,5,23,ARD,ARD1,2,-63.746654615471975,NA,-56.45046629211062,-56.45046629211062,-54.37799179048973,NA,1.334533279159642e-4,0.12587392079297388,TRUE,0.40057951705677197,19759.092492176984,412703.56493309815,TRUE,
GB042,2,0/1,151,0,23,ER,ER1,1,-27.800815815487205,NA,-27.733187352135722,-27.800815815487205,-27.184835353637297,NA,0.7130425566203478,0.26702602379319795,TRUE,0.03163644470034567,0,7.521956703057024,FALSE,
GB044,2,0/1,151,0,23,ARD,ARD1,2,-87.23830438738165,NA,-72.40885339969104,-72.40885339969104,-69.47478599497535,NA,5.151550894151536e-8,0.05318029187665559,TRUE,2479.414736177769,17917.31279471311,963659.9496364672,TRUE,
GB052,2,0/1,151,0,23,ARD,ARD1,2,-25.73026490179632,NA,-21.869604176857166,-21.869604176857166,-21.02381320273641,NA,0.005457243742813396,0.4292177237957377,TRUE,6.1384444181388185,3.92826319744013,1541.5209996298406,FALSE,
GB053,2,0/1,151,0,23,ARD,ARD1,2,-37.01378935563663,NA,-34.01494023522523,-34.01494023522523,-33.28281603926786,NA,0.014324555235864699,0.4808864074291162,FALSE,1.0669531780707076,18.206152247362706,633.8612439395461,FALSE,
GB065,3,1/2/3,149,2,23,ARD,ARD1,6,-149.20779607090864,-142.37810871923546,-138.1601384558858,-138.1601384558858,-136.18998066034584,0.0010811960989172032,0.03781106967304147,0.6847532186477722,TRUE,0.507114773562318,3.1042610452255404,185.39583518704995,FALSE,
GB070,2,0/1,151,0,23,ARD,ARD1,2,-53.440260326334375,NA,-44.30390539246808,-44.30390539246808,-40.04462392746619,NA,1.9143002292721466e-5,0.014132453425192584,TRUE,142427.86722858838,0.3000721535721039,33863996.38096268,TRUE,2-regime favoured by LRT but SE non-finite; forced 1-regime | 2-regime favoured by LRT but saturated (33900000 segments/sim); forced 1-regime
GB071,2,0/1,150,1,22,ARD,ARD1,2,-96.57548041379484,NA,-85.43086864094316,-85.43086864094316,-75.47328268407733,NA,2.345190288919804e-6,4.736694398337298e-5,FALSE,35953.21153572498,14758.491581039218,8856507.541904751,TRUE,2-regime favoured by LRT but saturated (8860000 segments/sim); forced 1-regime
GB072,2,0/1,149,2,23,ARD,ARD1,2,-77.16993608931652,NA,-65.2302041180645,-65.2302041180645,-62.8368508610948,NA,1.025600252762639e-6,0.09132294058338225,FALSE,0.9115040548683222,1.8074808553972206,254.46510200610294,FALSE,
GB073,2,0/1,149,2,23,ARD,ARD2,2,-98.19371193408082,NA,-92.57742730807605,-92.57742730807605,-87.17428462774295,NA,8.037430267969362e-4,0.004502409053034757,FALSE,8.958596571692878,3.532689416303879,2203.7867650902244,FALSE,
GB079,2,0/1,150,1,23,ARD,ARD1,2,-54.29370254343779,NA,-46.469635829154925,-46.469635829154925,-43.952844076245746,NA,7.628784044102574e-5,0.08071815557130096,TRUE,8793.18496966395,9864.733825082465,2296683.5230038585,TRUE,
GB080,2,0/1,149,2,22,ER,ER1,1,-69.51928707419394,NA,-68.79587691786782,-69.51928707419394,-69.50446774895265,NA,0.22903884628095753,0.8633126914662828,FALSE,0.10249238019480207,0.11850300886441961,26.843406822352158,FALSE,
GB082,2,0/1,150,1,23,ARD,ARD2,2,-52.290067386906145,NA,-40.35891133035463,-40.35891133035463,-36.19847395563355,NA,1.0347791435267826e-6,0.015600733061310011,FALSE,1.8302164220130963,2.1401453902203103,479.8470333259574,FALSE,
GB083,2,0/1,149,2,23,ARD,ARD1,2,-84.40699687491208,NA,-71.47808008059351,-71.47808008059351,-62.16626233698524,NA,3.6751017825186884e-7,9.035016238780585e-5,TRUE,7424.69686325715,3562.1073621651058,1839697.4083785655,TRUE,2-regime favoured by LRT but SE non-finite; forced 1-regime | 2-regime favoured by LRT but saturated (1840000 segments/sim); forced 1-regime
GB084,2,0/1,149,2,23,ARD,ARD1,2,-81.02018477372776,NA,-68.97881393171535,-68.97881393171535,-67.01029899245394,NA,9.228368470182164e-7,0.1396641119725469,FALSE,0.6706518713512232,6.411236672198929,293.3348961837538,FALSE,
GB086,2,0/1,145,6,21,ER,ER1,1,-100.50634119005322,NA,-99.72908933386788,-100.50634119005322,-100.50634122053256,NA,0.21247180059862394,1,FALSE,26.950828812583318,64.0522568411811,7745.429303548606,FALSE,
GB089,2,0/1,151,0,23,ARD,ARD1,2,-77.24368471930924,NA,-73.39223041658255,-73.39223041658255,-72.14148971407913,NA,0.005513191374730014,0.28629266061453656,FALSE,0.5029027017276256,12.914410359456944,389.2493809626483,FALSE,
GB090,2,0/1,151,0,23,ER,ER1,1,-87.75240619509802,NA,-87.31158802701263,-87.75240619509802,-87.72357474580623,NA,0.3477538915525665,0.8102287003517451,FALSE,0.15300918694687757,0.12537297432727548,38.99786178558096,FALSE,
GB091,2,0/1,151,0,23,ARD,ARD1,2,-68.2163534942887,NA,-65.53467041295458,-65.53467041295458,-62.65502064935345,NA,0.020564043531279937,0.056154426714622535,FALSE,0.34427903763857975,8.839368913014845,266.4398399708723,FALSE,
GB092,2,0/1,151,0,23,ER,ER1,1,-89.07329606801744,NA,-88.69120778458624,-89.07329606801744,-89.00987605744515,NA,0.382024628946885,0.7217311793818623,FALSE,0.19580694881389304,0.14415615918208455,49.56578940436275,FALSE,
GB093,2,0/1,150,1,23,ER,ER1,1,-88.20347806492524,NA,-88.06414633018886,-88.20347806492524,-87.02725724470478,NA,0.5975785671133641,0.1250869496340204,FALSE,0.1995640033447901,0.5539108403872712,59.01555120491776,FALSE,
GB094,2,0/1,151,0,23,ER,ER1,1,-24.37456471134558,NA,-24.367213742123276,-24.37456471134558,-23.980743494803182,NA,0.9034917940655861,0.3748139552780434,FALSE,0.017410907462267627,0.05493016428305619,5.286707749557659,FALSE,
GB107,2,0/1,149,2,21,ARD,ARD1,2,-90.38604971424823,NA,-80.02454705181019,-80.02454705181019,-81.99993926847266,NA,5.307451219750249e-6,1,TRUE,0.7039669304370288,9210.043311301839,192491.01315417117,TRUE,
GB121,2,0/1,146,5,23,ARD,ARD1,2,-69.09093413598032,NA,-59.31255593906452,-59.31255593906452,-55.20414726775487,NA,9.76547557408604e-6,0.01643390547459071,FALSE,6428.014901384092,11246.31445587114,1763185.1283215317,TRUE,2-regime favoured by LRT but saturated (1760000 segments/sim); forced 1-regime
GB130,3,1/2/3,148,3,22,ER,ER1,1,-108.09593483709942,-107.04825586526732,-102.94396874315663,-108.09593483709942,-108.06966898877788,0.35075090780091417,0.0670674976713371,0.8187150720147216,FALSE,0.089944077804463,0.07389973782578384,22.928489313726995,FALSE,
GB131,2,0/1,150,1,23,ER,ER1,1,-73.74221279278214,NA,-72.86721218446316,-73.74221279278214,-71.37805178283271,NA,0.18587657941762037,0.029669817414483893,TRUE,0.15439710170933982,0,36.709823911485735,FALSE,2-regime favoured by LRT but SE non-finite; forced 1-regime
