feature,k,winning_model,node,state,p_state,n_desc_tips,in_philippine_clade
GB020,2,ER2,152,0,0.678,151,FALSE
GB020,2,ER2,152,1,0.322,151,FALSE
GB020,2,ER2,153,0,0.668,2,FALSE
GB020,2,ER2,153,1,0.332,2,FALSE
GB020,2,ER2,154,0,0.678,149,FALSE
GB020,2,ER2,154,1,0.322,149,FALSE
GB020,2,ER2,155,0,0.678,148,FALSE
GB020,2,ER2,155,1,0.322,148,FALSE
GB020,2,ER2,156,0,0.678,147,FALSE
GB020,2,ER2,156,1,0.322,147,FALSE
GB020,2,ER2,157,0,0.683,145,FALSE
GB020,2,ER2,157,1,0.317,145,FALSE
GB020,2,ER2,158,0,0.683,121,FALSE
GB020,2,ER2,158,1,0.317,121,FALSE
GB020,2,ER2,159,0,0.683,117,FALSE
GB020,2,ER2,159,1,0.317,117,FALSE
GB020,2,ER2,160,0,0.769,8,FALSE
GB020,2,ER2,160,1,0.231,8,FALSE
GB020,2,ER2,161,0,0.834,6,FALSE
GB020,2,ER2,161,1,0.166,6,FALSE
GB020,2,ER2,162,0,0.844,5,FALSE
GB020,2,ER2,162,1,0.156,5,FALSE
GB020,2,ER2,163,0,0.88,4,FALSE
GB020,2,ER2,163,1,0.12,4,FALSE
GB020,2,ER2,164,0,0.857,3,FALSE
GB020,2,ER2,164,1,0.143,3,FALSE
GB020,2,ER2,165,0,0.338,2,FALSE
GB020,2,ER2,165,1,0.662,2,FALSE
GB020,2,ER2,166,0,0.755,2,FALSE
GB020,2,ER2,166,1,0.245,2,FALSE
GB020,2,ER2,167,0,0.684,109,FALSE
GB020,2,ER2,167,1,0.316,109,FALSE
GB020,2,ER2,168,0,0.696,108,FALSE
GB020,2,ER2,168,1,0.304,108,FALSE
GB020,2,ER2,169,0,0.696,107,FALSE
GB020,2,ER2,169,1,0.304,107,FALSE
GB020,2,ER2,170,0,0.696,105,FALSE
GB020,2,ER2,170,1,0.304,105,FALSE
GB020,2,ER2,171,0,0.676,99,FALSE
GB020,2,ER2,171,1,0.324,99,FALSE
GB020,2,ER2,172,0,0.676,98,FALSE
GB020,2,ER2,172,1,0.324,98,FALSE
GB020,2,ER2,173,0,0.668,6,FALSE
GB020,2,ER2,173,1,0.332,6,FALSE
GB020,2,ER2,174,0,0.15,3,FALSE
GB020,2,ER2,174,1,0.85,3,FALSE
GB020,2,ER2,175,0,0.068,2,FALSE
GB020,2,ER2,175,1,0.932,2,FALSE
GB020,2,ER2,176,0,0.508,3,FALSE
GB020,2,ER2,176,1,0.492,3,FALSE
GB020,2,ER2,177,0,0.503,2,FALSE
GB020,2,ER2,177,1,0.497,2,FALSE
GB020,2,ER2,178,0,0.676,92,FALSE
GB020,2,ER2,178,1,0.324,92,FALSE
GB020,2,ER2,179,0,0.676,91,FALSE
GB020,2,ER2,179,1,0.324,91,FALSE
GB020,2,ER2,180,0,0.68,90,FALSE
GB020,2,ER2,180,1,0.32,90,FALSE
GB020,2,ER2,181,0,0.677,88,FALSE
GB020,2,ER2,181,1,0.323,88,FALSE
GB020,2,ER2,182,0,0.681,78,FALSE
GB020,2,ER2,182,1,0.319,78,FALSE
GB020,2,ER2,183,0,0.69,4,FALSE
GB020,2,ER2,183,1,0.31,4,FALSE
GB020,2,ER2,184,0,0.679,2,FALSE
GB020,2,ER2,184,1,0.321,2,FALSE
GB020,2,ER2,185,0,0.738,2,FALSE
GB020,2,ER2,185,1,0.262,2,FALSE
GB020,2,ER2,186,0,0.658,74,FALSE
GB020,2,ER2,186,1,0.342,74,FALSE
GB020,2,ER2,187,0,0.446,34,FALSE
GB020,2,ER2,187,1,0.554,34,FALSE
GB020,2,ER2,188,0,0.296,23,FALSE
GB020,2,ER2,188,1,0.704,23,FALSE
GB020,2,ER2,189,0,0.043,22,FALSE
GB020,2,ER2,189,1,0.957,22,FALSE
GB020,2,ER2,190,0,0.004,20,FALSE
GB020,2,ER2,190,1,0.996,20,FALSE
GB020,2,ER2,191,0,0.002,19,FALSE
GB020,2,ER2,191,1,0.998,19,FALSE
GB020,2,ER2,192,0,0.002,14,FALSE
GB020,2,ER2,192,1,0.998,14,FALSE
GB020,2,ER2,193,0,0.002,9,FALSE
GB020,2,ER2,193,1,0.998,9,FALSE
GB020,2,ER2,194,0,0.002,7,FALSE
GB020,2,ER2,194,1,0.998,7,FALSE
GB020,2,ER2,195,0,0.005,3,FALSE
GB020,2,ER2,195,1,0.995,3,FALSE
GB020,2,ER2,196,0,0.005,2,FALSE
