feature,k,winning_model,regime,from_state,to_state,mean,median,q025,q975,total_branch_length,per_unit_time
GB020,2,ER2,Background,0,1,47.536,50,28,62,237.7623900000001,0.19993069551496342
GB020,2,ER2,Background,1,0,40.842,39,24,63,237.7623900000001,0.1717765370713172
GB020,2,ER2,Philippine,0,1,555.392,555,524,588,20.881947,26.596753645625096
GB020,2,ER2,Philippine,1,0,555.061,555,523.975,588,20.881947,26.580902633264994
GB022,2,ER2,Background,0,1,21.256,22,12,29,237.7623900000001,0.0894001780517095
GB022,2,ER2,Background,1,0,11.361,11,4,20.024999999999977,237.7623900000001,0.04778299881659162
GB022,2,ER2,Philippine,0,1,551.548,550,518,587,20.881947,26.412671193926506
GB022,2,ER2,Philippine,1,0,551.466,551,518,587,20.881947,26.40874435702763
GB065,3,ARD1,Background,1,2,0,0,0,0,237.7623900000001,0
GB065,3,ARD1,Background,1,3,23.184,22,12,39,237.7623900000001,0.09750911403607607
GB065,3,ARD1,Background,2,1,3.37,3,1,7,237.7623900000001,0.01417381445400174
GB065,3,ARD1,Background,2,3,13.556,13,7,22,237.7623900000001,0.057014904670162486
GB065,3,ARD1,Background,3,1,23.835,24,15,33,237.7623900000001,0.10024714169469777
GB065,3,ARD1,Background,3,2,42.55,43,30,53,237.7623900000001,0.17896017953049673
GB065,3,ARD1,Philippine,1,2,0,0,0,0,20.881947,0
GB065,3,ARD1,Philippine,1,3,0.406,0,0,2,20.881947,0.01944263147492904
GB065,3,ARD1,Philippine,2,1,0.07,0,0,1,20.881947,0.0033521778405050068
GB065,3,ARD1,Philippine,2,3,2.482,2,1,4,20.881947,0.11885864857333467
GB065,3,ARD1,Philippine,3,1,0.216,0,0,1.0249999999999773,20.881947,0.010343863050701162
GB065,3,ARD1,Philippine,3,2,1.9,2,0,5,20.881947,0.09098768424227874
GB073,2,ARD2,Background,0,1,583.232,583.5,548,618,237.7623900000001,2.4530036058268077
GB073,2,ARD2,Background,1,0,584.055,583,547,623,237.7623900000001,2.456465044786939
GB073,2,ARD2,Philippine,0,1,22.549,22.5,14,32,20.881947,1.0798322589363913
GB073,2,ARD2,Philippine,1,0,21.539,22,15,28,20.881947,1.0314651215233905
GB082,2,ARD2,Background,0,1,18.549,18,12,27,237.7623900000001,0.07801486181224875
GB082,2,ARD2,Background,1,0,23.909,22,9,49.02499999999998,237.7623900000001,0.1005583767895334
GB082,2,ARD2,Philippine,0,1,17.671,18,11,24,20.881947,0.8462333517080567
GB082,2,ARD2,Philippine,1,0,17.464,17,10,24,20.881947,0.8363204829511347
GB130,3,ER1,Background,1,2,13.938,13,8,21,237.7623900000001,0.05862155070026002
GB130,3,ER1,Background,1,3,10.724,11,6,15.024999999999977,237.7623900000001,0.045103853473209096
GB130,3,ER1,Background,2,1,8.547,9,3,15,237.7623900000001,0.03594765345351717
GB130,3,ER1,Background,2,3,4.031,4,1,8,237.7623900000001,0.01695390090922285
GB130,3,ER1,Background,3,1,3.221,3,0,7,237.7623900000001,0.013547138384670506
GB130,3,ER1,Background,3,2,2.108,2,0,5.024999999999977,237.7623900000001,0.008865994323155985
GB130,3,ER1,Philippine,1,2,0.745,0,0,3,20.881947,0.03567674987394614
GB130,3,ER1,Philippine,1,3,0.131,0,0,1,20.881947,0.0062733613872307985
GB130,3,ER1,Philippine,2,1,1.163,1,1,2,20.881947,0.055694040407247465
GB130,3,ER1,Philippine,2,3,1.163,1,1,2,20.881947,0.055694040407247465
GB130,3,ER1,Philippine,3,1,0.047,0,0,1,20.881947,0.00225074797862479
GB130,3,ER1,Philippine,3,2,0.193,0,0,1,20.881947,0.009242433188820946
